aktørid,aktør,party,block,relation_start,relation_end
5,Frank Aaen,Enhedslisten,2,1995-10-03,2014-10-06
5,Frank Aaen,Enhedslisten - De Rød-Grønne,1,1994-09-21,1995-10-02
12,Nicolai Wammen,Socialdemokratiet,1,2002-10-01,2025-10-06
13,Sara Olsvig,Inuit Ataqatigiit,1,2011-09-15,2015-05-27
17,Christine Antorini,Socialdemokratiet,2,2007-11-13,2017-10-02
17,Christine Antorini,Socialistisk Folkeparti,1,1998-10-06,2007-11-12
18,Alex Ahrendtsen,Dansk Folkeparti,1,2022-11-01,2025-10-06
23,Bjarne Corydon,Socialdemokratiet,1,2011-09-15,2015-10-05
24,Karsten Lauritzen,"Venstre, Danmarks Liberale Parti",1,2007-11-13,2021-10-04
28,Henrik Sass Larsen,Socialdemokratiet,1,2000-10-01,2019-06-04
33,Holger K. Nielsen,Socialistisk Folkeparti,1,1982-10-05,2018-10-06
34,Søren Espersen,Danmarksdemokraterne - Inger Støjberg,3,2022-08-18,2022-10-03
34,Søren Espersen,Dansk Folkeparti,1,2007-11-13,2022-06-24
34,Søren Espersen,Uden for folketingsgrupperne - Søren Espersen,2,2022-06-25,2022-08-17
38,Astrid Krag,Socialdemokratiet,2,2014-10-07,2022-10-03
38,Astrid Krag,Socialistisk Folkeparti,1,2006-10-24,2014-10-06
39,Christian Juhl,Enhedslisten,1,2011-09-15,2022-10-03
43,Pia Olsen Dyhr,Socialistisk Folkeparti,1,2022-11-01,2025-10-06
44,Henning Hyllested,Enhedslisten,1,2011-09-15,2022-10-03
47,Karen Hækkerup (udpeget af S),Socialdemokratiet,1,2007-11-13,2014-10-06
48,Peter Skaarup,Danmarksdemokraterne – Inger Støjberg,1,2022-11-01,2025-10-06
49,Erling Bonnesen,"Venstre, Danmarks Liberale Parti",1,2022-11-01,2025-10-06
50,Liselott Blixt,Dansk Folkeparti,1,2007-11-13,2022-02-21
50,Liselott Blixt,Uden for folketingsgrupperne - Liselott Blixt,2,2022-02-22,2022-10-03
55,Marianne Jelved,Det Radikale Venstre,1,1987-10-06,2010-10-04
55,Marianne Jelved,Radikale Venstre,2,2010-10-05,2022-10-03
56,Karin Nødgaard,Dansk Folkeparti,1,2005-02-08,2018-10-01
57,Jakob Engel-Schmidt,Moderaterne,2,2022-11-01,2025-10-06
57,Jakob Engel-Schmidt,"Venstre, Danmarks Liberale Parti",1,2013-08-15,2022-10-31
59,Rasmus Helveg Petersen,Radikale Venstre,1,2011-09-15,2022-10-03
62,Annette Vilhelmsen,Socialistisk Folkeparti,1,2008-10-29,2014-11-07
64,Flemming Damgaard Larsen,"Venstre, Danmarks Liberale Parti",1,2002-10-01,2014-10-06
67,Nick Hækkerup,Socialdemokratiet,1,2007-11-13,2021-10-04
68,Nikolaj Villumsen,Enhedslisten,1,2011-09-15,2019-02-01
69,Pernille Skipper,Enhedslisten,1,2011-09-15,2022-10-03
70,Martin Henriksen (udpeget af DF),Dansk Folkeparti,1,2005-02-08,2018-10-01
71,Tom Behnke,Det Konservative Folkeparti,3,2001-02-07,2015-04-26
