aktørid,politician,party
1886,Jacob Buksti,Socialdemokratiet
1039,Lotte Bundsgaard,Socialdemokratiet
220,Morten Bødskov,Socialdemokratiet
183,Bent Bøgsted,Danmarksdemokraterne
198,Anne Baastrup,Socialistisk Folkeparti
648,Carina Christensen,Det Konservative Folkeparti
94,Peter Christensen,Venstre
664,Pia Christmas-Møller,Uden for folketingsgrupperne
77,Kristian Thulesen Dahl,Uden for folketingsgrupperne
1885,Inge Dahl-Sørensen,Venstre
1821,Sven Buhrkall,Venstre
1398,Peter Brixtofte,Uden for folketingsgrupperne
1755,Colette L. Brix,Dansk Folkeparti
1470,Sandy Brinck,Socialdemokratiet
49,Erling Bonnesen,Venstre
1417,Pia Boisen,Enhedslisten
1455,René Skau Björnsson,Socialdemokratiet
1463,Ritt Bjerregaard,Socialdemokratiet
1751,Inger Bierbaum,Socialdemokratiet
1495,Bendt Bendtsen,Det Konservative Folkeparti
1727,Jette Bergenholz Bautrup,Socialdemokratiet
149,Lars Barfoed,Det Konservative Folkeparti
856,Line Barfod,Enhedslisten
1778,Svend Auken,Socialdemokratiet
1881,Elisabeth Arnold,Radikale Venstre
647,Charlotte Antonsen (udpeget af V),Venstre
351,Sophie Hæstorp Andersen,Socialdemokratiet
258,Poul Andersen,Socialdemokratiet
126,Kim Andersen (udpeget af V),Venstre
8319,Jytte Andersen,Not able to assign
164,Hans Andersen,Venstre
1779,Else Winther Andersen,Venstre
1793,Keld Albrechtsen,Enhedslisten
1891,Thomas Adelskov,Socialdemokratiet
1371,Per Dalgaard,Dansk Folkeparti
364,Birthe Rønn Hornbech,Venstre
660,Svend Erik Hovmand,Venstre
1833,Høgni Hoydal,Tjóðveldi
1461,Rikke Hvilshøj,Venstre
678,Klaus Hækkerup (udpeget af S),Socialdemokratiet
1759,Kaj Ikast,Det Konservative Folkeparti
55,Marianne Jelved,Radikale Venstre
1773,Carsten Bo Jensen,Socialdemokratiet
669,Frank Jensen,Socialdemokratiet
1914,Jakob Jensen,Socialdemokratiet
271,Kristian Jensen,Venstre
652,Lene Jensen,Socialdemokratiet
1850,Christian Lund Jepsen,Det Konservative Folkeparti
1815,Jette Jespersen,Dansk Folkeparti
1752,Jørn Jespersen,Socialistisk Folkeparti
365,Karen Jespersen,Venstre
670,Lars Emil Johansen,Siumut
210,Birgitte Josefsen,Venstre
1912,Ida Jørgensen,Radikale Venstre
1447,Poul Qvist Jørgensen,Socialdemokratiet
668,Naser Khader,Uden for folketingsgrupperne
1844,Jens Kirk,Venstre
1823,Knud Erik Kirkegaard,Det Konservative Folkeparti
1882,Henriette Kjær,Det Konservative Folkeparti
252,Pia Kjærsgaard,Dansk Folkeparti
672,Kuupik Kleist,Inuit Ataqatigiit
280,Karen J. Klint (udpeget af S),Socialdemokratiet
1777,Anita Knakkergaard,Dansk Folkeparti
235,Jeppe Kofod,Socialdemokratiet
1739,Thor Gunnar Kofoed,Venstre
1557,Bodil Kornbek,Kristeligt Folkeparti
1745,Ulrik Kragh,Venstre
1790,Freddy Dam (udpeget af V),Venstre
216,Mikkel Dencker,Dansk Folkeparti
211,Jørn Dohrmann,Dansk Folkeparti
108,Charlotte Dyremose,Det Konservative Folkeparti
1805,Inge-Lene Ebdrup,Ny Alliance
131,Lene Espersen,Det Konservative Folkeparti
1746,Tove Fergo,Venstre
1623,Aage Frandsen,Not able to assign
138,Mette Frederiksen,Socialdemokratiet
1047,Louise Frevert,Uden for folketingsgrupperne
1845,Søren Gade,Venstre
794,Lene Garsdal,Socialistisk Folkeparti
1911,Henning Gjellerod,Socialdemokratiet
1256,Pia Gjellerup (udpeget af S),Socialdemokratiet
5593,Carsten Hansen,Not able to assign
663,Christian H. Hansen,Uden for folketingsgrupperne
265,Eva Kjer Hansen,Venstre
1731,Flemming Hansen,Det Konservative Folkeparti
1393,Pernille Blach Hansen,Socialdemokratiet
7633,Torben Hansen,Not able to assign
1444,Poul Henrik Hedeboe,Socialistisk Folkeparti
1718,Svend Heiselberg,Venstre
1883,Anne Grete Holmsgaard (udpeget af SF),Socialistisk Folkeparti
1234,Morten Homann,Socialistisk Folkeparti
1067,Lykke Roed,Dansk Folkeparti
676,Søren Krarup,Dansk Folkeparti
1431,Pia Kristensen,Dansk Folkeparti
679,Per Kaalund,Socialdemokratiet
677,Jesper Langballe,Dansk Folkeparti
1811,Erik Larsen (udpeget af V),Venstre
1818,Ester Larsen,Venstre
64,Flemming Damgaard Larsen,Venstre
28,Henrik Sass Larsen,Socialdemokratiet
1817,Jens Christian Larsen,Venstre
657,Pia Larsen,Venstre
386,Claus Larsen-Jensen (udpeget af),Socialdemokratiet
1771,Uno Larsson,Dansk Folkeparti
1814,Gudrun Laub,Venstre
257,Bjarne Laustsen,Socialdemokratiet
141,Martin Lidegaard,Radikale Venstre
217,Lars Christian Lilleholt,Venstre
384,Mogens Lykketoft,Socialdemokratiet
1831,Freddie H. Madsen,Dansk Folkeparti
646,Jens Hald,Venstre
1636,Aase D. Madsen (udpeget af DF),Dansk Folkeparti
951,Lissa Mathiasen,Socialdemokratiet
645,Christian Mejdahl,Venstre
1880,Anne-Marie Meldgaard,Socialdemokratiet
83,Brian Mikkelsen,Det Konservative Folkeparti
1879,Lars Kramer Mikkelsen,Socialdemokratiet
245,Leif Mikkelsen,Liberal Alliance
1760,Helga Moos,Venstre
1770,Erik Mortensen,Socialdemokratiet
1830,Helge Mortensen,Socialdemokratiet
1824,Anders Møller,Uden for folketingsgrupperne
1951,Flemming Møller (udpeget af V),Venstre
665,Helge Adam Møller,Det Konservative Folkeparti
1023,Lone Møller (udpeget af S),Socialdemokratiet
153,Per Stig Møller,Det Konservative Folkeparti
279,Tina Nedergaard,Venstre
1730,Elsebeth Gerner Nielsen,Radikale Venstre
33,Holger K. Nielsen,Socialistisk Folkeparti
662,Poul Nødgaard,Dansk Folkeparti
1753,Flemming Oppfeldt,Uden for folketingsgrupperne
666,Jørn Pedersen,Socialdemokratiet
1115,Marianne Pedersen,Venstre
1124,Marion Pedersen,Venstre
1219,Mogens Nørgård,Kristendemokraterne
1829,Thor Pedersen,Venstre
1804,Jan Petersen (udpeget af S),Socialdemokratiet
918,Lisbeth Petersen,Sambandsflokkurin
680,Morten Helveg Petersen,Radikale Venstre
671,Niels Helveg Petersen,Radikale Venstre
206,Troels Lund Poulsen,Venstre
1744,Kamal Qureshi,Socialistisk Folkeparti
234,Anders Fogh Rasmussen,Venstre
145,Lars Løkke Rasmussen,Moderaterne
661,Jens Rohde,Uden for folketingsgrupperne
172,Pernille Rosenkrantz-Theil,Socialdemokratiet
725,Preben Rudiengaard,Venstre
1353,Peder Sass,Socialdemokratiet
125,Hans Christian Schmidt,Venstre
1768,Grete Schødts,Socialdemokratiet
675,Hanne Severinsen,Venstre
1757,Irene Simonsen,Venstre
1280,Niels Sindal,Socialdemokratiet
1299,Helle Sjelle,Det Konservative Folkeparti
1556,Jann Sjursen,Kristeligt Folkeparti
1769,Birthe Skaarup (udpeget af DF),Dansk Folkeparti
48,Peter Skaarup,Danmarksdemokraterne
226,Ole Sohn,Socialdemokratiet
1319,Ole Stavad (udpeget af S),Socialdemokratiet
182,Inger Støjberg,Danmarksdemokraterne
1761,Else Theill Sørensen,Det Konservative Folkeparti
3042,"Frode Sørensen, Hjørring",Not able to assign
1740,Karina Sørensen,Dansk Folkeparti
348,Villy Søvndal,Socialistisk Folkeparti
1767,Arne Toft,Socialdemokratiet
1094,Margot Torp,Socialdemokratiet
379,Kristen Touborg,Socialistisk Folkeparti
1250,Jan Trøjborg,Socialdemokratiet
296,Ulla Tørnæs,Venstre
1822,Jens Peter Vernersen,Socialdemokratiet
212,Eyvind Vesselbo,Venstre
106,Margrethe Vestager,Radikale Venstre
1791,Henrik Vestergaard,Venstre
1749,Jens Vibjerg (udpeget af V),Venstre
1558,Tove Videbæk,Kristeligt Folkeparti
12,Nicolai Wammen,Socialdemokratiet
1916,Christian Wedell-Neergaard,Det Konservative Folkeparti
1774,Jørgen Winther,Venstre
1747,Jytte Wittrock,Socialdemokratiet
1325,Ole Vagn Christensen,Socialdemokratiet
1433,Poul Fischer,Dansk Folkeparti
350,Gitte Lillelund Bech,Venstre
920,Lise Hækkerup,Socialdemokratiet
1792,Svend Aage Jensby,Venstre
193,Karsten Nonbo,Venstre
176,Søren Søndergaard,Enhedslisten
1947,Søren Hansen,Socialdemokratiet
656,Jesper Kiel,Enhedslisten
1948,Birgitte Møller,Radikale Venstre
117,Simon Emil Ammitzbøll-Bille,Uden for folketingsgrupperne
17,Christine Antorini,Socialdemokratiet
650,Hüseyin Arac,Socialdemokratiet
215,Jørgen Arbo-Bæhr,Enhedslisten
195,Pernille Vigsø Bagge,Socialistisk Folkeparti
71,Tom Behnke,Det Konservative Folkeparti
4428,Jens Borking,Enhedslisten
249,Kirsten Brosbøl (udpeget af S),Socialdemokratiet
1440,Poul Erik Christensen,Radikale Venstre
3084,Troels Christensen (udpeget af V),Venstre
259,Anne-Mette Winther Christiansen (udpeget af V),Venstre
124,Kim Christiansen,Dansk Folkeparti
1618,Walter Christophersen,Dansk Folkeparti
171,Per Clausen,Enhedslisten
3088,Bente Dahl,Radikale Venstre
654,Lone Dybkjær,Radikale Venstre
3089,Joan Erlandsen,Venstre
34,Søren Espersen,Danmarksdemokraterne
1172,Mia Falkenberg,Dansk Folkeparti
3083,Charlotte Fischer,Radikale Venstre
270,Claus Hjort Frederiksen,Venstre
95,Steen Gade,Socialistisk Folkeparti
197,Mette Gjerskov,Socialdemokratiet
1311,Ole Glahn,Radikale Venstre
3092,Vibeke Grave,Socialdemokratiet
801,Lene Hansen,Socialdemokratiet
1887,Connie Hedegaard,Det Konservative Folkeparti
70,Martin Henriksen (udpeget af DF),Dansk Folkeparti
244,Magnus Heunicke,Socialdemokratiet
2103,Britta Schall Holberg,Venstre
47,Karen Hækkerup (udpeget af S),Socialdemokratiet
129,Bertel Haarder,Venstre
173,Jacob Jensen,Venstre
178,Michael Aastrup Jensen,Venstre
5905,"Mogens Jensen, Brøndby",Not able to assign
1378,Per Ørum Jørgensen,Kristendemokraterne
3093,Anfinn Kallsberg,Folkaflokkurin
3081,Kurt Kirkegaard,Venstre
194,Kristian Pihl Lorentzen,Venstre
651,Jens Christian Lund,Socialdemokratiet
238,Morten Messerschmidt,Dansk Folkeparti
3085,Kim Mortensen,Socialdemokratiet
1249,Allan Niebuhr,Det Konservative Folkeparti
3992,Bjørn Medom Nielsen,Socialdemokratiet
649,Jakob Axel Nielsen,Det Konservative Folkeparti
4433,Jens Jørgen Nygaard,Det Konservative Folkeparti
56,Karin Nødgaard,Dansk Folkeparti
163,Ellen Trane Nørby,Venstre
133,John Dyrby Paulsen,Socialdemokratiet
80,Torsten Schack Pedersen,Venstre
3090,Tina Petersen,Dansk Folkeparti
132,Søren Pind,Venstre
3086,Johs. Poulsen,Radikale Venstre
264,Rasmus Prehn,Socialdemokratiet
84,Troels Ravn,Socialdemokratiet
4434,Abbas Razvi,Radikale Venstre
1357,Helge Sander,Venstre
653,Lise von Seelen,Socialdemokratiet
82,Hans Kristian Skibby,Danmarksdemokraterne
144,Helle Thorning-Schmidt,Socialdemokratiet
116,Morten Østergaard,Radikale Venstre
5,Frank Aaen,Enhedslisten
3087,Elisabeth Geday,Radikale Venstre
655,Rune Lund,Enhedslisten
1044,Lotte Thiim Bertelsen,Socialistisk Folkeparti
5468,Dorrit Knudsen,Socialdemokratiet
43,Pia Olsen Dyhr,Socialistisk Folkeparti
1478,Simon Pihl Sørensen,Socialdemokratiet
1116,Marianne Saxtoft,Radikale Venstre
1385,Pernille Frahm (udpeget af SF),Socialistisk Folkeparti
3082,Henrik Brodersen,Dansk Folkeparti
1471,Sanne Schroll,Socialistisk Folkeparti
1484,Sofia Rossen,Inuit Ataqatigiit
1121,Marie Fugl,Socialistisk Folkeparti
1085,Majbrit Berlau,Enhedslisten
3997,Tina Bostrup,Radikale Venstre
1473,Sidsel Homann,Socialistisk Folkeparti
667,Søren Egge Rasmussen,Enhedslisten
3994,Jesper Kinch-Jensen,Socialdemokratiet
3998,Thomas Krog,Socialistisk Folkeparti
1183,Michael Thomsen,Socialistisk Folkeparti
1474,Sidsel Leth Svensson,Det Konservative Folkeparti
119,Dennis Flydtkjær,Danmarksdemokraterne
3996,Henrik Fruergaard,Venstre
134,Christian Friis Bach,Venstre
3995,Egil Møller,Dansk Folkeparti
3993,Grethe H. Nielsen,Socialdemokratiet
158,Eigil Andersen,Socialistisk Folkeparti
85,Özlem Sara Cekic,Socialistisk Folkeparti
303,Anita Christensen,Dansk Folkeparti
98,René Christensen,Dansk Folkeparti
184,Lennart Damsbo-Andersen,Socialdemokratiet
121,Karina Lorentzen Dehnhardt,Socialistisk Folkeparti
