aktørid,aktør,relation_start,relation_end,party_clean
5,Frank Aaen,1994-09-21,1995-10-02,Enhedslisten
5,Frank Aaen,1995-10-03,2014-10-06,Enhedslisten
12,Nicolai Wammen,2002-10-01,2025-10-06,Socialdemokratiet
13,Sara Olsvig,2011-09-15,2015-05-27,Inuit Ataqatigiit
17,Christine Antorini,1998-10-06,2007-11-12,Socialistisk Folkeparti
17,Christine Antorini,2007-11-13,2017-10-02,Socialdemokratiet
18,Alex Ahrendtsen,2022-11-01,2025-10-06,Dansk Folkeparti
23,Bjarne Corydon,2011-09-15,2015-10-05,Socialdemokratiet
24,Karsten Lauritzen,2007-11-13,2021-10-04,Venstre
28,Henrik Sass Larsen,2000-10-01,2019-06-04,Socialdemokratiet
33,Holger K. Nielsen,1982-10-05,2018-10-06,Socialistisk Folkeparti
34,Søren Espersen,2007-11-13,2022-06-24,Dansk Folkeparti
34,Søren Espersen,2022-06-25,2022-08-17,Uden for Folketingsgrupperne
34,Søren Espersen,2022-08-18,2022-10-03,Danmarksdemokraterne
38,Astrid Krag,2006-10-24,2014-10-06,Socialistisk Folkeparti
38,Astrid Krag,2014-10-07,2022-10-03,Socialdemokratiet
39,Christian Juhl,2011-09-15,2022-10-03,Enhedslisten
43,Pia Olsen Dyhr,2022-11-01,2025-10-06,Socialistisk Folkeparti
44,Henning Hyllested,2011-09-15,2022-10-03,Enhedslisten
47,Karen Hækkerup (udpeget af S),2007-11-13,2014-10-06,Socialdemokratiet
48,Peter Skaarup,2022-11-01,2025-10-06,Danmarksdemokraterne
49,Erling Bonnesen,2022-11-01,2025-10-06,Venstre
50,Liselott Blixt,2007-11-13,2022-02-21,Dansk Folkeparti
50,Liselott Blixt,2022-02-22,2022-10-03,Uden for Folketingsgrupperne
55,Marianne Jelved,1987-10-06,2010-10-04,Radikale Venstre
55,Marianne Jelved,2010-10-05,2022-10-03,Radikale Venstre
56,Karin Nødgaard,2005-02-08,2018-10-01,Dansk Folkeparti
57,Jakob Engel-Schmidt,2013-08-15,2022-10-31,Venstre
57,Jakob Engel-Schmidt,2022-11-01,2025-10-06,Moderaterne
59,Rasmus Helveg Petersen,2011-09-15,2022-10-03,Radikale Venstre
62,Annette Vilhelmsen,2008-10-29,2014-11-07,Socialistisk Folkeparti
64,Flemming Damgaard Larsen,2002-10-01,2014-10-06,Venstre
67,Nick Hækkerup,2007-11-13,2021-10-04,Socialdemokratiet
68,Nikolaj Villumsen,2011-09-15,2019-02-01,Enhedslisten
69,Pernille Skipper,2011-09-15,2022-10-03,Enhedslisten
70,Martin Henriksen (udpeget af DF),2005-02-08,2018-10-01,Dansk Folkeparti
71,Tom Behnke,1991-10-01,1999-10-11,Fremskridtspartiet
71,Tom Behnke,1999-10-12,2001-02-06,Frihed 2000
71,Tom Behnke,2001-02-07,2015-04-26,Det Konservative Folkeparti
72,Karen Ellemann,2007-11-13,2022-10-03,Venstre
73,Merete Riisager,2011-09-15,2018-10-01,Liberal Alliance
74,Mette Reissmann,2022-11-01,2025-10-06,Socialdemokratiet
75,Jeppe Mikkelsen,2011-09-15,2014-11-07,Radikale Venstre
77,Kristian Thulesen Dahl,1994-10-04,1995-10-05,Fremskridtspartiet
77,Kristian Thulesen Dahl,1995-10-06,2022-06-29,Dansk Folkeparti
77,Kristian Thulesen Dahl,2022-06-30,2025-12-02,Uden for Folketingsgrupperne
78,Marie Krarup,2011-09-15,2022-02-26,Dansk Folkeparti
