aktørid,aktør,Period,party
5,Frank Aaen,65,Enhedslisten
1183,Michael Thomsen,65,Socialistisk Folkeparti
1172,Mia Falkenberg,65,Dansk Folkeparti
1162,Meta Fuglsang,65,Socialistisk Folkeparti
1146,Marlene Harpsøe,65,Dansk Folkeparti
1124,Marion Pedersen,65,Venstre
1121,Marie Fugl,65,Socialistisk Folkeparti
20496,Henrik Rejnholt Andersen,65,Moderaterne
1116,Marianne Saxtoft,65,Radikale Venstre
1115,Marianne Pedersen,65,Venstre
1094,Margot Torp,65,Socialdemokratiet
1090,Malou Aamund,65,Liberal Alliance
1087,Malene Søgaard-Andersen,65,Socialistisk Folkeparti
1085,Majbrit Berlau,65,Enhedslisten
1067,Lykke Roed,65,Dansk Folkeparti
20527,Nanna Høyrup,65,Alternativet
1201,Mogens Camre,65,Socialdemokratiet
1047,Louise Frevert,65,Dansk Folkeparti
20415,Mohammad Rona,65,Moderaterne
1234,Morten Homann,65,Socialistisk Folkeparti
1357,Helge Sander,65,Venstre
20400,Sandra Elisabeth Skalvig,65,Liberal Alliance
1353,Peder Sass,65,Socialdemokratiet
1334,Peter Laigaard,65,Liberal Alliance
1325,Ole Vagn Christensen,65,Socialdemokratiet
1319,Ole Stavad (udpeget af S),65,Socialdemokratiet
1311,Ole Glahn,65,Radikale Venstre
1299,Helle Sjelle,65,Det Konservative Folkeparti
1280,Niels Sindal,65,Socialdemokratiet
20411,Leila Stockmarr,65,Enhedslisten
1269,Niels Høiby,65,Liberal Alliance
1258,Nanna Westerby,65,Socialistisk Folkeparti
1256,Pia Gjellerup (udpeget af S),65,Socialdemokratiet
1250,Jan Trøjborg,65,Socialdemokratiet
1249,Allan Niebuhr,65,Det Konservative Folkeparti
1219,Mogens Nørgård,65,Kristendemokraterne
1358,Julie Rademacher,65,Socialdemokratiet
1044,Lotte Thiim Bertelsen,65,Socialistisk Folkeparti
1023,Lone Møller (udpeget af S),65,Socialdemokratiet
20580,Lean Milo,65,Moderaterne
668,Naser Khader,65,Radikale Venstre
667,Søren Egge Rasmussen,65,Enhedslisten
666,Jørn Pedersen,65,Socialdemokratiet
665,Helge Adam Møller,65,Det Konservative Folkeparti
664,Pia Christmas-Møller,65,Det Konservative Folkeparti
663,Christian H. Hansen,65,Dansk Folkeparti
662,Poul Nødgaard,65,Dansk Folkeparti
20599,Søren Rasmussen,65,Dansk Folkeparti
661,Jens Rohde,65,Venstre
660,Svend Erik Hovmand,65,Venstre
657,Pia Larsen,65,Venstre
656,Jesper Kiel,65,Enhedslisten
655,Rune Lund,65,Enhedslisten
654,Lone Dybkjær,65,Radikale Venstre
669,Frank Jensen,65,Socialdemokratiet
1039,Lotte Bundsgaard,65,Socialdemokratiet
670,Lars Emil Johansen,65,Siumut
672,Kuupik Kleist,65,Inuit Ataqatigiit
951,Lissa Mathiasen,65,Socialdemokratiet
920,Lise Hækkerup,65,Socialdemokratiet
918,Lisbeth Petersen,65,Venstre
20539,Noah Sturis,65,Alternativet
856,Line Barfod,65,Enhedslisten
801,Lene Hansen,65,Socialdemokratiet
794,Lene Garsdal,65,Socialistisk Folkeparti
725,Preben Rudiengaard,65,Venstre
680,Morten Helveg Petersen,65,Radikale Venstre
679,Per Kaalund,65,Socialdemokratiet
678,Klaus Hækkerup (udpeget af S),65,Socialdemokratiet
20559,Reza Javid,65,Enhedslisten
677,Jesper Langballe,65,Dansk Folkeparti
676,Søren Krarup,65,Dansk Folkeparti
675,Hanne Severinsen,65,Venstre
671,Niels Helveg Petersen,65,Radikale Venstre
653,Lise von Seelen,65,Socialdemokratiet
1362,Per Bisgaard,65,Venstre
1375,Per Løkken,65,Det Konservative Folkeparti
1747,Jytte Wittrock,65,Socialdemokratiet
1746,Tove Fergo,65,Venstre
20393,Katrine Daugaard,65,Liberal Alliance
1745,Ulrik Kragh,65,Venstre
1744,Kamal Qureshi,65,Socialistisk Folkeparti
1740,Karina Sørensen,65,Dansk Folkeparti
1739,Thor Gunnar Kofoed,65,Venstre
1731,Flemming Hansen,65,Det Konservative Folkeparti
1730,Elsebeth Gerner Nielsen,65,Radikale Venstre
1727,Jette Bergenholz Bautrup,65,Socialdemokratiet
20394,Steffen W. Frølund,65,Liberal Alliance
1718,Svend Heiselberg,65,Venstre
1636,Aase D. Madsen (udpeget af DF),65,Dansk Folkeparti
1623,Aage Frandsen,65,Socialistisk Folkeparti
1619,Yildiz Akdogan,65,Socialdemokratiet
1749,Jens Vibjerg (udpeget af V),65,Venstre
1618,Walter Christophersen,65,Dansk Folkeparti
1751,Inger Bierbaum,65,Socialdemokratiet
1753,Flemming Oppfeldt,65,Venstre
1777,Anita Knakkergaard,65,Dansk Folkeparti
1774,Jørgen Winther,65,Venstre
1773,Carsten Bo Jensen,65,Socialdemokratiet
1771,Uno Larsson,65,Dansk Folkeparti
1770,Erik Mortensen,65,Socialdemokratiet
20391,Sólbjørg Jakobsen,65,Liberal Alliance
1769,Birthe Skaarup (udpeget af DF),65,Dansk Folkeparti
1768,Grete Schødts,65,Socialdemokratiet
1767,Arne Toft,65,Socialdemokratiet
1761,Else Theill Sørensen,65,Det Konservative Folkeparti
1760,Helga Moos,65,Venstre
1759,Kaj Ikast,65,Det Konservative Folkeparti
1757,Irene Simonsen,65,Venstre
20392,Lars-Christian Brask,65,Liberal Alliance
1755,Colette L. Brix,65,Dansk Folkeparti
1752,Jørn Jespersen,65,Socialistisk Folkeparti
1371,Per Dalgaard,65,Dansk Folkeparti
1558,Tove Videbæk,65,Kristendemokraterne
20395,Alexander Ryle,65,Liberal Alliance
