source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,1597,1597.0,1.0,arbejdsmarked_velfærd
Dansk Folkeparti,Det Konservative Folkeparti,65,2341,2341.0,1.0,arbejdsmarked_velfærd
Dansk Folkeparti,Enhedslisten,65,255,126.0,0.49411764705882355,arbejdsmarked_velfærd
Dansk Folkeparti,Kristendemokraterne,65,775,519.0,0.6696774193548387,arbejdsmarked_velfærd
Dansk Folkeparti,Radikale Venstre,65,1025,641.0,0.6253658536585366,arbejdsmarked_velfærd
Dansk Folkeparti,Socialdemokratiet,65,4504,2685.0,0.5961367673179396,arbejdsmarked_velfærd
Dansk Folkeparti,Socialistisk Folkeparti,65,1515,888.0,0.5861386138613861,arbejdsmarked_velfærd
Dansk Folkeparti,Uden for Folketingsgrupperne,65,9,9.0,1.0,arbejdsmarked_velfærd
Dansk Folkeparti,Venstre,65,6284,6274.0,0.998408656906429,arbejdsmarked_velfærd
Det Konservative Folkeparti,Det Konservative Folkeparti,65,666,666.0,1.0,arbejdsmarked_velfærd
Det Konservative Folkeparti,Enhedslisten,65,164,79.0,0.4817073170731707,arbejdsmarked_velfærd
Det Konservative Folkeparti,Kristendemokraterne,65,510,340.0,0.6666666666666666,arbejdsmarked_velfærd
Det Konservative Folkeparti,Radikale Venstre,65,671,422.0,0.6289120715350224,arbejdsmarked_velfærd
Det Konservative Folkeparti,Socialdemokratiet,65,2961,1749.0,0.5906788247213779,arbejdsmarked_velfærd
Det Konservative Folkeparti,Socialistisk Folkeparti,65,979,563.0,0.575076608784474,arbejdsmarked_velfærd
Det Konservative Folkeparti,Uden for Folketingsgrupperne,65,6,6.0,1.0,arbejdsmarked_velfærd
Det Konservative Folkeparti,Venstre,65,4117,4111.0,0.9985426281272771,arbejdsmarked_velfærd
Enhedslisten,Enhedslisten,65,1,1.0,1.0,arbejdsmarked_velfærd
Enhedslisten,Kristendemokraterne,65,55,39.0,0.7090909090909091,arbejdsmarked_velfærd
Enhedslisten,Radikale Venstre,65,67,54.0,0.8059701492537313,arbejdsmarked_velfærd
Enhedslisten,Socialdemokratiet,65,316,249.0,0.7879746835443038,arbejdsmarked_velfærd
Enhedslisten,Socialistisk Folkeparti,65,113,102.0,0.9026548672566371,arbejdsmarked_velfærd
Enhedslisten,Uden for Folketingsgrupperne,65,1,1.0,1.0,arbejdsmarked_velfærd
Enhedslisten,Venstre,65,472,236.0,0.5,arbejdsmarked_velfærd
Kristendemokraterne,Kristendemokraterne,65,42,42.0,1.0,arbejdsmarked_velfærd
Kristendemokraterne,Radikale Venstre,65,222,176.0,0.7927927927927928,arbejdsmarked_velfærd
Kristendemokraterne,Socialdemokratiet,65,976,768.0,0.7868852459016393,arbejdsmarked_velfærd
Kristendemokraterne,Socialistisk Folkeparti,65,327,247.0,0.7553516819571865,arbejdsmarked_velfærd
Kristendemokraterne,Uden for Folketingsgrupperne,65,2,2.0,1.0,arbejdsmarked_velfærd
Kristendemokraterne,Venstre,65,1361,909.0,0.6678912564290963,arbejdsmarked_velfærd
Radikale Venstre,Radikale Venstre,65,96,96.0,1.0,arbejdsmarked_velfærd
Radikale Venstre,Socialdemokratiet,65,1287,1149.0,0.8927738927738927,arbejdsmarked_velfærd
Radikale Venstre,Socialistisk Folkeparti,65,434,372.0,0.8571428571428571,arbejdsmarked_velfærd
Radikale Venstre,Uden for Folketingsgrupperne,65,4,4.0,1.0,arbejdsmarked_velfærd
Radikale Venstre,Venstre,65,1770,1112.0,0.6282485875706215,arbejdsmarked_velfærd
Socialdemokratiet,Socialdemokratiet,65,2610,2610.0,1.0,arbejdsmarked_velfærd
Socialdemokratiet,Socialistisk Folkeparti,65,1914,1753.0,0.9158829676071055,arbejdsmarked_velfærd
Socialdemokratiet,Uden for Folketingsgrupperne,65,10,10.0,1.0,arbejdsmarked_velfærd
