source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,543,543.0,1.0,bolig
Dansk Folkeparti,Det Konservative Folkeparti,65,745,745.0,1.0,bolig
Dansk Folkeparti,Enhedslisten,65,65,18.0,0.27692307692307694,bolig
Dansk Folkeparti,Kristendemokraterne,65,270,151.0,0.5592592592592592,bolig
Dansk Folkeparti,Radikale Venstre,65,369,165.0,0.44715447154471544,bolig
Dansk Folkeparti,Socialdemokratiet,65,1549,770.0,0.4970948999354422,bolig
Dansk Folkeparti,Socialistisk Folkeparti,65,518,180.0,0.3474903474903475,bolig
Dansk Folkeparti,Venstre,65,2102,2102.0,1.0,bolig
Det Konservative Folkeparti,Det Konservative Folkeparti,65,192,192.0,1.0,bolig
Det Konservative Folkeparti,Enhedslisten,65,38,11.0,0.2894736842105263,bolig
Det Konservative Folkeparti,Kristendemokraterne,65,166,99.0,0.5963855421686747,bolig
Det Konservative Folkeparti,Radikale Venstre,65,226,111.0,0.4911504424778761,bolig
Det Konservative Folkeparti,Socialdemokratiet,65,952,506.0,0.5315126050420168,bolig
Det Konservative Folkeparti,Socialistisk Folkeparti,65,311,116.0,0.3729903536977492,bolig
Det Konservative Folkeparti,Venstre,65,1285,1285.0,1.0,bolig
Enhedslisten,Kristendemokraterne,65,14,5.0,0.35714285714285715,bolig
Enhedslisten,Radikale Venstre,65,17,9.0,0.5294117647058824,bolig
Enhedslisten,Socialdemokratiet,65,81,58.0,0.7160493827160493,bolig
Enhedslisten,Socialistisk Folkeparti,65,28,25.0,0.8928571428571429,bolig
Enhedslisten,Venstre,65,114,30.0,0.2631578947368421,bolig
Kristendemokraterne,Kristendemokraterne,65,15,14.0,0.9333333333333333,bolig
Kristendemokraterne,Radikale Venstre,65,82,68.0,0.8292682926829268,bolig
Kristendemokraterne,Socialdemokratiet,65,344,286.0,0.8313953488372093,bolig
Kristendemokraterne,Socialistisk Folkeparti,65,114,59.0,0.5175438596491229,bolig
Kristendemokraterne,Venstre,65,466,253.0,0.5429184549356223,bolig
Radikale Venstre,Radikale Venstre,65,37,37.0,1.0,bolig
Radikale Venstre,Socialdemokratiet,65,469,436.0,0.929637526652452,bolig
Radikale Venstre,Socialistisk Folkeparti,65,158,95.0,0.6012658227848101,bolig
Radikale Venstre,Venstre,65,630,271.0,0.4301587301587302,bolig
Socialdemokratiet,Socialdemokratiet,65,906,906.0,1.0,bolig
Socialdemokratiet,Socialistisk Folkeparti,65,657,470.0,0.715372907153729,bolig
Socialdemokratiet,Venstre,65,2690,1267.0,0.47100371747211894,bolig
Socialistisk Folkeparti,Socialistisk Folkeparti,65,86,86.0,1.0,bolig
Socialistisk Folkeparti,Venstre,65,888,294.0,0.3310810810810811,bolig
Venstre,Venstre,65,1719,1719.0,1.0,bolig
Dansk Folkeparti,Dansk Folkeparti,66,13662,13650.0,0.9991216512955643,bolig
Dansk Folkeparti,Det Konservative Folkeparti,66,20337,18841.0,0.9264394945173821,bolig
Dansk Folkeparti,Enhedslisten,66,2366,641.0,0.2709213863060017,bolig
Dansk Folkeparti,Radikale Venstre,66,7570,5197.0,0.6865257595772787,bolig
Dansk Folkeparti,Siumut,66,15,0.0,0.0,bolig
Dansk Folkeparti,Socialdemokratiet,66,19877,11473.0,0.5771997786386276,bolig
Dansk Folkeparti,Socialistisk Folkeparti,66,14566,6782.0,0.46560483317314294,bolig
Dansk Folkeparti,Tjóðveldi,66,30,0.0,0.0,bolig
Dansk Folkeparti,Uden for Folketingsgrupperne,66,199,123.0,0.6180904522613065,bolig
Dansk Folkeparti,Venstre,66,37628,34883.0,0.9270490060593175,bolig
Det Konservative Folkeparti,Det Konservative Folkeparti,66,6431,6431.0,1.0,bolig
Det Konservative Folkeparti,Enhedslisten,66,1698,438.0,0.2579505300353357,bolig
Det Konservative Folkeparti,Radikale Venstre,66,5242,3909.0,0.7457077451354445,bolig
Det Konservative Folkeparti,Siumut,66,13,0.0,0.0,bolig
Det Konservative Folkeparti,Socialdemokratiet,66,13850,9058.0,0.6540072202166065,bolig
Det Konservative Folkeparti,Socialistisk Folkeparti,66,10152,5162.0,0.5084712371946415,bolig
Det Konservative Folkeparti,Tjóðveldi,66,23,0.0,0.0,bolig
Det Konservative Folkeparti,Uden for Folketingsgrupperne,66,146,146.0,1.0,bolig
Det Konservative Folkeparti,Venstre,66,26111,26102.0,0.999655317682203,bolig
Enhedslisten,Enhedslisten,66,55,55.0,1.0,bolig
Enhedslisten,Radikale Venstre,66,615,272.0,0.44227642276422763,bolig
Enhedslisten,Siumut,66,1,1.0,1.0,bolig
Enhedslisten,Socialdemokratiet,66,1521,847.0,0.556870479947403,bolig
Enhedslisten,Socialistisk Folkeparti,66,1194,839.0,0.7026800670016751,bolig
Enhedslisten,Tjóðveldi,66,3,3.0,1.0,bolig
Enhedslisten,Uden for Folketingsgrupperne,66,10,4.0,0.4,bolig
Enhedslisten,Venstre,66,3111,802.0,0.2577949212471874,bolig
Radikale Venstre,Radikale Venstre,66,786,776.0,0.9872773536895675,bolig
Radikale Venstre,Siumut,66,4,0.0,0.0,bolig
Radikale Venstre,Socialdemokratiet,66,5200,3955.0,0.760576923076923,bolig
Radikale Venstre,Socialistisk Folkeparti,66,3765,2559.0,0.6796812749003984,bolig
Radikale Venstre,Tjóðveldi,66,9,5.0,0.5555555555555556,bolig
Radikale Venstre,Uden for Folketingsgrupperne,66,58,43.0,0.7413793103448276,bolig
Radikale Venstre,Venstre,66,9702,7137.0,0.735621521335807,bolig
Siumut,Socialdemokratiet,66,9,0.0,0.0,bolig
Siumut,Socialistisk Folkeparti,66,8,7.0,0.875,bolig
Siumut,Tjóðveldi,66,1,1.0,1.0,bolig
Siumut,Venstre,66,15,0.0,0.0,bolig
Socialdemokratiet,Socialdemokratiet,66,6504,6471.0,0.9949261992619927,bolig
Socialdemokratiet,Socialistisk Folkeparti,66,9977,8299.0,0.8318131702916708,bolig
Socialdemokratiet,Tjóðveldi,66,20,11.0,0.55,bolig
Socialdemokratiet,Uden for Folketingsgrupperne,66,189,130.0,0.6878306878306878,bolig
Socialdemokratiet,Venstre,66,25449,16456.0,0.6466265865063461,bolig
Socialistisk Folkeparti,Socialistisk Folkeparti,66,3176,2993.0,0.9423803526448362,bolig
Socialistisk Folkeparti,Tjóðveldi,66,15,14.0,0.9333333333333333,bolig
Socialistisk Folkeparti,Uden for Folketingsgrupperne,66,123,62.0,0.5040650406504065,bolig
Socialistisk Folkeparti,Venstre,66,18727,9362.0,0.4999199017461419,bolig
Tjóðveldi,Venstre,66,32,0.0,0.0,bolig
Uden for Folketingsgrupperne,Venstre,66,263,263.0,1.0,bolig
Venstre,Venstre,66,23106,23091.0,0.9993508179693587,bolig
Dansk Folkeparti,Dansk Folkeparti,67,19161,19161.0,1.0,bolig
Dansk Folkeparti,Det Konservative Folkeparti,67,25317,23596.0,0.9320219615278271,bolig
Dansk Folkeparti,Enhedslisten,67,4615,1550.0,0.3358613217768147,bolig
Dansk Folkeparti,Liberal Alliance,67,2377,1935.0,0.8140513251998317,bolig
Dansk Folkeparti,Radikale Venstre,67,10356,5951.0,0.574642719196601,bolig
Dansk Folkeparti,Sambandsflokkurin,67,100,72.0,0.72,bolig
Dansk Folkeparti,Siumut,67,64,48.0,0.75,bolig
Dansk Folkeparti,Socialdemokratiet,67,59925,30540.0,0.5096370463078849,bolig
Dansk Folkeparti,Socialistisk Folkeparti,67,29254,13816.0,0.47227729541259317,bolig
Dansk Folkeparti,Uden for Folketingsgrupperne,67,1048,719.0,0.6860687022900763,bolig
Dansk Folkeparti,Venstre,67,67939,63527.0,0.9350593915129749,bolig
Det Konservative Folkeparti,Det Konservative Folkeparti,67,7155,7155.0,1.0,bolig
Det Konservative Folkeparti,Enhedslisten,67,2855,994.0,0.3481611208406305,bolig
Det Konservative Folkeparti,Liberal Alliance,67,1476,1314.0,0.8902439024390244,bolig
Det Konservative Folkeparti,Radikale Venstre,67,6433,4006.0,0.6227265661433234,bolig
Det Konservative Folkeparti,Sambandsflokkurin,67,54,54.0,1.0,bolig
Det Konservative Folkeparti,Siumut,67,37,37.0,1.0,bolig
Det Konservative Folkeparti,Socialdemokratiet,67,37191,21253.0,0.5714554596542174,bolig
Det Konservative Folkeparti,Socialistisk Folkeparti,67,18167,9161.0,0.5042659767710684,bolig
Det Konservative Folkeparti,Uden for Folketingsgrupperne,67,653,504.0,0.7718223583460949,bolig
Det Konservative Folkeparti,Venstre,67,42143,42143.0,1.0,bolig
Enhedslisten,Enhedslisten,67,126,126.0,1.0,bolig
Enhedslisten,Liberal Alliance,67,265,111.0,0.4188679245283019,bolig
Enhedslisten,Radikale Venstre,67,1169,796.0,0.6809238665526091,bolig
Enhedslisten,Sambandsflokkurin,67,13,4.0,0.3076923076923077,bolig
Enhedslisten,Siumut,67,5,2.0,0.4,bolig
Enhedslisten,Socialdemokratiet,67,6779,4926.0,0.7266558489452721,bolig
Enhedslisten,Socialistisk Folkeparti,67,3291,2522.0,0.7663324217563051,bolig
Enhedslisten,Uden for Folketingsgrupperne,67,117,52.0,0.4444444444444444,bolig
Enhedslisten,Venstre,67,7673,2622.0,0.34171771145575397,bolig
Liberal Alliance,Liberal Alliance,67,1,1.0,1.0,bolig
Liberal Alliance,Radikale Venstre,67,612,397.0,0.6486928104575164,bolig
Liberal Alliance,Sambandsflokkurin,67,7,7.0,1.0,bolig
Liberal Alliance,Siumut,67,4,4.0,1.0,bolig
Liberal Alliance,Socialdemokratiet,67,3478,2163.0,0.621909143185739,bolig
Liberal Alliance,Socialistisk Folkeparti,67,1716,969.0,0.5646853146853147,bolig
Liberal Alliance,Uden for Folketingsgrupperne,67,61,52.0,0.8524590163934426,bolig
Liberal Alliance,Venstre,67,3938,3478.0,0.8831894362620619,bolig
Radikale Venstre,Radikale Venstre,67,1054,1044.0,0.9905123339658444,bolig
Radikale Venstre,Sambandsflokkurin,67,22,16.0,0.7272727272727273,bolig
Radikale Venstre,Siumut,67,16,13.0,0.8125,bolig
Radikale Venstre,Socialdemokratiet,67,15194,12649.0,0.8324996709227327,bolig
Radikale Venstre,Socialistisk Folkeparti,67,7484,6073.0,0.8114644575093533,bolig
Radikale Venstre,Uden for Folketingsgrupperne,67,250,174.0,0.696,bolig
Radikale Venstre,Venstre,67,17129,10562.0,0.6166150972035729,bolig
Sambandsflokkurin,Socialdemokratiet,67,146,146.0,1.0,bolig
Sambandsflokkurin,Socialistisk Folkeparti,67,71,42.0,0.5915492957746479,bolig
Sambandsflokkurin,Venstre,67,149,149.0,1.0,bolig
Siumut,Socialdemokratiet,67,95,95.0,1.0,bolig
Siumut,Socialistisk Folkeparti,67,50,49.0,0.98,bolig
Siumut,Uden for Folketingsgrupperne,67,5,3.0,0.6,bolig
Siumut,Venstre,67,117,117.0,1.0,bolig
Socialdemokratiet,Socialdemokratiet,67,42125,42100.0,0.9994065281899109,bolig
Socialdemokratiet,Socialistisk Folkeparti,67,42935,40530.0,0.9439850937463607,bolig
Socialdemokratiet,Uden for Folketingsgrupperne,67,1534,1003.0,0.6538461538461539,bolig
Socialdemokratiet,Venstre,67,99605,56199.0,0.5642186637217007,bolig
Socialistisk Folkeparti,Socialistisk Folkeparti,67,9705,9648.0,0.9941267387944358,bolig
Socialistisk Folkeparti,Uden for Folketingsgrupperne,67,760,453.0,0.5960526315789474,bolig
Socialistisk Folkeparti,Venstre,67,48598,24292.0,0.49985596115066466,bolig
Uden for Folketingsgrupperne,Uden for Folketingsgrupperne,67,12,7.0,0.5833333333333334,bolig
Uden for Folketingsgrupperne,Venstre,67,1739,1320.0,0.7590569292696953,bolig
Venstre,Venstre,67,54628,54628.0,1.0,bolig
Alternativet,Dansk Folkeparti,68,173,115.0,0.6647398843930635,bolig
Alternativet,Det Konservative Folkeparti,68,18,13.0,0.7222222222222222,bolig
Alternativet,Enhedslisten,68,72,51.0,0.7083333333333334,bolig
Alternativet,Liberal Alliance,68,65,20.0,0.3076923076923077,bolig
Alternativet,Radikale Venstre,68,72,46.0,0.6388888888888888,bolig
Alternativet,Sambandsflokkurin,68,2,1.0,0.5,bolig
Alternativet,Socialdemokratiet,68,300,202.0,0.6733333333333333,bolig
Alternativet,Socialistisk Folkeparti,68,34,31.0,0.9117647058823529,bolig
Alternativet,Venstre,68,254,172.0,0.6771653543307087,bolig
Dansk Folkeparti,Dansk Folkeparti,68,11889,11869.0,0.998317772731096,bolig
Dansk Folkeparti,Det Konservative Folkeparti,68,8621,6590.0,0.7644124811506786,bolig
Dansk Folkeparti,Enhedslisten,68,15630,6703.0,0.4288547664747281,bolig
Dansk Folkeparti,Liberal Alliance,68,10686,6939.0,0.6493542953396968,bolig
Dansk Folkeparti,Radikale Venstre,68,19261,10369.0,0.5383417268054618,bolig
Dansk Folkeparti,Sambandsflokkurin,68,48,48.0,1.0,bolig
Dansk Folkeparti,Socialdemokratiet,68,46488,26034.0,0.5600154878678368,bolig
Dansk Folkeparti,Socialistisk Folkeparti,68,15244,7551.0,0.4953424298084492,bolig
Dansk Folkeparti,Uden for Folketingsgrupperne,68,775,433.0,0.5587096774193548,bolig
Dansk Folkeparti,Venstre,68,48913,34781.0,0.7110788542923149,bolig
Det Konservative Folkeparti,Det Konservative Folkeparti,68,1311,1311.0,1.0,bolig
Det Konservative Folkeparti,Enhedslisten,68,5607,2702.0,0.4818976279650437,bolig
Det Konservative Folkeparti,Liberal Alliance,68,3676,2602.0,0.7078346028291621,bolig
Det Konservative Folkeparti,Radikale Venstre,68,7123,4812.0,0.6755580513828443,bolig
Det Konservative Folkeparti,Sambandsflokkurin,68,13,13.0,1.0,bolig
Det Konservative Folkeparti,Socialdemokratiet,68,15958,10931.0,0.6849855871663115,bolig
Det Konservative Folkeparti,Socialistisk Folkeparti,68,5947,3791.0,0.637464267697999,bolig
Det Konservative Folkeparti,Uden for Folketingsgrupperne,68,213,141.0,0.6619718309859155,bolig
Det Konservative Folkeparti,Venstre,68,17387,15452.0,0.8887099557140392,bolig
Enhedslisten,Enhedslisten,68,4283,4283.0,1.0,bolig
Enhedslisten,Liberal Alliance,68,6585,2494.0,0.37873955960516326,bolig
Enhedslisten,Radikale Venstre,68,12351,9408.0,0.7617196988098129,bolig
Enhedslisten,Sambandsflokkurin,68,24,19.0,0.7916666666666666,bolig
Enhedslisten,Socialdemokratiet,68,28525,21511.0,0.7541104294478528,bolig
Enhedslisten,Socialistisk Folkeparti,68,10117,8029.0,0.7936147079173668,bolig
Enhedslisten,Uden for Folketingsgrupperne,68,423,361.0,0.8534278959810875,bolig
Enhedslisten,Venstre,68,30726,15588.0,0.5073227885178676,bolig
Liberal Alliance,Liberal Alliance,68,1775,1772.0,0.9983098591549295,bolig
Liberal Alliance,Radikale Venstre,68,8160,4030.0,0.49387254901960786,bolig
Liberal Alliance,Sambandsflokkurin,68,21,10.0,0.47619047619047616,bolig
Liberal Alliance,Socialdemokratiet,68,19344,9617.0,0.497156741108354,bolig
Liberal Alliance,Socialistisk Folkeparti,68,6546,3095.0,0.47280782157042467,bolig
Liberal Alliance,Uden for Folketingsgrupperne,68,307,136.0,0.44299674267100975,bolig
Liberal Alliance,Venstre,68,20566,14320.0,0.696294855586891,bolig
Radikale Venstre,Radikale Venstre,68,7018,7018.0,1.0,bolig
Radikale Venstre,Sambandsflokkurin,68,32,32.0,1.0,bolig
Radikale Venstre,Socialdemokratiet,68,35464,35452.0,0.9996616286938868,bolig
Radikale Venstre,Socialistisk Folkeparti,68,12915,12657.0,0.9800232288037166,bolig
Radikale Venstre,Uden for Folketingsgrupperne,68,480,423.0,0.88125,bolig
Radikale Venstre,Venstre,68,38339,27505.0,0.7174156863767964,bolig
Sambandsflokkurin,Socialdemokratiet,68,83,83.0,1.0,bolig
Sambandsflokkurin,Socialistisk Folkeparti,68,18,17.0,0.9444444444444444,bolig
Sambandsflokkurin,Venstre,68,83,83.0,1.0,bolig
Socialdemokratiet,Socialdemokratiet,68,40408,40386.0,0.9994555533557712,bolig
Socialdemokratiet,Socialistisk Folkeparti,68,28325,27599.0,0.9743689320388349,bolig
Socialdemokratiet,Uden for Folketingsgrupperne,68,1267,1082.0,0.8539857932123125,bolig
Socialdemokratiet,Venstre,68,89204,64439.0,0.7223779202726335,bolig
Socialistisk Folkeparti,Socialistisk Folkeparti,68,4919,4900.0,0.9961374263061598,bolig
Socialistisk Folkeparti,Uden for Folketingsgrupperne,68,333,308.0,0.924924924924925,bolig
Socialistisk Folkeparti,Venstre,68,31245,21143.0,0.6766842694831173,bolig
Uden for Folketingsgrupperne,Venstre,68,1336,780.0,0.5838323353293413,bolig
Venstre,Venstre,68,46100,45950.0,0.9967462039045553,bolig
Alternativet,Alternativet,69,2535,2535.0,1.0,bolig
Alternativet,Dansk Folkeparti,69,22387,8793.0,0.3927725912359852,bolig
Alternativet,Det Konservative Folkeparti,69,4212,1834.0,0.43542260208926875,bolig
Alternativet,Enhedslisten,69,9680,7795.0,0.8052685950413223,bolig
Alternativet,Liberal Alliance,69,7430,3170.0,0.4266487213997308,bolig
Alternativet,Radikale Venstre,69,4502,3368.0,0.7481119502443359,bolig
Alternativet,Socialdemokratiet,69,23143,12166.0,0.5256881130363393,bolig
Alternativet,Socialistisk Folkeparti,69,3424,2793.0,0.8157126168224299,bolig
Alternativet,Venstre,69,18628,8246.0,0.4426669529740176,bolig
Dansk Folkeparti,Dansk Folkeparti,69,39377,39356.0,0.9994666937552378,bolig
Dansk Folkeparti,Det Konservative Folkeparti,69,15896,13201.0,0.8304604932058379,bolig
Dansk Folkeparti,Enhedslisten,69,36323,12513.0,0.34449247033560004,bolig
Dansk Folkeparti,Liberal Alliance,69,27144,21614.0,0.7962717359269084,bolig
Dansk Folkeparti,Radikale Venstre,69,16966,8632.0,0.5087822704231993,bolig
Dansk Folkeparti,Socialdemokratiet,69,87108,60478.0,0.6942875510860081,bolig
Dansk Folkeparti,Socialistisk Folkeparti,69,12900,6154.0,0.4770542635658915,bolig
Dansk Folkeparti,Venstre,69,70005,57734.0,0.8247125205342476,bolig
Det Konservative Folkeparti,Det Konservative Folkeparti,69,1227,1227.0,1.0,bolig
Det Konservative Folkeparti,Enhedslisten,69,7254,2051.0,0.2827405569341053,bolig
Det Konservative Folkeparti,Liberal Alliance,69,5109,5002.0,0.9790565668428264,bolig
Det Konservative Folkeparti,Radikale Venstre,69,3464,2133.0,0.6157621247113164,bolig
Det Konservative Folkeparti,Socialdemokratiet,69,17417,13935.0,0.8000803812367228,bolig
Det Konservative Folkeparti,Socialistisk Folkeparti,69,2561,1144.0,0.4467005076142132,bolig
Det Konservative Folkeparti,Venstre,69,13975,13831.0,0.989695885509839,bolig
Enhedslisten,Enhedslisten,69,7264,7264.0,1.0,bolig
Enhedslisten,Liberal Alliance,69,11718,3428.0,0.2925413893155829,bolig
Enhedslisten,Radikale Venstre,69,7781,4713.0,0.6057062074283511,bolig
Enhedslisten,Socialdemokratiet,69,39394,14877.0,0.37764634208255066,bolig
Enhedslisten,Socialistisk Folkeparti,69,5799,4627.0,0.7978961889981031,bolig
Enhedslisten,Venstre,69,31749,9143.0,0.28797757409682195,bolig
Liberal Alliance,Liberal Alliance,69,3919,3900.0,0.9951518244450115,bolig
Liberal Alliance,Radikale Venstre,69,5367,3327.0,0.6198993851313583,bolig
Liberal Alliance,Socialdemokratiet,69,27849,21960.0,0.7885381880857482,bolig
Liberal Alliance,Socialistisk Folkeparti,69,4137,1719.0,0.41551849166062366,bolig
Liberal Alliance,Venstre,69,22311,21798.0,0.9770068576038725,bolig
Radikale Venstre,Radikale Venstre,69,1500,1484.0,0.9893333333333333,bolig
Radikale Venstre,Socialdemokratiet,69,18872,13787.0,0.7305532005086901,bolig
Radikale Venstre,Socialistisk Folkeparti,69,2716,2009.0,0.7396907216494846,bolig
Radikale Venstre,Venstre,69,15270,9700.0,0.6352324819908317,bolig
Socialdemokratiet,Socialdemokratiet,69,45533,45479.0,0.9988140469549558,bolig
Socialdemokratiet,Socialistisk Folkeparti,69,13968,7444.0,0.5329324169530355,bolig
Socialdemokratiet,Venstre,69,77049,62013.0,0.8048514581629872,bolig
Socialistisk Folkeparti,Socialistisk Folkeparti,69,725,725.0,1.0,bolig
Socialistisk Folkeparti,Venstre,69,11241,5047.0,0.4489814073481007,bolig
Venstre,Venstre,69,29506,29506.0,1.0,bolig
Alternativet,Alternativet,70,93,93.0,1.0,bolig
Alternativet,Danmarksdemokraterne,70,4,4.0,1.0,bolig
Alternativet,Dansk Folkeparti,70,1360,471.0,0.3463235294117647,bolig
Alternativet,Det Konservative Folkeparti,70,1046,501.0,0.4789674952198853,bolig
Alternativet,Enhedslisten,70,1391,1181.0,0.8490294751976994,bolig
Alternativet,Frie Grønne,70,85,63.0,0.7411764705882353,bolig
Alternativet,Kristendemokraterne,70,13,9.0,0.6923076923076923,bolig
Alternativet,Liberal Alliance,70,178,73.0,0.4101123595505618,bolig
Alternativet,Nye Borgerlige,70,305,77.0,0.25245901639344265,bolig
Alternativet,Radikale Venstre,70,1548,1220.0,0.7881136950904393,bolig
Alternativet,Sambandsflokkurin,70,3,0.0,0.0,bolig
Alternativet,Socialdemokratiet,70,3599,2176.0,0.6046123923312031,bolig
Alternativet,Socialistisk Folkeparti,70,1411,1245.0,0.8823529411764706,bolig
Alternativet,Uden for Folketingsgrupperne,70,213,132.0,0.6197183098591549,bolig
Alternativet,Venstre,70,3678,1601.0,0.4352909189777053,bolig
Danmarksdemokraterne,Danmarksdemokraterne,70,12,12.0,1.0,bolig
Danmarksdemokraterne,Dansk Folkeparti,70,24,12.0,0.5,bolig
Danmarksdemokraterne,Det Konservative Folkeparti,70,48,48.0,1.0,bolig
Danmarksdemokraterne,Enhedslisten,70,60,32.0,0.5333333333333333,bolig
Danmarksdemokraterne,Frie Grønne,70,8,0.0,0.0,bolig
Danmarksdemokraterne,Liberal Alliance,70,4,4.0,1.0,bolig
Danmarksdemokraterne,Nye Borgerlige,70,12,8.0,0.6666666666666666,bolig
Danmarksdemokraterne,Radikale Venstre,70,56,28.0,0.5,bolig
Danmarksdemokraterne,Socialdemokratiet,70,160,80.0,0.5,bolig
Danmarksdemokraterne,Socialistisk Folkeparti,70,56,28.0,0.5,bolig
Danmarksdemokraterne,Uden for Folketingsgrupperne,70,20,16.0,0.8,bolig
Danmarksdemokraterne,Venstre,70,132,132.0,1.0,bolig
Dansk Folkeparti,Dansk Folkeparti,70,3061,3051.0,0.9967330937602091,bolig
Dansk Folkeparti,Det Konservative Folkeparti,70,5518,4101.0,0.7432040594418268,bolig
Dansk Folkeparti,Enhedslisten,70,7319,3206.0,0.43803798333105615,bolig
Dansk Folkeparti,Frie Grønne,70,534,179.0,0.3352059925093633,bolig
Dansk Folkeparti,Kristendemokraterne,70,166,108.0,0.6506024096385542,bolig
Dansk Folkeparti,Liberal Alliance,70,881,581.0,0.659477866061294,bolig
Dansk Folkeparti,Nye Borgerlige,70,1686,1022.0,0.6061684460260973,bolig
Dansk Folkeparti,Radikale Venstre,70,7855,3947.0,0.5024824952259708,bolig
Dansk Folkeparti,Sambandsflokkurin,70,19,9.0,0.47368421052631576,bolig
Dansk Folkeparti,Socialdemokratiet,70,19269,12272.0,0.6368778867611189,bolig
Dansk Folkeparti,Socialistisk Folkeparti,70,7508,3594.0,0.4786893979754928,bolig
Dansk Folkeparti,Uden for Folketingsgrupperne,70,1431,925.0,0.6464011180992313,bolig
Dansk Folkeparti,Venstre,70,19429,14839.0,0.7637552112821041,bolig
Det Konservative Folkeparti,Det Konservative Folkeparti,70,2037,2032.0,0.997545409916544,bolig
Det Konservative Folkeparti,Enhedslisten,70,6108,2841.0,0.46512770137524556,bolig
Det Konservative Folkeparti,Frie Grønne,70,620,233.0,0.3758064516129032,bolig
Det Konservative Folkeparti,Kristendemokraterne,70,135,82.0,0.6074074074074074,bolig
Det Konservative Folkeparti,Liberal Alliance,70,743,607.0,0.8169582772543742,bolig
Det Konservative Folkeparti,Nye Borgerlige,70,1360,853.0,0.6272058823529412,bolig
Det Konservative Folkeparti,Radikale Venstre,70,6821,4029.0,0.5906758539803548,bolig
Det Konservative Folkeparti,Sambandsflokkurin,70,20,20.0,1.0,bolig
Det Konservative Folkeparti,Socialdemokratiet,70,16209,10791.0,0.665741254858412,bolig
Det Konservative Folkeparti,Socialistisk Folkeparti,70,6509,3263.0,0.5013058841603933,bolig
Det Konservative Folkeparti,Uden for Folketingsgrupperne,70,1637,954.0,0.5827733659132559,bolig
Det Konservative Folkeparti,Venstre,70,16308,15147.0,0.9288079470198676,bolig
Enhedslisten,Enhedslisten,70,3406,3399.0,0.9979448032883147,bolig
Enhedslisten,Frie Grønne,70,707,566.0,0.8005657708628006,bolig
Enhedslisten,Kristendemokraterne,70,163,84.0,0.5153374233128835,bolig
Enhedslisten,Liberal Alliance,70,957,341.0,0.3563218390804598,bolig
Enhedslisten,Nye Borgerlige,70,1753,413.0,0.23559612093553908,bolig
Enhedslisten,Radikale Venstre,70,8697,6608.0,0.7598022306542486,bolig
Enhedslisten,Sambandsflokkurin,70,24,16.0,0.6666666666666666,bolig
Enhedslisten,Socialdemokratiet,70,20834,13407.0,0.6435154075069598,bolig
