source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,4833,4833.0,1.0,erhverv
Dansk Folkeparti,Det Konservative Folkeparti,65,5597,5357.0,0.9571198856530284,erhverv
Dansk Folkeparti,Enhedslisten,65,742,217.0,0.29245283018867924,erhverv
Dansk Folkeparti,Kristendemokraterne,65,1410,785.0,0.5567375886524822,erhverv
Dansk Folkeparti,Radikale Venstre,65,2922,1735.0,0.5937713894592744,erhverv
Dansk Folkeparti,Socialdemokratiet,65,23554,12393.0,0.52615267045937,erhverv
Dansk Folkeparti,Socialistisk Folkeparti,65,4822,2331.0,0.48340937370385734,erhverv
Dansk Folkeparti,Venstre,65,26395,25285.0,0.9579465807918166,erhverv
Det Konservative Folkeparti,Det Konservative Folkeparti,65,1377,1377.0,1.0,erhverv
Det Konservative Folkeparti,Enhedslisten,65,403,132.0,0.32754342431761785,erhverv
Det Konservative Folkeparti,Kristendemokraterne,65,766,464.0,0.6057441253263708,erhverv
Det Konservative Folkeparti,Radikale Venstre,65,1592,1021.0,0.6413316582914573,erhverv
Det Konservative Folkeparti,Socialdemokratiet,65,12735,7177.0,0.5635649784059678,erhverv
Det Konservative Folkeparti,Socialistisk Folkeparti,65,2565,1297.0,0.5056530214424951,erhverv
Det Konservative Folkeparti,Venstre,65,14323,14313.0,0.9993018222439433,erhverv
Enhedslisten,Enhedslisten,65,2,2.0,1.0,erhverv
Enhedslisten,Kristendemokraterne,65,101,66.0,0.6534653465346535,erhverv
Enhedslisten,Radikale Venstre,65,210,123.0,0.5857142857142857,erhverv
Enhedslisten,Socialdemokratiet,65,1684,1217.0,0.7226840855106889,erhverv
Enhedslisten,Socialistisk Folkeparti,65,347,284.0,0.8184438040345822,erhverv
Enhedslisten,Venstre,65,1890,630.0,0.3333333333333333,erhverv
Kristendemokraterne,Kristendemokraterne,65,48,47.0,0.9791666666666666,erhverv
Kristendemokraterne,Radikale Venstre,65,399,317.0,0.7944862155388471,erhverv
Kristendemokraterne,Socialdemokratiet,65,3210,2594.0,0.8080996884735202,erhverv
Kristendemokraterne,Socialistisk Folkeparti,65,656,478.0,0.7286585365853658,erhverv
Kristendemokraterne,Venstre,65,3598,2164.0,0.6014452473596442,erhverv
Radikale Venstre,Radikale Venstre,65,319,319.0,1.0,erhverv
Radikale Venstre,Socialdemokratiet,65,6646,5887.0,0.8857959674992477,erhverv
Radikale Venstre,Socialistisk Folkeparti,65,1363,1056.0,0.7747615553925165,erhverv
