source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,90,89.0,0.9888888888888889,finans_budget
Danmarksdemokraterne,Dansk Folkeparti,65,4238,4196.0,0.9900896649362907,finans_budget
Danmarksdemokraterne,Det Konservative Folkeparti,65,2098,2091.0,0.9966634890371783,finans_budget
Danmarksdemokraterne,Enhedslisten,65,299,90.0,0.3010033444816054,finans_budget
Danmarksdemokraterne,Inuit Ataqatigiit,65,19,2.0,0.10526315789473684,finans_budget
Danmarksdemokraterne,Kristendemokraterne,65,588,263.0,0.44727891156462585,finans_budget
Danmarksdemokraterne,Radikale Venstre,65,1421,588.0,0.41379310344827586,finans_budget
Danmarksdemokraterne,Socialdemokratiet,65,9665,2982.0,0.30853595447490945,finans_budget
Danmarksdemokraterne,Socialistisk Folkeparti,65,2056,584.0,0.2840466926070039,finans_budget
Danmarksdemokraterne,Tjóðveldi,65,16,0.0,0.0,finans_budget
Danmarksdemokraterne,Venstre,65,10279,10241.0,0.9963031423290203,finans_budget
Dansk Folkeparti,Dansk Folkeparti,65,20222,20196.0,0.998714271585402,finans_budget
Dansk Folkeparti,Det Konservative Folkeparti,65,21258,20971.0,0.9864992003010631,finans_budget
Dansk Folkeparti,Enhedslisten,65,3021,813.0,0.26911618669314796,finans_budget
Dansk Folkeparti,Inuit Ataqatigiit,65,155,14.0,0.09032258064516129,finans_budget
Dansk Folkeparti,Kristendemokraterne,65,5964,2761.0,0.4629443326626425,finans_budget
Dansk Folkeparti,Radikale Venstre,65,14489,5659.0,0.39057215818897095,finans_budget
Dansk Folkeparti,Socialdemokratiet,65,97944,28096.0,0.28685779629175856,finans_budget
Dansk Folkeparti,Socialistisk Folkeparti,65,20816,5216.0,0.25057647963105306,finans_budget
Dansk Folkeparti,Tjóðveldi,65,128,0.0,0.0,finans_budget
Dansk Folkeparti,Venstre,65,104000,102536.0,0.9859230769230769,finans_budget
Det Konservative Folkeparti,Det Konservative Folkeparti,65,4527,4527.0,1.0,finans_budget
Det Konservative Folkeparti,Enhedslisten,65,1493,408.0,0.2732752846617549,finans_budget
Det Konservative Folkeparti,Inuit Ataqatigiit,65,81,7.0,0.08641975308641975,finans_budget
Det Konservative Folkeparti,Kristendemokraterne,65,2925,1411.0,0.4823931623931624,finans_budget
Det Konservative Folkeparti,Radikale Venstre,65,7086,2937.0,0.4144792548687553,finans_budget
Det Konservative Folkeparti,Socialdemokratiet,65,48022,14866.0,0.30956644871100747,finans_budget
Det Konservative Folkeparti,Socialistisk Folkeparti,65,10214,2760.0,0.27021734873702763,finans_budget
Det Konservative Folkeparti,Tjóðveldi,65,63,0.0,0.0,finans_budget
Det Konservative Folkeparti,Venstre,65,51017,51000.0,0.9996667777407531,finans_budget
Enhedslisten,Enhedslisten,65,3,3.0,1.0,finans_budget
Enhedslisten,Inuit Ataqatigiit,65,12,11.0,0.9166666666666666,finans_budget
Enhedslisten,Kristendemokraterne,65,416,215.0,0.5168269230769231,finans_budget
Enhedslisten,Radikale Venstre,65,1008,603.0,0.5982142857142857,finans_budget
