source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,551,551.0,1.0,forsvar_sikkerhed
Dansk Folkeparti,Det Konservative Folkeparti,65,829,829.0,1.0,forsvar_sikkerhed
Dansk Folkeparti,Enhedslisten,65,146,9.0,0.06164383561643835,forsvar_sikkerhed
Dansk Folkeparti,Kristendemokraterne,65,262,206.0,0.7862595419847328,forsvar_sikkerhed
Dansk Folkeparti,Radikale Venstre,65,386,324.0,0.8393782383419689,forsvar_sikkerhed
Dansk Folkeparti,Socialdemokratiet,65,1541,1327.0,0.8611291369240752,forsvar_sikkerhed
Dansk Folkeparti,Socialistisk Folkeparti,65,614,262.0,0.42671009771986973,forsvar_sikkerhed
Dansk Folkeparti,Venstre,65,2018,2018.0,1.0,forsvar_sikkerhed
Det Konservative Folkeparti,Det Konservative Folkeparti,65,245,245.0,1.0,forsvar_sikkerhed
Det Konservative Folkeparti,Enhedslisten,65,113,6.0,0.05309734513274336,forsvar_sikkerhed
Det Konservative Folkeparti,Kristendemokraterne,65,178,136.0,0.7640449438202247,forsvar_sikkerhed
Det Konservative Folkeparti,Radikale Venstre,65,259,221.0,0.8532818532818532,forsvar_sikkerhed
Det Konservative Folkeparti,Socialdemokratiet,65,1042,908.0,0.8714011516314779,forsvar_sikkerhed
Det Konservative Folkeparti,Socialistisk Folkeparti,65,432,160.0,0.37037037037037035,forsvar_sikkerhed
Det Konservative Folkeparti,Venstre,65,1341,1341.0,1.0,forsvar_sikkerhed
Enhedslisten,Enhedslisten,65,9,9.0,1.0,forsvar_sikkerhed
Enhedslisten,Kristendemokraterne,65,32,16.0,0.5,forsvar_sikkerhed
Enhedslisten,Radikale Venstre,65,47,14.0,0.2978723404255319,forsvar_sikkerhed
Enhedslisten,Socialdemokratiet,65,180,52.0,0.28888888888888886,forsvar_sikkerhed
Enhedslisten,Socialistisk Folkeparti,65,85,77.0,0.9058823529411765,forsvar_sikkerhed
Enhedslisten,Venstre,65,222,18.0,0.08108108108108109,forsvar_sikkerhed
Kristendemokraterne,Kristendemokraterne,65,14,14.0,1.0,forsvar_sikkerhed
Kristendemokraterne,Radikale Venstre,65,82,76.0,0.926829268292683,forsvar_sikkerhed
Kristendemokraterne,Socialdemokratiet,65,328,302.0,0.9207317073170732,forsvar_sikkerhed
Kristendemokraterne,Socialistisk Folkeparti,65,132,84.0,0.6363636363636364,forsvar_sikkerhed
Kristendemokraterne,Venstre,65,428,350.0,0.8177570093457944,forsvar_sikkerhed
Radikale Venstre,Radikale Venstre,65,42,42.0,1.0,forsvar_sikkerhed
Radikale Venstre,Socialdemokratiet,65,485,482.0,0.9938144329896907,forsvar_sikkerhed
Radikale Venstre,Socialistisk Folkeparti,65,194,101.0,0.520618556701031,forsvar_sikkerhed
Radikale Venstre,Venstre,65,628,540.0,0.8598726114649682,forsvar_sikkerhed
Socialdemokratiet,Socialdemokratiet,65,895,885.0,0.9888268156424581,forsvar_sikkerhed
Socialdemokratiet,Socialistisk Folkeparti,65,782,412.0,0.5268542199488491,forsvar_sikkerhed
Socialdemokratiet,Venstre,65,2541,2241.0,0.8819362455726092,forsvar_sikkerhed
Socialistisk Folkeparti,Socialistisk Folkeparti,65,135,135.0,1.0,forsvar_sikkerhed
Socialistisk Folkeparti,Venstre,65,994,464.0,0.46680080482897385,forsvar_sikkerhed
Venstre,Venstre,65,1575,1575.0,1.0,forsvar_sikkerhed
Dansk Folkeparti,Dansk Folkeparti,66,12046,12021.0,0.9979246222812552,forsvar_sikkerhed
Dansk Folkeparti,Det Konservative Folkeparti,66,18819,17547.0,0.9324087358520644,forsvar_sikkerhed
Dansk Folkeparti,Enhedslisten,66,2370,742.0,0.3130801687763713,forsvar_sikkerhed
Dansk Folkeparti,Liberal Alliance,66,50,28.0,0.56,forsvar_sikkerhed
Dansk Folkeparti,Radikale Venstre,66,6755,4557.0,0.6746113989637306,forsvar_sikkerhed
Dansk Folkeparti,Siumut,66,95,25.0,0.2631578947368421,forsvar_sikkerhed
Dansk Folkeparti,Socialdemokratiet,66,18498,13512.0,0.7304573467401881,forsvar_sikkerhed
Dansk Folkeparti,Socialistisk Folkeparti,66,14024,6682.0,0.476468910439247,forsvar_sikkerhed
Dansk Folkeparti,Tjóðveldi,66,114,0.0,0.0,forsvar_sikkerhed
Dansk Folkeparti,Uden for Folketingsgrupperne,66,185,171.0,0.9243243243243243,forsvar_sikkerhed
Dansk Folkeparti,Venstre,66,33804,31261.0,0.9247722163057627,forsvar_sikkerhed
Det Konservative Folkeparti,Det Konservative Folkeparti,66,6270,6270.0,1.0,forsvar_sikkerhed
Det Konservative Folkeparti,Enhedslisten,66,1764,457.0,0.2590702947845805,forsvar_sikkerhed
Det Konservative Folkeparti,Liberal Alliance,66,28,28.0,1.0,forsvar_sikkerhed
Det Konservative Folkeparti,Radikale Venstre,66,4923,3588.0,0.728823887873248,forsvar_sikkerhed
Det Konservative Folkeparti,Siumut,66,80,21.0,0.2625,forsvar_sikkerhed
Det Konservative Folkeparti,Socialdemokratiet,66,13501,10620.0,0.7866083993778239,forsvar_sikkerhed
Det Konservative Folkeparti,Socialistisk Folkeparti,66,10296,5160.0,0.5011655011655012,forsvar_sikkerhed
Det Konservative Folkeparti,Tjóðveldi,66,89,0.0,0.0,forsvar_sikkerhed
Det Konservative Folkeparti,Uden for Folketingsgrupperne,66,154,144.0,0.935064935064935,forsvar_sikkerhed
Det Konservative Folkeparti,Venstre,66,24625,24533.0,0.996263959390863,forsvar_sikkerhed
Enhedslisten,Enhedslisten,66,63,63.0,1.0,forsvar_sikkerhed
Enhedslisten,Liberal Alliance,66,12,0.0,0.0,forsvar_sikkerhed
Enhedslisten,Radikale Venstre,66,627,287.0,0.45773524720893144,forsvar_sikkerhed
Enhedslisten,Siumut,66,16,10.0,0.625,forsvar_sikkerhed
Enhedslisten,Socialdemokratiet,66,1618,636.0,0.3930778739184178,forsvar_sikkerhed
Enhedslisten,Socialistisk Folkeparti,66,1282,921.0,0.718408736349454,forsvar_sikkerhed
Enhedslisten,Tjóðveldi,66,16,15.0,0.9375,forsvar_sikkerhed
Enhedslisten,Uden for Folketingsgrupperne,66,10,5.0,0.5,forsvar_sikkerhed
Enhedslisten,Venstre,66,3161,830.0,0.26257513445112307,forsvar_sikkerhed
Liberal Alliance,Liberal Alliance,66,2,2.0,1.0,forsvar_sikkerhed
Liberal Alliance,Radikale Venstre,66,8,8.0,1.0,forsvar_sikkerhed
Liberal Alliance,Socialdemokratiet,66,44,44.0,1.0,forsvar_sikkerhed
Liberal Alliance,Socialistisk Folkeparti,66,22,14.0,0.6363636363636364,forsvar_sikkerhed
Liberal Alliance,Venstre,66,58,58.0,1.0,forsvar_sikkerhed
Radikale Venstre,Radikale Venstre,66,705,696.0,0.9872340425531915,forsvar_sikkerhed
Radikale Venstre,Siumut,66,31,16.0,0.5161290322580645,forsvar_sikkerhed
Radikale Venstre,Socialdemokratiet,66,4857,4126.0,0.8494955733992177,forsvar_sikkerhed
Radikale Venstre,Socialistisk Folkeparti,66,3663,2602.0,0.7103467103467104,forsvar_sikkerhed
Radikale Venstre,Tjóðveldi,66,34,13.0,0.38235294117647056,forsvar_sikkerhed
Radikale Venstre,Uden for Folketingsgrupperne,66,48,46.0,0.9583333333333334,forsvar_sikkerhed
Radikale Venstre,Venstre,66,8892,6458.0,0.7262708052181737,forsvar_sikkerhed
Siumut,Socialdemokratiet,66,50,16.0,0.32,forsvar_sikkerhed
Siumut,Socialistisk Folkeparti,66,58,33.0,0.5689655172413793,forsvar_sikkerhed
Siumut,Tjóðveldi,66,6,4.0,0.6666666666666666,forsvar_sikkerhed
Siumut,Venstre,66,132,31.0,0.23484848484848486,forsvar_sikkerhed
Socialdemokratiet,Socialdemokratiet,66,6337,6324.0,0.9979485560991005,forsvar_sikkerhed
Socialdemokratiet,Socialistisk Folkeparti,66,10085,7057.0,0.6997521070897372,forsvar_sikkerhed
Socialdemokratiet,Tjóðveldi,66,58,11.0,0.1896551724137931,forsvar_sikkerhed
Socialdemokratiet,Uden for Folketingsgrupperne,66,165,154.0,0.9333333333333333,forsvar_sikkerhed
Socialdemokratiet,Venstre,66,24033,18800.0,0.7822577289560189,forsvar_sikkerhed
Socialistisk Folkeparti,Socialistisk Folkeparti,66,3371,3050.0,0.9047760308513794,forsvar_sikkerhed
Socialistisk Folkeparti,Tjóðveldi,66,65,44.0,0.676923076923077,forsvar_sikkerhed
Socialistisk Folkeparti,Uden for Folketingsgrupperne,66,124,84.0,0.6774193548387096,forsvar_sikkerhed
Socialistisk Folkeparti,Venstre,66,18334,9260.0,0.5050725428166248,forsvar_sikkerhed
Tjóðveldi,Venstre,66,148,0.0,0.0,forsvar_sikkerhed
Uden for Folketingsgrupperne,Venstre,66,244,224.0,0.9180327868852459,forsvar_sikkerhed
Venstre,Venstre,66,21084,20956.0,0.9939290457218745,forsvar_sikkerhed
Dansk Folkeparti,Dansk Folkeparti,67,23371,23345.0,0.9988875101621668,forsvar_sikkerhed
Dansk Folkeparti,Det Konservative Folkeparti,67,30614,27739.0,0.906088717580192,forsvar_sikkerhed
Dansk Folkeparti,Enhedslisten,67,5918,1869.0,0.3158161541061169,forsvar_sikkerhed
Dansk Folkeparti,Inuit Ataqatigiit,67,35,35.0,1.0,forsvar_sikkerhed
Dansk Folkeparti,Liberal Alliance,67,2918,2353.0,0.8063742289239205,forsvar_sikkerhed
Dansk Folkeparti,Radikale Venstre,67,13053,7188.0,0.5506780050563089,forsvar_sikkerhed
Dansk Folkeparti,Sambandsflokkurin,67,121,100.0,0.8264462809917356,forsvar_sikkerhed
Dansk Folkeparti,Siumut,67,180,164.0,0.9111111111111111,forsvar_sikkerhed
Dansk Folkeparti,Socialdemokratiet,67,74368,45954.0,0.6179270654044751,forsvar_sikkerhed
Dansk Folkeparti,Socialistisk Folkeparti,67,35404,17879.0,0.50499943509208,forsvar_sikkerhed
Dansk Folkeparti,Tjóðveldi,67,17,0.0,0.0,forsvar_sikkerhed
Dansk Folkeparti,Uden for Folketingsgrupperne,67,1383,870.0,0.6290672451193059,forsvar_sikkerhed
Dansk Folkeparti,Venstre,67,83781,76014.0,0.9072940165431304,forsvar_sikkerhed
Det Konservative Folkeparti,Det Konservative Folkeparti,67,8584,8579.0,0.9994175209692451,forsvar_sikkerhed
Det Konservative Folkeparti,Enhedslisten,67,3643,1248.0,0.34257480098819654,forsvar_sikkerhed
Det Konservative Folkeparti,Inuit Ataqatigiit,67,19,19.0,1.0,forsvar_sikkerhed
Det Konservative Folkeparti,Liberal Alliance,67,1797,1517.0,0.8441847523650529,forsvar_sikkerhed
Det Konservative Folkeparti,Radikale Venstre,67,8058,5235.0,0.6496649292628444,forsvar_sikkerhed
Det Konservative Folkeparti,Sambandsflokkurin,67,69,69.0,1.0,forsvar_sikkerhed
Det Konservative Folkeparti,Siumut,67,110,110.0,1.0,forsvar_sikkerhed
Det Konservative Folkeparti,Socialdemokratiet,67,45799,32691.0,0.7137928775737461,forsvar_sikkerhed
Det Konservative Folkeparti,Socialistisk Folkeparti,67,21866,12746.0,0.5829141132351596,forsvar_sikkerhed
Det Konservative Folkeparti,Tjóðveldi,67,9,0.0,0.0,forsvar_sikkerhed
Det Konservative Folkeparti,Uden for Folketingsgrupperne,67,896,674.0,0.7522321428571429,forsvar_sikkerhed
Det Konservative Folkeparti,Venstre,67,51646,51616.0,0.9994191224877048,forsvar_sikkerhed
Enhedslisten,Enhedslisten,67,176,176.0,1.0,forsvar_sikkerhed
Enhedslisten,Inuit Ataqatigiit,67,4,2.0,0.5,forsvar_sikkerhed
Enhedslisten,Liberal Alliance,67,352,134.0,0.3806818181818182,forsvar_sikkerhed
Enhedslisten,Radikale Venstre,67,1557,978.0,0.628131021194605,forsvar_sikkerhed
Enhedslisten,Sambandsflokkurin,67,14,7.0,0.5,forsvar_sikkerhed
Enhedslisten,Siumut,67,21,15.0,0.7142857142857143,forsvar_sikkerhed
Enhedslisten,Socialdemokratiet,67,8863,4999.0,0.5640302380683742,forsvar_sikkerhed
Enhedslisten,Socialistisk Folkeparti,67,4207,2774.0,0.6593772284288091,forsvar_sikkerhed
Enhedslisten,Tjóðveldi,67,2,2.0,1.0,forsvar_sikkerhed
Enhedslisten,Uden for Folketingsgrupperne,67,171,82.0,0.47953216374269003,forsvar_sikkerhed
Enhedslisten,Venstre,67,9961,3371.0,0.33841983736572634,forsvar_sikkerhed
Inuit Ataqatigiit,Liberal Alliance,67,1,0.0,0.0,forsvar_sikkerhed
Inuit Ataqatigiit,Radikale Venstre,67,10,10.0,1.0,forsvar_sikkerhed
Inuit Ataqatigiit,Sambandsflokkurin,67,1,1.0,1.0,forsvar_sikkerhed
Inuit Ataqatigiit,Socialdemokratiet,67,48,48.0,1.0,forsvar_sikkerhed
Inuit Ataqatigiit,Socialistisk Folkeparti,67,25,25.0,1.0,forsvar_sikkerhed
Inuit Ataqatigiit,Venstre,67,65,65.0,1.0,forsvar_sikkerhed
Liberal Alliance,Liberal Alliance,67,16,16.0,1.0,forsvar_sikkerhed
Liberal Alliance,Radikale Venstre,67,777,479.0,0.6164736164736164,forsvar_sikkerhed
