source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,30066,30025.0,0.9986363333998537,general
Dansk Folkeparti,Det Konservative Folkeparti,65,32261,31345.0,0.9716065838008742,general
Dansk Folkeparti,Enhedslisten,65,4711,1337.0,0.2838038632986627,general
Dansk Folkeparti,Inuit Ataqatigiit,65,205,15.0,0.07317073170731707,general
Dansk Folkeparti,Kristendemokraterne,65,8643,4433.0,0.5129006132130047,general
Dansk Folkeparti,Radikale Venstre,65,20096,9020.0,0.44884554140127386,general
Dansk Folkeparti,Socialdemokratiet,65,142029,52682.0,0.37092424786487266,general
Dansk Folkeparti,Socialistisk Folkeparti,65,30478,9689.0,0.31790143710217206,general
Dansk Folkeparti,Tjóðveldi,65,135,0.0,0.0,general
Dansk Folkeparti,Venstre,65,156387,152123.0,0.9727343065600081,general
Det Konservative Folkeparti,Det Konservative Folkeparti,65,7193,7193.0,1.0,general
Det Konservative Folkeparti,Enhedslisten,65,2426,685.0,0.2823577906018137,general
Det Konservative Folkeparti,Inuit Ataqatigiit,65,112,7.0,0.0625,general
Det Konservative Folkeparti,Kristendemokraterne,65,4336,2406.0,0.5548892988929889,general
Det Konservative Folkeparti,Radikale Venstre,65,10027,4902.0,0.4888800239353745,general
Det Konservative Folkeparti,Socialdemokratiet,65,71227,29511.0,0.41432322012719897,general
Det Konservative Folkeparti,Socialistisk Folkeparti,65,15285,5258.0,0.34399738305528293,general
Det Konservative Folkeparti,Tjóðveldi,65,63,0.0,0.0,general
Det Konservative Folkeparti,Venstre,65,78556,78539.0,0.9997835938693416,general
Enhedslisten,Enhedslisten,65,33,33.0,1.0,general
Enhedslisten,Inuit Ataqatigiit,65,22,21.0,0.9545454545454546,general
Enhedslisten,Kristendemokraterne,65,633,340.0,0.5371248025276462,general
Enhedslisten,Radikale Venstre,65,1466,881.0,0.6009549795361528,general
Enhedslisten,Socialdemokratiet,65,10393,6929.0,0.6666987395362263,general
Enhedslisten,Socialistisk Folkeparti,65,2272,1925.0,0.8472711267605634,general
Enhedslisten,Tjóðveldi,65,9,9.0,1.0,general
