source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,2,1.0,0.5,immigration
Danmarksdemokraterne,Dansk Folkeparti,65,86,57.0,0.6627906976744186,immigration
Danmarksdemokraterne,Det Konservative Folkeparti,65,47,38.0,0.8085106382978723,immigration
Danmarksdemokraterne,Enhedslisten,65,6,5.0,0.8333333333333334,immigration
Danmarksdemokraterne,Kristendemokraterne,65,12,10.0,0.8333333333333334,immigration
Danmarksdemokraterne,Radikale Venstre,65,23,20.0,0.8695652173913043,immigration
Danmarksdemokraterne,Socialdemokratiet,65,204,168.0,0.8235294117647058,immigration
Danmarksdemokraterne,Socialistisk Folkeparti,65,38,33.0,0.868421052631579,immigration
Danmarksdemokraterne,Venstre,65,215,181.0,0.8418604651162791,immigration
Dansk Folkeparti,Dansk Folkeparti,65,392,392.0,1.0,immigration
Dansk Folkeparti,Det Konservative Folkeparti,65,449,218.0,0.48552338530066813,immigration
Dansk Folkeparti,Enhedslisten,65,58,29.0,0.5,immigration
Dansk Folkeparti,Kristendemokraterne,65,116,58.0,0.5,immigration
Dansk Folkeparti,Radikale Venstre,65,233,131.0,0.5622317596566524,immigration
Dansk Folkeparti,Socialdemokratiet,65,1972,943.0,0.4781947261663286,immigration
Dansk Folkeparti,Socialistisk Folkeparti,65,378,203.0,0.5370370370370371,immigration
Dansk Folkeparti,Venstre,65,2089,1058.0,0.5064624222115844,immigration
Det Konservative Folkeparti,Det Konservative Folkeparti,65,106,106.0,1.0,immigration
Det Konservative Folkeparti,Enhedslisten,65,31,31.0,1.0,immigration
Det Konservative Folkeparti,Kristendemokraterne,65,62,62.0,1.0,immigration
Det Konservative Folkeparti,Radikale Venstre,65,123,123.0,1.0,immigration
Det Konservative Folkeparti,Socialdemokratiet,65,1057,1057.0,1.0,immigration
Det Konservative Folkeparti,Socialistisk Folkeparti,65,199,199.0,1.0,immigration
Det Konservative Folkeparti,Venstre,65,1112,1112.0,1.0,immigration
Enhedslisten,Kristendemokraterne,65,8,8.0,1.0,immigration
Enhedslisten,Radikale Venstre,65,16,16.0,1.0,immigration
Enhedslisten,Socialdemokratiet,65,136,136.0,1.0,immigration
Enhedslisten,Socialistisk Folkeparti,65,26,26.0,1.0,immigration
Enhedslisten,Venstre,65,144,144.0,1.0,immigration
Kristendemokraterne,Kristendemokraterne,65,4,4.0,1.0,immigration
Kristendemokraterne,Radikale Venstre,65,32,32.0,1.0,immigration
Kristendemokraterne,Socialdemokratiet,65,272,272.0,1.0,immigration
Kristendemokraterne,Socialistisk Folkeparti,65,52,52.0,1.0,immigration
Kristendemokraterne,Venstre,65,288,288.0,1.0,immigration
Radikale Venstre,Radikale Venstre,65,25,25.0,1.0,immigration
Radikale Venstre,Socialdemokratiet,65,541,541.0,1.0,immigration
Radikale Venstre,Socialistisk Folkeparti,65,106,106.0,1.0,immigration
Radikale Venstre,Venstre,65,578,578.0,1.0,immigration
Socialdemokratiet,Socialdemokratiet,65,2249,2249.0,1.0,immigration
Socialdemokratiet,Socialistisk Folkeparti,65,880,880.0,1.0,immigration
Socialdemokratiet,Venstre,65,4891,4891.0,1.0,immigration
Socialistisk Folkeparti,Socialistisk Folkeparti,65,73,73.0,1.0,immigration
Socialistisk Folkeparti,Venstre,65,940,940.0,1.0,immigration
Venstre,Venstre,65,2523,2523.0,1.0,immigration
Danmarksdemokraterne,Danmarksdemokraterne,66,16,13.0,0.8125,immigration
Danmarksdemokraterne,Dansk Folkeparti,66,1345,1251.0,0.9301115241635688,immigration
Danmarksdemokraterne,Det Konservative Folkeparti,66,966,908.0,0.9399585921325052,immigration
Danmarksdemokraterne,Enhedslisten,66,221,54.0,0.24434389140271492,immigration
Danmarksdemokraterne,Fólkaflokkurin,66,1,1.0,1.0,immigration
Danmarksdemokraterne,Inuit Ataqatigiit,66,1,0.0,0.0,immigration
Danmarksdemokraterne,Radikale Venstre,66,765,372.0,0.48627450980392156,immigration
Danmarksdemokraterne,Siumut,66,1,0.0,0.0,immigration
Danmarksdemokraterne,Socialdemokratiet,66,2457,1514.0,0.6161986161986162,immigration
Danmarksdemokraterne,Socialistisk Folkeparti,66,669,252.0,0.37668161434977576,immigration
Danmarksdemokraterne,Tjóðveldi,66,2,0.0,0.0,immigration
Danmarksdemokraterne,Venstre,66,2849,2681.0,0.941031941031941,immigration
Dansk Folkeparti,Dansk Folkeparti,66,10008,9992.0,0.9984012789768185,immigration
Dansk Folkeparti,Det Konservative Folkeparti,66,15149,13711.0,0.905076242656281,immigration
Dansk Folkeparti,Enhedslisten,66,3615,746.0,0.20636237897648685,immigration
Dansk Folkeparti,Fólkaflokkurin,66,17,17.0,1.0,immigration
Dansk Folkeparti,Inuit Ataqatigiit,66,17,0.0,0.0,immigration
Dansk Folkeparti,Radikale Venstre,66,11998,4081.0,0.3401400233372229,immigration
Dansk Folkeparti,Siumut,66,16,0.0,0.0,immigration
Dansk Folkeparti,Socialdemokratiet,66,38760,19971.0,0.5152476780185758,immigration
Dansk Folkeparti,Socialistisk Folkeparti,66,10662,2969.0,0.2784655786906772,immigration
Dansk Folkeparti,Tjóðveldi,66,33,0.0,0.0,immigration
Dansk Folkeparti,Venstre,66,44927,40727.0,0.9065150132437064,immigration
Det Konservative Folkeparti,Det Konservative Folkeparti,66,4968,4968.0,1.0,immigration
Det Konservative Folkeparti,Enhedslisten,66,2589,522.0,0.20162224797219003,immigration
Det Konservative Folkeparti,Fólkaflokkurin,66,13,13.0,1.0,immigration
Det Konservative Folkeparti,Inuit Ataqatigiit,66,13,0.0,0.0,immigration
Det Konservative Folkeparti,Radikale Venstre,66,8517,3754.0,0.44076552776799344,immigration
Det Konservative Folkeparti,Siumut,66,11,0.0,0.0,immigration
Det Konservative Folkeparti,Socialdemokratiet,66,27531,17172.0,0.6237332461588755,immigration
Det Konservative Folkeparti,Socialistisk Folkeparti,66,7552,2794.0,0.3699682203389831,immigration
Det Konservative Folkeparti,Tjóðveldi,66,24,0.0,0.0,immigration
Det Konservative Folkeparti,Venstre,66,31946,31916.0,0.9990609152945595,immigration
Enhedslisten,Enhedslisten,66,203,203.0,1.0,immigration
Enhedslisten,Fólkaflokkurin,66,3,0.0,0.0,immigration
Enhedslisten,Inuit Ataqatigiit,66,3,0.0,0.0,immigration
Enhedslisten,Radikale Venstre,66,2040,1441.0,0.7063725490196079,immigration
Enhedslisten,Siumut,66,3,3.0,1.0,immigration
Enhedslisten,Socialdemokratiet,66,6555,3236.0,0.4936689549961861,immigration
Enhedslisten,Socialistisk Folkeparti,66,1799,1388.0,0.7715397443023903,immigration
Enhedslisten,Tjóðveldi,66,6,3.0,0.5,immigration
Enhedslisten,Venstre,66,7608,1517.0,0.19939537329127235,immigration
Fólkaflokkurin,Inuit Ataqatigiit,66,1,0.0,0.0,immigration
Fólkaflokkurin,Radikale Venstre,66,8,8.0,1.0,immigration
Fólkaflokkurin,Socialdemokratiet,66,28,28.0,1.0,immigration
Fólkaflokkurin,Socialistisk Folkeparti,66,8,8.0,1.0,immigration
Fólkaflokkurin,Tjóðveldi,66,1,0.0,0.0,immigration
Fólkaflokkurin,Venstre,66,31,31.0,1.0,immigration
Inuit Ataqatigiit,Radikale Venstre,66,8,0.0,0.0,immigration
Inuit Ataqatigiit,Socialdemokratiet,66,28,0.0,0.0,immigration
Inuit Ataqatigiit,Socialistisk Folkeparti,66,8,0.0,0.0,immigration
Inuit Ataqatigiit,Tjóðveldi,66,1,1.0,1.0,immigration
Inuit Ataqatigiit,Venstre,66,31,0.0,0.0,immigration
Radikale Venstre,Radikale Venstre,66,3027,3019.0,0.9973571192599934,immigration
Radikale Venstre,Siumut,66,10,10.0,1.0,immigration
Radikale Venstre,Socialdemokratiet,66,21773,15921.0,0.7312267487254857,immigration
Radikale Venstre,Socialistisk Folkeparti,66,5986,5037.0,0.8414634146341463,immigration
Radikale Venstre,Tjóðveldi,66,18,10.0,0.5555555555555556,immigration
Radikale Venstre,Venstre,66,25229,10944.0,0.4337865155178564,immigration
Siumut,Socialdemokratiet,66,28,28.0,1.0,immigration
Siumut,Socialistisk Folkeparti,66,7,7.0,1.0,immigration
Siumut,Tjóðveldi,66,1,1.0,1.0,immigration
Siumut,Venstre,66,35,0.0,0.0,immigration
Socialdemokratiet,Socialdemokratiet,66,34167,34083.0,0.9975414874001229,immigration
Socialdemokratiet,Socialistisk Folkeparti,66,19439,13367.0,0.6876382529965533,immigration
Socialdemokratiet,Tjóðveldi,66,56,28.0,0.5,immigration
Socialdemokratiet,Venstre,66,81819,49783.0,0.6084528043608453,immigration
Socialistisk Folkeparti,Socialistisk Folkeparti,66,2365,2183.0,0.9230443974630022,immigration
Socialistisk Folkeparti,Tjóðveldi,66,15,7.0,0.4666666666666667,immigration
Socialistisk Folkeparti,Venstre,66,22555,8222.0,0.36453114608734205,immigration
Tjóðveldi,Venstre,66,66,0.0,0.0,immigration
Venstre,Venstre,66,46229,46145.0,0.9981829587488373,immigration
Danmarksdemokraterne,Danmarksdemokraterne,67,23,21.0,0.9130434782608695,immigration
Danmarksdemokraterne,Dansk Folkeparti,67,1705,1589.0,0.9319648093841643,immigration
Danmarksdemokraterne,Det Konservative Folkeparti,67,1042,978.0,0.9385796545105566,immigration
Danmarksdemokraterne,Enhedslisten,67,213,44.0,0.20657276995305165,immigration
Danmarksdemokraterne,Liberal Alliance,67,258,205.0,0.7945736434108527,immigration
Danmarksdemokraterne,Radikale Venstre,67,447,184.0,0.4116331096196868,immigration
Danmarksdemokraterne,Sambandsflokkurin,67,1,1.0,1.0,immigration
Danmarksdemokraterne,Siumut,67,9,7.0,0.7777777777777778,immigration
Danmarksdemokraterne,Socialdemokratiet,67,2879,1398.0,0.4855852726641195,immigration
Danmarksdemokraterne,Socialistisk Folkeparti,67,1375,544.0,0.3956363636363636,immigration
Danmarksdemokraterne,Venstre,67,2848,2732.0,0.9592696629213483,immigration
Dansk Folkeparti,Dansk Folkeparti,67,15614,15372.0,0.9845010887664916,immigration
Dansk Folkeparti,Det Konservative Folkeparti,67,20468,17619.0,0.8608071135430917,immigration
Dansk Folkeparti,Enhedslisten,67,4294,899.0,0.20936190032603633,immigration
Dansk Folkeparti,Javnaðarflokkurin,67,17,17.0,1.0,immigration
Dansk Folkeparti,Liberal Alliance,67,5074,3641.0,0.7175798186834844,immigration
