source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,11,9.0,0.8181818181818182,retspolitik
Danmarksdemokraterne,Dansk Folkeparti,65,465,437.0,0.9397849462365592,retspolitik
Danmarksdemokraterne,Det Konservative Folkeparti,65,265,247.0,0.9320754716981132,retspolitik
Danmarksdemokraterne,Enhedslisten,65,35,11.0,0.3142857142857143,retspolitik
Danmarksdemokraterne,Kristendemokraterne,65,66,38.0,0.5757575757575758,retspolitik
Danmarksdemokraterne,Radikale Venstre,65,133,89.0,0.6691729323308271,retspolitik
Danmarksdemokraterne,Socialdemokratiet,65,1082,624.0,0.5767097966728281,retspolitik
Danmarksdemokraterne,Socialistisk Folkeparti,65,219,113.0,0.5159817351598174,retspolitik
Danmarksdemokraterne,Venstre,65,1208,1137.0,0.9412251655629139,retspolitik
Dansk Folkeparti,Dansk Folkeparti,65,2061,2061.0,1.0,retspolitik
Dansk Folkeparti,Det Konservative Folkeparti,65,2535,2283.0,0.9005917159763314,retspolitik
Dansk Folkeparti,Enhedslisten,65,341,98.0,0.2873900293255132,retspolitik
Dansk Folkeparti,Kristendemokraterne,65,624,342.0,0.5480769230769231,retspolitik
Dansk Folkeparti,Radikale Venstre,65,1277,741.0,0.5802662490211433,retspolitik
Dansk Folkeparti,Socialdemokratiet,65,10249,5163.0,0.5037564640452727,retspolitik
Dansk Folkeparti,Socialistisk Folkeparti,65,2083,1050.0,0.5040806529044647,retspolitik
Dansk Folkeparti,Venstre,65,11410,10416.0,0.912883435582822,retspolitik
Det Konservative Folkeparti,Det Konservative Folkeparti,65,650,650.0,1.0,retspolitik
Det Konservative Folkeparti,Enhedslisten,65,197,59.0,0.29949238578680204,retspolitik
Det Konservative Folkeparti,Kristendemokraterne,65,358,234.0,0.6536312849162011,retspolitik
Det Konservative Folkeparti,Radikale Venstre,65,737,512.0,0.694708276797829,retspolitik
Det Konservative Folkeparti,Socialdemokratiet,65,5877,3481.0,0.5923090011910839,retspolitik
Det Konservative Folkeparti,Socialistisk Folkeparti,65,1196,612.0,0.5117056856187291,retspolitik
Det Konservative Folkeparti,Venstre,65,6537,6537.0,1.0,retspolitik
Enhedslisten,Enhedslisten,65,2,2.0,1.0,retspolitik
Enhedslisten,Kristendemokraterne,65,48,28.0,0.5833333333333334,retspolitik
Enhedslisten,Radikale Venstre,65,100,60.0,0.6,retspolitik
Enhedslisten,Socialdemokratiet,65,787,514.0,0.6531130876747141,retspolitik
Enhedslisten,Socialistisk Folkeparti,65,163,122.0,0.7484662576687117,retspolitik
Enhedslisten,Venstre,65,885,264.0,0.2983050847457627,retspolitik
Kristendemokraterne,Kristendemokraterne,65,22,22.0,1.0,retspolitik
Kristendemokraterne,Radikale Venstre,65,180,152.0,0.8444444444444444,retspolitik
Kristendemokraterne,Socialdemokratiet,65,1446,1250.0,0.8644536652835408,retspolitik
Kristendemokraterne,Socialistisk Folkeparti,65,294,254.0,0.8639455782312925,retspolitik
Kristendemokraterne,Venstre,65,1608,1042.0,0.6480099502487562,retspolitik
Radikale Venstre,Radikale Venstre,65,144,144.0,1.0,retspolitik
Radikale Venstre,Socialdemokratiet,65,2954,2680.0,0.9072444143534191,retspolitik
Radikale Venstre,Socialistisk Folkeparti,65,608,508.0,0.8355263157894737,retspolitik
Radikale Venstre,Venstre,65,3284,2231.0,0.6793544457978076,retspolitik
Socialdemokratiet,Socialdemokratiet,65,11560,11560.0,1.0,retspolitik
Socialdemokratiet,Socialistisk Folkeparti,65,4833,4425.0,0.9155803848541278,retspolitik
Socialdemokratiet,Venstre,65,26423,15978.0,0.6047004503652121,retspolitik
Socialistisk Folkeparti,Socialistisk Folkeparti,65,426,426.0,1.0,retspolitik
Socialistisk Folkeparti,Venstre,65,5367,2786.0,0.519098192658841,retspolitik
Venstre,Venstre,65,14362,14362.0,1.0,retspolitik
Danmarksdemokraterne,Danmarksdemokraterne,66,63,52.0,0.8253968253968254,retspolitik
Danmarksdemokraterne,Dansk Folkeparti,66,4330,3947.0,0.9115473441108545,retspolitik
Danmarksdemokraterne,Det Konservative Folkeparti,66,3184,3040.0,0.9547738693467337,retspolitik
Danmarksdemokraterne,Enhedslisten,66,728,217.0,0.2980769230769231,retspolitik
Danmarksdemokraterne,Fólkaflokkurin,66,2,2.0,1.0,retspolitik
Danmarksdemokraterne,Inuit Ataqatigiit,66,11,1.0,0.09090909090909091,retspolitik
Danmarksdemokraterne,Radikale Venstre,66,2503,1471.0,0.5876947662804635,retspolitik
Danmarksdemokraterne,Siumut,66,13,3.0,0.23076923076923078,retspolitik
Danmarksdemokraterne,Socialdemokratiet,66,7887,5567.0,0.705845061493597,retspolitik
Danmarksdemokraterne,Socialistisk Folkeparti,66,2209,1120.0,0.5070167496604798,retspolitik
Danmarksdemokraterne,Tjóðveldi,66,13,0.0,0.0,retspolitik
Danmarksdemokraterne,Venstre,66,9266,8826.0,0.9525145693934816,retspolitik
Dansk Folkeparti,Dansk Folkeparti,66,28821,28738.0,0.9971201554422123,retspolitik
Dansk Folkeparti,Det Konservative Folkeparti,66,44397,39220.0,0.8833930220510395,retspolitik
Dansk Folkeparti,Enhedslisten,66,10289,2840.0,0.27602293711730974,retspolitik
Dansk Folkeparti,Fólkaflokkurin,66,32,18.0,0.5625,retspolitik
Dansk Folkeparti,Inuit Ataqatigiit,66,138,47.0,0.34057971014492755,retspolitik
Dansk Folkeparti,Radikale Venstre,66,34794,17724.0,0.5093981720986377,retspolitik
Dansk Folkeparti,Siumut,66,137,65.0,0.4744525547445255,retspolitik
Dansk Folkeparti,Socialdemokratiet,66,111163,67133.0,0.6039149717082123,retspolitik
Dansk Folkeparti,Socialistisk Folkeparti,66,30835,13490.0,0.4374898654126804,retspolitik
Dansk Folkeparti,Tjóðveldi,66,153,29.0,0.1895424836601307,retspolitik
Dansk Folkeparti,Venstre,66,129970,114207.0,0.8787181657305532,retspolitik
Det Konservative Folkeparti,Det Konservative Folkeparti,66,14928,14918.0,0.9993301178992497,retspolitik
Det Konservative Folkeparti,Enhedslisten,66,7500,1932.0,0.2576,retspolitik
Det Konservative Folkeparti,Fólkaflokkurin,66,26,26.0,1.0,retspolitik
Det Konservative Folkeparti,Inuit Ataqatigiit,66,105,24.0,0.22857142857142856,retspolitik
Det Konservative Folkeparti,Radikale Venstre,66,25225,15670.0,0.621209117938553,retspolitik
Det Konservative Folkeparti,Siumut,66,103,34.0,0.3300970873786408,retspolitik
Det Konservative Folkeparti,Socialdemokratiet,66,80539,57864.0,0.7184593799277369,retspolitik
Det Konservative Folkeparti,Socialistisk Folkeparti,66,22380,11525.0,0.5149687220732797,retspolitik
Det Konservative Folkeparti,Tjóðveldi,66,116,13.0,0.11206896551724138,retspolitik
Det Konservative Folkeparti,Venstre,66,94332,94106.0,0.9976042064198787,retspolitik
Enhedslisten,Enhedslisten,66,570,570.0,1.0,retspolitik
Enhedslisten,Fólkaflokkurin,66,6,0.0,0.0,retspolitik
Enhedslisten,Inuit Ataqatigiit,66,25,14.0,0.56,retspolitik
Enhedslisten,Radikale Venstre,66,5852,3442.0,0.588174982911825,retspolitik
Enhedslisten,Siumut,66,24,16.0,0.6666666666666666,retspolitik
Enhedslisten,Socialdemokratiet,66,18589,9359.0,0.5034697939641724,retspolitik
Enhedslisten,Socialistisk Folkeparti,66,5159,3522.0,0.6826904438844738,retspolitik
Enhedslisten,Tjóðveldi,66,30,27.0,0.9,retspolitik
Enhedslisten,Venstre,66,21812,5543.0,0.2541261690812397,retspolitik
Fólkaflokkurin,Inuit Ataqatigiit,66,2,0.0,0.0,retspolitik
Fólkaflokkurin,Radikale Venstre,66,15,15.0,1.0,retspolitik
Fólkaflokkurin,Siumut,66,1,0.0,0.0,retspolitik
Fólkaflokkurin,Socialdemokratiet,66,57,57.0,1.0,retspolitik
Fólkaflokkurin,Socialistisk Folkeparti,66,15,10.0,0.6666666666666666,retspolitik
Fólkaflokkurin,Tjóðveldi,66,2,0.0,0.0,retspolitik
Fólkaflokkurin,Venstre,66,65,65.0,1.0,retspolitik
Inuit Ataqatigiit,Radikale Venstre,66,73,35.0,0.4794520547945205,retspolitik
Inuit Ataqatigiit,Siumut,66,5,5.0,1.0,retspolitik
Inuit Ataqatigiit,Socialdemokratiet,66,255,58.0,0.22745098039215686,retspolitik
Inuit Ataqatigiit,Socialistisk Folkeparti,66,73,43.0,0.589041095890411,retspolitik
Inuit Ataqatigiit,Tjóðveldi,66,7,5.0,0.7142857142857143,retspolitik
