source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,2481,2481.0,1.0,skat
Dansk Folkeparti,Det Konservative Folkeparti,65,2673,2553.0,0.9551066217732884,skat
Dansk Folkeparti,Enhedslisten,65,402,116.0,0.2885572139303483,skat
Dansk Folkeparti,Inuit Ataqatigiit,65,14,0.0,0.0,skat
Dansk Folkeparti,Kristendemokraterne,65,714,373.0,0.5224089635854342,skat
Dansk Folkeparti,Radikale Venstre,65,1443,733.0,0.507969507969508,skat
Dansk Folkeparti,Socialdemokratiet,65,11940,5454.0,0.45678391959799,skat
Dansk Folkeparti,Socialistisk Folkeparti,65,2547,1160.0,0.4554377699254024,skat
Dansk Folkeparti,Venstre,65,13425,12825.0,0.9553072625698324,skat
Det Konservative Folkeparti,Det Konservative Folkeparti,65,621,621.0,1.0,skat
Det Konservative Folkeparti,Enhedslisten,65,210,49.0,0.23333333333333334,skat
Det Konservative Folkeparti,Inuit Ataqatigiit,65,11,0.0,0.0,skat
Det Konservative Folkeparti,Kristendemokraterne,65,360,196.0,0.5444444444444444,skat
Det Konservative Folkeparti,Radikale Venstre,65,734,388.0,0.5286103542234333,skat
Det Konservative Folkeparti,Socialdemokratiet,65,5968,2829.0,0.47402815013404825,skat
Det Konservative Folkeparti,Socialistisk Folkeparti,65,1261,473.0,0.37509912767644726,skat
Det Konservative Folkeparti,Venstre,65,6786,6776.0,0.9985263778367227,skat
Enhedslisten,Enhedslisten,65,3,3.0,1.0,skat
Enhedslisten,Inuit Ataqatigiit,65,2,2.0,1.0,skat
Enhedslisten,Kristendemokraterne,65,54,31.0,0.5740740740740741,skat
Enhedslisten,Radikale Venstre,65,111,64.0,0.5765765765765766,skat
Enhedslisten,Socialdemokratiet,65,896,656.0,0.7321428571428571,skat
Enhedslisten,Socialistisk Folkeparti,65,196,167.0,0.8520408163265306,skat
Enhedslisten,Venstre,65,1016,257.0,0.2529527559055118,skat
Inuit Ataqatigiit,Kristendemokraterne,65,2,2.0,1.0,skat
Inuit Ataqatigiit,Radikale Venstre,65,4,4.0,1.0,skat
Inuit Ataqatigiit,Socialdemokratiet,65,28,28.0,1.0,skat
Inuit Ataqatigiit,Socialistisk Folkeparti,65,9,9.0,1.0,skat
Inuit Ataqatigiit,Venstre,65,35,0.0,0.0,skat
Kristendemokraterne,Kristendemokraterne,65,24,23.0,0.9583333333333334,skat
Kristendemokraterne,Radikale Venstre,65,194,128.0,0.6597938144329897,skat
Kristendemokraterne,Socialdemokratiet,65,1604,1114.0,0.6945137157107232,skat
Kristendemokraterne,Socialistisk Folkeparti,65,342,214.0,0.6257309941520468,skat
Kristendemokraterne,Venstre,65,1804,1012.0,0.5609756097560976,skat
Radikale Venstre,Radikale Venstre,65,151,151.0,1.0,skat
Radikale Venstre,Socialdemokratiet,65,3239,2754.0,0.8502624266748997,skat
Radikale Venstre,Socialistisk Folkeparti,65,694,507.0,0.7305475504322767,skat
Radikale Venstre,Venstre,65,3648,1928.0,0.5285087719298246,skat
Socialdemokratiet,Socialdemokratiet,65,13059,13059.0,1.0,skat
Socialdemokratiet,Socialistisk Folkeparti,65,5726,4948.0,0.8641285365001746,skat
Socialdemokratiet,Venstre,65,30156,14995.0,0.4972476455763364,skat
