source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,88,86.0,0.9772727272727273,social_familie
Danmarksdemokraterne,Dansk Folkeparti,65,4321,4250.0,0.9835686183753761,social_familie
Danmarksdemokraterne,Det Konservative Folkeparti,65,2145,2129.0,0.9925407925407925,social_familie
Danmarksdemokraterne,Enhedslisten,65,310,93.0,0.3,social_familie
Danmarksdemokraterne,Inuit Ataqatigiit,65,19,2.0,0.10526315789473684,social_familie
Danmarksdemokraterne,Kristendemokraterne,65,597,284.0,0.47571189279731996,social_familie
Danmarksdemokraterne,Radikale Venstre,65,1440,625.0,0.4340277777777778,social_familie
Danmarksdemokraterne,Socialdemokratiet,65,9803,3250.0,0.33153116392940934,social_familie
Danmarksdemokraterne,Socialistisk Folkeparti,65,2093,664.0,0.3172479694218825,social_familie
Danmarksdemokraterne,Tjóðveldi,65,16,0.0,0.0,social_familie
Danmarksdemokraterne,Venstre,65,10445,10374.0,0.9932024892292963,social_familie
Dansk Folkeparti,Dansk Folkeparti,65,21010,20984.0,0.9987624940504521,social_familie
Dansk Folkeparti,Det Konservative Folkeparti,65,22216,21698.0,0.9766834713719842,social_familie
Dansk Folkeparti,Enhedslisten,65,3219,847.0,0.26312519415967695,social_familie
Dansk Folkeparti,Inuit Ataqatigiit,65,155,14.0,0.09032258064516129,social_familie
Dansk Folkeparti,Kristendemokraterne,65,6167,2960.0,0.4799740554564618,social_familie
Dansk Folkeparti,Radikale Venstre,65,14931,5931.0,0.39722724532851117,social_familie
Dansk Folkeparti,Socialdemokratiet,65,101327,30294.0,0.29897263315799344,social_familie
Dansk Folkeparti,Socialistisk Folkeparti,65,21597,5889.0,0.27267676066120294,social_familie
Dansk Folkeparti,Tjóðveldi,65,128,0.0,0.0,social_familie
Dansk Folkeparti,Venstre,65,107779,105299.0,0.976989951660342,social_familie
Det Konservative Folkeparti,Det Konservative Folkeparti,65,4781,4781.0,1.0,social_familie
Det Konservative Folkeparti,Enhedslisten,65,1613,439.0,0.2721636701797892,social_familie
Det Konservative Folkeparti,Inuit Ataqatigiit,65,81,7.0,0.08641975308641975,social_familie
Det Konservative Folkeparti,Kristendemokraterne,65,3038,1548.0,0.5095457537853851,social_familie
Det Konservative Folkeparti,Radikale Venstre,65,7342,3099.0,0.42209207300463086,social_familie
Det Konservative Folkeparti,Socialdemokratiet,65,49957,16465.0,0.3295834417599135,social_familie
Det Konservative Folkeparti,Socialistisk Folkeparti,65,10657,3187.0,0.29905226611616775,social_familie
Det Konservative Folkeparti,Tjóðveldi,65,63,0.0,0.0,social_familie
Det Konservative Folkeparti,Venstre,65,53177,53170.0,0.9998683641423924,social_familie
Enhedslisten,Enhedslisten,65,9,9.0,1.0,social_familie
Enhedslisten,Inuit Ataqatigiit,65,12,11.0,0.9166666666666666,social_familie
Enhedslisten,Kristendemokraterne,65,440,221.0,0.5022727272727273,social_familie
Enhedslisten,Radikale Venstre,65,1063,647.0,0.6086547507055503,social_familie
Enhedslisten,Socialdemokratiet,65,7235,4892.0,0.6761575673807878,social_familie
Enhedslisten,Socialistisk Folkeparti,65,1547,1297.0,0.8383968972204267,social_familie
Enhedslisten,Tjóðveldi,65,9,9.0,1.0,social_familie
Enhedslisten,Venstre,65,7709,2141.0,0.27772733169023217,social_familie
Inuit Ataqatigiit,Kristendemokraterne,65,22,15.0,0.6818181818181818,social_familie
Inuit Ataqatigiit,Radikale Venstre,65,54,49.0,0.9074074074074074,social_familie
Inuit Ataqatigiit,Socialdemokratiet,65,355,290.0,0.8169014084507042,social_familie
Inuit Ataqatigiit,Socialistisk Folkeparti,65,79,72.0,0.9113924050632911,social_familie
Inuit Ataqatigiit,Tjóðveldi,65,5,5.0,1.0,social_familie
Inuit Ataqatigiit,Venstre,65,375,34.0,0.09066666666666667,social_familie
Kristendemokraterne,Kristendemokraterne,65,211,205.0,0.9715639810426541,social_familie
Kristendemokraterne,Radikale Venstre,65,2042,1106.0,0.5416258570029383,social_familie
Kristendemokraterne,Socialdemokratiet,65,13871,7935.0,0.5720568091702112,social_familie
Kristendemokraterne,Socialistisk Folkeparti,65,2957,1665.0,0.5630706797429827,social_familie
Kristendemokraterne,Tjóðveldi,65,18,14.0,0.7777777777777778,social_familie
Kristendemokraterne,Venstre,65,14753,7447.0,0.5047786890801871,social_familie
Radikale Venstre,Radikale Venstre,65,1979,1971.0,0.9959575543203638,social_familie
Radikale Venstre,Socialdemokratiet,65,33579,22070.0,0.6572560231096817,social_familie
Radikale Venstre,Socialistisk Folkeparti,65,7157,4793.0,0.6696940058683806,social_familie
Radikale Venstre,Tjóðveldi,65,45,45.0,1.0,social_familie
Radikale Venstre,Venstre,65,35661,15089.0,0.4231232999635456,social_familie
Socialdemokratiet,Socialdemokratiet,65,110537,110347.0,0.9982811185394935,social_familie
Socialdemokratiet,Socialistisk Folkeparti,65,48532,37069.0,0.7638053243220968,social_familie
Socialdemokratiet,Tjóðveldi,65,296,231.0,0.7804054054054054,social_familie
