source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,8192,8176.0,0.998046875,sundhed
Dansk Folkeparti,Det Konservative Folkeparti,65,9788,9555.0,0.9761953412341643,sundhed
Dansk Folkeparti,Enhedslisten,65,1826,433.0,0.23713033953997809,sundhed
Dansk Folkeparti,Kristendemokraterne,65,3821,1767.0,0.46244438628631246,sundhed
Dansk Folkeparti,Radikale Venstre,65,5673,2240.0,0.3948528115635466,sundhed
Dansk Folkeparti,Socialdemokratiet,65,27641,7510.0,0.27169784016497234,sundhed
Dansk Folkeparti,Socialistisk Folkeparti,65,9269,2179.0,0.23508469090516776,sundhed
Dansk Folkeparti,Tjóðveldi,65,83,0.0,0.0,sundhed
Dansk Folkeparti,Uden for Folketingsgrupperne,65,9,9.0,1.0,sundhed
Dansk Folkeparti,Venstre,65,32450,31675.0,0.9761171032357473,sundhed
Det Konservative Folkeparti,Det Konservative Folkeparti,65,2150,2150.0,1.0,sundhed
Det Konservative Folkeparti,Enhedslisten,65,968,244.0,0.25206611570247933,sundhed
Det Konservative Folkeparti,Kristendemokraterne,65,2053,1011.0,0.49245007306380906,sundhed
Det Konservative Folkeparti,Radikale Venstre,65,3040,1306.0,0.4296052631578947,sundhed
Det Konservative Folkeparti,Socialdemokratiet,65,14738,4456.0,0.3023476726828606,sundhed
Det Konservative Folkeparti,Socialistisk Folkeparti,65,4935,1314.0,0.2662613981762918,sundhed
Det Konservative Folkeparti,Tjóðveldi,65,45,0.0,0.0,sundhed
Det Konservative Folkeparti,Uden for Folketingsgrupperne,65,6,6.0,1.0,sundhed
Det Konservative Folkeparti,Venstre,65,17288,17288.0,1.0,sundhed
Enhedslisten,Enhedslisten,65,2,2.0,1.0,sundhed
Enhedslisten,Kristendemokraterne,65,381,185.0,0.48556430446194226,sundhed
Enhedslisten,Radikale Venstre,65,565,323.0,0.5716814159292035,sundhed
Enhedslisten,Socialdemokratiet,65,2775,1800.0,0.6486486486486487,sundhed
Enhedslisten,Socialistisk Folkeparti,65,937,780.0,0.8324439701173959,sundhed
Enhedslisten,Tjóðveldi,65,9,9.0,1.0,sundhed
Enhedslisten,Uden for Folketingsgrupperne,65,1,1.0,1.0,sundhed
Enhedslisten,Venstre,65,3250,823.0,0.2532307692307692,sundhed
Kristendemokraterne,Kristendemokraterne,65,200,195.0,0.975,sundhed
Kristendemokraterne,Radikale Venstre,65,1187,637.0,0.5366470092670598,sundhed
Kristendemokraterne,Socialdemokratiet,65,5779,3202.0,0.5540750994981831,sundhed
Kristendemokraterne,Socialistisk Folkeparti,65,1937,1070.0,0.5524006195147134,sundhed
Kristendemokraterne,Tjóðveldi,65,18,14.0,0.7777777777777778,sundhed
Kristendemokraterne,Uden for Folketingsgrupperne,65,2,2.0,1.0,sundhed
Kristendemokraterne,Venstre,65,6779,3268.0,0.4820770025077445,sundhed
Radikale Venstre,Radikale Venstre,65,591,589.0,0.9966159052453468,sundhed
Radikale Venstre,Socialdemokratiet,65,8599,5461.0,0.6350738457960228,sundhed
Radikale Venstre,Socialistisk Folkeparti,65,2883,1884.0,0.6534859521331946,sundhed
Radikale Venstre,Tjóðveldi,65,27,27.0,1.0,sundhed
Radikale Venstre,Uden for Folketingsgrupperne,65,4,4.0,1.0,sundhed
Radikale Venstre,Venstre,65,10064,4170.0,0.4143481717011129,sundhed
Socialdemokratiet,Socialdemokratiet,65,19613,19558.0,0.997195737521032,sundhed
Socialdemokratiet,Socialistisk Folkeparti,65,14085,10450.0,0.741924032658857,sundhed
Socialdemokratiet,Tjóðveldi,65,134,104.0,0.7761194029850746,sundhed
Socialdemokratiet,Uden for Folketingsgrupperne,65,11,11.0,1.0,sundhed
Socialdemokratiet,Venstre,65,49251,14415.0,0.2926844124992386,sundhed
Socialistisk Folkeparti,Socialistisk Folkeparti,65,1886,1882.0,0.9978791092258749,sundhed
Socialistisk Folkeparti,Tjóðveldi,65,45,45.0,1.0,sundhed
Socialistisk Folkeparti,Uden for Folketingsgrupperne,65,4,4.0,1.0,sundhed
Socialistisk Folkeparti,Venstre,65,16489,4242.0,0.25726241736915517,sundhed
Tjóðveldi,Venstre,65,149,0.0,0.0,sundhed
Uden for Folketingsgrupperne,Venstre,65,18,18.0,1.0,sundhed
Venstre,Venstre,65,27278,27278.0,1.0,sundhed
Dansk Folkeparti,Dansk Folkeparti,66,24695,24695.0,1.0,sundhed
