source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,1880,1880.0,1.0,transport_infrastruktur
Dansk Folkeparti,Det Konservative Folkeparti,65,2331,2331.0,1.0,transport_infrastruktur
Dansk Folkeparti,Enhedslisten,65,374,44.0,0.11764705882352941,transport_infrastruktur
Dansk Folkeparti,Kristendemokraterne,65,523,373.0,0.7131931166347992,transport_infrastruktur
Dansk Folkeparti,Radikale Venstre,65,1198,722.0,0.6026711185308848,transport_infrastruktur
Dansk Folkeparti,Socialdemokratiet,65,8822,4917.0,0.557356608478803,transport_infrastruktur
Dansk Folkeparti,Socialistisk Folkeparti,65,1947,957.0,0.4915254237288136,transport_infrastruktur
Dansk Folkeparti,Venstre,65,10219,10219.0,1.0,transport_infrastruktur
Det Konservative Folkeparti,Det Konservative Folkeparti,65,618,618.0,1.0,transport_infrastruktur
Det Konservative Folkeparti,Enhedslisten,65,225,25.0,0.1111111111111111,transport_infrastruktur
Det Konservative Folkeparti,Kristendemokraterne,65,301,225.0,0.7475083056478405,transport_infrastruktur
Det Konservative Folkeparti,Radikale Venstre,65,703,405.0,0.5761024182076814,transport_infrastruktur
Det Konservative Folkeparti,Socialdemokratiet,65,5105,2698.0,0.5285014691478942,transport_infrastruktur
Det Konservative Folkeparti,Socialistisk Folkeparti,65,1121,502.0,0.44781445138269405,transport_infrastruktur
Det Konservative Folkeparti,Venstre,65,5920,5920.0,1.0,transport_infrastruktur
Enhedslisten,Enhedslisten,65,7,7.0,1.0,transport_infrastruktur
Enhedslisten,Kristendemokraterne,65,48,18.0,0.375,transport_infrastruktur
Enhedslisten,Radikale Venstre,65,114,64.0,0.5614035087719298,transport_infrastruktur
Enhedslisten,Socialdemokratiet,65,813,516.0,0.6346863468634686,transport_infrastruktur
Enhedslisten,Socialistisk Folkeparti,65,184,134.0,0.7282608695652174,transport_infrastruktur
Enhedslisten,Venstre,65,948,115.0,0.12130801687763713,transport_infrastruktur
Kristendemokraterne,Kristendemokraterne,65,17,17.0,1.0,transport_infrastruktur
Kristendemokraterne,Radikale Venstre,65,155,102.0,0.6580645161290323,transport_infrastruktur
Kristendemokraterne,Socialdemokratiet,65,1148,852.0,0.7421602787456446,transport_infrastruktur
Kristendemokraterne,Socialistisk Folkeparti,65,253,164.0,0.6482213438735178,transport_infrastruktur
Kristendemokraterne,Venstre,65,1331,951.0,0.7145003756574004,transport_infrastruktur
Radikale Venstre,Radikale Venstre,65,140,140.0,1.0,transport_infrastruktur
Radikale Venstre,Socialdemokratiet,65,2620,2445.0,0.933206106870229,transport_infrastruktur
Radikale Venstre,Socialistisk Folkeparti,65,580,495.0,0.853448275862069,transport_infrastruktur
Radikale Venstre,Venstre,65,3035,1811.0,0.5967051070840198,transport_infrastruktur
Socialdemokratiet,Socialdemokratiet,65,9389,9358.0,0.9966982639258707,transport_infrastruktur
Socialdemokratiet,Socialistisk Folkeparti,65,4259,3980.0,0.9344916647100259,transport_infrastruktur
