source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,676,676.0,1.0,uddannelse
Dansk Folkeparti,Det Konservative Folkeparti,65,943,943.0,1.0,uddannelse
Dansk Folkeparti,Enhedslisten,65,110,17.0,0.15454545454545454,uddannelse
Dansk Folkeparti,Kristendemokraterne,65,313,163.0,0.5207667731629393,uddannelse
Dansk Folkeparti,Radikale Venstre,65,460,244.0,0.5304347826086957,uddannelse
Dansk Folkeparti,Socialdemokratiet,65,1838,994.0,0.5408052230685527,uddannelse
Dansk Folkeparti,Socialistisk Folkeparti,65,634,298.0,0.47003154574132494,uddannelse
Dansk Folkeparti,Venstre,65,2490,2490.0,1.0,uddannelse
Det Konservative Folkeparti,Det Konservative Folkeparti,65,252,252.0,1.0,uddannelse
Det Konservative Folkeparti,Enhedslisten,65,68,10.0,0.14705882352941177,uddannelse
Det Konservative Folkeparti,Kristendemokraterne,65,196,104.0,0.5306122448979592,uddannelse
Det Konservative Folkeparti,Radikale Venstre,65,286,157.0,0.548951048951049,uddannelse
Det Konservative Folkeparti,Socialdemokratiet,65,1149,640.0,0.557006092254134,uddannelse
Det Konservative Folkeparti,Socialistisk Folkeparti,65,397,192.0,0.4836272040302267,uddannelse
Det Konservative Folkeparti,Venstre,65,1552,1552.0,1.0,uddannelse
Enhedslisten,Enhedslisten,65,1,1.0,1.0,uddannelse
Enhedslisten,Kristendemokraterne,65,22,16.0,0.7272727272727273,uddannelse
Enhedslisten,Radikale Venstre,65,32,24.0,0.75,uddannelse
Enhedslisten,Socialdemokratiet,65,133,89.0,0.6691729323308271,uddannelse
Enhedslisten,Socialistisk Folkeparti,65,51,39.0,0.7647058823529411,uddannelse
Enhedslisten,Venstre,65,193,29.0,0.15025906735751296,uddannelse
Kristendemokraterne,Kristendemokraterne,65,16,16.0,1.0,uddannelse
Kristendemokraterne,Radikale Venstre,65,96,86.0,0.8958333333333334,uddannelse
Kristendemokraterne,Socialdemokratiet,65,380,336.0,0.8842105263157894,uddannelse
Kristendemokraterne,Socialistisk Folkeparti,65,131,107.0,0.816793893129771,uddannelse
Kristendemokraterne,Venstre,65,513,255.0,0.49707602339181284,uddannelse
Radikale Venstre,Radikale Venstre,65,47,47.0,1.0,uddannelse
Radikale Venstre,Socialdemokratiet,65,558,525.0,0.9408602150537635,uddannelse
Radikale Venstre,Socialistisk Folkeparti,65,192,180.0,0.9375,uddannelse
Radikale Venstre,Venstre,65,744,394.0,0.5295698924731183,uddannelse
Socialdemokratiet,Socialdemokratiet,65,1020,1020.0,1.0,uddannelse
Socialdemokratiet,Socialistisk Folkeparti,65,777,689.0,0.8867438867438867,uddannelse
Socialdemokratiet,Venstre,65,3031,1642.0,0.5417354008578027,uddannelse
Socialistisk Folkeparti,Socialistisk Folkeparti,65,104,104.0,1.0,uddannelse
Socialistisk Folkeparti,Venstre,65,1062,505.0,0.4755178907721281,uddannelse
Venstre,Venstre,65,1966,1966.0,1.0,uddannelse
Dansk Folkeparti,Dansk Folkeparti,66,18981,18922.0,0.9968916284705759,uddannelse
Dansk Folkeparti,Det Konservative Folkeparti,66,28809,26725.0,0.9276614946718039,uddannelse
Dansk Folkeparti,Enhedslisten,66,3052,652.0,0.21363040629095675,uddannelse
Dansk Folkeparti,Inuit Ataqatigiit,66,14,0.0,0.0,uddannelse
Dansk Folkeparti,Liberal Alliance,66,22,0.0,0.0,uddannelse
Dansk Folkeparti,Radikale Venstre,66,10804,5380.0,0.4979637171417993,uddannelse
Dansk Folkeparti,Siumut,66,28,14.0,0.5,uddannelse
Dansk Folkeparti,Socialdemokratiet,66,30656,18895.0,0.6163556889352818,uddannelse
Dansk Folkeparti,Socialistisk Folkeparti,66,21346,7668.0,0.3592242106249414,uddannelse
Dansk Folkeparti,Tjóðveldi,66,28,0.0,0.0,uddannelse
Dansk Folkeparti,Uden for Folketingsgrupperne,66,192,175.0,0.9114583333333334,uddannelse
Dansk Folkeparti,Venstre,66,52450,48215.0,0.919256434699714,uddannelse
Det Konservative Folkeparti,Det Konservative Folkeparti,66,9302,9177.0,0.9865620296710385,uddannelse
Det Konservative Folkeparti,Enhedslisten,66,2229,439.0,0.19694930462090623,uddannelse
Det Konservative Folkeparti,Inuit Ataqatigiit,66,9,9.0,1.0,uddannelse
Det Konservative Folkeparti,Liberal Alliance,66,14,14.0,1.0,uddannelse
Det Konservative Folkeparti,Radikale Venstre,66,7687,3867.0,0.5030571094054898,uddannelse
Det Konservative Folkeparti,Siumut,66,20,11.0,0.55,uddannelse
Det Konservative Folkeparti,Socialdemokratiet,66,21705,14475.0,0.6668970283344852,uddannelse
Det Konservative Folkeparti,Socialistisk Folkeparti,66,15192,5810.0,0.3824381253291206,uddannelse
Det Konservative Folkeparti,Tjóðveldi,66,17,0.0,0.0,uddannelse
Det Konservative Folkeparti,Uden for Folketingsgrupperne,66,149,141.0,0.9463087248322147,uddannelse
Det Konservative Folkeparti,Venstre,66,37034,36243.0,0.9786412485823838,uddannelse
Enhedslisten,Enhedslisten,66,55,55.0,1.0,uddannelse
Enhedslisten,Liberal Alliance,66,6,0.0,0.0,uddannelse
Enhedslisten,Radikale Venstre,66,796,510.0,0.6407035175879398,uddannelse
Enhedslisten,Siumut,66,3,1.0,0.3333333333333333,uddannelse
Enhedslisten,Socialdemokratiet,66,2247,1193.0,0.5309301290609701,uddannelse
Enhedslisten,Socialistisk Folkeparti,66,1612,1252.0,0.7766749379652605,uddannelse
Enhedslisten,Tjóðveldi,66,3,3.0,1.0,uddannelse
Enhedslisten,Uden for Folketingsgrupperne,66,13,4.0,0.3076923076923077,uddannelse
Enhedslisten,Venstre,66,4008,798.0,0.19910179640718562,uddannelse
Inuit Ataqatigiit,Radikale Venstre,66,3,3.0,1.0,uddannelse
Inuit Ataqatigiit,Socialdemokratiet,66,12,12.0,1.0,uddannelse
Inuit Ataqatigiit,Socialistisk Folkeparti,66,8,8.0,1.0,uddannelse
Inuit Ataqatigiit,Venstre,66,18,18.0,1.0,uddannelse
Liberal Alliance,Liberal Alliance,66,1,1.0,1.0,uddannelse
Liberal Alliance,Radikale Venstre,66,4,4.0,1.0,uddannelse
Liberal Alliance,Socialdemokratiet,66,24,24.0,1.0,uddannelse
Liberal Alliance,Socialistisk Folkeparti,66,12,12.0,1.0,uddannelse
