source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,2615,2615.0,1.0,udenrigs_eu
Dansk Folkeparti,Det Konservative Folkeparti,65,3279,3009.0,0.9176578225068619,udenrigs_eu
Dansk Folkeparti,Enhedslisten,65,499,117.0,0.23446893787575152,udenrigs_eu
Dansk Folkeparti,Inuit Ataqatigiit,65,41,0.0,0.0,udenrigs_eu
Dansk Folkeparti,Kristendemokraterne,65,778,578.0,0.7429305912596401,udenrigs_eu
Dansk Folkeparti,Radikale Venstre,65,1599,1187.0,0.742338961851157,udenrigs_eu
Dansk Folkeparti,Socialdemokratiet,65,12605,8856.0,0.7025783419278064,udenrigs_eu
Dansk Folkeparti,Socialistisk Folkeparti,65,2732,1378.0,0.5043923865300146,udenrigs_eu
Dansk Folkeparti,Venstre,65,14106,12996.0,0.9213100808166738,udenrigs_eu
Det Konservative Folkeparti,Det Konservative Folkeparti,65,874,874.0,1.0,udenrigs_eu
Det Konservative Folkeparti,Enhedslisten,65,311,70.0,0.22508038585209003,udenrigs_eu
Det Konservative Folkeparti,Inuit Ataqatigiit,65,31,0.0,0.0,udenrigs_eu
Det Konservative Folkeparti,Kristendemokraterne,65,456,374.0,0.8201754385964912,udenrigs_eu
Det Konservative Folkeparti,Radikale Venstre,65,943,779.0,0.8260869565217391,udenrigs_eu
Det Konservative Folkeparti,Socialdemokratiet,65,7364,5761.0,0.782319391634981,udenrigs_eu
Det Konservative Folkeparti,Socialistisk Folkeparti,65,1614,767.0,0.4752168525402726,udenrigs_eu
Det Konservative Folkeparti,Venstre,65,8240,8230.0,0.9987864077669902,udenrigs_eu
Enhedslisten,Enhedslisten,65,14,14.0,1.0,udenrigs_eu
Enhedslisten,Inuit Ataqatigiit,65,10,10.0,1.0,udenrigs_eu
Enhedslisten,Kristendemokraterne,65,70,30.0,0.42857142857142855,udenrigs_eu
Enhedslisten,Radikale Venstre,65,144,50.0,0.3472222222222222,udenrigs_eu
Enhedslisten,Socialdemokratiet,65,1127,390.0,0.3460514640638864,udenrigs_eu
Enhedslisten,Socialistisk Folkeparti,65,268,226.0,0.8432835820895522,udenrigs_eu
Enhedslisten,Venstre,65,1249,285.0,0.22818254603682947,udenrigs_eu
Inuit Ataqatigiit,Kristendemokraterne,65,6,2.0,0.3333333333333333,udenrigs_eu
