source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,68,9443,9417.0,0.9972466377210633,all_topics
Danmarksdemokraterne,Dansk Folkeparti,68,15525,15497.0,0.9981964573268921,all_topics
Danmarksdemokraterne,Det Konservative Folkeparti,68,16842,11724.0,0.696116850730317,all_topics
Danmarksdemokraterne,Enhedslisten,68,30864,13672.0,0.4429756350440643,all_topics
Danmarksdemokraterne,Inuit Ataqatigiit,68,13,6.0,0.46153846153846156,all_topics
Danmarksdemokraterne,Liberal Alliance,68,17001,10168.0,0.5980824657373096,all_topics
Danmarksdemokraterne,Moderaterne,68,1667,1126.0,0.6754649070185963,all_topics
Danmarksdemokraterne,Radikale Venstre,68,33189,18177.0,0.547681460724939,all_topics
Danmarksdemokraterne,Socialdemokratiet,68,36691,20556.0,0.5602463819465264,all_topics
Danmarksdemokraterne,Socialistisk Folkeparti,68,19066,10068.0,0.5280604216930662,all_topics
Danmarksdemokraterne,Uden for folketingsgrupperne,68,11693,10712.0,0.9161036517574618,all_topics
Danmarksdemokraterne,Venstre,68,50448,36275.0,0.719057247066286,all_topics
Dansk Folkeparti,Danmarksdemokraterne,68,10760,10728.0,0.9970260223048327,all_topics
Dansk Folkeparti,Dansk Folkeparti,68,11846,11818.0,0.9976363329393888,all_topics
Dansk Folkeparti,Det Konservative Folkeparti,68,16778,11765.0,0.7012158779353915,all_topics
Dansk Folkeparti,Enhedslisten,68,32189,14349.0,0.44577340085122247,all_topics
Dansk Folkeparti,Inuit Ataqatigiit,68,13,4.0,0.3076923076923077,all_topics
Dansk Folkeparti,Liberal Alliance,68,15332,9502.0,0.6197495434385599,all_topics
Dansk Folkeparti,Moderaterne,68,1061,735.0,0.6927426955702167,all_topics
Dansk Folkeparti,Radikale Venstre,68,28373,15915.0,0.5609205935220104,all_topics
Dansk Folkeparti,Socialdemokratiet,68,35240,20147.0,0.5717082860385925,all_topics
Dansk Folkeparti,Socialistisk Folkeparti,68,20177,10737.0,0.5321405560787035,all_topics
Dansk Folkeparti,Uden for folketingsgrupperne,68,9916,8746.0,0.8820088745461879,all_topics
Dansk Folkeparti,Venstre,68,49300,36080.0,0.7318458417849899,all_topics
Det Konservative Folkeparti,Danmarksdemokraterne,68,6287,4216.0,0.6705901065691109,all_topics
Det Konservative Folkeparti,Dansk Folkeparti,68,8483,5921.0,0.6979842037015207,all_topics
Det Konservative Folkeparti,Det Konservative Folkeparti,68,8302,8284.0,0.9978318477475308,all_topics
Det Konservative Folkeparti,Enhedslisten,68,21329,9609.0,0.45051338553143605,all_topics
Det Konservative Folkeparti,Inuit Ataqatigiit,68,10,6.0,0.6,all_topics
Det Konservative Folkeparti,Liberal Alliance,68,9732,6819.0,0.7006781750924784,all_topics
Det Konservative Folkeparti,Moderaterne,68,827,735.0,0.8887545344619106,all_topics
Det Konservative Folkeparti,Radikale Venstre,68,17247,12560.0,0.7282425929147098,all_topics
Det Konservative Folkeparti,Socialdemokratiet,68,23301,17141.0,0.7356336637912536,all_topics
Det Konservative Folkeparti,Socialistisk Folkeparti,68,13450,9047.0,0.672639405204461,all_topics
Det Konservative Folkeparti,Uden for folketingsgrupperne,68,5919,4125.0,0.696908261530664,all_topics
Det Konservative Folkeparti,Venstre,68,30524,27664.0,0.9063032367972743,all_topics
Enhedslisten,Danmarksdemokraterne,68,17099,7723.0,0.45166383999064275,all_topics
Enhedslisten,Dansk Folkeparti,68,20527,8876.0,0.43240609928387,all_topics
Enhedslisten,Det Konservative Folkeparti,68,24209,10190.0,0.42091784047255154,all_topics
Enhedslisten,Enhedslisten,68,41502,40340.0,0.9720013493325623,all_topics
Enhedslisten,Inuit Ataqatigiit,68,22,22.0,1.0,all_topics
Enhedslisten,Liberal Alliance,68,23242,9200.0,0.3958351260648825,all_topics
Enhedslisten,Moderaterne,68,2481,1103.0,0.4445787988714228,all_topics
Enhedslisten,Radikale Venstre,68,43059,29583.0,0.6870340695325019,all_topics
Enhedslisten,Socialdemokratiet,68,54861,36680.0,0.6685988224786278,all_topics
Enhedslisten,Socialistisk Folkeparti,68,30689,22216.0,0.7239075890384177,all_topics
Enhedslisten,Uden for folketingsgrupperne,68,15506,6700.0,0.4320908035599123,all_topics
Enhedslisten,Venstre,68,74684,31887.0,0.42695892025065607,all_topics
Inuit Ataqatigiit,Danmarksdemokraterne,68,2,2.0,1.0,all_topics
Inuit Ataqatigiit,Det Konservative Folkeparti,68,3,1.0,0.3333333333333333,all_topics
Inuit Ataqatigiit,Enhedslisten,68,3,3.0,1.0,all_topics
Inuit Ataqatigiit,Liberal Alliance,68,2,1.0,0.5,all_topics
Inuit Ataqatigiit,Radikale Venstre,68,3,2.0,0.6666666666666666,all_topics
Inuit Ataqatigiit,Socialdemokratiet,68,7,5.0,0.7142857142857143,all_topics
Inuit Ataqatigiit,Socialistisk Folkeparti,68,4,2.0,0.5,all_topics
Inuit Ataqatigiit,Uden for folketingsgrupperne,68,2,0.0,0.0,all_topics
Inuit Ataqatigiit,Venstre,68,9,4.0,0.4444444444444444,all_topics
Liberal Alliance,Danmarksdemokraterne,68,4771,2695.0,0.5648710962062461,all_topics
Liberal Alliance,Dansk Folkeparti,68,8501,5108.0,0.6008704858251971,all_topics
Liberal Alliance,Det Konservative Folkeparti,68,10735,7278.0,0.6779692594317652,all_topics
Liberal Alliance,Enhedslisten,68,19651,7865.0,0.40023408477940053,all_topics
Liberal Alliance,Inuit Ataqatigiit,68,11,5.0,0.45454545454545453,all_topics
Liberal Alliance,Liberal Alliance,68,7184,7127.0,0.9920657015590201,all_topics
Liberal Alliance,Moderaterne,68,372,209.0,0.5618279569892473,all_topics
