source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,85,85.0,1.0,arbejdsmarked_velfærd
Danmarksdemokraterne,Dansk Folkeparti,65,1278,1278.0,1.0,arbejdsmarked_velfærd
Danmarksdemokraterne,Det Konservative Folkeparti,65,889,889.0,1.0,arbejdsmarked_velfærd
Danmarksdemokraterne,Enhedslisten,65,103,52.0,0.5048543689320388,arbejdsmarked_velfærd
Danmarksdemokraterne,Inuit Ataqatigiit,65,2,0.0,0.0,arbejdsmarked_velfærd
Danmarksdemokraterne,Kristeligt Folkeparti,65,141,97.0,0.6879432624113475,arbejdsmarked_velfærd
Danmarksdemokraterne,Kristendemokraterne,65,70,46.0,0.6571428571428571,arbejdsmarked_velfærd
Danmarksdemokraterne,Liberal Alliance,65,102,102.0,1.0,arbejdsmarked_velfærd
Danmarksdemokraterne,Moderaterne,65,40,40.0,1.0,arbejdsmarked_velfærd
Danmarksdemokraterne,Not able to assign,65,394,243.0,0.616751269035533,arbejdsmarked_velfærd
Danmarksdemokraterne,Ny Alliance,65,99,99.0,1.0,arbejdsmarked_velfærd
Danmarksdemokraterne,Radikale Venstre,65,401,250.0,0.6234413965087282,arbejdsmarked_velfærd
Danmarksdemokraterne,Socialdemokratiet,65,3161,1947.0,0.6159443214172731,arbejdsmarked_velfærd
Danmarksdemokraterne,Socialistisk Folkeparti,65,574,353.0,0.6149825783972126,arbejdsmarked_velfærd
Danmarksdemokraterne,Uden for folketingsgrupperne,65,246,236.0,0.959349593495935,arbejdsmarked_velfærd
Danmarksdemokraterne,Venstre,65,3470,3468.0,0.9994236311239193,arbejdsmarked_velfærd
Dansk Folkeparti,Dansk Folkeparti,65,2815,2815.0,1.0,arbejdsmarked_velfærd
Dansk Folkeparti,Det Konservative Folkeparti,65,4299,4299.0,1.0,arbejdsmarked_velfærd
Dansk Folkeparti,Enhedslisten,65,487,239.0,0.49075975359342916,arbejdsmarked_velfærd
Dansk Folkeparti,Inuit Ataqatigiit,65,11,0.0,0.0,arbejdsmarked_velfærd
Dansk Folkeparti,Kristeligt Folkeparti,65,715,489.0,0.6839160839160839,arbejdsmarked_velfærd
Dansk Folkeparti,Kristendemokraterne,65,299,191.0,0.6387959866220736,arbejdsmarked_velfærd
Dansk Folkeparti,Liberal Alliance,65,488,488.0,1.0,arbejdsmarked_velfærd
Dansk Folkeparti,Moderaterne,65,165,165.0,1.0,arbejdsmarked_velfærd
Dansk Folkeparti,Not able to assign,65,1868,1126.0,0.6027837259100642,arbejdsmarked_velfærd
