party_a,party_b,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,25,25.0,1.0,bolig
Danmarksdemokraterne,Dansk Folkeparti,65,417,417.0,1.0,bolig
Danmarksdemokraterne,Det Konservative Folkeparti,65,284,284.0,1.0,bolig
Danmarksdemokraterne,Enhedslisten,65,33,9.0,0.2727272727272727,bolig
Danmarksdemokraterne,Kristeligt Folkeparti,65,49,32.0,0.6530612244897959,bolig
Danmarksdemokraterne,Kristendemokraterne,65,21,9.0,0.42857142857142855,bolig
Danmarksdemokraterne,Liberal Alliance,65,33,33.0,1.0,bolig
Danmarksdemokraterne,Moderaterne,65,5,5.0,1.0,bolig
Danmarksdemokraterne,Not able to assign,65,122,53.0,0.4344262295081967,bolig
Danmarksdemokraterne,Ny Alliance,65,33,33.0,1.0,bolig
Danmarksdemokraterne,Radikale Venstre,65,128,54.0,0.421875,bolig
Danmarksdemokraterne,Socialdemokratiet,65,1065,540.0,0.5070422535211268,bolig
Danmarksdemokraterne,Socialistisk Folkeparti,65,187,71.0,0.37967914438502676,bolig
Danmarksdemokraterne,Uden for folketingsgrupperne,65,86,82.0,0.9534883720930233,bolig
Danmarksdemokraterne,Venstre,65,1139,1139.0,1.0,bolig
Dansk Folkeparti,Dansk Folkeparti,65,972,972.0,1.0,bolig
Dansk Folkeparti,Det Konservative Folkeparti,65,1459,1459.0,1.0,bolig
Dansk Folkeparti,Enhedslisten,65,165,46.0,0.2787878787878788,bolig
Dansk Folkeparti,Kristeligt Folkeparti,65,260,165.0,0.6346153846153846,bolig
Dansk Folkeparti,Kristendemokraterne,65,96,37.0,0.3854166666666667,bolig
Dansk Folkeparti,Liberal Alliance,65,165,165.0,1.0,bolig
Dansk Folkeparti,Moderaterne,65,23,23.0,1.0,bolig
Dansk Folkeparti,Not able to assign,65,620,266.0,0.4290322580645161,bolig
Dansk Folkeparti,Ny Alliance,65,168,168.0,1.0,bolig
Dansk Folkeparti,Radikale Venstre,65,639,270.0,0.4225352112676056,bolig
Dansk Folkeparti,Socialdemokratiet,65,5439,2774.0,0.5100202243059386,bolig
Dansk Folkeparti,Socialistisk Folkeparti,65,955,348.0,0.3643979057591623,bolig
Dansk Folkeparti,Uden for folketingsgrupperne,65,449,424.0,0.9443207126948775,bolig
Dansk Folkeparti,Venstre,65,5799,5799.0,1.0,bolig
Det Konservative Folkeparti,Det Konservative Folkeparti,65,456,456.0,1.0,bolig
Det Konservative Folkeparti,Enhedslisten,65,117,35.0,0.29914529914529914,bolig
Det Konservative Folkeparti,Kristeligt Folkeparti,65,187,121.0,0.6470588235294118,bolig
Det Konservative Folkeparti,Kristendemokraterne,65,59,22.0,0.3728813559322034,bolig
Det Konservative Folkeparti,Liberal Alliance,65,117,117.0,1.0,bolig
Det Konservative Folkeparti,Moderaterne,65,15,15.0,1.0,bolig
Det Konservative Folkeparti,Not able to assign,65,420,199.0,0.4738095238095238,bolig
Det Konservative Folkeparti,Ny Alliance,65,116,116.0,1.0,bolig
Det Konservative Folkeparti,Radikale Venstre,65,438,198.0,0.4520547945205479,bolig
Det Konservative Folkeparti,Socialdemokratiet,65,3760,2089.0,0.5555851063829788,bolig
Det Konservative Folkeparti,Socialistisk Folkeparti,65,646,260.0,0.4024767801857585,bolig
Det Konservative Folkeparti,Uden for folketingsgrupperne,65,316,300.0,0.9493670886075949,bolig
Det Konservative Folkeparti,Venstre,65,4020,4020.0,1.0,bolig
Enhedslisten,Kristeligt Folkeparti,65,21,9.0,0.42857142857142855,bolig
Enhedslisten,Kristendemokraterne,65,7,4.0,0.5714285714285714,bolig
Enhedslisten,Liberal Alliance,65,14,4.0,0.2857142857142857,bolig
Enhedslisten,Moderaterne,65,2,1.0,0.5,bolig
Enhedslisten,Not able to assign,65,47,34.0,0.723404255319149,bolig
Enhedslisten,Ny Alliance,65,13,4.0,0.3076923076923077,bolig
Enhedslisten,Radikale Venstre,65,51,30.0,0.5882352941176471,bolig
Enhedslisten,Socialdemokratiet,65,424,269.0,0.6344339622641509,bolig
Enhedslisten,Socialistisk Folkeparti,65,71,61.0,0.8591549295774648,bolig
Enhedslisten,Uden for folketingsgrupperne,65,35,11.0,0.3142857142857143,bolig
Enhedslisten,Venstre,65,455,129.0,0.2835164835164835,bolig
Kristeligt Folkeparti,Kristeligt Folkeparti,65,7,7.0,1.0,bolig
Kristeligt Folkeparti,Kristendemokraterne,65,8,7.0,0.875,bolig
Kristeligt Folkeparti,Liberal Alliance,65,21,14.0,0.6666666666666666,bolig
Kristeligt Folkeparti,Moderaterne,65,2,1.0,0.5,bolig
Kristeligt Folkeparti,Not able to assign,65,74,57.0,0.7702702702702703,bolig
Kristeligt Folkeparti,Ny Alliance,65,20,12.0,0.6,bolig
Kristeligt Folkeparti,Radikale Venstre,65,76,63.0,0.8289473684210527,bolig
Kristeligt Folkeparti,Socialdemokratiet,65,676,585.0,0.8653846153846154,bolig
Kristeligt Folkeparti,Socialistisk Folkeparti,65,114,56.0,0.49122807017543857,bolig
Kristeligt Folkeparti,Uden for folketingsgrupperne,65,58,41.0,0.7068965517241379,bolig
Kristeligt Folkeparti,Venstre,65,721,463.0,0.6421636615811374,bolig
Kristendemokraterne,Liberal Alliance,65,7,3.0,0.42857142857142855,bolig
Kristendemokraterne,Moderaterne,65,2,1.0,0.5,bolig
Kristendemokraterne,Not able to assign,65,30,23.0,0.7666666666666667,bolig
Kristendemokraterne,Ny Alliance,65,8,3.0,0.375,bolig
Kristendemokraterne,Radikale Venstre,65,32,23.0,0.71875,bolig
Kristendemokraterne,Socialdemokratiet,65,240,182.0,0.7583333333333333,bolig
Kristendemokraterne,Socialistisk Folkeparti,65,46,25.0,0.5434782608695652,bolig
Kristendemokraterne,Uden for folketingsgrupperne,65,18,7.0,0.3888888888888889,bolig
Kristendemokraterne,Venstre,65,255,94.0,0.3686274509803922,bolig
Liberal Alliance,Moderaterne,65,2,2.0,1.0,bolig
