source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,78,75.0,0.9615384615384616,erhverv
Danmarksdemokraterne,Dansk Folkeparti,65,1070,1052.0,0.983177570093458,erhverv
Danmarksdemokraterne,Det Konservative Folkeparti,65,497,480.0,0.96579476861167,erhverv
Danmarksdemokraterne,Enhedslisten,65,86,27.0,0.313953488372093,erhverv
Danmarksdemokraterne,Kristeligt Folkeparti,65,127,78.0,0.6141732283464567,erhverv
Danmarksdemokraterne,Kristendemokraterne,65,50,22.0,0.44,erhverv
Danmarksdemokraterne,Liberal Alliance,65,86,84.0,0.9767441860465116,erhverv
Danmarksdemokraterne,Moderaterne,65,13,13.0,1.0,erhverv
Danmarksdemokraterne,Not able to assign,65,192,101.0,0.5260416666666666,erhverv
Danmarksdemokraterne,Ny Alliance,65,45,43.0,0.9555555555555556,erhverv
Danmarksdemokraterne,Radikale Venstre,65,249,148.0,0.5943775100401606,erhverv
Danmarksdemokraterne,Sambandsflokkurin,65,2,2.0,1.0,erhverv
Danmarksdemokraterne,Socialdemokratiet,65,2533,1372.0,0.5416502171338334,erhverv
Danmarksdemokraterne,Socialistisk Folkeparti,65,449,227.0,0.5055679287305123,erhverv
Danmarksdemokraterne,Uden for folketingsgrupperne,65,259,240.0,0.9266409266409267,erhverv
Danmarksdemokraterne,Venstre,65,2640,2564.0,0.9712121212121212,erhverv
Dansk Folkeparti,Danmarksdemokraterne,65,283,276.0,0.9752650176678446,erhverv
Dansk Folkeparti,Dansk Folkeparti,65,3318,3318.0,1.0,erhverv
Dansk Folkeparti,Det Konservative Folkeparti,65,1041,976.0,0.9375600384245918,erhverv
Dansk Folkeparti,Enhedslisten,65,261,69.0,0.26436781609195403,erhverv
Dansk Folkeparti,Kristeligt Folkeparti,65,298,151.0,0.5067114093959731,erhverv
Dansk Folkeparti,Kristendemokraterne,65,180,70.0,0.3888888888888889,erhverv
Dansk Folkeparti,Liberal Alliance,65,255,241.0,0.9450980392156862,erhverv
Dansk Folkeparti,Moderaterne,65,41,41.0,1.0,erhverv
Dansk Folkeparti,Not able to assign,65,568,273.0,0.48063380281690143,erhverv
Dansk Folkeparti,Ny Alliance,65,130,123.0,0.9461538461538461,erhverv
Dansk Folkeparti,Radikale Venstre,65,747,425.0,0.5689424364123159,erhverv
Dansk Folkeparti,Sambandsflokkurin,65,5,5.0,1.0,erhverv
Dansk Folkeparti,Socialdemokratiet,65,7825,3983.0,0.5090095846645367,erhverv
Dansk Folkeparti,Socialistisk Folkeparti,65,1795,876.0,0.48802228412256266,erhverv
Dansk Folkeparti,Uden for folketingsgrupperne,65,740,668.0,0.9027027027027027,erhverv
Dansk Folkeparti,Venstre,65,8517,8123.0,0.953739579664201,erhverv
Det Konservative Folkeparti,Danmarksdemokraterne,65,443,434.0,0.9796839729119639,erhverv
Det Konservative Folkeparti,Dansk Folkeparti,65,3951,3804.0,0.9627942293090357,erhverv
Det Konservative Folkeparti,Det Konservative Folkeparti,65,1584,1584.0,1.0,erhverv
Det Konservative Folkeparti,Enhedslisten,65,346,115.0,0.33236994219653176,erhverv
Det Konservative Folkeparti,Kristeligt Folkeparti,65,341,206.0,0.6041055718475073,erhverv
Det Konservative Folkeparti,Kristendemokraterne,65,190,89.0,0.46842105263157896,erhverv
Det Konservative Folkeparti,Liberal Alliance,65,365,365.0,1.0,erhverv
Det Konservative Folkeparti,Moderaterne,65,54,54.0,1.0,erhverv
Det Konservative Folkeparti,Not able to assign,65,655,364.0,0.5557251908396946,erhverv
Det Konservative Folkeparti,Ny Alliance,65,278,278.0,1.0,erhverv
Det Konservative Folkeparti,Radikale Venstre,65,1186,746.0,0.6290050590219224,erhverv
Det Konservative Folkeparti,Sambandsflokkurin,65,10,10.0,1.0,erhverv
Det Konservative Folkeparti,Socialdemokratiet,65,9990,5665.0,0.5670670670670671,erhverv
Det Konservative Folkeparti,Socialistisk Folkeparti,65,1705,876.0,0.513782991202346,erhverv
Det Konservative Folkeparti,Uden for folketingsgrupperne,65,1033,948.0,0.9177153920619555,erhverv
Det Konservative Folkeparti,Venstre,65,10152,10146.0,0.9994089834515366,erhverv
Enhedslisten,Danmarksdemokraterne,65,15,5.0,0.3333333333333333,erhverv
Enhedslisten,Dansk Folkeparti,65,269,85.0,0.3159851301115242,erhverv
Enhedslisten,Det Konservative Folkeparti,65,40,10.0,0.25,erhverv
Enhedslisten,Enhedslisten,65,2,2.0,1.0,erhverv
Enhedslisten,Kristeligt Folkeparti,65,19,12.0,0.631578947368421,erhverv
Enhedslisten,Kristendemokraterne,65,17,12.0,0.7058823529411765,erhverv
Enhedslisten,Liberal Alliance,65,26,7.0,0.2692307692307692,erhverv
Enhedslisten,Moderaterne,65,1,0.0,0.0,erhverv
Enhedslisten,Not able to assign,65,14,11.0,0.7857142857142857,erhverv
Enhedslisten,Radikale Venstre,65,65,38.0,0.5846153846153846,erhverv
Enhedslisten,Socialdemokratiet,65,629,448.0,0.712241653418124,erhverv
Enhedslisten,Socialistisk Folkeparti,65,146,117.0,0.8013698630136986,erhverv
Enhedslisten,Uden for folketingsgrupperne,65,77,28.0,0.36363636363636365,erhverv
Enhedslisten,Venstre,65,551,182.0,0.33030852994555354,erhverv
Kristeligt Folkeparti,Danmarksdemokraterne,65,29,20.0,0.6896551724137931,erhverv
Kristeligt Folkeparti,Dansk Folkeparti,65,574,377.0,0.6567944250871081,erhverv
Kristeligt Folkeparti,Det Konservative Folkeparti,65,288,201.0,0.6979166666666666,erhverv
Kristeligt Folkeparti,Enhedslisten,65,50,29.0,0.58,erhverv
Kristeligt Folkeparti,Kristeligt Folkeparti,65,24,24.0,1.0,erhverv
Kristeligt Folkeparti,Kristendemokraterne,65,7,7.0,1.0,erhverv
Kristeligt Folkeparti,Liberal Alliance,65,49,34.0,0.6938775510204082,erhverv
Kristeligt Folkeparti,Moderaterne,65,2,0.0,0.0,erhverv
Kristeligt Folkeparti,Not able to assign,65,107,92.0,0.8598130841121495,erhverv
Kristeligt Folkeparti,Ny Alliance,65,26,17.0,0.6538461538461539,erhverv
Kristeligt Folkeparti,Radikale Venstre,65,137,128.0,0.9343065693430657,erhverv
Kristeligt Folkeparti,Socialdemokratiet,65,1303,1127.0,0.8649270913277053,erhverv
Kristeligt Folkeparti,Socialistisk Folkeparti,65,249,178.0,0.714859437751004,erhverv
