party_a,party_b,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,386,382.0,0.9896373056994818,finans_budget
Danmarksdemokraterne,Dansk Folkeparti,65,6220,6182.0,0.9938906752411576,finans_budget
Danmarksdemokraterne,Det Konservative Folkeparti,65,3613,3585.0,0.9922502075837254,finans_budget
Danmarksdemokraterne,Enhedslisten,65,93,40.0,0.43010752688172044,finans_budget
Danmarksdemokraterne,Inuit Ataqatigiit,65,30,3.0,0.1,finans_budget
Danmarksdemokraterne,Kristeligt Folkeparti,65,525,248.0,0.4723809523809524,finans_budget
Danmarksdemokraterne,Kristendemokraterne,65,475,205.0,0.43157894736842106,finans_budget
Danmarksdemokraterne,Liberal Alliance,65,492,488.0,0.991869918699187,finans_budget
Danmarksdemokraterne,Moderaterne,65,35,35.0,1.0,finans_budget
Danmarksdemokraterne,Not able to assign,65,1965,571.0,0.2905852417302799,finans_budget
Danmarksdemokraterne,Ny Alliance,65,250,248.0,0.992,finans_budget
Danmarksdemokraterne,Radikale Venstre,65,1988,811.0,0.4079476861167002,finans_budget
Danmarksdemokraterne,Sambandsflokkurin,65,8,8.0,1.0,finans_budget
Danmarksdemokraterne,Socialdemokratiet,65,15824,4708.0,0.2975227502527806,finans_budget
Danmarksdemokraterne,Socialistisk Folkeparti,65,2550,707.0,0.27725490196078434,finans_budget
Danmarksdemokraterne,Tjóðveldi,65,25,0.0,0.0,finans_budget
Danmarksdemokraterne,Uden for folketingsgrupperne,65,1862,1587.0,0.8523093447905478,finans_budget
Danmarksdemokraterne,Venstre,65,15716,15585.0,0.9916645456859252,finans_budget
Dansk Folkeparti,Dansk Folkeparti,65,14807,14785.0,0.9985142162490714,finans_budget
Dansk Folkeparti,Det Konservative Folkeparti,65,18486,18241.0,0.9867467272530563,finans_budget
Dansk Folkeparti,Enhedslisten,65,410,178.0,0.43414634146341463,finans_budget
Dansk Folkeparti,Inuit Ataqatigiit,65,133,12.0,0.09022556390977443,finans_budget
Dansk Folkeparti,Kristeligt Folkeparti,65,2707,1306.0,0.4824528998891762,finans_budget
Dansk Folkeparti,Kristendemokraterne,65,2425,1069.0,0.44082474226804125,finans_budget
Dansk Folkeparti,Liberal Alliance,65,2532,2497.0,0.9861769352290679,finans_budget
Dansk Folkeparti,Moderaterne,65,141,141.0,1.0,finans_budget
Dansk Folkeparti,Not able to assign,65,10069,2768.0,0.2749031681398351,finans_budget
Dansk Folkeparti,Ny Alliance,65,1457,1432.0,0.9828414550446122,finans_budget
Dansk Folkeparti,Radikale Venstre,65,10187,4005.0,0.39314812996956905,finans_budget
Dansk Folkeparti,Sambandsflokkurin,65,32,32.0,1.0,finans_budget
Dansk Folkeparti,Socialdemokratiet,65,81302,23073.0,0.28379375661115347,finans_budget
Dansk Folkeparti,Socialistisk Folkeparti,65,13015,3334.0,0.2561659623511333,finans_budget
