source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,68,561,561.0,1.0,forsvar
Danmarksdemokraterne,Dansk Folkeparti,68,854,854.0,1.0,forsvar
Danmarksdemokraterne,Det Konservative Folkeparti,68,991,714.0,0.7204843592330978,forsvar
Danmarksdemokraterne,Enhedslisten,68,1755,924.0,0.5264957264957265,forsvar
Danmarksdemokraterne,Liberal Alliance,68,957,534.0,0.5579937304075235,forsvar
Danmarksdemokraterne,Moderaterne,68,67,47.0,0.7014925373134329,forsvar
Danmarksdemokraterne,Radikale Venstre,68,1781,971.0,0.545199326221224,forsvar
Danmarksdemokraterne,Socialdemokratiet,68,2157,1190.0,0.5516921650440426,forsvar
Danmarksdemokraterne,Socialistisk Folkeparti,68,1098,595.0,0.5418943533697632,forsvar
Danmarksdemokraterne,Uden for folketingsgrupperne,68,689,621.0,0.9013062409288825,forsvar
Danmarksdemokraterne,Venstre,68,2991,2075.0,0.6937479103978602,forsvar
Dansk Folkeparti,Danmarksdemokraterne,68,636,636.0,1.0,forsvar
Dansk Folkeparti,Dansk Folkeparti,68,632,632.0,1.0,forsvar
Dansk Folkeparti,Det Konservative Folkeparti,68,940,658.0,0.7,forsvar
Dansk Folkeparti,Enhedslisten,68,1739,907.0,0.5215641173087981,forsvar
Dansk Folkeparti,Liberal Alliance,68,812,499.0,0.6145320197044335,forsvar
Dansk Folkeparti,Moderaterne,68,34,24.0,0.7058823529411765,forsvar
Dansk Folkeparti,Radikale Venstre,68,1483,713.0,0.480782198246797,forsvar
Dansk Folkeparti,Socialdemokratiet,68,1940,948.0,0.488659793814433,forsvar
Dansk Folkeparti,Socialistisk Folkeparti,68,1090,556.0,0.5100917431192661,forsvar
Dansk Folkeparti,Uden for folketingsgrupperne,68,559,480.0,0.8586762075134168,forsvar
Dansk Folkeparti,Venstre,68,2680,1880.0,0.7014925373134329,forsvar
Det Konservative Folkeparti,Danmarksdemokraterne,68,383,261.0,0.6814621409921671,forsvar
Det Konservative Folkeparti,Dansk Folkeparti,68,487,355.0,0.728952772073922,forsvar
Det Konservative Folkeparti,Det Konservative Folkeparti,68,503,503.0,1.0,forsvar
Det Konservative Folkeparti,Enhedslisten,68,1236,580.0,0.4692556634304207,forsvar
Det Konservative Folkeparti,Liberal Alliance,68,555,358.0,0.645045045045045,forsvar
Det Konservative Folkeparti,Moderaterne,68,39,35.0,0.8974358974358975,forsvar
Det Konservative Folkeparti,Radikale Venstre,68,974,712.0,0.731006160164271,forsvar
Det Konservative Folkeparti,Socialdemokratiet,68,1374,1063.0,0.7736535662299855,forsvar
Det Konservative Folkeparti,Socialistisk Folkeparti,68,783,572.0,0.7305236270753512,forsvar
Det Konservative Folkeparti,Uden for folketingsgrupperne,68,364,246.0,0.6758241758241759,forsvar
Det Konservative Folkeparti,Venstre,68,1775,1672.0,0.9419718309859155,forsvar
Enhedslisten,Danmarksdemokraterne,68,968,493.0,0.5092975206611571,forsvar
Enhedslisten,Dansk Folkeparti,68,1094,514.0,0.46983546617915906,forsvar
Enhedslisten,Det Konservative Folkeparti,68,1363,528.0,0.3873807776962582,forsvar
Enhedslisten,Enhedslisten,68,2253,2185.0,0.9698180204172215,forsvar
Enhedslisten,Liberal Alliance,68,1281,553.0,0.43169398907103823,forsvar
Enhedslisten,Moderaterne,68,97,43.0,0.44329896907216493,forsvar
Enhedslisten,Radikale Venstre,68,2269,1627.0,0.7170559717937417,forsvar
Enhedslisten,Socialdemokratiet,68,3110,2107.0,0.677491961414791,forsvar
Enhedslisten,Socialistisk Folkeparti,68,1691,1211.0,0.7161442933175636,forsvar
Enhedslisten,Uden for folketingsgrupperne,68,883,442.0,0.5005662514156285,forsvar
Enhedslisten,Venstre,68,4149,1762.0,0.4246806459387804,forsvar
Liberal Alliance,Danmarksdemokraterne,68,283,179.0,0.6325088339222615,forsvar
Liberal Alliance,Dansk Folkeparti,68,462,269.0,0.5822510822510822,forsvar
Liberal Alliance,Det Konservative Folkeparti,68,615,355.0,0.5772357723577236,forsvar
Liberal Alliance,Enhedslisten,68,1062,475.0,0.4472693032015066,forsvar
Liberal Alliance,Liberal Alliance,68,393,389.0,0.989821882951654,forsvar
Liberal Alliance,Moderaterne,68,13,9.0,0.6923076923076923,forsvar
Liberal Alliance,Radikale Venstre,68,735,334.0,0.454421768707483,forsvar
Liberal Alliance,Socialdemokratiet,68,1261,568.0,0.45043616177636797,forsvar
Liberal Alliance,Socialistisk Folkeparti,68,720,294.0,0.4083333333333333,forsvar
Liberal Alliance,Uden for folketingsgrupperne,68,272,206.0,0.7573529411764706,forsvar
Liberal Alliance,Venstre,68,1457,828.0,0.5682910089224433,forsvar
Moderaterne,Danmarksdemokraterne,68,74,49.0,0.6621621621621622,forsvar
Moderaterne,Dansk Folkeparti,68,93,65.0,0.6989247311827957,forsvar
Moderaterne,Det Konservative Folkeparti,68,93,86.0,0.9247311827956989,forsvar
Moderaterne,Enhedslisten,68,153,77.0,0.5032679738562091,forsvar
Moderaterne,Liberal Alliance,68,103,57.0,0.5533980582524272,forsvar
Moderaterne,Moderaterne,68,1,1.0,1.0,forsvar
Moderaterne,Radikale Venstre,68,173,132.0,0.7630057803468208,forsvar
Moderaterne,Socialdemokratiet,68,228,183.0,0.8026315789473685,forsvar
Moderaterne,Socialistisk Folkeparti,68,87,66.0,0.7586206896551724,forsvar
Moderaterne,Uden for folketingsgrupperne,68,66,47.0,0.7121212121212122,forsvar
Moderaterne,Venstre,68,272,272.0,1.0,forsvar
Radikale Venstre,Danmarksdemokraterne,68,515,229.0,0.4446601941747573,forsvar
Radikale Venstre,Dansk Folkeparti,68,897,489.0,0.5451505016722408,forsvar
Radikale Venstre,Det Konservative Folkeparti,68,1188,863.0,0.7264309764309764,forsvar
Radikale Venstre,Enhedslisten,68,2022,1483.0,0.7334322453016815,forsvar
Radikale Venstre,Liberal Alliance,68,1223,532.0,0.4349959116925593,forsvar
Radikale Venstre,Moderaterne,68,18,14.0,0.7777777777777778,forsvar
Radikale Venstre,Radikale Venstre,68,1587,1587.0,1.0,forsvar
Radikale Venstre,Socialdemokratiet,68,2519,2518.0,0.999603017070266,forsvar
Radikale Venstre,Socialistisk Folkeparti,68,1342,1323.0,0.9858420268256334,forsvar
Radikale Venstre,Uden for folketingsgrupperne,68,677,351.0,0.518463810930576,forsvar
Radikale Venstre,Venstre,68,3215,2367.0,0.7362363919129082,forsvar
Socialdemokratiet,Danmarksdemokraterne,68,1701,847.0,0.49794238683127573,forsvar
Socialdemokratiet,Dansk Folkeparti,68,2064,1085.0,0.5256782945736435,forsvar
Socialdemokratiet,Det Konservative Folkeparti,68,2317,1689.0,0.7289598618903755,forsvar
Socialdemokratiet,Enhedslisten,68,4157,2936.0,0.7062785662737551,forsvar
Socialdemokratiet,Liberal Alliance,68,2001,918.0,0.4587706146926537,forsvar
Socialdemokratiet,Moderaterne,68,140,104.0,0.7428571428571429,forsvar
Socialdemokratiet,Radikale Venstre,68,3529,3527.0,0.9994332672145083,forsvar
Socialdemokratiet,Socialdemokratiet,68,4779,4769.0,0.9979075120318058,forsvar
Socialdemokratiet,Socialistisk Folkeparti,68,2574,2518.0,0.9782439782439782,forsvar
Socialdemokratiet,Uden for folketingsgrupperne,68,1321,690.0,0.522331566994701,forsvar
Socialdemokratiet,Venstre,68,6593,4854.0,0.736235401183073,forsvar
Socialistisk Folkeparti,Danmarksdemokraterne,68,627,327.0,0.5215311004784688,forsvar
Socialistisk Folkeparti,Dansk Folkeparti,68,699,358.0,0.5121602288984263,forsvar
Socialistisk Folkeparti,Det Konservative Folkeparti,68,850,592.0,0.6964705882352941,forsvar
Socialistisk Folkeparti,Enhedslisten,68,1569,1177.0,0.7501593371574251,forsvar
Socialistisk Folkeparti,Liberal Alliance,68,762,327.0,0.42913385826771655,forsvar
Socialistisk Folkeparti,Moderaterne,68,71,55.0,0.7746478873239436,forsvar
Socialistisk Folkeparti,Radikale Venstre,68,1397,1375.0,0.984251968503937,forsvar
Socialistisk Folkeparti,Socialdemokratiet,68,2016,1969.0,0.9766865079365079,forsvar
Socialistisk Folkeparti,Socialistisk Folkeparti,68,856,856.0,1.0,forsvar
Socialistisk Folkeparti,Uden for folketingsgrupperne,68,518,284.0,0.5482625482625483,forsvar
Socialistisk Folkeparti,Venstre,68,2851,2023.0,0.7095755875131533,forsvar
Uden for folketingsgrupperne,Danmarksdemokraterne,68,76,71.0,0.9342105263157895,forsvar
Uden for folketingsgrupperne,Dansk Folkeparti,68,220,220.0,1.0,forsvar
