source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,28,28.0,1.0,forsvar_sikkerhed
Danmarksdemokraterne,Dansk Folkeparti,65,309,309.0,1.0,forsvar_sikkerhed
Danmarksdemokraterne,Det Konservative Folkeparti,65,164,164.0,1.0,forsvar_sikkerhed
Danmarksdemokraterne,Enhedslisten,65,46,6.0,0.13043478260869565,forsvar_sikkerhed
Danmarksdemokraterne,Inuit Ataqatigiit,65,6,0.0,0.0,forsvar_sikkerhed
Danmarksdemokraterne,Kristeligt Folkeparti,65,43,34.0,0.7906976744186046,forsvar_sikkerhed
Danmarksdemokraterne,Kristendemokraterne,65,6,4.0,0.6666666666666666,forsvar_sikkerhed
Danmarksdemokraterne,Liberal Alliance,65,22,22.0,1.0,forsvar_sikkerhed
Danmarksdemokraterne,Moderaterne,65,6,6.0,1.0,forsvar_sikkerhed
Danmarksdemokraterne,Not able to assign,65,42,37.0,0.8809523809523809,forsvar_sikkerhed
Danmarksdemokraterne,Ny Alliance,65,8,8.0,1.0,forsvar_sikkerhed
Danmarksdemokraterne,Radikale Venstre,65,87,76.0,0.8735632183908046,forsvar_sikkerhed
Danmarksdemokraterne,Sambandsflokkurin,65,6,6.0,1.0,forsvar_sikkerhed
Danmarksdemokraterne,Socialdemokratiet,65,758,635.0,0.837730870712401,forsvar_sikkerhed
Danmarksdemokraterne,Socialistisk Folkeparti,65,147,68.0,0.46258503401360546,forsvar_sikkerhed
Danmarksdemokraterne,Uden for folketingsgrupperne,65,81,81.0,1.0,forsvar_sikkerhed
Danmarksdemokraterne,Venstre,65,759,759.0,1.0,forsvar_sikkerhed
Dansk Folkeparti,Danmarksdemokraterne,65,95,95.0,1.0,forsvar_sikkerhed
Dansk Folkeparti,Dansk Folkeparti,65,872,872.0,1.0,forsvar_sikkerhed
Dansk Folkeparti,Det Konservative Folkeparti,65,367,367.0,1.0,forsvar_sikkerhed
Dansk Folkeparti,Enhedslisten,65,143,17.0,0.11888111888111888,forsvar_sikkerhed
Dansk Folkeparti,Inuit Ataqatigiit,65,14,0.0,0.0,forsvar_sikkerhed
Dansk Folkeparti,Kristeligt Folkeparti,65,91,64.0,0.7032967032967034,forsvar_sikkerhed
Dansk Folkeparti,Kristendemokraterne,65,17,12.0,0.7058823529411765,forsvar_sikkerhed
Dansk Folkeparti,Liberal Alliance,65,65,65.0,1.0,forsvar_sikkerhed
Dansk Folkeparti,Moderaterne,65,17,17.0,1.0,forsvar_sikkerhed
Dansk Folkeparti,Not able to assign,65,117,102.0,0.8717948717948718,forsvar_sikkerhed
Dansk Folkeparti,Ny Alliance,65,21,21.0,1.0,forsvar_sikkerhed
Dansk Folkeparti,Radikale Venstre,65,248,216.0,0.8709677419354839,forsvar_sikkerhed
Dansk Folkeparti,Sambandsflokkurin,65,19,19.0,1.0,forsvar_sikkerhed
Dansk Folkeparti,Socialdemokratiet,65,2174,1799.0,0.827506899724011,forsvar_sikkerhed
Dansk Folkeparti,Socialistisk Folkeparti,65,522,250.0,0.4789272030651341,forsvar_sikkerhed
Dansk Folkeparti,Uden for folketingsgrupperne,65,209,209.0,1.0,forsvar_sikkerhed
Dansk Folkeparti,Venstre,65,2255,2255.0,1.0,forsvar_sikkerhed
Det Konservative Folkeparti,Danmarksdemokraterne,65,151,151.0,1.0,forsvar_sikkerhed
Det Konservative Folkeparti,Dansk Folkeparti,65,1097,1097.0,1.0,forsvar_sikkerhed
Det Konservative Folkeparti,Det Konservative Folkeparti,65,514,514.0,1.0,forsvar_sikkerhed
Det Konservative Folkeparti,Enhedslisten,65,175,23.0,0.13142857142857142,forsvar_sikkerhed
Det Konservative Folkeparti,Inuit Ataqatigiit,65,22,0.0,0.0,forsvar_sikkerhed
Det Konservative Folkeparti,Kristeligt Folkeparti,65,104,81.0,0.7788461538461539,forsvar_sikkerhed
Det Konservative Folkeparti,Kristendemokraterne,65,23,15.0,0.6521739130434783,forsvar_sikkerhed
Det Konservative Folkeparti,Liberal Alliance,65,89,89.0,1.0,forsvar_sikkerhed
Det Konservative Folkeparti,Moderaterne,65,24,24.0,1.0,forsvar_sikkerhed
Det Konservative Folkeparti,Not able to assign,65,146,134.0,0.9178082191780822,forsvar_sikkerhed
Det Konservative Folkeparti,Ny Alliance,65,49,49.0,1.0,forsvar_sikkerhed
Det Konservative Folkeparti,Radikale Venstre,65,396,357.0,0.9015151515151515,forsvar_sikkerhed
Det Konservative Folkeparti,Sambandsflokkurin,65,28,28.0,1.0,forsvar_sikkerhed
Det Konservative Folkeparti,Socialdemokratiet,65,2949,2507.0,0.8501186842997627,forsvar_sikkerhed
Det Konservative Folkeparti,Socialistisk Folkeparti,65,560,250.0,0.44642857142857145,forsvar_sikkerhed
Det Konservative Folkeparti,Uden for folketingsgrupperne,65,296,296.0,1.0,forsvar_sikkerhed
Det Konservative Folkeparti,Venstre,65,2820,2820.0,1.0,forsvar_sikkerhed
Enhedslisten,Danmarksdemokraterne,65,8,1.0,0.125,forsvar_sikkerhed
Enhedslisten,Dansk Folkeparti,65,97,19.0,0.1958762886597938,forsvar_sikkerhed
