party_a,party_b,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,8,5.0,0.625,immigration
Danmarksdemokraterne,Dansk Folkeparti,65,122,97.0,0.7950819672131147,immigration
Danmarksdemokraterne,Det Konservative Folkeparti,65,83,57.0,0.6867469879518072,immigration
Danmarksdemokraterne,Enhedslisten,65,8,6.0,0.75,immigration
Danmarksdemokraterne,Kristeligt Folkeparti,65,12,9.0,0.75,immigration
Danmarksdemokraterne,Kristendemokraterne,65,8,5.0,0.625,immigration
Danmarksdemokraterne,Liberal Alliance,65,10,7.0,0.7,immigration
Danmarksdemokraterne,Moderaterne,65,3,3.0,1.0,immigration
Danmarksdemokraterne,Not able to assign,65,39,28.0,0.717948717948718,immigration
Danmarksdemokraterne,Ny Alliance,65,10,7.0,0.7,immigration
Danmarksdemokraterne,Radikale Venstre,65,37,28.0,0.7567567567567568,immigration
Danmarksdemokraterne,Socialdemokratiet,65,317,216.0,0.6813880126182965,immigration
Danmarksdemokraterne,Socialistisk Folkeparti,65,50,37.0,0.74,immigration
Danmarksdemokraterne,Uden for folketingsgrupperne,65,21,16.0,0.7619047619047619,immigration
Danmarksdemokraterne,Venstre,65,324,228.0,0.7037037037037037,immigration
Dansk Folkeparti,Dansk Folkeparti,65,276,276.0,1.0,immigration
Dansk Folkeparti,Det Konservative Folkeparti,65,404,192.0,0.4752475247524752,immigration
Dansk Folkeparti,Enhedslisten,65,36,24.0,0.6666666666666666,immigration
Dansk Folkeparti,Kristeligt Folkeparti,65,61,36.0,0.5901639344262295,immigration
Dansk Folkeparti,Kristendemokraterne,65,37,12.0,0.32432432432432434,immigration
Dansk Folkeparti,Liberal Alliance,65,49,24.0,0.4897959183673469,immigration
Dansk Folkeparti,Moderaterne,65,12,12.0,1.0,immigration
Dansk Folkeparti,Not able to assign,65,197,96.0,0.4873096446700508,immigration
Dansk Folkeparti,Ny Alliance,65,49,24.0,0.4897959183673469,immigration
Dansk Folkeparti,Radikale Venstre,65,183,108.0,0.5901639344262295,immigration
Dansk Folkeparti,Socialdemokratiet,65,1557,720.0,0.4624277456647399,immigration
Dansk Folkeparti,Socialistisk Folkeparti,65,245,132.0,0.5387755102040817,immigration
Dansk Folkeparti,Uden for folketingsgrupperne,65,110,85.0,0.7727272727272727,immigration
Dansk Folkeparti,Venstre,65,1594,780.0,0.4893350062735257,immigration
Det Konservative Folkeparti,Det Konservative Folkeparti,65,120,120.0,1.0,immigration
Det Konservative Folkeparti,Enhedslisten,65,25,25.0,1.0,immigration
Det Konservative Folkeparti,Kristeligt Folkeparti,65,41,41.0,1.0,immigration
Det Konservative Folkeparti,Kristendemokraterne,65,25,25.0,1.0,immigration
Det Konservative Folkeparti,Liberal Alliance,65,33,33.0,1.0,immigration
Det Konservative Folkeparti,Moderaterne,65,8,8.0,1.0,immigration
Det Konservative Folkeparti,Not able to assign,65,131,131.0,1.0,immigration
Det Konservative Folkeparti,Ny Alliance,65,33,33.0,1.0,immigration
Det Konservative Folkeparti,Radikale Venstre,65,123,123.0,1.0,immigration
