source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,68,917,914.0,0.9967284623773174,klima
Danmarksdemokraterne,Dansk Folkeparti,68,1448,1443.0,0.9965469613259669,klima
Danmarksdemokraterne,Det Konservative Folkeparti,68,1678,1136.0,0.6769964243146603,klima
Danmarksdemokraterne,Enhedslisten,68,3084,1333.0,0.43223086900129704,klima
Danmarksdemokraterne,Inuit Ataqatigiit,68,6,6.0,1.0,klima
Danmarksdemokraterne,Liberal Alliance,68,1679,1019.0,0.6069088743299583,klima
Danmarksdemokraterne,Moderaterne,68,110,73.0,0.6636363636363637,klima
Danmarksdemokraterne,Radikale Venstre,68,3224,1655.0,0.5133374689826302,klima
Danmarksdemokraterne,Socialdemokratiet,68,3663,1955.0,0.5337155337155337,klima
Danmarksdemokraterne,Socialistisk Folkeparti,68,1861,988.0,0.5308973670069855,klima
Danmarksdemokraterne,Uden for folketingsgrupperne,68,1133,1058.0,0.9338040600176523,klima
Danmarksdemokraterne,Venstre,68,5019,3464.0,0.6901773261605898,klima
Dansk Folkeparti,Danmarksdemokraterne,68,1048,1047.0,0.9990458015267175,klima
Dansk Folkeparti,Dansk Folkeparti,68,1078,1075.0,0.9972170686456401,klima
Dansk Folkeparti,Det Konservative Folkeparti,68,1635,1096.0,0.6703363914373088,klima
Dansk Folkeparti,Enhedslisten,68,3128,1437.0,0.4593989769820972,klima
Dansk Folkeparti,Inuit Ataqatigiit,68,4,4.0,1.0,klima
Dansk Folkeparti,Liberal Alliance,68,1516,910.0,0.600263852242744,klima
Dansk Folkeparti,Moderaterne,68,60,41.0,0.6833333333333333,klima
Dansk Folkeparti,Radikale Venstre,68,2735,1419.0,0.5188299817184644,klima
Dansk Folkeparti,Socialdemokratiet,68,3444,1832.0,0.5319396051103368,klima
Dansk Folkeparti,Socialistisk Folkeparti,68,1920,1042.0,0.5427083333333333,klima
Dansk Folkeparti,Uden for folketingsgrupperne,68,929,845.0,0.9095801937567277,klima
Dansk Folkeparti,Venstre,68,4767,3357.0,0.7042164883574575,klima
Det Konservative Folkeparti,Danmarksdemokraterne,68,673,430.0,0.6389301634472511,klima
Det Konservative Folkeparti,Dansk Folkeparti,68,814,544.0,0.6683046683046683,klima
Det Konservative Folkeparti,Det Konservative Folkeparti,68,881,877.0,0.9954597048808173,klima
Det Konservative Folkeparti,Enhedslisten,68,2229,1157.0,0.5190668461193361,klima
Det Konservative Folkeparti,Inuit Ataqatigiit,68,6,6.0,1.0,klima
Det Konservative Folkeparti,Liberal Alliance,68,997,708.0,0.7101303911735206,klima
Det Konservative Folkeparti,Moderaterne,68,72,64.0,0.8888888888888888,klima
Det Konservative Folkeparti,Radikale Venstre,68,1715,1278.0,0.7451895043731779,klima
Det Konservative Folkeparti,Socialdemokratiet,68,2454,1871.0,0.7624286878565607,klima
Det Konservative Folkeparti,Socialistisk Folkeparti,68,1389,1022.0,0.7357811375089993,klima
Det Konservative Folkeparti,Uden for folketingsgrupperne,68,576,404.0,0.7013888888888888,klima
Det Konservative Folkeparti,Venstre,68,3084,2808.0,0.9105058365758755,klima
Enhedslisten,Danmarksdemokraterne,68,1592,749.0,0.4704773869346734,klima
Enhedslisten,Dansk Folkeparti,68,1803,807.0,0.4475873544093178,klima
Enhedslisten,Det Konservative Folkeparti,68,2361,1178.0,0.49894112664125373,klima
Enhedslisten,Enhedslisten,68,4011,3896.0,0.9713288456743954,klima
Enhedslisten,Inuit Ataqatigiit,68,8,8.0,1.0,klima
Enhedslisten,Liberal Alliance,68,2220,1065.0,0.4797297297297297,klima
Enhedslisten,Moderaterne,68,177,93.0,0.5254237288135594,klima
Enhedslisten,Radikale Venstre,68,3990,2953.0,0.7401002506265664,klima
Enhedslisten,Socialdemokratiet,68,5340,3957.0,0.7410112359550561,klima
Enhedslisten,Socialistisk Folkeparti,68,2912,2230.0,0.7657967032967034,klima
Enhedslisten,Uden for folketingsgrupperne,68,1430,583.0,0.4076923076923077,klima
Enhedslisten,Venstre,68,7103,3665.0,0.5159791637336337,klima
Inuit Ataqatigiit,Danmarksdemokraterne,68,1,1.0,1.0,klima
Inuit Ataqatigiit,Det Konservative Folkeparti,68,1,1.0,1.0,klima
Inuit Ataqatigiit,Enhedslisten,68,1,1.0,1.0,klima
Inuit Ataqatigiit,Liberal Alliance,68,1,1.0,1.0,klima
Inuit Ataqatigiit,Radikale Venstre,68,2,2.0,1.0,klima
Inuit Ataqatigiit,Socialdemokratiet,68,3,3.0,1.0,klima
Inuit Ataqatigiit,Socialistisk Folkeparti,68,2,2.0,1.0,klima
Inuit Ataqatigiit,Venstre,68,4,4.0,1.0,klima
Liberal Alliance,Danmarksdemokraterne,68,457,277.0,0.6061269146608315,klima
Liberal Alliance,Dansk Folkeparti,68,744,467.0,0.6276881720430108,klima
Liberal Alliance,Det Konservative Folkeparti,68,1088,806.0,0.7408088235294118,klima
Liberal Alliance,Enhedslisten,68,1975,930.0,0.4708860759493671,klima
Liberal Alliance,Inuit Ataqatigiit,68,5,5.0,1.0,klima
Liberal Alliance,Liberal Alliance,68,709,707.0,0.997179125528914,klima
Liberal Alliance,Moderaterne,68,28,19.0,0.6785714285714286,klima
Liberal Alliance,Radikale Venstre,68,1268,676.0,0.5331230283911672,klima
Liberal Alliance,Socialdemokratiet,68,2275,1256.0,0.5520879120879121,klima
Liberal Alliance,Socialistisk Folkeparti,68,1271,701.0,0.5515342250196695,klima
Liberal Alliance,Uden for folketingsgrupperne,68,446,342.0,0.7668161434977578,klima
Liberal Alliance,Venstre,68,2535,1806.0,0.7124260355029586,klima
Moderaterne,Danmarksdemokraterne,68,106,68.0,0.6415094339622641,klima
Moderaterne,Dansk Folkeparti,68,135,86.0,0.6370370370370371,klima
Moderaterne,Det Konservative Folkeparti,68,148,134.0,0.9054054054054054,klima
Moderaterne,Enhedslisten,68,236,135.0,0.5720338983050848,klima
Moderaterne,Inuit Ataqatigiit,68,1,1.0,1.0,klima
Moderaterne,Liberal Alliance,68,152,101.0,0.6644736842105263,klima
Moderaterne,Moderaterne,68,1,1.0,1.0,klima
Moderaterne,Radikale Venstre,68,279,220.0,0.7885304659498208,klima
Moderaterne,Socialdemokratiet,68,329,267.0,0.8115501519756839,klima
Moderaterne,Socialistisk Folkeparti,68,129,102.0,0.7906976744186046,klima
Moderaterne,Uden for folketingsgrupperne,68,101,67.0,0.6633663366336634,klima
Moderaterne,Venstre,68,399,399.0,1.0,klima
Radikale Venstre,Danmarksdemokraterne,68,911,459.0,0.5038419319429198,klima
Radikale Venstre,Dansk Folkeparti,68,1624,913.0,0.562192118226601,klima
Radikale Venstre,Det Konservative Folkeparti,68,2300,1730.0,0.7521739130434782,klima
Radikale Venstre,Enhedslisten,68,4053,3173.0,0.7828768813224771,klima
Radikale Venstre,Inuit Ataqatigiit,68,7,7.0,1.0,klima
Radikale Venstre,Liberal Alliance,68,2418,1343.0,0.5554177005789909,klima
Radikale Venstre,Moderaterne,68,43,37.0,0.8604651162790697,klima
Radikale Venstre,Radikale Venstre,68,3146,3138.0,0.9974570883661793,klima
Radikale Venstre,Socialdemokratiet,68,4961,4959.0,0.999596855472687,klima
Radikale Venstre,Socialistisk Folkeparti,68,2560,2514.0,0.98203125,klima
Radikale Venstre,Uden for folketingsgrupperne,68,1191,591.0,0.49622166246851385,klima
Radikale Venstre,Venstre,68,6078,4428.0,0.7285291214215203,klima
Socialdemokratiet,Danmarksdemokraterne,68,2892,1525.0,0.5273167358229599,klima
Socialdemokratiet,Dansk Folkeparti,68,3477,1959.0,0.5634167385677308,klima
Socialdemokratiet,Det Konservative Folkeparti,68,3985,3086.0,0.7744040150564617,klima
Socialdemokratiet,Enhedslisten,68,7512,5596.0,0.7449414270500533,klima
Socialdemokratiet,Inuit Ataqatigiit,68,17,17.0,1.0,klima
Socialdemokratiet,Liberal Alliance,68,3583,1978.0,0.5520513536142897,klima
Socialdemokratiet,Moderaterne,68,229,185.0,0.8078602620087336,klima
Socialdemokratiet,Radikale Venstre,68,6189,6183.0,0.9990305380513815,klima
Socialdemokratiet,Socialdemokratiet,68,8394,8394.0,1.0,klima
Socialdemokratiet,Socialistisk Folkeparti,68,4500,4401.0,0.978,klima
Socialdemokratiet,Uden for folketingsgrupperne,68,2121,1095.0,0.5162659123055162,klima
Socialdemokratiet,Venstre,68,11350,8519.0,0.7505726872246696,klima
Socialistisk Folkeparti,Danmarksdemokraterne,68,1122,588.0,0.5240641711229946,klima
Socialistisk Folkeparti,Dansk Folkeparti,68,1250,687.0,0.5496,klima
Socialistisk Folkeparti,Det Konservative Folkeparti,68,1533,1155.0,0.7534246575342466,klima
Socialistisk Folkeparti,Enhedslisten,68,2981,2336.0,0.783629654478363,klima
Socialistisk Folkeparti,Inuit Ataqatigiit,68,7,7.0,1.0,klima
Socialistisk Folkeparti,Liberal Alliance,68,1415,818.0,0.5780918727915194,klima
Socialistisk Folkeparti,Moderaterne,68,122,101.0,0.8278688524590164,klima
Socialistisk Folkeparti,Radikale Venstre,68,2644,2612.0,0.9878971255673222,klima
Socialistisk Folkeparti,Socialdemokratiet,68,3654,3608.0,0.9874110563765737,klima
Socialistisk Folkeparti,Socialistisk Folkeparti,68,1557,1554.0,0.9980732177263969,klima
Socialistisk Folkeparti,Uden for folketingsgrupperne,68,907,471.0,0.5192943770672547,klima
Socialistisk Folkeparti,Venstre,68,5125,3786.0,0.7387317073170732,klima
Uden for folketingsgrupperne,Danmarksdemokraterne,68,102,96.0,0.9411764705882353,klima
Uden for folketingsgrupperne,Dansk Folkeparti,68,349,348.0,0.997134670487106,klima
Uden for folketingsgrupperne,Det Konservative Folkeparti,68,637,437.0,0.6860282574568289,klima
