party_a,party_b,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,30,27.0,0.9,klima_miljø
Danmarksdemokraterne,Dansk Folkeparti,65,475,450.0,0.9473684210526315,klima_miljø
Danmarksdemokraterne,Det Konservative Folkeparti,65,340,314.0,0.9235294117647059,klima_miljø
Danmarksdemokraterne,Enhedslisten,65,42,12.0,0.2857142857142857,klima_miljø
Danmarksdemokraterne,Kristeligt Folkeparti,65,53,35.0,0.660377358490566,klima_miljø
Danmarksdemokraterne,Kristendemokraterne,65,27,12.0,0.4444444444444444,klima_miljø
Danmarksdemokraterne,Liberal Alliance,65,35,32.0,0.9142857142857143,klima_miljø
Danmarksdemokraterne,Moderaterne,65,9,9.0,1.0,klima_miljø
Danmarksdemokraterne,Not able to assign,65,139,72.0,0.5179856115107914,klima_miljø
Danmarksdemokraterne,Ny Alliance,65,33,30.0,0.9090909090909091,klima_miljø
Danmarksdemokraterne,Radikale Venstre,65,150,92.0,0.6133333333333333,klima_miljø
Danmarksdemokraterne,Sambandsflokkurin,65,6,6.0,1.0,klima_miljø
Danmarksdemokraterne,Socialdemokratiet,65,1265,628.0,0.4964426877470356,klima_miljø
Danmarksdemokraterne,Socialistisk Folkeparti,65,218,105.0,0.481651376146789,klima_miljø
Danmarksdemokraterne,Uden for folketingsgrupperne,65,108,102.0,0.9444444444444444,klima_miljø
Danmarksdemokraterne,Venstre,65,1272,1176.0,0.9245283018867925,klima_miljø
Dansk Folkeparti,Dansk Folkeparti,65,1135,1135.0,1.0,klima_miljø
Dansk Folkeparti,Det Konservative Folkeparti,65,1722,1510.0,0.8768873403019745,klima_miljø
Dansk Folkeparti,Enhedslisten,65,215,62.0,0.28837209302325584,klima_miljø
Dansk Folkeparti,Kristeligt Folkeparti,65,292,183.0,0.6267123287671232,klima_miljø
Dansk Folkeparti,Kristendemokraterne,65,116,47.0,0.4051724137931034,klima_miljø
Dansk Folkeparti,Liberal Alliance,65,181,156.0,0.861878453038674,klima_miljø
Dansk Folkeparti,Moderaterne,65,45,45.0,1.0,klima_miljø
Dansk Folkeparti,Not able to assign,65,715,351.0,0.4909090909090909,klima_miljø
Dansk Folkeparti,Ny Alliance,65,170,145.0,0.8529411764705882,klima_miljø
Dansk Folkeparti,Radikale Venstre,65,750,452.0,0.6026666666666667,klima_miljø
Dansk Folkeparti,Sambandsflokkurin,65,20,20.0,1.0,klima_miljø
Dansk Folkeparti,Socialdemokratiet,65,6391,3114.0,0.48724769206696916,klima_miljø
Dansk Folkeparti,Socialistisk Folkeparti,65,1138,532.0,0.46748681898066785,klima_miljø
Dansk Folkeparti,Uden for folketingsgrupperne,65,559,520.0,0.9302325581395349,klima_miljø
Dansk Folkeparti,Venstre,65,6495,5681.0,0.8746728252501924,klima_miljø
Det Konservative Folkeparti,Det Konservative Folkeparti,65,562,562.0,1.0,klima_miljø
Det Konservative Folkeparti,Enhedslisten,65,159,59.0,0.3710691823899371,klima_miljø
Det Konservative Folkeparti,Kristeligt Folkeparti,65,209,147.0,0.7033492822966507,klima_miljø
Det Konservative Folkeparti,Kristendemokraterne,65,79,46.0,0.5822784810126582,klima_miljø
Det Konservative Folkeparti,Liberal Alliance,65,133,133.0,1.0,klima_miljø
Det Konservative Folkeparti,Moderaterne,65,32,32.0,1.0,klima_miljø
Det Konservative Folkeparti,Not able to assign,65,486,294.0,0.6049382716049383,klima_miljø
Det Konservative Folkeparti,Ny Alliance,65,116,116.0,1.0,klima_miljø
Det Konservative Folkeparti,Radikale Venstre,65,533,377.0,0.7073170731707317,klima_miljø
Det Konservative Folkeparti,Sambandsflokkurin,65,18,18.0,1.0,klima_miljø
Det Konservative Folkeparti,Socialdemokratiet,65,4505,2672.0,0.593118756936737,klima_miljø
Det Konservative Folkeparti,Socialistisk Folkeparti,65,776,415.0,0.5347938144329897,klima_miljø
Det Konservative Folkeparti,Uden for folketingsgrupperne,65,403,378.0,0.9379652605459057,klima_miljø
Det Konservative Folkeparti,Venstre,65,4549,4549.0,1.0,klima_miljø
Enhedslisten,Enhedslisten,65,3,3.0,1.0,klima_miljø
Enhedslisten,Kristeligt Folkeparti,65,27,19.0,0.7037037037037037,klima_miljø
Enhedslisten,Kristendemokraterne,65,9,6.0,0.6666666666666666,klima_miljø
Enhedslisten,Liberal Alliance,65,16,6.0,0.375,klima_miljø
Enhedslisten,Moderaterne,65,6,0.0,0.0,klima_miljø
Enhedslisten,Not able to assign,65,56,39.0,0.6964285714285714,klima_miljø
Enhedslisten,Ny Alliance,65,14,5.0,0.35714285714285715,klima_miljø
Enhedslisten,Radikale Venstre,65,68,44.0,0.6470588235294118,klima_miljø
Enhedslisten,Sambandsflokkurin,65,3,0.0,0.0,klima_miljø
Enhedslisten,Socialdemokratiet,65,559,411.0,0.7352415026833632,klima_miljø
