source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,44,40.0,0.9090909090909091,retspolitik
Danmarksdemokraterne,Dansk Folkeparti,65,672,648.0,0.9642857142857143,retspolitik
Danmarksdemokraterne,Det Konservative Folkeparti,65,478,440.0,0.9205020920502092,retspolitik
Danmarksdemokraterne,Enhedslisten,65,53,18.0,0.33962264150943394,retspolitik
Danmarksdemokraterne,Kristeligt Folkeparti,65,72,44.0,0.6111111111111112,retspolitik
Danmarksdemokraterne,Kristendemokraterne,65,38,18.0,0.47368421052631576,retspolitik
Danmarksdemokraterne,Liberal Alliance,65,53,49.0,0.9245283018867925,retspolitik
Danmarksdemokraterne,Moderaterne,65,11,11.0,1.0,retspolitik
Danmarksdemokraterne,Not able to assign,65,190,102.0,0.5368421052631579,retspolitik
Danmarksdemokraterne,Ny Alliance,65,53,49.0,0.9245283018867925,retspolitik
Danmarksdemokraterne,Radikale Venstre,65,202,129.0,0.6386138613861386,retspolitik
Danmarksdemokraterne,Sambandsflokkurin,65,3,3.0,1.0,retspolitik
Danmarksdemokraterne,Socialdemokratiet,65,1692,916.0,0.541371158392435,retspolitik
Danmarksdemokraterne,Socialistisk Folkeparti,65,295,157.0,0.5322033898305085,retspolitik
Danmarksdemokraterne,Uden for folketingsgrupperne,65,135,121.0,0.8962962962962963,retspolitik
Danmarksdemokraterne,Venstre,65,1794,1666.0,0.9286510590858417,retspolitik
Dansk Folkeparti,Dansk Folkeparti,65,1527,1527.0,1.0,retspolitik
Dansk Folkeparti,Det Konservative Folkeparti,65,2350,2122.0,0.9029787234042553,retspolitik
Dansk Folkeparti,Enhedslisten,65,258,86.0,0.3333333333333333,retspolitik
Dansk Folkeparti,Kristeligt Folkeparti,65,369,223.0,0.6043360433604336,retspolitik
Dansk Folkeparti,Kristendemokraterne,65,171,73.0,0.4269005847953216,retspolitik
Dansk Folkeparti,Liberal Alliance,65,258,234.0,0.9069767441860465,retspolitik
Dansk Folkeparti,Moderaterne,65,49,49.0,1.0,retspolitik
Dansk Folkeparti,Not able to assign,65,934,466.0,0.4989293361884368,retspolitik
Dansk Folkeparti,Ny Alliance,65,258,234.0,0.9069767441860465,retspolitik
Dansk Folkeparti,Radikale Venstre,65,983,569.0,0.5788402848423194,retspolitik
Dansk Folkeparti,Sambandsflokkurin,65,10,10.0,1.0,retspolitik
Dansk Folkeparti,Socialdemokratiet,65,8325,4148.0,0.49825825825825826,retspolitik
Dansk Folkeparti,Socialistisk Folkeparti,65,1448,763.0,0.5269337016574586,retspolitik
Dansk Folkeparti,Uden for folketingsgrupperne,65,703,628.0,0.8933143669985776,retspolitik
Dansk Folkeparti,Venstre,65,8810,8042.0,0.9128263337116913,retspolitik
Det Konservative Folkeparti,Det Konservative Folkeparti,65,755,755.0,1.0,retspolitik
Det Konservative Folkeparti,Enhedslisten,65,189,64.0,0.3386243386243386,retspolitik
Det Konservative Folkeparti,Kristeligt Folkeparti,65,270,193.0,0.7148148148148148,retspolitik
Det Konservative Folkeparti,Kristendemokraterne,65,114,57.0,0.5,retspolitik
Det Konservative Folkeparti,Liberal Alliance,65,185,185.0,1.0,retspolitik
Det Konservative Folkeparti,Moderaterne,65,29,29.0,1.0,retspolitik
Det Konservative Folkeparti,Not able to assign,65,653,374.0,0.5727411944869831,retspolitik
Det Konservative Folkeparti,Ny Alliance,65,182,182.0,1.0,retspolitik
Det Konservative Folkeparti,Radikale Venstre,65,698,495.0,0.7091690544412608,retspolitik
Det Konservative Folkeparti,Sambandsflokkurin,65,10,10.0,1.0,retspolitik
Det Konservative Folkeparti,Socialdemokratiet,65,5935,3515.0,0.5922493681550126,retspolitik
Det Konservative Folkeparti,Socialistisk Folkeparti,65,1027,550.0,0.5355404089581305,retspolitik
Det Konservative Folkeparti,Uden for folketingsgrupperne,65,502,449.0,0.8944223107569721,retspolitik
Det Konservative Folkeparti,Venstre,65,6263,6263.0,1.0,retspolitik
Enhedslisten,Enhedslisten,65,2,2.0,1.0,retspolitik
Enhedslisten,Kristeligt Folkeparti,65,31,17.0,0.5483870967741935,retspolitik
Enhedslisten,Kristendemokraterne,65,11,7.0,0.6363636363636364,retspolitik
Enhedslisten,Liberal Alliance,65,21,7.0,0.3333333333333333,retspolitik
Enhedslisten,Moderaterne,65,3,1.0,0.3333333333333333,retspolitik
Enhedslisten,Not able to assign,65,66,43.0,0.6515151515151515,retspolitik
