party_a,party_b,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,52,50.0,0.9615384615384616,skat
Danmarksdemokraterne,Dansk Folkeparti,65,753,741.0,0.9840637450199203,skat
Danmarksdemokraterne,Det Konservative Folkeparti,65,497,479.0,0.9637826961770624,skat
Danmarksdemokraterne,Enhedslisten,65,58,15.0,0.25862068965517243,skat
Danmarksdemokraterne,Inuit Ataqatigiit,65,2,0.0,0.0,skat
Danmarksdemokraterne,Kristeligt Folkeparti,65,75,44.0,0.5866666666666667,skat
Danmarksdemokraterne,Kristendemokraterne,65,49,23.0,0.46938775510204084,skat
Danmarksdemokraterne,Liberal Alliance,65,54,52.0,0.9629629629629629,skat
Danmarksdemokraterne,Moderaterne,65,17,17.0,1.0,skat
Danmarksdemokraterne,Not able to assign,65,231,109.0,0.47186147186147187,skat
Danmarksdemokraterne,Ny Alliance,65,60,58.0,0.9666666666666667,skat
Danmarksdemokraterne,Radikale Venstre,65,230,111.0,0.4826086956521739,skat
Danmarksdemokraterne,Socialdemokratiet,65,1927,905.0,0.4696419304618578,skat
Danmarksdemokraterne,Socialistisk Folkeparti,65,353,159.0,0.45042492917847027,skat
Danmarksdemokraterne,Uden for folketingsgrupperne,65,150,143.0,0.9533333333333334,skat
Danmarksdemokraterne,Venstre,65,2043,1973.0,0.9657366617719041,skat
Dansk Folkeparti,Dansk Folkeparti,65,1637,1637.0,1.0,skat
Dansk Folkeparti,Det Konservative Folkeparti,65,2324,2216.0,0.9535283993115319,skat
Dansk Folkeparti,Enhedslisten,65,266,69.0,0.2593984962406015,skat
Dansk Folkeparti,Inuit Ataqatigiit,65,11,0.0,0.0,skat
Dansk Folkeparti,Kristeligt Folkeparti,65,364,207.0,0.5686813186813187,skat
Dansk Folkeparti,Kristendemokraterne,65,220,99.0,0.45,skat
Dansk Folkeparti,Liberal Alliance,65,240,228.0,0.95,skat
Dansk Folkeparti,Moderaterne,65,72,72.0,1.0,skat
Dansk Folkeparti,Not able to assign,65,1102,522.0,0.47368421052631576,skat
Dansk Folkeparti,Ny Alliance,65,281,269.0,0.9572953736654805,skat
Dansk Folkeparti,Radikale Venstre,65,1079,527.0,0.48841519925857274,skat
Dansk Folkeparti,Socialdemokratiet,65,9100,4126.0,0.4534065934065934,skat
Dansk Folkeparti,Socialistisk Folkeparti,65,1729,815.0,0.47137073452862926,skat
Dansk Folkeparti,Uden for folketingsgrupperne,65,743,705.0,0.9488559892328399,skat
Dansk Folkeparti,Venstre,65,9632,9212.0,0.9563953488372093,skat
Det Konservative Folkeparti,Det Konservative Folkeparti,65,704,704.0,1.0,skat
Det Konservative Folkeparti,Enhedslisten,65,189,44.0,0.2328042328042328,skat
Det Konservative Folkeparti,Inuit Ataqatigiit,65,10,0.0,0.0,skat
Det Konservative Folkeparti,Kristeligt Folkeparti,65,250,148.0,0.592,skat
Det Konservative Folkeparti,Kristendemokraterne,65,134,65.0,0.48507462686567165,skat
Det Konservative Folkeparti,Liberal Alliance,65,170,170.0,1.0,skat
Det Konservative Folkeparti,Moderaterne,65,45,45.0,1.0,skat
