source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,68,1122,1120.0,0.9982174688057041,social
Danmarksdemokraterne,Dansk Folkeparti,68,1773,1771.0,0.9988719684151156,social
Danmarksdemokraterne,Det Konservative Folkeparti,68,1978,1386.0,0.7007077856420627,social
Danmarksdemokraterne,Enhedslisten,68,3771,1681.0,0.44577035269159376,social
Danmarksdemokraterne,Liberal Alliance,68,1984,1231.0,0.6204637096774194,social
Danmarksdemokraterne,Moderaterne,68,124,100.0,0.8064516129032258,social
Danmarksdemokraterne,Radikale Venstre,68,4232,2188.0,0.5170132325141777,social
Danmarksdemokraterne,Socialdemokratiet,68,4460,2428.0,0.5443946188340807,social
Danmarksdemokraterne,Socialistisk Folkeparti,68,2445,1182.0,0.4834355828220859,social
Danmarksdemokraterne,Uden for folketingsgrupperne,68,1509,1349.0,0.8939695162359178,social
Danmarksdemokraterne,Venstre,68,6017,4402.0,0.7315938175170351,social
Dansk Folkeparti,Danmarksdemokraterne,68,1450,1440.0,0.993103448275862,social
Dansk Folkeparti,Dansk Folkeparti,68,1463,1457.0,0.9958988380041012,social
Dansk Folkeparti,Det Konservative Folkeparti,68,2054,1431.0,0.6966893865628043,social
Dansk Folkeparti,Enhedslisten,68,4136,1834.0,0.4434235976789168,social
Dansk Folkeparti,Liberal Alliance,68,1891,1150.0,0.6081438392384981,social
Dansk Folkeparti,Moderaterne,68,98,77.0,0.7857142857142857,social
Dansk Folkeparti,Radikale Venstre,68,3656,1970.0,0.5388402625820569,social
Dansk Folkeparti,Socialdemokratiet,68,4416,2463.0,0.5577445652173914,social
Dansk Folkeparti,Socialistisk Folkeparti,68,2619,1340.0,0.5116456662848415,social
Dansk Folkeparti,Uden for folketingsgrupperne,68,1270,1093.0,0.8606299212598425,social
Dansk Folkeparti,Venstre,68,6110,4470.0,0.7315875613747954,social
Det Konservative Folkeparti,Danmarksdemokraterne,68,854,581.0,0.680327868852459,social
Det Konservative Folkeparti,Dansk Folkeparti,68,1087,761.0,0.7000919963201472,social
Det Konservative Folkeparti,Det Konservative Folkeparti,68,1038,1038.0,1.0,social
Det Konservative Folkeparti,Enhedslisten,68,2757,1127.0,0.4087776568734131,social
Det Konservative Folkeparti,Liberal Alliance,68,1255,951.0,0.7577689243027889,social
Det Konservative Folkeparti,Moderaterne,68,83,75.0,0.9036144578313253,social
Det Konservative Folkeparti,Radikale Venstre,68,2423,1895.0,0.7820883202641353,social
Det Konservative Folkeparti,Socialdemokratiet,68,3001,2351.0,0.7834055314895035,social
Det Konservative Folkeparti,Socialistisk Folkeparti,68,1731,1284.0,0.7417677642980935,social
Det Konservative Folkeparti,Uden for folketingsgrupperne,68,877,625.0,0.7126567844925884,social
Det Konservative Folkeparti,Venstre,68,3913,3678.0,0.9399437771530795,social
Enhedslisten,Danmarksdemokraterne,68,2139,898.0,0.4198223468910706,social
Enhedslisten,Dansk Folkeparti,68,2434,1014.0,0.41659819227608874,social
Enhedslisten,Det Konservative Folkeparti,68,2915,1113.0,0.38181818181818183,social
Enhedslisten,Enhedslisten,68,5218,5088.0,0.9750862399386738,social
Enhedslisten,Liberal Alliance,68,2787,859.0,0.30821672048797993,social
Enhedslisten,Moderaterne,68,198,88.0,0.4444444444444444,social
Enhedslisten,Radikale Venstre,68,5556,2923.0,0.5260979121670266,social
Enhedslisten,Socialdemokratiet,68,6788,3707.0,0.5461107837360047,social
Enhedslisten,Socialistisk Folkeparti,68,4007,2247.0,0.5607686548540055,social
Enhedslisten,Uden for folketingsgrupperne,68,2042,813.0,0.3981390793339863,social
Enhedslisten,Venstre,68,9145,3346.0,0.365882996172772,social
Liberal Alliance,Danmarksdemokraterne,68,603,382.0,0.6334991708126037,social
Liberal Alliance,Dansk Folkeparti,68,1039,682.0,0.6564003849855631,social
Liberal Alliance,Det Konservative Folkeparti,68,1226,960.0,0.7830342577487766,social
Liberal Alliance,Enhedslisten,68,2445,705.0,0.2883435582822086,social
Liberal Alliance,Liberal Alliance,68,851,851.0,1.0,social
Liberal Alliance,Moderaterne,68,22,15.0,0.6818181818181818,social
Liberal Alliance,Radikale Venstre,68,1751,1159.0,0.6619074814391777,social
Liberal Alliance,Socialdemokratiet,68,2722,1719.0,0.6315209404849376,social
Liberal Alliance,Socialistisk Folkeparti,68,1645,1024.0,0.6224924012158055,social
Liberal Alliance,Uden for folketingsgrupperne,68,613,489.0,0.797716150081566,social
Liberal Alliance,Venstre,68,3156,2490.0,0.7889733840304183,social
Moderaterne,Danmarksdemokraterne,68,135,100.0,0.7407407407407407,social
Moderaterne,Dansk Folkeparti,68,181,138.0,0.7624309392265194,social
Moderaterne,Det Konservative Folkeparti,68,174,157.0,0.9022988505747126,social
Moderaterne,Enhedslisten,68,302,148.0,0.4900662251655629,social
Moderaterne,Liberal Alliance,68,188,133.0,0.7074468085106383,social
Moderaterne,Radikale Venstre,68,361,247.0,0.6842105263157895,social
