source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,388,381.0,0.9819587628865979,social_familie
Danmarksdemokraterne,Dansk Folkeparti,65,4754,4708.0,0.9903239377366428,social_familie
Danmarksdemokraterne,Det Konservative Folkeparti,65,1960,1922.0,0.9806122448979592,social_familie
Danmarksdemokraterne,Enhedslisten,65,95,35.0,0.3684210526315789,social_familie
Danmarksdemokraterne,Inuit Ataqatigiit,65,21,2.0,0.09523809523809523,social_familie
Danmarksdemokraterne,Kristeligt Folkeparti,65,528,257.0,0.48674242424242425,social_familie
Danmarksdemokraterne,Kristendemokraterne,65,383,177.0,0.4621409921671018,social_familie
Danmarksdemokraterne,Liberal Alliance,65,412,407.0,0.9878640776699029,social_familie
Danmarksdemokraterne,Moderaterne,65,30,30.0,1.0,social_familie
Danmarksdemokraterne,Not able to assign,65,1066,313.0,0.29362101313320826,social_familie
Danmarksdemokraterne,Ny Alliance,65,115,111.0,0.9652173913043478,social_familie
Danmarksdemokraterne,Radikale Venstre,65,1077,448.0,0.4159702878365831,social_familie
Danmarksdemokraterne,Sambandsflokkurin,65,14,14.0,1.0,social_familie
Danmarksdemokraterne,Socialdemokratiet,65,11730,3570.0,0.30434782608695654,social_familie
Danmarksdemokraterne,Socialistisk Folkeparti,65,1907,572.0,0.2999475616151023,social_familie
Danmarksdemokraterne,Tjóðveldi,65,9,0.0,0.0,social_familie
Danmarksdemokraterne,Uden for folketingsgrupperne,65,1634,1398.0,0.8555691554467564,social_familie
Danmarksdemokraterne,Venstre,65,11182,11002.0,0.9839027007690931,social_familie
Dansk Folkeparti,Danmarksdemokraterne,65,1613,1596.0,0.9894606323620583,social_familie
Dansk Folkeparti,Dansk Folkeparti,65,15346,15324.0,0.9985664016681871,social_familie
Dansk Folkeparti,Det Konservative Folkeparti,65,4929,4802.0,0.974234124568878,social_familie
Dansk Folkeparti,Enhedslisten,65,290,97.0,0.33448275862068966,social_familie
Dansk Folkeparti,Inuit Ataqatigiit,65,69,6.0,0.08695652173913043,social_familie
Dansk Folkeparti,Kristeligt Folkeparti,65,2326,1090.0,0.468615649183147,social_familie
Dansk Folkeparti,Kristendemokraterne,65,1455,649.0,0.44604810996563576,social_familie
Dansk Folkeparti,Liberal Alliance,65,1370,1338.0,0.9766423357664233,social_familie
Dansk Folkeparti,Moderaterne,65,85,85.0,1.0,social_familie
Dansk Folkeparti,Not able to assign,65,3482,941.0,0.27024698449167145,social_familie
Dansk Folkeparti,Ny Alliance,65,419,405.0,0.9665871121718377,social_familie
Dansk Folkeparti,Radikale Venstre,65,3533,1401.0,0.3965468440418907,social_familie
Dansk Folkeparti,Sambandsflokkurin,65,47,47.0,1.0,social_familie
Dansk Folkeparti,Socialdemokratiet,65,38265,10893.0,0.28467267738141905,social_familie
Dansk Folkeparti,Socialistisk Folkeparti,65,7998,2187.0,0.27344336084021004,social_familie
Dansk Folkeparti,Tjóðveldi,65,32,0.0,0.0,social_familie
Dansk Folkeparti,Uden for folketingsgrupperne,65,5003,4087.0,0.8169098540875475,social_familie
Dansk Folkeparti,Venstre,65,39606,38711.0,0.9774024137756906,social_familie
Det Konservative Folkeparti,Danmarksdemokraterne,65,1764,1748.0,0.9909297052154195,social_familie
Det Konservative Folkeparti,Dansk Folkeparti,65,14433,14103.0,0.9771357306173353,social_familie
Det Konservative Folkeparti,Det Konservative Folkeparti,65,4960,4960.0,1.0,social_familie
Det Konservative Folkeparti,Enhedslisten,65,381,136.0,0.3569553805774278,social_familie
Det Konservative Folkeparti,Inuit Ataqatigiit,65,67,6.0,0.08955223880597014,social_familie
Det Konservative Folkeparti,Kristeligt Folkeparti,65,1501,761.0,0.5069953364423717,social_familie
Det Konservative Folkeparti,Kristendemokraterne,65,1353,646.0,0.47745750184774577,social_familie
Det Konservative Folkeparti,Liberal Alliance,65,1483,1483.0,1.0,social_familie
Det Konservative Folkeparti,Moderaterne,65,124,124.0,1.0,social_familie
Det Konservative Folkeparti,Not able to assign,65,2723,894.0,0.3283143591626882,social_familie
Det Konservative Folkeparti,Ny Alliance,65,619,619.0,1.0,social_familie
Det Konservative Folkeparti,Radikale Venstre,65,4638,2019.0,0.43531694695989653,social_familie
Det Konservative Folkeparti,Sambandsflokkurin,65,70,70.0,1.0,social_familie
Det Konservative Folkeparti,Socialdemokratiet,65,38004,12575.0,0.33088622250289446,social_familie
Det Konservative Folkeparti,Socialistisk Folkeparti,65,6122,1934.0,0.3159098333877818,social_familie
Det Konservative Folkeparti,Tjóðveldi,65,45,0.0,0.0,social_familie
Det Konservative Folkeparti,Uden for folketingsgrupperne,65,5040,4234.0,0.8400793650793651,social_familie
Det Konservative Folkeparti,Venstre,65,37756,37751.0,0.999867570717237,social_familie
Enhedslisten,Danmarksdemokraterne,65,21,9.0,0.42857142857142855,social_familie
Enhedslisten,Dansk Folkeparti,65,284,109.0,0.38380281690140844,social_familie
Enhedslisten,Det Konservative Folkeparti,65,41,14.0,0.34146341463414637,social_familie
Enhedslisten,Enhedslisten,65,7,7.0,1.0,social_familie
Enhedslisten,Kristeligt Folkeparti,65,25,15.0,0.6,social_familie
Enhedslisten,Kristendemokraterne,65,20,13.0,0.65,social_familie
Enhedslisten,Liberal Alliance,65,18,7.0,0.3888888888888889,social_familie
Enhedslisten,Moderaterne,65,4,0.0,0.0,social_familie
Enhedslisten,Not able to assign,65,13,10.0,0.7692307692307693,social_familie
Enhedslisten,Radikale Venstre,65,75,52.0,0.6933333333333334,social_familie
Enhedslisten,Sambandsflokkurin,65,12,0.0,0.0,social_familie
Enhedslisten,Socialdemokratiet,65,682,498.0,0.7302052785923754,social_familie
Enhedslisten,Socialistisk Folkeparti,65,144,112.0,0.7777777777777778,social_familie
Enhedslisten,Uden for folketingsgrupperne,65,79,31.0,0.3924050632911392,social_familie
Enhedslisten,Venstre,65,562,230.0,0.4092526690391459,social_familie
Inuit Ataqatigiit,Danmarksdemokraterne,65,9,1.0,0.1111111111111111,social_familie
