source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,68,411,408.0,0.9927007299270073,sundhed
Danmarksdemokraterne,Dansk Folkeparti,68,758,753.0,0.9934036939313984,sundhed
Danmarksdemokraterne,Det Konservative Folkeparti,68,812,569.0,0.7007389162561576,sundhed
Danmarksdemokraterne,Enhedslisten,68,1425,675.0,0.47368421052631576,sundhed
Danmarksdemokraterne,Liberal Alliance,68,810,427.0,0.5271604938271605,sundhed
Danmarksdemokraterne,Moderaterne,68,33,27.0,0.8181818181818182,sundhed
Danmarksdemokraterne,Radikale Venstre,68,1488,831.0,0.5584677419354839,sundhed
Danmarksdemokraterne,Socialdemokratiet,68,1836,1079.0,0.5876906318082789,sundhed
Danmarksdemokraterne,Socialistisk Folkeparti,68,926,519.0,0.5604751619870411,sundhed
Danmarksdemokraterne,Uden for folketingsgrupperne,68,544,499.0,0.9172794117647058,sundhed
Danmarksdemokraterne,Venstre,68,2387,1651.0,0.6916631755341432,sundhed
Dansk Folkeparti,Danmarksdemokraterne,68,508,507.0,0.9980314960629921,sundhed
Dansk Folkeparti,Dansk Folkeparti,68,595,592.0,0.9949579831932773,sundhed
Dansk Folkeparti,Det Konservative Folkeparti,68,845,577.0,0.6828402366863905,sundhed
Dansk Folkeparti,Enhedslisten,68,1566,852.0,0.5440613026819924,sundhed
Dansk Folkeparti,Liberal Alliance,68,761,414.0,0.5440210249671484,sundhed
Dansk Folkeparti,Moderaterne,68,21,18.0,0.8571428571428571,sundhed
Dansk Folkeparti,Radikale Venstre,68,1368,809.0,0.591374269005848,sundhed
Dansk Folkeparti,Socialdemokratiet,68,1793,1119.0,0.6240936977133296,sundhed
Dansk Folkeparti,Socialistisk Folkeparti,68,1014,607.0,0.5986193293885601,sundhed
Dansk Folkeparti,Uden for folketingsgrupperne,68,511,447.0,0.8747553816046967,sundhed
Dansk Folkeparti,Venstre,68,2453,1767.0,0.7203424378312271,sundhed
Det Konservative Folkeparti,Danmarksdemokraterne,68,307,214.0,0.6970684039087948,sundhed
Det Konservative Folkeparti,Dansk Folkeparti,68,457,326.0,0.7133479212253829,sundhed
Det Konservative Folkeparti,Det Konservative Folkeparti,68,435,431.0,0.9908045977011494,sundhed
Det Konservative Folkeparti,Enhedslisten,68,1076,497.0,0.46189591078066916,sundhed
Det Konservative Folkeparti,Liberal Alliance,68,513,320.0,0.6237816764132553,sundhed
Det Konservative Folkeparti,Moderaterne,68,21,17.0,0.8095238095238095,sundhed
Det Konservative Folkeparti,Radikale Venstre,68,884,609.0,0.6889140271493213,sundhed
Det Konservative Folkeparti,Socialdemokratiet,68,1222,873.0,0.7144026186579379,sundhed
Det Konservative Folkeparti,Socialistisk Folkeparti,68,682,461.0,0.6759530791788856,sundhed
