source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,68,651,648.0,0.9953917050691244,transport
Danmarksdemokraterne,Dansk Folkeparti,68,1024,1022.0,0.998046875,transport
Danmarksdemokraterne,Det Konservative Folkeparti,68,1091,714.0,0.6544454628780935,transport
Danmarksdemokraterne,Enhedslisten,68,2024,906.0,0.44762845849802374,transport
Danmarksdemokraterne,Inuit Ataqatigiit,68,3,0.0,0.0,transport
Danmarksdemokraterne,Liberal Alliance,68,1110,644.0,0.5801801801801801,transport
Danmarksdemokraterne,Moderaterne,68,63,39.0,0.6190476190476191,transport
Danmarksdemokraterne,Radikale Venstre,68,2188,1052.0,0.48080438756855576,transport
Danmarksdemokraterne,Socialdemokratiet,68,2338,1102.0,0.4713430282292558,transport
Danmarksdemokraterne,Socialistisk Folkeparti,68,1241,504.0,0.40612409347300565,transport
Danmarksdemokraterne,Uden for folketingsgrupperne,68,720,667.0,0.9263888888888889,transport
Danmarksdemokraterne,Venstre,68,3409,2139.0,0.6274567321795248,transport
Dansk Folkeparti,Danmarksdemokraterne,68,788,786.0,0.9974619289340102,transport
Dansk Folkeparti,Dansk Folkeparti,68,792,792.0,1.0,transport
Dansk Folkeparti,Det Konservative Folkeparti,68,1126,732.0,0.650088809946714,transport
Dansk Folkeparti,Enhedslisten,68,2175,969.0,0.44551724137931037,transport
Dansk Folkeparti,Inuit Ataqatigiit,68,6,0.0,0.0,transport
Dansk Folkeparti,Liberal Alliance,68,1040,602.0,0.5788461538461539,transport
Dansk Folkeparti,Moderaterne,68,52,34.0,0.6538461538461539,transport
Dansk Folkeparti,Radikale Venstre,68,1937,945.0,0.48786783686112545,transport
Dansk Folkeparti,Socialdemokratiet,68,2308,1141.0,0.494367417677643,transport
Dansk Folkeparti,Socialistisk Folkeparti,68,1346,566.0,0.42050520059435365,transport
Dansk Folkeparti,Uden for folketingsgrupperne,68,661,592.0,0.8956127080181543,transport
Dansk Folkeparti,Venstre,68,3368,2116.0,0.6282660332541568,transport
Det Konservative Folkeparti,Danmarksdemokraterne,68,505,315.0,0.6237623762376238,transport
Det Konservative Folkeparti,Dansk Folkeparti,68,611,385.0,0.630114566284779,transport
Det Konservative Folkeparti,Det Konservative Folkeparti,68,587,587.0,1.0,transport
Det Konservative Folkeparti,Enhedslisten,68,1493,691.0,0.46282652377762895,transport
Det Konservative Folkeparti,Inuit Ataqatigiit,68,2,0.0,0.0,transport
Det Konservative Folkeparti,Liberal Alliance,68,706,493.0,0.6983002832861189,transport
Det Konservative Folkeparti,Moderaterne,68,49,46.0,0.9387755102040817,transport
Det Konservative Folkeparti,Radikale Venstre,68,1228,926.0,0.754071661237785,transport
Det Konservative Folkeparti,Socialdemokratiet,68,1621,1243.0,0.7668106107341147,transport
Det Konservative Folkeparti,Socialistisk Folkeparti,68,930,610.0,0.6559139784946236,transport
Det Konservative Folkeparti,Uden for folketingsgrupperne,68,393,250.0,0.6361323155216285,transport
Det Konservative Folkeparti,Venstre,68,2187,2012.0,0.9199817101051669,transport
Enhedslisten,Danmarksdemokraterne,68,1122,535.0,0.4768270944741533,transport
Enhedslisten,Dansk Folkeparti,68,1275,575.0,0.45098039215686275,transport
Enhedslisten,Det Konservative Folkeparti,68,1508,714.0,0.473474801061008,transport
Enhedslisten,Enhedslisten,68,2602,2562.0,0.9846272098385856,transport
Enhedslisten,Inuit Ataqatigiit,68,7,7.0,1.0,transport
Enhedslisten,Liberal Alliance,68,1464,540.0,0.36885245901639346,transport
Enhedslisten,Moderaterne,68,111,45.0,0.40540540540540543,transport
Enhedslisten,Radikale Venstre,68,2693,1839.0,0.6828815447456368,transport
Enhedslisten,Socialdemokratiet,68,3333,2230.0,0.669066906690669,transport
Enhedslisten,Socialistisk Folkeparti,68,1908,1435.0,0.7520964360587002,transport
Enhedslisten,Uden for folketingsgrupperne,68,939,418.0,0.44515441959531415,transport
Enhedslisten,Venstre,68,4755,2058.0,0.432807570977918,transport
Inuit Ataqatigiit,Det Konservative Folkeparti,68,1,0.0,0.0,transport
Inuit Ataqatigiit,Enhedslisten,68,1,1.0,1.0,transport
Inuit Ataqatigiit,Radikale Venstre,68,1,0.0,0.0,transport
Inuit Ataqatigiit,Socialdemokratiet,68,2,0.0,0.0,transport
