source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,25,25.0,1.0,transport_infrastruktur
Danmarksdemokraterne,Dansk Folkeparti,65,374,374.0,1.0,transport_infrastruktur
Danmarksdemokraterne,Det Konservative Folkeparti,65,201,201.0,1.0,transport_infrastruktur
Danmarksdemokraterne,Enhedslisten,65,45,6.0,0.13333333333333333,transport_infrastruktur
Danmarksdemokraterne,Kristeligt Folkeparti,65,50,38.0,0.76,transport_infrastruktur
Danmarksdemokraterne,Kristendemokraterne,65,10,4.0,0.4,transport_infrastruktur
Danmarksdemokraterne,Liberal Alliance,65,32,32.0,1.0,transport_infrastruktur
Danmarksdemokraterne,Moderaterne,65,13,13.0,1.0,transport_infrastruktur
Danmarksdemokraterne,Not able to assign,65,64,38.0,0.59375,transport_infrastruktur
Danmarksdemokraterne,Ny Alliance,65,13,13.0,1.0,transport_infrastruktur
Danmarksdemokraterne,Radikale Venstre,65,98,59.0,0.6020408163265306,transport_infrastruktur
Danmarksdemokraterne,Sambandsflokkurin,65,8,8.0,1.0,transport_infrastruktur
Danmarksdemokraterne,Socialdemokratiet,65,886,502.0,0.5665914221218962,transport_infrastruktur
Danmarksdemokraterne,Socialistisk Folkeparti,65,173,86.0,0.49710982658959535,transport_infrastruktur
Danmarksdemokraterne,Uden for folketingsgrupperne,65,100,97.0,0.97,transport_infrastruktur
Danmarksdemokraterne,Venstre,65,932,932.0,1.0,transport_infrastruktur
Dansk Folkeparti,Danmarksdemokraterne,65,110,110.0,1.0,transport_infrastruktur
Dansk Folkeparti,Dansk Folkeparti,65,1285,1285.0,1.0,transport_infrastruktur
Dansk Folkeparti,Det Konservative Folkeparti,65,552,552.0,1.0,transport_infrastruktur
Dansk Folkeparti,Enhedslisten,65,167,16.0,0.09580838323353294,transport_infrastruktur
Dansk Folkeparti,Kristeligt Folkeparti,65,135,88.0,0.6518518518518519,transport_infrastruktur
Dansk Folkeparti,Kristendemokraterne,65,36,14.0,0.3888888888888889,transport_infrastruktur
Dansk Folkeparti,Liberal Alliance,65,109,109.0,1.0,transport_infrastruktur
Dansk Folkeparti,Moderaterne,65,47,47.0,1.0,transport_infrastruktur
Dansk Folkeparti,Not able to assign,65,210,116.0,0.5523809523809524,transport_infrastruktur
