source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,30,30.0,1.0,uddannelse
Danmarksdemokraterne,Dansk Folkeparti,65,495,495.0,1.0,uddannelse
Danmarksdemokraterne,Det Konservative Folkeparti,65,363,363.0,1.0,uddannelse
Danmarksdemokraterne,Enhedslisten,65,38,14.0,0.3684210526315789,uddannelse
Danmarksdemokraterne,Inuit Ataqatigiit,65,2,0.0,0.0,uddannelse
Danmarksdemokraterne,Kristeligt Folkeparti,65,57,31.0,0.543859649122807,uddannelse
Danmarksdemokraterne,Kristendemokraterne,65,21,11.0,0.5238095238095238,uddannelse
Danmarksdemokraterne,Liberal Alliance,65,36,36.0,1.0,uddannelse
Danmarksdemokraterne,Moderaterne,65,8,8.0,1.0,uddannelse
Danmarksdemokraterne,Not able to assign,65,142,82.0,0.5774647887323944,uddannelse
Danmarksdemokraterne,Ny Alliance,65,38,38.0,1.0,uddannelse
Danmarksdemokraterne,Radikale Venstre,65,153,91.0,0.5947712418300654,uddannelse
Danmarksdemokraterne,Socialdemokratiet,65,1217,707.0,0.5809367296631059,uddannelse
Danmarksdemokraterne,Socialistisk Folkeparti,65,215,113.0,0.5255813953488372,uddannelse
Danmarksdemokraterne,Uden for folketingsgrupperne,65,103,93.0,0.9029126213592233,uddannelse
Danmarksdemokraterne,Venstre,65,1334,1334.0,1.0,uddannelse
Dansk Folkeparti,Dansk Folkeparti,65,1149,1149.0,1.0,uddannelse
Dansk Folkeparti,Det Konservative Folkeparti,65,1861,1861.0,1.0,uddannelse
Dansk Folkeparti,Enhedslisten,65,186,71.0,0.3817204301075269,uddannelse
Dansk Folkeparti,Inuit Ataqatigiit,65,11,0.0,0.0,uddannelse
Dansk Folkeparti,Kristeligt Folkeparti,65,307,165.0,0.5374592833876222,uddannelse
Dansk Folkeparti,Kristendemokraterne,65,94,44.0,0.46808510638297873,uddannelse
Dansk Folkeparti,Liberal Alliance,65,189,189.0,1.0,uddannelse
Dansk Folkeparti,Moderaterne,65,33,33.0,1.0,uddannelse
Dansk Folkeparti,Not able to assign,65,711,380.0,0.5344585091420534,uddannelse
Dansk Folkeparti,Ny Alliance,65,189,189.0,1.0,uddannelse
Dansk Folkeparti,Radikale Venstre,65,762,429.0,0.562992125984252,uddannelse
Dansk Folkeparti,Socialdemokratiet,65,6228,3417.0,0.5486512524084779,uddannelse
Dansk Folkeparti,Socialistisk Folkeparti,65,1069,511.0,0.47801683816651075,uddannelse
Dansk Folkeparti,Uden for folketingsgrupperne,65,553,492.0,0.8896925858951176,uddannelse
Dansk Folkeparti,Venstre,65,6740,6740.0,1.0,uddannelse
Det Konservative Folkeparti,Det Konservative Folkeparti,65,627,627.0,1.0,uddannelse
Det Konservative Folkeparti,Enhedslisten,65,143,56.0,0.3916083916083916,uddannelse
Det Konservative Folkeparti,Inuit Ataqatigiit,65,10,0.0,0.0,uddannelse
Det Konservative Folkeparti,Kristeligt Folkeparti,65,239,131.0,0.5481171548117155,uddannelse
Det Konservative Folkeparti,Kristendemokraterne,65,61,31.0,0.5081967213114754,uddannelse
Det Konservative Folkeparti,Liberal Alliance,65,142,142.0,1.0,uddannelse
Det Konservative Folkeparti,Moderaterne,65,23,23.0,1.0,uddannelse
Det Konservative Folkeparti,Not able to assign,65,518,282.0,0.5444015444015444,uddannelse
Det Konservative Folkeparti,Ny Alliance,65,138,138.0,1.0,uddannelse
Det Konservative Folkeparti,Radikale Venstre,65,567,320.0,0.564373897707231,uddannelse
Det Konservative Folkeparti,Socialdemokratiet,65,4656,2574.0,0.5528350515463918,uddannelse
Det Konservative Folkeparti,Socialistisk Folkeparti,65,793,375.0,0.4728877679697352,uddannelse
Det Konservative Folkeparti,Uden for folketingsgrupperne,65,421,377.0,0.8954869358669834,uddannelse
Det Konservative Folkeparti,Venstre,65,5026,5026.0,1.0,uddannelse
Enhedslisten,Inuit Ataqatigiit,65,1,1.0,1.0,uddannelse
Enhedslisten,Kristeligt Folkeparti,65,24,18.0,0.75,uddannelse
Enhedslisten,Kristendemokraterne,65,6,4.0,0.6666666666666666,uddannelse
Enhedslisten,Liberal Alliance,65,14,4.0,0.2857142857142857,uddannelse
Enhedslisten,Moderaterne,65,3,0.0,0.0,uddannelse
Enhedslisten,Not able to assign,65,51,37.0,0.7254901960784313,uddannelse
Enhedslisten,Ny Alliance,65,14,5.0,0.35714285714285715,uddannelse
Enhedslisten,Radikale Venstre,65,58,43.0,0.7413793103448276,uddannelse
Enhedslisten,Socialdemokratiet,65,465,327.0,0.7032258064516129,uddannelse
Enhedslisten,Socialistisk Folkeparti,65,82,64.0,0.7804878048780488,uddannelse
Enhedslisten,Uden for folketingsgrupperne,65,41,18.0,0.43902439024390244,uddannelse
Enhedslisten,Venstre,65,512,187.0,0.365234375,uddannelse
Inuit Ataqatigiit,Kristeligt Folkeparti,65,2,2.0,1.0,uddannelse
Inuit Ataqatigiit,Liberal Alliance,65,1,0.0,0.0,uddannelse
Inuit Ataqatigiit,Not able to assign,65,2,2.0,1.0,uddannelse
Inuit Ataqatigiit,Radikale Venstre,65,4,4.0,1.0,uddannelse
Inuit Ataqatigiit,Socialdemokratiet,65,29,29.0,1.0,uddannelse
Inuit Ataqatigiit,Socialistisk Folkeparti,65,7,7.0,1.0,uddannelse
Inuit Ataqatigiit,Uden for folketingsgrupperne,65,3,0.0,0.0,uddannelse
Inuit Ataqatigiit,Venstre,65,33,0.0,0.0,uddannelse
Kristeligt Folkeparti,Kristeligt Folkeparti,65,10,10.0,1.0,uddannelse
Kristeligt Folkeparti,Kristendemokraterne,65,6,6.0,1.0,uddannelse
Kristeligt Folkeparti,Liberal Alliance,65,26,14.0,0.5384615384615384,uddannelse
Kristeligt Folkeparti,Moderaterne,65,3,2.0,0.6666666666666666,uddannelse
Kristeligt Folkeparti,Not able to assign,65,81,72.0,0.8888888888888888,uddannelse
Kristeligt Folkeparti,Ny Alliance,65,22,12.0,0.5454545454545454,uddannelse
Kristeligt Folkeparti,Radikale Venstre,65,92,83.0,0.9021739130434783,uddannelse
Kristeligt Folkeparti,Socialdemokratiet,65,780,725.0,0.9294871794871795,uddannelse
Kristeligt Folkeparti,Socialistisk Folkeparti,65,132,109.0,0.8257575757575758,uddannelse
Kristeligt Folkeparti,Uden for folketingsgrupperne,65,76,49.0,0.6447368421052632,uddannelse
Kristeligt Folkeparti,Venstre,65,837,444.0,0.5304659498207885,uddannelse
Kristendemokraterne,Liberal Alliance,65,6,2.0,0.3333333333333333,uddannelse
Kristendemokraterne,Moderaterne,65,3,2.0,0.6666666666666666,uddannelse
Kristendemokraterne,Not able to assign,65,31,24.0,0.7741935483870968,uddannelse
Kristendemokraterne,Ny Alliance,65,8,4.0,0.5,uddannelse
Kristendemokraterne,Radikale Venstre,65,31,22.0,0.7096774193548387,uddannelse
Kristendemokraterne,Socialdemokratiet,65,224,169.0,0.7544642857142857,uddannelse
Kristendemokraterne,Socialistisk Folkeparti,65,41,30.0,0.7317073170731707,uddannelse
Kristendemokraterne,Uden for folketingsgrupperne,65,16,9.0,0.5625,uddannelse
Kristendemokraterne,Venstre,65,246,117.0,0.47560975609756095,uddannelse
Liberal Alliance,Moderaterne,65,3,3.0,1.0,uddannelse
Liberal Alliance,Not able to assign,65,52,24.0,0.46153846153846156,uddannelse
Liberal Alliance,Ny Alliance,65,14,14.0,1.0,uddannelse
Liberal Alliance,Radikale Venstre,65,58,29.0,0.5,uddannelse
Liberal Alliance,Socialdemokratiet,65,476,235.0,0.49369747899159666,uddannelse
Liberal Alliance,Socialistisk Folkeparti,65,82,34.0,0.4146341463414634,uddannelse
Liberal Alliance,Uden for folketingsgrupperne,65,45,40.0,0.8888888888888888,uddannelse
Liberal Alliance,Venstre,65,512,512.0,1.0,uddannelse
Moderaterne,Not able to assign,65,10,7.0,0.7,uddannelse
Moderaterne,Ny Alliance,65,3,3.0,1.0,uddannelse
Moderaterne,Radikale Venstre,65,13,8.0,0.6153846153846154,uddannelse
Moderaterne,Socialdemokratiet,65,81,53.0,0.654320987654321,uddannelse
Moderaterne,Socialistisk Folkeparti,65,17,12.0,0.7058823529411765,uddannelse
Moderaterne,Uden for folketingsgrupperne,65,6,6.0,1.0,uddannelse
Moderaterne,Venstre,65,92,92.0,1.0,uddannelse
Not able to assign,Not able to assign,65,74,70.0,0.9459459459459459,uddannelse
Not able to assign,Ny Alliance,65,55,29.0,0.5272727272727272,uddannelse
Not able to assign,Radikale Venstre,65,216,203.0,0.9398148148148148,uddannelse
Not able to assign,Socialdemokratiet,65,1757,1698.0,0.9664200341491178,uddannelse
Not able to assign,Socialistisk Folkeparti,65,300,278.0,0.9266666666666666,uddannelse
Not able to assign,Uden for folketingsgrupperne,65,151,87.0,0.5761589403973509,uddannelse
Not able to assign,Venstre,65,1898,1013.0,0.5337197049525817,uddannelse
Ny Alliance,Radikale Venstre,65,58,33.0,0.5689655172413793,uddannelse
Ny Alliance,Socialdemokratiet,65,468,256.0,0.5470085470085471,uddannelse
Ny Alliance,Socialistisk Folkeparti,65,80,39.0,0.4875,uddannelse
Ny Alliance,Uden for folketingsgrupperne,65,40,35.0,0.875,uddannelse
Ny Alliance,Venstre,65,507,507.0,1.0,uddannelse
Radikale Venstre,Radikale Venstre,65,89,89.0,1.0,uddannelse
Radikale Venstre,Socialdemokratiet,65,1896,1761.0,0.9287974683544303,uddannelse
Radikale Venstre,Socialistisk Folkeparti,65,331,313.0,0.945619335347432,uddannelse
Radikale Venstre,Uden for folketingsgrupperne,65,170,99.0,0.5823529411764706,uddannelse
Radikale Venstre,Venstre,65,2056,1147.0,0.5578793774319066,uddannelse
Socialdemokratiet,Socialdemokratiet,65,7518,7491.0,0.9964086193136472,uddannelse
Socialdemokratiet,Socialistisk Folkeparti,65,2656,2341.0,0.8814006024096386,uddannelse
Socialdemokratiet,Uden for folketingsgrupperne,65,1405,836.0,0.5950177935943061,uddannelse
Socialdemokratiet,Venstre,65,16760,9139.0,0.5452863961813843,uddannelse
Socialistisk Folkeparti,Socialistisk Folkeparti,65,192,192.0,1.0,uddannelse
Socialistisk Folkeparti,Uden for folketingsgrupperne,65,235,115.0,0.48936170212765956,uddannelse
Socialistisk Folkeparti,Venstre,65,2900,1359.0,0.4686206896551724,uddannelse
Uden for folketingsgrupperne,Uden for folketingsgrupperne,65,47,36.0,0.7659574468085106,uddannelse
Uden for folketingsgrupperne,Venstre,65,1492,1334.0,0.8941018766756033,uddannelse
Venstre,Venstre,65,8824,8824.0,1.0,uddannelse
Danmarksdemokraterne,Danmarksdemokraterne,66,1311,1274.0,0.9717772692601068,uddannelse
Danmarksdemokraterne,Dansk Folkeparti,66,10628,10451.0,0.9833458788106888,uddannelse
Danmarksdemokraterne,Det Konservative Folkeparti,66,8277,7759.0,0.937416938504289,uddannelse
Danmarksdemokraterne,Enhedslisten,66,2306,444.0,0.19254119687771032,uddannelse
Danmarksdemokraterne,Inuit Ataqatigiit,66,3,1.0,0.3333333333333333,uddannelse
Danmarksdemokraterne,Kristendemokraterne,66,792,743.0,0.9381313131313131,uddannelse
Danmarksdemokraterne,Liberal Alliance,66,644,614.0,0.953416149068323,uddannelse
Danmarksdemokraterne,Moderaterne,66,120,102.0,0.85,uddannelse
Danmarksdemokraterne,Not able to assign,66,2433,1515.0,0.6226880394574599,uddannelse
Danmarksdemokraterne,Ny Alliance,66,406,360.0,0.8866995073891626,uddannelse
Danmarksdemokraterne,Radikale Venstre,66,7292,3486.0,0.4780581459133297,uddannelse
Danmarksdemokraterne,Siumut,66,9,4.0,0.4444444444444444,uddannelse
Danmarksdemokraterne,Socialdemokratiet,66,23306,14497.0,0.6220286621470866,uddannelse
Danmarksdemokraterne,Socialistisk Folkeparti,66,5559,1800.0,0.32379924446842956,uddannelse
Danmarksdemokraterne,Tjóðveldi,66,10,0.0,0.0,uddannelse
Danmarksdemokraterne,Uden for folketingsgrupperne,66,2291,1810.0,0.7900480139676997,uddannelse
Danmarksdemokraterne,Venstre,66,27083,25329.0,0.935236125983089,uddannelse
Dansk Folkeparti,Dansk Folkeparti,66,16785,16736.0,0.9970807268394399,uddannelse
Dansk Folkeparti,Det Konservative Folkeparti,66,27772,25821.0,0.9297493878726775,uddannelse
Dansk Folkeparti,Enhedslisten,66,7664,1454.0,0.18971816283924844,uddannelse
Dansk Folkeparti,Inuit Ataqatigiit,66,13,0.0,0.0,uddannelse
Dansk Folkeparti,Kristendemokraterne,66,2666,2473.0,0.9276069017254314,uddannelse
Dansk Folkeparti,Liberal Alliance,66,2103,1996.0,0.9491203043271517,uddannelse
Dansk Folkeparti,Moderaterne,66,415,335.0,0.8072289156626506,uddannelse
Dansk Folkeparti,Not able to assign,66,8432,5088.0,0.603415559772296,uddannelse
Dansk Folkeparti,Ny Alliance,66,1232,1088.0,0.8831168831168831,uddannelse
Dansk Folkeparti,Radikale Venstre,66,24069,11656.0,0.4842743778304043,uddannelse
Dansk Folkeparti,Siumut,66,26,14.0,0.5384615384615384,uddannelse
Dansk Folkeparti,Socialdemokratiet,66,78379,46937.0,0.5988466298370737,uddannelse
Dansk Folkeparti,Socialistisk Folkeparti,66,18928,6369.0,0.3364856297548605,uddannelse
Dansk Folkeparti,Tjóðveldi,66,24,0.0,0.0,uddannelse
Dansk Folkeparti,Uden for folketingsgrupperne,66,7877,6233.0,0.791291100672845,uddannelse
Dansk Folkeparti,Venstre,66,91473,84818.0,0.9272462912553431,uddannelse
Det Konservative Folkeparti,Det Konservative Folkeparti,66,9797,9653.0,0.9853016229457997,uddannelse
Det Konservative Folkeparti,Enhedslisten,66,5968,1157.0,0.19386729222520108,uddannelse
Det Konservative Folkeparti,Inuit Ataqatigiit,66,9,9.0,1.0,uddannelse
Det Konservative Folkeparti,Kristendemokraterne,66,2025,1993.0,0.9841975308641975,uddannelse
Det Konservative Folkeparti,Liberal Alliance,66,1621,1611.0,0.9938309685379395,uddannelse
Det Konservative Folkeparti,Moderaterne,66,334,318.0,0.9520958083832335,uddannelse
Det Konservative Folkeparti,Not able to assign,66,6517,4314.0,0.6619610250115083,uddannelse
Det Konservative Folkeparti,Ny Alliance,66,969,924.0,0.9535603715170279,uddannelse
Det Konservative Folkeparti,Radikale Venstre,66,18541,9360.0,0.5048271398522194,uddannelse
Det Konservative Folkeparti,Siumut,66,20,11.0,0.55,uddannelse
Det Konservative Folkeparti,Socialdemokratiet,66,60322,39780.0,0.6594608932064586,uddannelse
Det Konservative Folkeparti,Socialistisk Folkeparti,66,14615,5151.0,0.35244611700307904,uddannelse
Det Konservative Folkeparti,Tjóðveldi,66,17,0.0,0.0,uddannelse
Det Konservative Folkeparti,Uden for folketingsgrupperne,66,6160,4896.0,0.7948051948051948,uddannelse
Det Konservative Folkeparti,Venstre,66,70469,69236.0,0.9825029445571811,uddannelse
Enhedslisten,Enhedslisten,66,563,563.0,1.0,uddannelse
Enhedslisten,Inuit Ataqatigiit,66,1,1.0,1.0,uddannelse
Enhedslisten,Kristendemokraterne,66,561,117.0,0.20855614973262032,uddannelse
Enhedslisten,Liberal Alliance,66,466,69.0,0.148068669527897,uddannelse
Enhedslisten,Moderaterne,66,94,18.0,0.19148936170212766,uddannelse
Enhedslisten,Not able to assign,66,1785,870.0,0.48739495798319327,uddannelse
Enhedslisten,Ny Alliance,66,290,51.0,0.17586206896551723,uddannelse
Enhedslisten,Radikale Venstre,66,5180,3212.0,0.6200772200772201,uddannelse
Enhedslisten,Siumut,66,5,3.0,0.6,uddannelse
Enhedslisten,Socialdemokratiet,66,16653,7963.0,0.4781721011229208,uddannelse
Enhedslisten,Socialistisk Folkeparti,66,4027,3240.0,0.8045691581822697,uddannelse
Enhedslisten,Tjóðveldi,66,6,6.0,1.0,uddannelse
Enhedslisten,Uden for folketingsgrupperne,66,1691,591.0,0.34949733885274986,uddannelse
Enhedslisten,Venstre,66,19400,3865.0,0.19922680412371135,uddannelse
Inuit Ataqatigiit,Kristendemokraterne,66,1,1.0,1.0,uddannelse
Inuit Ataqatigiit,Moderaterne,66,1,1.0,1.0,uddannelse
Inuit Ataqatigiit,Not able to assign,66,3,3.0,1.0,uddannelse
Inuit Ataqatigiit,Radikale Venstre,66,7,7.0,1.0,uddannelse
Inuit Ataqatigiit,Socialdemokratiet,66,28,28.0,1.0,uddannelse
Inuit Ataqatigiit,Socialistisk Folkeparti,66,7,7.0,1.0,uddannelse
Inuit Ataqatigiit,Uden for folketingsgrupperne,66,2,1.0,0.5,uddannelse
Inuit Ataqatigiit,Venstre,66,34,34.0,1.0,uddannelse
Kristendemokraterne,Liberal Alliance,66,155,154.0,0.9935483870967742,uddannelse
Kristendemokraterne,Moderaterne,66,30,27.0,0.9,uddannelse
Kristendemokraterne,Not able to assign,66,615,428.0,0.6959349593495935,uddannelse
Kristendemokraterne,Ny Alliance,66,87,85.0,0.9770114942528736,uddannelse
Kristendemokraterne,Radikale Venstre,66,1770,949.0,0.5361581920903955,uddannelse
Kristendemokraterne,Siumut,66,2,1.0,0.5,uddannelse
Kristendemokraterne,Socialdemokratiet,66,5745,3922.0,0.682680591818973,uddannelse
Kristendemokraterne,Socialistisk Folkeparti,66,1395,519.0,0.3720430107526882,uddannelse
