party_a,party_b,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,65,51,47.0,0.9215686274509803,udenrigs_eu
Danmarksdemokraterne,Dansk Folkeparti,65,774,750.0,0.9689922480620154,udenrigs_eu
Danmarksdemokraterne,Det Konservative Folkeparti,65,585,547.0,0.935042735042735,udenrigs_eu
Danmarksdemokraterne,Enhedslisten,65,76,17.0,0.2236842105263158,udenrigs_eu
Danmarksdemokraterne,Inuit Ataqatigiit,65,9,0.0,0.0,udenrigs_eu
Danmarksdemokraterne,Kristeligt Folkeparti,65,98,75.0,0.7653061224489796,udenrigs_eu
Danmarksdemokraterne,Kristendemokraterne,65,34,25.0,0.7352941176470589,udenrigs_eu
Danmarksdemokraterne,Liberal Alliance,65,59,55.0,0.9322033898305084,udenrigs_eu
Danmarksdemokraterne,Moderaterne,65,12,12.0,1.0,udenrigs_eu
Danmarksdemokraterne,Not able to assign,65,219,139.0,0.634703196347032,udenrigs_eu
Danmarksdemokraterne,Ny Alliance,65,51,47.0,0.9215686274509803,udenrigs_eu
Danmarksdemokraterne,Radikale Venstre,65,255,191.0,0.7490196078431373,udenrigs_eu
Danmarksdemokraterne,Sambandsflokkurin,65,2,2.0,1.0,udenrigs_eu
Danmarksdemokraterne,Socialdemokratiet,65,2015,1451.0,0.7200992555831266,udenrigs_eu
Danmarksdemokraterne,Socialistisk Folkeparti,65,381,186.0,0.4881889763779528,udenrigs_eu
Danmarksdemokraterne,Uden for folketingsgrupperne,65,161,153.0,0.9503105590062112,udenrigs_eu
Danmarksdemokraterne,Venstre,65,2103,1973.0,0.9381835473133618,udenrigs_eu
Dansk Folkeparti,Dansk Folkeparti,65,1710,1710.0,1.0,udenrigs_eu
Dansk Folkeparti,Det Konservative Folkeparti,65,2814,2586.0,0.9189765458422174,udenrigs_eu
Dansk Folkeparti,Enhedslisten,65,346,84.0,0.24277456647398843,udenrigs_eu
Dansk Folkeparti,Inuit Ataqatigiit,65,32,0.0,0.0,udenrigs_eu
Dansk Folkeparti,Kristeligt Folkeparti,65,481,366.0,0.760914760914761,udenrigs_eu
Dansk Folkeparti,Kristendemokraterne,65,153,106.0,0.6928104575163399,udenrigs_eu
Dansk Folkeparti,Liberal Alliance,65,282,258.0,0.9148936170212766,udenrigs_eu
Dansk Folkeparti,Moderaterne,65,57,57.0,1.0,udenrigs_eu
Dansk Folkeparti,Not able to assign,65,1065,671.0,0.6300469483568075,udenrigs_eu
Dansk Folkeparti,Ny Alliance,65,249,225.0,0.9036144578313253,udenrigs_eu
Dansk Folkeparti,Radikale Venstre,65,1216,895.0,0.7360197368421053,udenrigs_eu
Dansk Folkeparti,Sambandsflokkurin,65,12,12.0,1.0,udenrigs_eu
Dansk Folkeparti,Socialdemokratiet,65,9691,6806.0,0.7023011041172221,udenrigs_eu
Dansk Folkeparti,Socialistisk Folkeparti,65,1805,921.0,0.5102493074792244,udenrigs_eu
Dansk Folkeparti,Uden for folketingsgrupperne,65,812,776.0,0.9556650246305419,udenrigs_eu
Dansk Folkeparti,Venstre,65,10099,9319.0,0.9227646301614021,udenrigs_eu
Det Konservative Folkeparti,Det Konservative Folkeparti,65,971,971.0,1.0,udenrigs_eu
Det Konservative Folkeparti,Enhedslisten,65,279,65.0,0.23297491039426524,udenrigs_eu
Det Konservative Folkeparti,Inuit Ataqatigiit,65,31,0.0,0.0,udenrigs_eu
Det Konservative Folkeparti,Kristeligt Folkeparti,65,379,315.0,0.8311345646437994,udenrigs_eu
Det Konservative Folkeparti,Kristendemokraterne,65,101,77.0,0.7623762376237624,udenrigs_eu
Det Konservative Folkeparti,Liberal Alliance,65,216,216.0,1.0,udenrigs_eu
Det Konservative Folkeparti,Moderaterne,65,40,40.0,1.0,udenrigs_eu
Det Konservative Folkeparti,Not able to assign,65,781,523.0,0.6696542893725992,udenrigs_eu
Det Konservative Folkeparti,Ny Alliance,65,178,178.0,1.0,udenrigs_eu
Det Konservative Folkeparti,Radikale Venstre,65,927,761.0,0.8209277238403452,udenrigs_eu
Det Konservative Folkeparti,Sambandsflokkurin,65,11,11.0,1.0,udenrigs_eu
Det Konservative Folkeparti,Socialdemokratiet,65,7349,5697.0,0.7752075112260172,udenrigs_eu
Det Konservative Folkeparti,Socialistisk Folkeparti,65,1368,640.0,0.4678362573099415,udenrigs_eu
Det Konservative Folkeparti,Uden for folketingsgrupperne,65,620,591.0,0.9532258064516129,udenrigs_eu
Det Konservative Folkeparti,Venstre,65,7637,7627.0,0.9986905853083672,udenrigs_eu
Enhedslisten,Enhedslisten,65,7,7.0,1.0,udenrigs_eu
Enhedslisten,Inuit Ataqatigiit,65,7,7.0,1.0,udenrigs_eu
Enhedslisten,Kristeligt Folkeparti,65,49,21.0,0.42857142857142855,udenrigs_eu
Enhedslisten,Kristendemokraterne,65,11,5.0,0.45454545454545453,udenrigs_eu
Enhedslisten,Liberal Alliance,65,27,7.0,0.25925925925925924,udenrigs_eu
Enhedslisten,Moderaterne,65,5,0.0,0.0,udenrigs_eu
Enhedslisten,Not able to assign,65,91,52.0,0.5714285714285714,udenrigs_eu
Enhedslisten,Ny Alliance,65,19,5.0,0.2631578947368421,udenrigs_eu
Enhedslisten,Radikale Venstre,65,119,44.0,0.3697478991596639,udenrigs_eu
Enhedslisten,Sambandsflokkurin,65,2,0.0,0.0,udenrigs_eu
Enhedslisten,Socialdemokratiet,65,918,346.0,0.3769063180827887,udenrigs_eu
Enhedslisten,Socialistisk Folkeparti,65,177,150.0,0.847457627118644,udenrigs_eu
Enhedslisten,Uden for folketingsgrupperne,65,74,19.0,0.25675675675675674,udenrigs_eu
Enhedslisten,Venstre,65,948,219.0,0.2310126582278481,udenrigs_eu
Inuit Ataqatigiit,Kristeligt Folkeparti,65,6,2.0,0.3333333333333333,udenrigs_eu
Inuit Ataqatigiit,Liberal Alliance,65,2,0.0,0.0,udenrigs_eu
Inuit Ataqatigiit,Not able to assign,65,6,3.0,0.5,udenrigs_eu
Inuit Ataqatigiit,Radikale Venstre,65,12,0.0,0.0,udenrigs_eu
Inuit Ataqatigiit,Socialdemokratiet,65,97,5.0,0.05154639175257732,udenrigs_eu
Inuit Ataqatigiit,Socialistisk Folkeparti,65,24,24.0,1.0,udenrigs_eu
Inuit Ataqatigiit,Uden for folketingsgrupperne,65,6,0.0,0.0,udenrigs_eu
Inuit Ataqatigiit,Venstre,65,93,0.0,0.0,udenrigs_eu
Kristeligt Folkeparti,Kristeligt Folkeparti,65,14,14.0,1.0,udenrigs_eu
Kristeligt Folkeparti,Kristendemokraterne,65,13,13.0,1.0,udenrigs_eu
Kristeligt Folkeparti,Liberal Alliance,65,37,32.0,0.8648648648648649,udenrigs_eu
Kristeligt Folkeparti,Moderaterne,65,6,6.0,1.0,udenrigs_eu
Kristeligt Folkeparti,Not able to assign,65,131,101.0,0.7709923664122137,udenrigs_eu
Kristeligt Folkeparti,Ny Alliance,65,29,24.0,0.8275862068965517,udenrigs_eu
Kristeligt Folkeparti,Radikale Venstre,65,159,138.0,0.8679245283018868,udenrigs_eu
Kristeligt Folkeparti,Sambandsflokkurin,65,2,2.0,1.0,udenrigs_eu
Kristeligt Folkeparti,Socialdemokratiet,65,1255,1035.0,0.8247011952191236,udenrigs_eu
Kristeligt Folkeparti,Socialistisk Folkeparti,65,234,139.0,0.594017094017094,udenrigs_eu
Kristeligt Folkeparti,Uden for folketingsgrupperne,65,110,93.0,0.8454545454545455,udenrigs_eu
Kristeligt Folkeparti,Venstre,65,1304,1081.0,0.8289877300613497,udenrigs_eu
Kristendemokraterne,Liberal Alliance,65,11,8.0,0.7272727272727273,udenrigs_eu
Kristendemokraterne,Moderaterne,65,4,4.0,1.0,udenrigs_eu
Kristendemokraterne,Not able to assign,65,49,39.0,0.7959183673469388,udenrigs_eu
Kristendemokraterne,Ny Alliance,65,13,10.0,0.7692307692307693,udenrigs_eu
Kristendemokraterne,Radikale Venstre,65,49,36.0,0.7346938775510204,udenrigs_eu
Kristendemokraterne,Socialdemokratiet,65,395,305.0,0.7721518987341772,udenrigs_eu
Kristendemokraterne,Socialistisk Folkeparti,65,74,59.0,0.7972972972972973,udenrigs_eu
Kristendemokraterne,Uden for folketingsgrupperne,65,28,21.0,0.75,udenrigs_eu
Kristendemokraterne,Venstre,65,412,321.0,0.779126213592233,udenrigs_eu
Liberal Alliance,Moderaterne,65,4,4.0,1.0,udenrigs_eu
Liberal Alliance,Not able to assign,65,78,50.0,0.6410256410256411,udenrigs_eu
Liberal Alliance,Ny Alliance,65,19,19.0,1.0,udenrigs_eu
Liberal Alliance,Radikale Venstre,65,94,74.0,0.7872340425531915,udenrigs_eu
Liberal Alliance,Sambandsflokkurin,65,1,1.0,1.0,udenrigs_eu
Liberal Alliance,Socialdemokratiet,65,726,540.0,0.743801652892562,udenrigs_eu
Liberal Alliance,Socialistisk Folkeparti,65,129,60.0,0.46511627906976744,udenrigs_eu
Liberal Alliance,Uden for folketingsgrupperne,65,61,58.0,0.9508196721311475,udenrigs_eu
Liberal Alliance,Venstre,65,762,761.0,0.9986876640419947,udenrigs_eu
Moderaterne,Not able to assign,65,19,15.0,0.7894736842105263,udenrigs_eu
Moderaterne,Ny Alliance,65,4,4.0,1.0,udenrigs_eu
Moderaterne,Radikale Venstre,65,20,15.0,0.75,udenrigs_eu
Moderaterne,Sambandsflokkurin,65,1,1.0,1.0,udenrigs_eu
Moderaterne,Socialdemokratiet,65,148,118.0,0.7972972972972973,udenrigs_eu
Moderaterne,Socialistisk Folkeparti,65,33,20.0,0.6060606060606061,udenrigs_eu
Moderaterne,Uden for folketingsgrupperne,65,12,12.0,1.0,udenrigs_eu
Moderaterne,Venstre,65,153,153.0,1.0,udenrigs_eu
Not able to assign,Not able to assign,65,114,99.0,0.868421052631579,udenrigs_eu
Not able to assign,Ny Alliance,65,76,51.0,0.6710526315789473,udenrigs_eu
Not able to assign,Radikale Venstre,65,347,287.0,0.8270893371757925,udenrigs_eu
Not able to assign,Sambandsflokkurin,65,3,2.0,0.6666666666666666,udenrigs_eu
Not able to assign,Socialdemokratiet,65,2750,2465.0,0.8963636363636364,udenrigs_eu
Not able to assign,Socialistisk Folkeparti,65,514,420.0,0.8171206225680934,udenrigs_eu
Not able to assign,Uden for folketingsgrupperne,65,231,154.0,0.6666666666666666,udenrigs_eu
Not able to assign,Venstre,65,2869,1949.0,0.6793307772743116,udenrigs_eu
Ny Alliance,Radikale Venstre,65,81,61.0,0.7530864197530864,udenrigs_eu
Ny Alliance,Socialdemokratiet,65,637,454.0,0.7127158555729984,udenrigs_eu
Ny Alliance,Socialistisk Folkeparti,65,114,69.0,0.6052631578947368,udenrigs_eu
Ny Alliance,Uden for folketingsgrupperne,65,53,50.0,0.9433962264150944,udenrigs_eu
Ny Alliance,Venstre,65,672,671.0,0.9985119047619048,udenrigs_eu
Radikale Venstre,Radikale Venstre,65,156,156.0,1.0,udenrigs_eu
Radikale Venstre,Sambandsflokkurin,65,5,5.0,1.0,udenrigs_eu
Radikale Venstre,Socialdemokratiet,65,3165,2847.0,0.8995260663507109,udenrigs_eu
Radikale Venstre,Socialistisk Folkeparti,65,591,364.0,0.6159052453468697,udenrigs_eu
Radikale Venstre,Uden for folketingsgrupperne,65,269,216.0,0.8029739776951673,udenrigs_eu
Radikale Venstre,Venstre,65,3290,2665.0,0.8100303951367781,udenrigs_eu
Sambandsflokkurin,Socialdemokratiet,65,30,29.0,0.9666666666666667,udenrigs_eu
Sambandsflokkurin,Socialistisk Folkeparti,65,8,0.0,0.0,udenrigs_eu
Sambandsflokkurin,Uden for folketingsgrupperne,65,3,3.0,1.0,udenrigs_eu
Sambandsflokkurin,Venstre,65,31,31.0,1.0,udenrigs_eu
Socialdemokratiet,Socialdemokratiet,65,12246,12004.0,0.9802384452065981,udenrigs_eu
Socialdemokratiet,Socialistisk Folkeparti,65,4726,2939.0,0.6218789674143038,udenrigs_eu
Socialdemokratiet,Uden for folketingsgrupperne,65,2117,1588.0,0.7501180916391119,udenrigs_eu
Socialdemokratiet,Venstre,65,26268,20262.0,0.7713567839195979,udenrigs_eu
Socialistisk Folkeparti,Socialistisk Folkeparti,65,392,392.0,1.0,udenrigs_eu
Socialistisk Folkeparti,Uden for folketingsgrupperne,65,387,199.0,0.5142118863049095,udenrigs_eu
Socialistisk Folkeparti,Venstre,65,4896,2468.0,0.5040849673202614,udenrigs_eu
Uden for folketingsgrupperne,Uden for folketingsgrupperne,65,62,58.0,0.9354838709677419,udenrigs_eu
Uden for folketingsgrupperne,Venstre,65,2195,2093.0,0.9535307517084283,udenrigs_eu
Venstre,Venstre,65,13261,13229.0,0.9975869089812232,udenrigs_eu
Danmarksdemokraterne,Danmarksdemokraterne,66,1391,1325.0,0.9525521207764198,udenrigs_eu
Danmarksdemokraterne,Dansk Folkeparti,66,12055,11760.0,0.9755288262131896,udenrigs_eu
Danmarksdemokraterne,Det Konservative Folkeparti,66,9574,8736.0,0.9124712763735116,udenrigs_eu
Danmarksdemokraterne,Enhedslisten,66,2639,794.0,0.3008715422508526,udenrigs_eu
Danmarksdemokraterne,Folkaflokkurin,66,7,5.0,0.7142857142857143,udenrigs_eu
Danmarksdemokraterne,Inuit Ataqatigiit,66,20,6.0,0.3,udenrigs_eu
Danmarksdemokraterne,Kristendemokraterne,66,910,830.0,0.9120879120879121,udenrigs_eu
Danmarksdemokraterne,Liberal Alliance,66,798,722.0,0.9047619047619048,udenrigs_eu
Danmarksdemokraterne,Moderaterne,66,193,180.0,0.9326424870466321,udenrigs_eu
Danmarksdemokraterne,Not able to assign,66,2795,1628.0,0.5824686940966011,udenrigs_eu
Danmarksdemokraterne,Ny Alliance,66,544,475.0,0.8731617647058824,udenrigs_eu
Danmarksdemokraterne,Radikale Venstre,66,7999,4501.0,0.5626953369171146,udenrigs_eu
Danmarksdemokraterne,Siumut,66,25,15.0,0.6,udenrigs_eu
Danmarksdemokraterne,Socialdemokratiet,66,26529,15069.0,0.5680199027479362,udenrigs_eu
Danmarksdemokraterne,Socialistisk Folkeparti,66,6258,2406.0,0.3844678811121764,udenrigs_eu
Danmarksdemokraterne,Tjóðveldi,66,25,2.0,0.08,udenrigs_eu
Danmarksdemokraterne,Uden for folketingsgrupperne,66,2900,2356.0,0.8124137931034483,udenrigs_eu
Danmarksdemokraterne,Venstre,66,30791,27901.0,0.9061414049559936,udenrigs_eu
Dansk Folkeparti,Dansk Folkeparti,66,19405,19372.0,0.9982994073692347,udenrigs_eu
Dansk Folkeparti,Det Konservative Folkeparti,66,32540,29046.0,0.8926244622003687,udenrigs_eu
Dansk Folkeparti,Enhedslisten,66,8957,2652.0,0.2960812772133527,udenrigs_eu
Dansk Folkeparti,Folkaflokkurin,66,26,14.0,0.5384615384615384,udenrigs_eu
Dansk Folkeparti,Inuit Ataqatigiit,66,79,26.0,0.3291139240506329,udenrigs_eu
Dansk Folkeparti,Kristendemokraterne,66,3152,2815.0,0.8930837563451777,udenrigs_eu
Dansk Folkeparti,Liberal Alliance,66,2749,2416.0,0.878865041833394,udenrigs_eu
Dansk Folkeparti,Moderaterne,66,639,585.0,0.9154929577464789,udenrigs_eu
Dansk Folkeparti,Not able to assign,66,9702,5612.0,0.5784374355802927,udenrigs_eu
Dansk Folkeparti,Ny Alliance,66,1634,1385.0,0.8476132190942472,udenrigs_eu
Dansk Folkeparti,Radikale Venstre,66,27175,14802.0,0.5446918123275069,udenrigs_eu
Dansk Folkeparti,Siumut,66,107,67.0,0.6261682242990654,udenrigs_eu
Dansk Folkeparti,Socialdemokratiet,66,91476,51582.0,0.5638856093401547,udenrigs_eu
Dansk Folkeparti,Socialistisk Folkeparti,66,21567,7969.0,0.36949969861362264,udenrigs_eu
Dansk Folkeparti,Tjóðveldi,66,91,12.0,0.13186813186813187,udenrigs_eu
Dansk Folkeparti,Uden for folketingsgrupperne,66,10012,8048.0,0.8038353975229724,udenrigs_eu
Dansk Folkeparti,Venstre,66,106528,94573.0,0.8877759837789125,udenrigs_eu
Det Konservative Folkeparti,Det Konservative Folkeparti,66,11711,11609.0,0.9912902399453505,udenrigs_eu
Det Konservative Folkeparti,Enhedslisten,66,7063,1864.0,0.26391051960923123,udenrigs_eu
Det Konservative Folkeparti,Folkaflokkurin,66,23,23.0,1.0,udenrigs_eu
Det Konservative Folkeparti,Inuit Ataqatigiit,66,64,10.0,0.15625,udenrigs_eu
Det Konservative Folkeparti,Kristendemokraterne,66,2430,2410.0,0.9917695473251029,udenrigs_eu
Det Konservative Folkeparti,Liberal Alliance,66,2161,2151.0,0.99537251272559,udenrigs_eu
Det Konservative Folkeparti,Moderaterne,66,506,494.0,0.9762845849802372,udenrigs_eu
Det Konservative Folkeparti,Not able to assign,66,7559,5130.0,0.6786611985712396,udenrigs_eu
Det Konservative Folkeparti,Ny Alliance,66,1321,1276.0,0.9659348978046934,udenrigs_eu
Det Konservative Folkeparti,Radikale Venstre,66,21322,13800.0,0.647218835006097,udenrigs_eu
Det Konservative Folkeparti,Siumut,66,84,41.0,0.4880952380952381,udenrigs_eu
Det Konservative Folkeparti,Socialdemokratiet,66,71512,47915.0,0.6700274079874706,udenrigs_eu
Det Konservative Folkeparti,Socialistisk Folkeparti,66,16887,7536.0,0.44626043702256174,udenrigs_eu
Det Konservative Folkeparti,Tjóðveldi,66,73,0.0,0.0,udenrigs_eu
Det Konservative Folkeparti,Uden for folketingsgrupperne,66,7856,6577.0,0.8371945010183299,udenrigs_eu
Det Konservative Folkeparti,Venstre,66,83293,82149.0,0.9862653524305764,udenrigs_eu
