source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,68,723,718.0,0.9930843706777317,udenrigspolitik
Danmarksdemokraterne,Dansk Folkeparti,68,1212,1203.0,0.9925742574257426,udenrigspolitik
Danmarksdemokraterne,Det Konservative Folkeparti,68,1297,929.0,0.7162683114880494,udenrigspolitik
Danmarksdemokraterne,Enhedslisten,68,2360,887.0,0.37584745762711863,udenrigspolitik
Danmarksdemokraterne,Inuit Ataqatigiit,68,3,0.0,0.0,udenrigspolitik
Danmarksdemokraterne,Liberal Alliance,68,1297,878.0,0.676946800308404,udenrigspolitik
Danmarksdemokraterne,Moderaterne,68,109,74.0,0.6788990825688074,udenrigspolitik
Danmarksdemokraterne,Radikale Venstre,68,2565,1208.0,0.4709551656920078,udenrigspolitik
Danmarksdemokraterne,Socialdemokratiet,68,2821,1315.0,0.4661467564693371,udenrigspolitik
Danmarksdemokraterne,Socialistisk Folkeparti,68,1447,685.0,0.47339322736696615,udenrigspolitik
Danmarksdemokraterne,Uden for folketingsgrupperne,68,847,798.0,0.9421487603305785,udenrigspolitik
Danmarksdemokraterne,Venstre,68,3984,2701.0,0.6779618473895582,udenrigspolitik
Dansk Folkeparti,Danmarksdemokraterne,68,833,830.0,0.9963985594237695,udenrigspolitik
Dansk Folkeparti,Dansk Folkeparti,68,925,918.0,0.9924324324324324,udenrigspolitik
Dansk Folkeparti,Det Konservative Folkeparti,68,1317,943.0,0.7160212604403948,udenrigspolitik
Dansk Folkeparti,Enhedslisten,68,2505,926.0,0.36966067864271457,udenrigspolitik
Dansk Folkeparti,Inuit Ataqatigiit,68,6,0.0,0.0,udenrigspolitik
Dansk Folkeparti,Liberal Alliance,68,1205,807.0,0.6697095435684647,udenrigspolitik
Dansk Folkeparti,Moderaterne,68,76,53.0,0.6973684210526315,udenrigspolitik
Dansk Folkeparti,Radikale Venstre,68,2236,1014.0,0.45348837209302323,udenrigspolitik
Dansk Folkeparti,Socialdemokratiet,68,2732,1224.0,0.4480234260614934,udenrigspolitik
Dansk Folkeparti,Socialistisk Folkeparti,68,1553,724.0,0.46619446233097234,udenrigspolitik
Dansk Folkeparti,Uden for folketingsgrupperne,68,755,691.0,0.9152317880794701,udenrigspolitik
Dansk Folkeparti,Venstre,68,3830,2571.0,0.6712793733681462,udenrigspolitik
Det Konservative Folkeparti,Danmarksdemokraterne,68,527,348.0,0.6603415559772297,udenrigspolitik
Det Konservative Folkeparti,Dansk Folkeparti,68,686,471.0,0.6865889212827988,udenrigspolitik
Det Konservative Folkeparti,Det Konservative Folkeparti,68,678,678.0,1.0,udenrigspolitik
Det Konservative Folkeparti,Enhedslisten,68,1736,808.0,0.46543778801843316,udenrigspolitik
Det Konservative Folkeparti,Inuit Ataqatigiit,68,2,0.0,0.0,udenrigspolitik
Det Konservative Folkeparti,Liberal Alliance,68,774,528.0,0.6821705426356589,udenrigspolitik
Det Konservative Folkeparti,Moderaterne,68,74,71.0,0.9594594594594594,udenrigspolitik
Det Konservative Folkeparti,Radikale Venstre,68,1414,1000.0,0.7072135785007072,udenrigspolitik
Det Konservative Folkeparti,Socialdemokratiet,68,1883,1356.0,0.7201274561869357,udenrigspolitik
Det Konservative Folkeparti,Socialistisk Folkeparti,68,1101,769.0,0.698455949137148,udenrigspolitik
Det Konservative Folkeparti,Uden for folketingsgrupperne,68,465,326.0,0.7010752688172043,udenrigspolitik
