source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,68,4117,4101.0,0.9961136750060724,økonomi
Danmarksdemokraterne,Dansk Folkeparti,68,6558,6541.0,0.9974077462641049,økonomi
Danmarksdemokraterne,Det Konservative Folkeparti,68,7158,4547.0,0.6352333053925677,økonomi
Danmarksdemokraterne,Enhedslisten,68,13242,5602.0,0.42304787796405374,økonomi
Danmarksdemokraterne,Inuit Ataqatigiit,68,7,0.0,0.0,økonomi
Danmarksdemokraterne,Liberal Alliance,68,7191,3972.0,0.5523571130579892,økonomi
Danmarksdemokraterne,Moderaterne,68,964,599.0,0.6213692946058091,økonomi
Danmarksdemokraterne,Radikale Venstre,68,14650,7367.0,0.5028668941979522,økonomi
Danmarksdemokraterne,Socialdemokratiet,68,15197,7813.0,0.514114627887083,økonomi
Danmarksdemokraterne,Socialistisk Folkeparti,68,8282,4070.0,0.49142719149963776,økonomi
Danmarksdemokraterne,Uden for folketingsgrupperne,68,5313,4825.0,0.9081498211932995,økonomi
Danmarksdemokraterne,Venstre,68,20685,13870.0,0.6705342035291274,økonomi
Dansk Folkeparti,Danmarksdemokraterne,68,4407,4384.0,0.9947810301792602,økonomi
Dansk Folkeparti,Dansk Folkeparti,68,4724,4702.0,0.9953429297205758,økonomi
Dansk Folkeparti,Det Konservative Folkeparti,68,6781,4416.0,0.6512313818020941,økonomi
Dansk Folkeparti,Enhedslisten,68,13227,5473.0,0.4137748544643532,økonomi
Dansk Folkeparti,Inuit Ataqatigiit,68,9,0.0,0.0,økonomi
Dansk Folkeparti,Liberal Alliance,68,6247,3648.0,0.5839603009444534,økonomi
Dansk Folkeparti,Moderaterne,68,577,379.0,0.6568457538994801,økonomi
Dansk Folkeparti,Radikale Venstre,68,11785,6209.0,0.5268561731014001,økonomi
Dansk Folkeparti,Socialdemokratiet,68,14171,7619.0,0.5376473078822949,økonomi
Dansk Folkeparti,Socialistisk Folkeparti,68,8312,4059.0,0.488330125120308,økonomi
Dansk Folkeparti,Uden for folketingsgrupperne,68,4281,3731.0,0.8715253445456669,økonomi
Dansk Folkeparti,Venstre,68,19685,13777.0,0.6998729997459995,økonomi
Det Konservative Folkeparti,Danmarksdemokraterne,68,2465,1465.0,0.5943204868154158,økonomi
Det Konservative Folkeparti,Dansk Folkeparti,68,3434,2213.0,0.6444379732090856,økonomi
Det Konservative Folkeparti,Det Konservative Folkeparti,68,3302,3290.0,0.9963658388855239,økonomi
Det Konservative Folkeparti,Enhedslisten,68,8547,3329.0,0.3894933894933895,økonomi
Det Konservative Folkeparti,Inuit Ataqatigiit,68,4,0.0,0.0,økonomi
Det Konservative Folkeparti,Liberal Alliance,68,3782,2735.0,0.7231623479640402,økonomi
Det Konservative Folkeparti,Moderaterne,68,390,318.0,0.8153846153846154,økonomi
Det Konservative Folkeparti,Radikale Venstre,68,7035,4901.0,0.6966595593461266,økonomi
Det Konservative Folkeparti,Socialdemokratiet,68,9288,6397.0,0.6887381567614126,økonomi
Det Konservative Folkeparti,Socialistisk Folkeparti,68,5448,3324.0,0.6101321585903083,økonomi
Det Konservative Folkeparti,Uden for folketingsgrupperne,68,2420,1589.0,0.6566115702479339,økonomi
Det Konservative Folkeparti,Venstre,68,11911,10180.0,0.8546721517924607,økonomi
Enhedslisten,Danmarksdemokraterne,68,7687,3168.0,0.4121243658124106,økonomi
Enhedslisten,Dansk Folkeparti,68,8982,3508.0,0.3905588955689156,økonomi
Enhedslisten,Det Konservative Folkeparti,68,10573,3964.0,0.3749172420315899,økonomi
Enhedslisten,Enhedslisten,68,18203,17758.0,0.9755534801955722,økonomi
Enhedslisten,Inuit Ataqatigiit,68,14,14.0,1.0,økonomi
Enhedslisten,Liberal Alliance,68,9854,3029.0,0.3073878627968338,økonomi
Enhedslisten,Moderaterne,68,1408,609.0,0.4325284090909091,økonomi
Enhedslisten,Radikale Venstre,68,19452,13394.0,0.6885667283569813,økonomi
Enhedslisten,Socialdemokratiet,68,23387,15744.0,0.6731945097703853,økonomi
Enhedslisten,Socialistisk Folkeparti,68,13434,9751.0,0.7258448712222718,økonomi
Enhedslisten,Uden for folketingsgrupperne,68,7138,2690.0,0.3768562622583357,økonomi
Enhedslisten,Venstre,68,31780,12768.0,0.4017621145374449,økonomi
Inuit Ataqatigiit,Danmarksdemokraterne,68,1,1.0,1.0,økonomi
Inuit Ataqatigiit,Det Konservative Folkeparti,68,2,0.0,0.0,økonomi
Inuit Ataqatigiit,Enhedslisten,68,2,2.0,1.0,økonomi
Inuit Ataqatigiit,Liberal Alliance,68,1,0.0,0.0,økonomi
Inuit Ataqatigiit,Radikale Venstre,68,1,0.0,0.0,økonomi
Inuit Ataqatigiit,Socialdemokratiet,68,4,2.0,0.5,økonomi
Inuit Ataqatigiit,Socialistisk Folkeparti,68,2,0.0,0.0,økonomi
Inuit Ataqatigiit,Uden for folketingsgrupperne,68,2,0.0,0.0,økonomi
Inuit Ataqatigiit,Venstre,68,5,0.0,0.0,økonomi
Liberal Alliance,Danmarksdemokraterne,68,2298,1090.0,0.47432550043516103,økonomi
Liberal Alliance,Dansk Folkeparti,68,3743,2053.0,0.5484905156291745,økonomi
Liberal Alliance,Det Konservative Folkeparti,68,4790,3189.0,0.6657620041753654,økonomi
Liberal Alliance,Enhedslisten,68,8867,2798.0,0.3155520469155295,økonomi
Liberal Alliance,Inuit Ataqatigiit,68,6,0.0,0.0,økonomi
Liberal Alliance,Liberal Alliance,68,3131,3108.0,0.9926541041200895,økonomi
Liberal Alliance,Moderaterne,68,255,123.0,0.4823529411764706,økonomi
Liberal Alliance,Radikale Venstre,68,6201,3244.0,0.5231414288018061,økonomi
Liberal Alliance,Socialdemokratiet,68,9642,5088.0,0.5276913503422527,økonomi
Liberal Alliance,Socialistisk Folkeparti,68,5791,2747.0,0.47435676049041614,økonomi
Liberal Alliance,Uden for folketingsgrupperne,68,2197,1522.0,0.6927628584433319,økonomi
Liberal Alliance,Venstre,68,11175,7609.0,0.6808948545861297,økonomi
Moderaterne,Danmarksdemokraterne,68,504,317.0,0.628968253968254,økonomi
Moderaterne,Dansk Folkeparti,68,882,562.0,0.63718820861678,økonomi
Moderaterne,Det Konservative Folkeparti,68,947,766.0,0.808870116156283,økonomi
Moderaterne,Enhedslisten,68,1465,606.0,0.4136518771331058,økonomi
Moderaterne,Inuit Ataqatigiit,68,1,0.0,0.0,økonomi
Moderaterne,Liberal Alliance,68,1023,614.0,0.6001955034213099,økonomi
Moderaterne,Moderaterne,68,5,5.0,1.0,økonomi
Moderaterne,Radikale Venstre,68,2012,1309.0,0.6505964214711729,økonomi
Moderaterne,Socialdemokratiet,68,1918,1280.0,0.6673618352450469,økonomi
Moderaterne,Socialistisk Folkeparti,68,931,540.0,0.5800214822771214,økonomi
Moderaterne,Uden for folketingsgrupperne,68,706,441.0,0.6246458923512748,økonomi
Moderaterne,Venstre,68,2444,2444.0,1.0,økonomi
Radikale Venstre,Danmarksdemokraterne,68,4480,2296.0,0.5125,økonomi
Radikale Venstre,Dansk Folkeparti,68,8183,4354.0,0.5320786997433704,økonomi
Radikale Venstre,Det Konservative Folkeparti,68,10061,6575.0,0.653513567239837,økonomi
Radikale Venstre,Enhedslisten,68,18010,12458.0,0.6917268184342032,økonomi
Radikale Venstre,Inuit Ataqatigiit,68,15,9.0,0.6,økonomi
Radikale Venstre,Liberal Alliance,68,10697,5593.0,0.5228568757595587,økonomi
Radikale Venstre,Moderaterne,68,440,277.0,0.6295454545454545,økonomi
Radikale Venstre,Radikale Venstre,68,14923,14923.0,1.0,økonomi
Radikale Venstre,Socialdemokratiet,68,21842,21839.0,0.9998626499404817,økonomi
Radikale Venstre,Socialistisk Folkeparti,68,11699,11173.0,0.9550388922130096,økonomi
Radikale Venstre,Uden for folketingsgrupperne,68,5640,2992.0,0.5304964539007092,økonomi
Radikale Venstre,Venstre,68,27086,19244.0,0.7104777375766078,økonomi
Socialdemokratiet,Danmarksdemokraterne,68,12612,6518.0,0.5168093878845544,økonomi
Socialdemokratiet,Dansk Folkeparti,68,15483,8422.0,0.5439514306013047,økonomi
Socialdemokratiet,Det Konservative Folkeparti,68,16178,10863.0,0.6714674248980096,økonomi
Socialdemokratiet,Enhedslisten,68,31707,21753.0,0.6860630144762986,økonomi
Socialdemokratiet,Inuit Ataqatigiit,68,22,13.0,0.5909090909090909,økonomi
Socialdemokratiet,Liberal Alliance,68,15208,7995.0,0.5257101525512888,økonomi
Socialdemokratiet,Moderaterne,68,1881,1216.0,0.6464646464646465,økonomi
Socialdemokratiet,Radikale Venstre,68,27643,27628.0,0.9994573671453895,økonomi
Socialdemokratiet,Socialdemokratiet,68,33988,33959.0,0.9991467576791809,økonomi
Socialdemokratiet,Socialistisk Folkeparti,68,18883,17678.0,0.9361859873960705,økonomi
Socialdemokratiet,Uden for folketingsgrupperne,68,9949,5213.0,0.5239722585184441,økonomi
Socialdemokratiet,Venstre,68,47350,34197.0,0.7222175290390708,økonomi
Socialistisk Folkeparti,Danmarksdemokraterne,68,4517,2244.0,0.4967899048040735,økonomi
Socialistisk Folkeparti,Dansk Folkeparti,68,5389,2685.0,0.4982371497494897,økonomi
Socialistisk Folkeparti,Det Konservative Folkeparti,68,6303,3969.0,0.629700142789148,økonomi
Socialistisk Folkeparti,Enhedslisten,68,12125,8832.0,0.7284123711340206,økonomi
Socialistisk Folkeparti,Inuit Ataqatigiit,68,6,3.0,0.5,økonomi
Socialistisk Folkeparti,Liberal Alliance,68,5727,2826.0,0.4934520691461498,økonomi
Socialistisk Folkeparti,Moderaterne,68,733,416.0,0.567530695770805,økonomi
Socialistisk Folkeparti,Radikale Venstre,68,11296,10788.0,0.955028328611898,økonomi
Socialistisk Folkeparti,Socialdemokratiet,68,14688,13870.0,0.9443082788671024,økonomi
Socialistisk Folkeparti,Socialistisk Folkeparti,68,6414,6385.0,0.9954786404739632,økonomi
Socialistisk Folkeparti,Uden for folketingsgrupperne,68,4041,2036.0,0.5038356842365751,økonomi
Socialistisk Folkeparti,Venstre,68,20431,13589.0,0.6651167343742352,økonomi
Uden for folketingsgrupperne,Danmarksdemokraterne,68,597,574.0,0.9614740368509213,økonomi
Uden for folketingsgrupperne,Dansk Folkeparti,68,1931,1927.0,0.9979285344381149,økonomi
Uden for folketingsgrupperne,Det Konservative Folkeparti,68,2970,1809.0,0.6090909090909091,økonomi
Uden for folketingsgrupperne,Enhedslisten,68,4699,1978.0,0.4209406256650351,økonomi
Uden for folketingsgrupperne,Inuit Ataqatigiit,68,3,0.0,0.0,økonomi
Uden for folketingsgrupperne,Liberal Alliance,68,2954,1596.0,0.5402843601895735,økonomi
Uden for folketingsgrupperne,Moderaterne,68,150,91.0,0.6066666666666667,økonomi
Uden for folketingsgrupperne,Radikale Venstre,68,5056,2529.0,0.5001977848101266,økonomi
Uden for folketingsgrupperne,Socialdemokratiet,68,5565,2914.0,0.5236298292902066,økonomi
Uden for folketingsgrupperne,Socialistisk Folkeparti,68,3174,1590.0,0.500945179584121,økonomi
Uden for folketingsgrupperne,Uden for folketingsgrupperne,68,1130,875.0,0.7743362831858407,økonomi
Uden for folketingsgrupperne,Venstre,68,6450,4254.0,0.6595348837209303,økonomi
Venstre,Danmarksdemokraterne,68,14645,9574.0,0.6537384772960054,økonomi
Venstre,Dansk Folkeparti,68,18333,12461.0,0.6797032673321333,økonomi
Venstre,Det Konservative Folkeparti,68,20640,17356.0,0.8408914728682171,økonomi
Venstre,Enhedslisten,68,38325,16804.0,0.4384605348988911,økonomi
