source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Anita Knakkergaard,Anne Baastrup,Dansk Folkeparti,Socialistisk Folkeparti,65,7,3.0,0.42857142857142855,bolig
Anita Knakkergaard,Anne Grete Holmsgaard (udpeget af SF),Dansk Folkeparti,Socialistisk Folkeparti,65,1,0.0,0.0,bolig
Anita Knakkergaard,Anne-Marie Meldgaard,Dansk Folkeparti,Socialdemokratiet,65,6,2.0,0.3333333333333333,bolig
Anita Knakkergaard,Bent Bøgsted,Dansk Folkeparti,Dansk Folkeparti,65,8,8.0,1.0,bolig
Anita Knakkergaard,Birthe Rønn Hornbech,Dansk Folkeparti,Venstre,65,8,8.0,1.0,bolig
Anita Knakkergaard,Birthe Skaarup (udpeget af DF),Dansk Folkeparti,Dansk Folkeparti,65,2,2.0,1.0,bolig
Anita Knakkergaard,Bodil Kornbek,Dansk Folkeparti,Kristendemokraterne,65,2,0.0,0.0,bolig
Anita Knakkergaard,Brian Mikkelsen,Dansk Folkeparti,Det Konservative Folkeparti,65,5,5.0,1.0,bolig
Anita Knakkergaard,Carina Christensen,Dansk Folkeparti,Det Konservative Folkeparti,65,7,7.0,1.0,bolig
Anita Knakkergaard,Charlotte Dyremose,Dansk Folkeparti,Det Konservative Folkeparti,65,8,8.0,1.0,bolig
Anita Knakkergaard,Christian Wedell-Neergaard,Dansk Folkeparti,Det Konservative Folkeparti,65,4,4.0,1.0,bolig
Anita Knakkergaard,Claus Larsen-Jensen (udpeget af),Dansk Folkeparti,Socialdemokratiet,65,7,3.0,0.42857142857142855,bolig
Anita Knakkergaard,Colette L. Brix,Dansk Folkeparti,Dansk Folkeparti,65,4,4.0,1.0,bolig
Anita Knakkergaard,Eva Kjer Hansen,Dansk Folkeparti,Venstre,65,5,5.0,1.0,bolig
Anita Knakkergaard,Eyvind Vesselbo,Dansk Folkeparti,Venstre,65,2,2.0,1.0,bolig
Anita Knakkergaard,Flemming Damgaard Larsen,Dansk Folkeparti,Venstre,65,7,7.0,1.0,bolig
Anita Knakkergaard,Gitte Lillelund Bech,Dansk Folkeparti,Venstre,65,7,7.0,1.0,bolig
Anita Knakkergaard,Gudrun Laub,Dansk Folkeparti,Venstre,65,3,3.0,1.0,bolig
Anita Knakkergaard,Hans Andersen,Dansk Folkeparti,Venstre,65,8,8.0,1.0,bolig
Anita Knakkergaard,Helge Adam Møller,Dansk Folkeparti,Det Konservative Folkeparti,65,5,5.0,1.0,bolig
Anita Knakkergaard,Henrik Sass Larsen,Dansk Folkeparti,Socialdemokratiet,65,7,2.0,0.2857142857142857,bolig
Anita Knakkergaard,Holger K. Nielsen,Dansk Folkeparti,Socialistisk Folkeparti,65,1,0.0,0.0,bolig
Anita Knakkergaard,Ida Jørgensen,Dansk Folkeparti,Radikale Venstre,65,8,2.0,0.25,bolig
Anita Knakkergaard,Inge-Lene Ebdrup,Dansk Folkeparti,Venstre,65,8,8.0,1.0,bolig
Anita Knakkergaard,Irene Simonsen,Dansk Folkeparti,Venstre,65,8,8.0,1.0,bolig
Anita Knakkergaard,Jann Sjursen,Dansk Folkeparti,Kristendemokraterne,65,1,0.0,0.0,bolig
Anita Knakkergaard,Jens Kirk,Dansk Folkeparti,Venstre,65,4,4.0,1.0,bolig
Anita Knakkergaard,Jens Peter Vernersen,Dansk Folkeparti,Socialdemokratiet,65,7,3.0,0.42857142857142855,bolig
Anita Knakkergaard,Jens Rohde,Dansk Folkeparti,Venstre,65,4,4.0,1.0,bolig
Anita Knakkergaard,Jens Vibjerg (udpeget af V),Dansk Folkeparti,Venstre,65,6,6.0,1.0,bolig
Anita Knakkergaard,Jesper Langballe,Dansk Folkeparti,Dansk Folkeparti,65,7,7.0,1.0,bolig
Anita Knakkergaard,Jørn Dohrmann,Dansk Folkeparti,Dansk Folkeparti,65,3,3.0,1.0,bolig
Anita Knakkergaard,Jørn Pedersen,Dansk Folkeparti,Socialdemokratiet,65,8,3.0,0.375,bolig
Anita Knakkergaard,Kamal Qureshi,Dansk Folkeparti,Socialistisk Folkeparti,65,1,0.0,0.0,bolig
Anita Knakkergaard,Karsten Nonbo,Dansk Folkeparti,Venstre,65,7,7.0,1.0,bolig
Anita Knakkergaard,Kim Andersen (udpeget af V),Dansk Folkeparti,Venstre,65,5,5.0,1.0,bolig
Anita Knakkergaard,Klaus Hækkerup (udpeget af S),Dansk Folkeparti,Socialdemokratiet,65,6,2.0,0.3333333333333333,bolig
Anita Knakkergaard,Kristen Touborg,Dansk Folkeparti,Socialistisk Folkeparti,65,4,2.0,0.5,bolig
Anita Knakkergaard,Kristian Jensen,Dansk Folkeparti,Venstre,65,7,7.0,1.0,bolig
Anita Knakkergaard,Kristian Thulesen Dahl,Dansk Folkeparti,Dansk Folkeparti,65,1,1.0,1.0,bolig
Anita Knakkergaard,Lars Barfoed,Dansk Folkeparti,Det Konservative Folkeparti,65,6,6.0,1.0,bolig
Anita Knakkergaard,Lars Løkke Rasmussen,Dansk Folkeparti,Venstre,65,1,1.0,1.0,bolig
Anita Knakkergaard,Leif Mikkelsen,Dansk Folkeparti,Venstre,65,7,7.0,1.0,bolig
Anita Knakkergaard,Lene Espersen,Dansk Folkeparti,Det Konservative Folkeparti,65,3,3.0,1.0,bolig
Anita Knakkergaard,Line Barfod,Dansk Folkeparti,Enhedslisten,65,5,2.0,0.4,bolig
Anita Knakkergaard,Lone Møller (udpeget af S),Dansk Folkeparti,Socialdemokratiet,65,2,1.0,0.5,bolig
Anita Knakkergaard,Louise Frevert,Dansk Folkeparti,Dansk Folkeparti,65,8,8.0,1.0,bolig
Anita Knakkergaard,Margrethe Vestager,Dansk Folkeparti,Radikale Venstre,65,5,1.0,0.2,bolig
Anita Knakkergaard,Marianne Jelved,Dansk Folkeparti,Radikale Venstre,65,2,1.0,0.5,bolig
Anita Knakkergaard,Mette Frederiksen,Dansk Folkeparti,Socialdemokratiet,65,7,3.0,0.42857142857142855,bolig
Anita Knakkergaard,Mikkel Dencker,Dansk Folkeparti,Dansk Folkeparti,65,7,7.0,1.0,bolig
Anita Knakkergaard,Mogens Nørgård,Dansk Folkeparti,Kristendemokraterne,65,7,2.0,0.2857142857142857,bolig
Anita Knakkergaard,Morten Bødskov,Dansk Folkeparti,Socialdemokratiet,65,7,2.0,0.2857142857142857,bolig
Anita Knakkergaard,Morten Helveg Petersen,Dansk Folkeparti,Radikale Venstre,65,2,0.0,0.0,bolig
Anita Knakkergaard,Naser Khader,Dansk Folkeparti,Radikale Venstre,65,1,0.0,0.0,bolig
Anita Knakkergaard,Niels Helveg Petersen,Dansk Folkeparti,Radikale Venstre,65,2,0.0,0.0,bolig
Anita Knakkergaard,Niels Sindal,Dansk Folkeparti,Socialdemokratiet,65,4,1.0,0.25,bolig
Anita Knakkergaard,Ole Sohn,Dansk Folkeparti,Socialistisk Folkeparti,65,2,0.0,0.0,bolig
Anita Knakkergaard,Ole Vagn Christensen,Dansk Folkeparti,Socialdemokratiet,65,8,3.0,0.375,bolig
Anita Knakkergaard,Per Dalgaard,Dansk Folkeparti,Dansk Folkeparti,65,5,5.0,1.0,bolig
Anita Knakkergaard,Pernille Rosenkrantz-Theil,Dansk Folkeparti,Enhedslisten,65,1,0.0,0.0,bolig
Anita Knakkergaard,Peter Christensen,Dansk Folkeparti,Venstre,65,8,8.0,1.0,bolig
Anita Knakkergaard,Pia Christmas-Møller,Dansk Folkeparti,Det Konservative Folkeparti,65,4,4.0,1.0,bolig
Anita Knakkergaard,Pia Kristensen,Dansk Folkeparti,Dansk Folkeparti,65,8,8.0,1.0,bolig
Anita Knakkergaard,Poul Andersen,Dansk Folkeparti,Socialdemokratiet,65,4,1.0,0.25,bolig
Anita Knakkergaard,Poul Henrik Hedeboe,Dansk Folkeparti,Socialistisk Folkeparti,65,8,3.0,0.375,bolig
Anita Knakkergaard,Poul Nødgaard,Dansk Folkeparti,Dansk Folkeparti,65,6,6.0,1.0,bolig
Anita Knakkergaard,Preben Rudiengaard,Dansk Folkeparti,Venstre,65,6,6.0,1.0,bolig
Anita Knakkergaard,René Skau Björnsson,Dansk Folkeparti,Socialdemokratiet,65,8,3.0,0.375,bolig
Anita Knakkergaard,Rikke Hvilshøj,Dansk Folkeparti,Venstre,65,2,2.0,1.0,bolig
Anita Knakkergaard,Sophie Hæstorp Andersen,Dansk Folkeparti,Socialdemokratiet,65,5,2.0,0.4,bolig
Anita Knakkergaard,Svend Auken,Dansk Folkeparti,Socialdemokratiet,65,5,2.0,0.4,bolig
Anita Knakkergaard,Søren Gade,Dansk Folkeparti,Venstre,65,6,6.0,1.0,bolig
Anita Knakkergaard,Søren Krarup,Dansk Folkeparti,Dansk Folkeparti,65,6,6.0,1.0,bolig
Anita Knakkergaard,Thomas Adelskov,Dansk Folkeparti,Socialdemokratiet,65,4,1.0,0.25,bolig
Anita Knakkergaard,Tina Nedergaard,Dansk Folkeparti,Venstre,65,5,5.0,1.0,bolig
Anita Knakkergaard,Tove Videbæk,Dansk Folkeparti,Kristendemokraterne,65,6,3.0,0.5,bolig
Anita Knakkergaard,Ulla Tørnæs,Dansk Folkeparti,Venstre,65,6,6.0,1.0,bolig
Anita Knakkergaard,Ulrik Kragh,Dansk Folkeparti,Venstre,65,4,4.0,1.0,bolig
Anita Knakkergaard,Villy Søvndal,Dansk Folkeparti,Socialistisk Folkeparti,65,8,3.0,0.375,bolig
Anne Baastrup,Anne Grete Holmsgaard (udpeget af SF),Socialistisk Folkeparti,Socialistisk Folkeparti,65,1,1.0,1.0,bolig
Anne Baastrup,Anne-Marie Meldgaard,Socialistisk Folkeparti,Socialdemokratiet,65,10,7.0,0.7,bolig
Anne Baastrup,Bent Bøgsted,Socialistisk Folkeparti,Dansk Folkeparti,65,11,4.0,0.36363636363636365,bolig
Anne Baastrup,Birthe Rønn Hornbech,Socialistisk Folkeparti,Venstre,65,11,4.0,0.36363636363636365,bolig
Anne Baastrup,Birthe Skaarup (udpeget af DF),Socialistisk Folkeparti,Dansk Folkeparti,65,3,1.0,0.3333333333333333,bolig
Anne Baastrup,Bodil Kornbek,Socialistisk Folkeparti,Kristendemokraterne,65,5,2.0,0.4,bolig
Anne Baastrup,Brian Mikkelsen,Socialistisk Folkeparti,Det Konservative Folkeparti,65,7,3.0,0.42857142857142855,bolig
Anne Baastrup,Carina Christensen,Socialistisk Folkeparti,Det Konservative Folkeparti,65,10,4.0,0.4,bolig
Anne Baastrup,Charlotte Dyremose,Socialistisk Folkeparti,Det Konservative Folkeparti,65,11,4.0,0.36363636363636365,bolig
Anne Baastrup,Christian Wedell-Neergaard,Socialistisk Folkeparti,Det Konservative Folkeparti,65,8,3.0,0.375,bolig
Anne Baastrup,Claus Larsen-Jensen (udpeget af),Socialistisk Folkeparti,Socialdemokratiet,65,10,8.0,0.8,bolig
Anne Baastrup,Colette L. Brix,Socialistisk Folkeparti,Dansk Folkeparti,65,7,2.0,0.2857142857142857,bolig
Anne Baastrup,Eva Kjer Hansen,Socialistisk Folkeparti,Venstre,65,7,3.0,0.42857142857142855,bolig
Anne Baastrup,Eyvind Vesselbo,Socialistisk Folkeparti,Venstre,65,2,0.0,0.0,bolig
Anne Baastrup,Flemming Damgaard Larsen,Socialistisk Folkeparti,Venstre,65,10,3.0,0.3,bolig
Anne Baastrup,Gitte Lillelund Bech,Socialistisk Folkeparti,Venstre,65,7,2.0,0.2857142857142857,bolig
Anne Baastrup,Gudrun Laub,Socialistisk Folkeparti,Venstre,65,2,0.0,0.0,bolig
Anne Baastrup,Hans Andersen,Socialistisk Folkeparti,Venstre,65,10,4.0,0.4,bolig
Anne Baastrup,Helge Adam Møller,Socialistisk Folkeparti,Det Konservative Folkeparti,65,8,3.0,0.375,bolig
Anne Baastrup,Henrik Sass Larsen,Socialistisk Folkeparti,Socialdemokratiet,65,10,7.0,0.7,bolig
Anne Baastrup,Holger K. Nielsen,Socialistisk Folkeparti,Socialistisk Folkeparti,65,1,1.0,1.0,bolig
Anne Baastrup,Ida Jørgensen,Socialistisk Folkeparti,Radikale Venstre,65,11,7.0,0.6363636363636364,bolig
Anne Baastrup,Inge-Lene Ebdrup,Socialistisk Folkeparti,Venstre,65,11,4.0,0.36363636363636365,bolig
Anne Baastrup,Irene Simonsen,Socialistisk Folkeparti,Venstre,65,11,4.0,0.36363636363636365,bolig
Anne Baastrup,Jann Sjursen,Socialistisk Folkeparti,Kristendemokraterne,65,4,2.0,0.5,bolig
Anne Baastrup,Jens Kirk,Socialistisk Folkeparti,Venstre,65,6,2.0,0.3333333333333333,bolig
Anne Baastrup,Jens Peter Vernersen,Socialistisk Folkeparti,Socialdemokratiet,65,10,8.0,0.8,bolig
Anne Baastrup,Jens Rohde,Socialistisk Folkeparti,Venstre,65,6,2.0,0.3333333333333333,bolig
Anne Baastrup,Jens Vibjerg (udpeget af V),Socialistisk Folkeparti,Venstre,65,7,3.0,0.42857142857142855,bolig
Anne Baastrup,Jesper Langballe,Socialistisk Folkeparti,Dansk Folkeparti,65,11,4.0,0.36363636363636365,bolig
Anne Baastrup,Jørn Dohrmann,Socialistisk Folkeparti,Dansk Folkeparti,65,2,0.0,0.0,bolig
Anne Baastrup,Jørn Pedersen,Socialistisk Folkeparti,Socialdemokratiet,65,11,8.0,0.7272727272727273,bolig
Anne Baastrup,Kamal Qureshi,Socialistisk Folkeparti,Socialistisk Folkeparti,65,1,1.0,1.0,bolig
Anne Baastrup,Karsten Nonbo,Socialistisk Folkeparti,Venstre,65,10,3.0,0.3,bolig
Anne Baastrup,Kim Andersen (udpeget af V),Socialistisk Folkeparti,Venstre,65,9,4.0,0.4444444444444444,bolig
Anne Baastrup,Klaus Hækkerup (udpeget af S),Socialistisk Folkeparti,Socialdemokratiet,65,9,7.0,0.7777777777777778,bolig
Anne Baastrup,Kristen Touborg,Socialistisk Folkeparti,Socialistisk Folkeparti,65,6,6.0,1.0,bolig
Anne Baastrup,Kristian Jensen,Socialistisk Folkeparti,Venstre,65,7,2.0,0.2857142857142857,bolig
Anne Baastrup,Kristian Thulesen Dahl,Socialistisk Folkeparti,Dansk Folkeparti,65,1,1.0,1.0,bolig
Anne Baastrup,Lars Barfoed,Socialistisk Folkeparti,Det Konservative Folkeparti,65,10,4.0,0.4,bolig
Anne Baastrup,Lars Løkke Rasmussen,Socialistisk Folkeparti,Venstre,65,2,1.0,0.5,bolig
Anne Baastrup,Leif Mikkelsen,Socialistisk Folkeparti,Venstre,65,10,4.0,0.4,bolig
Anne Baastrup,Lene Espersen,Socialistisk Folkeparti,Det Konservative Folkeparti,65,2,0.0,0.0,bolig
Anne Baastrup,Line Barfod,Socialistisk Folkeparti,Enhedslisten,65,6,5.0,0.8333333333333334,bolig
Anne Baastrup,Lone Møller (udpeget af S),Socialistisk Folkeparti,Socialdemokratiet,65,3,3.0,1.0,bolig
Anne Baastrup,Louise Frevert,Socialistisk Folkeparti,Dansk Folkeparti,65,11,4.0,0.36363636363636365,bolig
Anne Baastrup,Margrethe Vestager,Socialistisk Folkeparti,Radikale Venstre,65,5,4.0,0.8,bolig
Anne Baastrup,Marianne Jelved,Socialistisk Folkeparti,Radikale Venstre,65,3,3.0,1.0,bolig
Anne Baastrup,Mette Frederiksen,Socialistisk Folkeparti,Socialdemokratiet,65,10,8.0,0.8,bolig
Anne Baastrup,Mikkel Dencker,Socialistisk Folkeparti,Dansk Folkeparti,65,10,3.0,0.3,bolig
Anne Baastrup,Mogens Nørgård,Socialistisk Folkeparti,Kristendemokraterne,65,7,4.0,0.5714285714285714,bolig
Anne Baastrup,Morten Bødskov,Socialistisk Folkeparti,Socialdemokratiet,65,10,7.0,0.7,bolig
Anne Baastrup,Morten Helveg Petersen,Socialistisk Folkeparti,Radikale Venstre,65,2,0.0,0.0,bolig
Anne Baastrup,Naser Khader,Socialistisk Folkeparti,Radikale Venstre,65,4,1.0,0.25,bolig
Anne Baastrup,Niels Helveg Petersen,Socialistisk Folkeparti,Radikale Venstre,65,4,2.0,0.5,bolig
Anne Baastrup,Niels Sindal,Socialistisk Folkeparti,Socialdemokratiet,65,3,2.0,0.6666666666666666,bolig
Anne Baastrup,Ole Sohn,Socialistisk Folkeparti,Socialistisk Folkeparti,65,2,2.0,1.0,bolig
Anne Baastrup,Ole Vagn Christensen,Socialistisk Folkeparti,Socialdemokratiet,65,8,7.0,0.875,bolig
Anne Baastrup,Per Dalgaard,Socialistisk Folkeparti,Dansk Folkeparti,65,9,4.0,0.4444444444444444,bolig
Anne Baastrup,Pernille Rosenkrantz-Theil,Socialistisk Folkeparti,Enhedslisten,65,1,1.0,1.0,bolig
Anne Baastrup,Peter Christensen,Socialistisk Folkeparti,Venstre,65,11,4.0,0.36363636363636365,bolig
Anne Baastrup,Pia Christmas-Møller,Socialistisk Folkeparti,Det Konservative Folkeparti,65,5,2.0,0.4,bolig
Anne Baastrup,Pia Kristensen,Socialistisk Folkeparti,Dansk Folkeparti,65,11,4.0,0.36363636363636365,bolig
Anne Baastrup,Poul Andersen,Socialistisk Folkeparti,Socialdemokratiet,65,6,3.0,0.5,bolig
Anne Baastrup,Poul Henrik Hedeboe,Socialistisk Folkeparti,Socialistisk Folkeparti,65,11,11.0,1.0,bolig
Anne Baastrup,Poul Nødgaard,Socialistisk Folkeparti,Dansk Folkeparti,65,9,3.0,0.3333333333333333,bolig
Anne Baastrup,Preben Rudiengaard,Socialistisk Folkeparti,Venstre,65,7,3.0,0.42857142857142855,bolig
Anne Baastrup,René Skau Björnsson,Socialistisk Folkeparti,Socialdemokratiet,65,11,8.0,0.7272727272727273,bolig
Anne Baastrup,Rikke Hvilshøj,Socialistisk Folkeparti,Venstre,65,2,0.0,0.0,bolig
Anne Baastrup,Sophie Hæstorp Andersen,Socialistisk Folkeparti,Socialdemokratiet,65,6,5.0,0.8333333333333334,bolig
Anne Baastrup,Svend Auken,Socialistisk Folkeparti,Socialdemokratiet,65,8,5.0,0.625,bolig
Anne Baastrup,Søren Gade,Socialistisk Folkeparti,Venstre,65,6,2.0,0.3333333333333333,bolig
Anne Baastrup,Søren Krarup,Socialistisk Folkeparti,Dansk Folkeparti,65,9,3.0,0.3333333333333333,bolig
Anne Baastrup,Thomas Adelskov,Socialistisk Folkeparti,Socialdemokratiet,65,3,2.0,0.6666666666666666,bolig
Anne Baastrup,Tina Nedergaard,Socialistisk Folkeparti,Venstre,65,7,2.0,0.2857142857142857,bolig
Anne Baastrup,Tove Videbæk,Socialistisk Folkeparti,Kristendemokraterne,65,6,3.0,0.5,bolig
Anne Baastrup,Ulla Tørnæs,Socialistisk Folkeparti,Venstre,65,8,2.0,0.25,bolig
Anne Baastrup,Ulrik Kragh,Socialistisk Folkeparti,Venstre,65,5,2.0,0.4,bolig
Anne Baastrup,Villy Søvndal,Socialistisk Folkeparti,Socialistisk Folkeparti,65,11,11.0,1.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Anne-Marie Meldgaard,Socialistisk Folkeparti,Socialdemokratiet,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Bent Bøgsted,Socialistisk Folkeparti,Dansk Folkeparti,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Birthe Rønn Hornbech,Socialistisk Folkeparti,Venstre,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Birthe Skaarup (udpeget af DF),Socialistisk Folkeparti,Dansk Folkeparti,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Bodil Kornbek,Socialistisk Folkeparti,Kristendemokraterne,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Charlotte Dyremose,Socialistisk Folkeparti,Det Konservative Folkeparti,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Colette L. Brix,Socialistisk Folkeparti,Dansk Folkeparti,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Eyvind Vesselbo,Socialistisk Folkeparti,Venstre,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Flemming Damgaard Larsen,Socialistisk Folkeparti,Venstre,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Gitte Lillelund Bech,Socialistisk Folkeparti,Venstre,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Gudrun Laub,Socialistisk Folkeparti,Venstre,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Hans Andersen,Socialistisk Folkeparti,Venstre,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Henrik Sass Larsen,Socialistisk Folkeparti,Socialdemokratiet,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Holger K. Nielsen,Socialistisk Folkeparti,Socialistisk Folkeparti,65,1,1.0,1.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Ida Jørgensen,Socialistisk Folkeparti,Radikale Venstre,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Inge-Lene Ebdrup,Socialistisk Folkeparti,Venstre,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Irene Simonsen,Socialistisk Folkeparti,Venstre,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Jens Kirk,Socialistisk Folkeparti,Venstre,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Jens Vibjerg (udpeget af V),Socialistisk Folkeparti,Venstre,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Jesper Langballe,Socialistisk Folkeparti,Dansk Folkeparti,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Jørn Dohrmann,Socialistisk Folkeparti,Dansk Folkeparti,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Jørn Pedersen,Socialistisk Folkeparti,Socialdemokratiet,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Kamal Qureshi,Socialistisk Folkeparti,Socialistisk Folkeparti,65,1,1.0,1.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Karsten Nonbo,Socialistisk Folkeparti,Venstre,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Kristian Jensen,Socialistisk Folkeparti,Venstre,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Lars Barfoed,Socialistisk Folkeparti,Det Konservative Folkeparti,65,1,0.0,0.0,bolig
Anne Grete Holmsgaard (udpeget af SF),Lene Espersen,Socialistisk Folkeparti,Det Konservative Folkeparti,65,1,0.0,0.0,bolig
