party_a,party_b,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,1863,1863.0,1.0,erhverv
Dansk Folkeparti,Det Konservative Folkeparti,65,2519,2416.0,0.9591107582373958,erhverv
Dansk Folkeparti,Enhedslisten,65,233,74.0,0.31759656652360513,erhverv
Dansk Folkeparti,Kristendemokraterne,65,894,495.0,0.5536912751677853,erhverv
Dansk Folkeparti,Radikale Venstre,65,1246,736.0,0.5906902086677368,erhverv
Dansk Folkeparti,Socialdemokratiet,65,5247,2727.0,0.5197255574614065,erhverv
Dansk Folkeparti,Socialistisk Folkeparti,65,1785,862.0,0.48291316526610645,erhverv
Dansk Folkeparti,Uden for Folketingsgrupperne,65,18,18.0,1.0,erhverv
Dansk Folkeparti,Venstre,65,7206,6882.0,0.95503746877602,erhverv
Det Konservative Folkeparti,Det Konservative Folkeparti,65,661,661.0,1.0,erhverv
Det Konservative Folkeparti,Enhedslisten,65,133,50.0,0.37593984962406013,erhverv
Det Konservative Folkeparti,Kristendemokraterne,65,546,335.0,0.6135531135531136,erhverv
Det Konservative Folkeparti,Radikale Venstre,65,753,479.0,0.6361221779548473,erhverv
Det Konservative Folkeparti,Socialdemokratiet,65,3203,1792.0,0.5594754917265063,erhverv
Det Konservative Folkeparti,Socialistisk Folkeparti,65,1050,527.0,0.5019047619047619,erhverv
Det Konservative Folkeparti,Uden for Folketingsgrupperne,65,10,10.0,1.0,erhverv
Det Konservative Folkeparti,Venstre,65,4369,4363.0,0.9986266880292973,erhverv
Enhedslisten,Kristendemokraterne,65,49,36.0,0.7346938775510204,erhverv
Enhedslisten,Radikale Venstre,65,63,40.0,0.6349206349206349,erhverv
Enhedslisten,Socialdemokratiet,65,284,217.0,0.7640845070422535,erhverv
Enhedslisten,Socialistisk Folkeparti,65,102,86.0,0.8431372549019608,erhverv
Enhedslisten,Uden for Folketingsgrupperne,65,1,0.0,0.0,erhverv
Enhedslisten,Venstre,65,416,161.0,0.3870192307692308,erhverv
Kristendemokraterne,Kristendemokraterne,65,48,47.0,0.9791666666666666,erhverv
Kristendemokraterne,Radikale Venstre,65,268,218.0,0.8134328358208955,erhverv
Kristendemokraterne,Socialdemokratiet,65,1128,912.0,0.8085106382978723,erhverv
Kristendemokraterne,Socialistisk Folkeparti,65,380,277.0,0.7289473684210527,erhverv
Kristendemokraterne,Uden for Folketingsgrupperne,65,4,2.0,0.5,erhverv
Kristendemokraterne,Venstre,65,1546,899.0,0.5815006468305304,erhverv
Radikale Venstre,Radikale Venstre,65,123,123.0,1.0,erhverv
Radikale Venstre,Socialdemokratiet,65,1569,1398.0,0.8910133843212237,erhverv
Radikale Venstre,Socialistisk Folkeparti,65,537,420.0,0.7821229050279329,erhverv
Radikale Venstre,Uden for Folketingsgrupperne,65,6,3.0,0.5,erhverv
Radikale Venstre,Venstre,65,2128,1311.0,0.6160714285714286,erhverv
Socialdemokratiet,Socialdemokratiet,65,3048,3048.0,1.0,erhverv
Socialdemokratiet,Socialistisk Folkeparti,65,2247,2027.0,0.9020916777926123,erhverv
Socialdemokratiet,Uden for Folketingsgrupperne,65,25,13.0,0.52,erhverv
Socialdemokratiet,Venstre,65,9130,5030.0,0.5509309967141293,erhverv
Socialistisk Folkeparti,Socialistisk Folkeparti,65,305,305.0,1.0,erhverv
Socialistisk Folkeparti,Uden for Folketingsgrupperne,65,9,4.0,0.4444444444444444,erhverv
Socialistisk Folkeparti,Venstre,65,3080,1565.0,0.5081168831168831,erhverv
Uden for Folketingsgrupperne,Venstre,65,32,32.0,1.0,erhverv
Venstre,Venstre,65,5937,5919.0,0.9969681657402729,erhverv
Dansk Folkeparti,Dansk Folkeparti,66,30813,30763.0,0.9983773082789732,erhverv
Dansk Folkeparti,Det Konservative Folkeparti,66,46603,43825.0,0.9403901036413965,erhverv
Dansk Folkeparti,Enhedslisten,66,5273,1535.0,0.29110563246728616,erhverv
Dansk Folkeparti,Inuit Ataqatigiit,66,40,0.0,0.0,erhverv
Dansk Folkeparti,Liberal Alliance,66,72,28.0,0.3888888888888889,erhverv
Dansk Folkeparti,Radikale Venstre,66,17299,10616.0,0.6136770911613388,erhverv
Dansk Folkeparti,Siumut,66,64,40.0,0.625,erhverv
Dansk Folkeparti,Socialdemokratiet,66,46137,27255.0,0.5907406203264192,erhverv
Dansk Folkeparti,Socialistisk Folkeparti,66,33870,15406.0,0.45485680543253615,erhverv
Dansk Folkeparti,Tjóðveldi,66,51,12.0,0.23529411764705882,erhverv
Dansk Folkeparti,Uden for Folketingsgrupperne,66,436,399.0,0.9151376146788991,erhverv
Dansk Folkeparti,Venstre,66,86696,81480.0,0.9398357479007106,erhverv
Det Konservative Folkeparti,Det Konservative Folkeparti,66,14992,14992.0,1.0,erhverv
Det Konservative Folkeparti,Enhedslisten,66,3805,985.0,0.2588699080157687,erhverv
Det Konservative Folkeparti,Inuit Ataqatigiit,66,29,9.0,0.3103448275862069,erhverv
Det Konservative Folkeparti,Liberal Alliance,66,42,30.0,0.7142857142857143,erhverv
Det Konservative Folkeparti,Radikale Venstre,66,12102,8032.0,0.6636919517435135,erhverv
Det Konservative Folkeparti,Siumut,66,52,22.0,0.4230769230769231,erhverv
Det Konservative Folkeparti,Socialdemokratiet,66,32561,20975.0,0.6441755474340468,erhverv
Det Konservative Folkeparti,Socialistisk Folkeparti,66,23986,11693.0,0.4874927040773785,erhverv
Det Konservative Folkeparti,Tjóðveldi,66,33,0.0,0.0,erhverv
Det Konservative Folkeparti,Uden for Folketingsgrupperne,66,342,342.0,1.0,erhverv
Det Konservative Folkeparti,Venstre,66,60864,60783.0,0.9986691640378549,erhverv
Enhedslisten,Enhedslisten,66,108,108.0,1.0,erhverv
Enhedslisten,Inuit Ataqatigiit,66,1,0.0,0.0,erhverv
Enhedslisten,Liberal Alliance,66,14,0.0,0.0,erhverv
Enhedslisten,Radikale Venstre,66,1376,702.0,0.5101744186046512,erhverv
Enhedslisten,Siumut,66,8,2.0,0.25,erhverv
Enhedslisten,Socialdemokratiet,66,3433,2032.0,0.5919021264200408,erhverv
Enhedslisten,Socialistisk Folkeparti,66,2736,2056.0,0.7514619883040936,erhverv
Enhedslisten,Tjóðveldi,66,5,5.0,1.0,erhverv
Enhedslisten,Uden for Folketingsgrupperne,66,19,8.0,0.42105263157894735,erhverv
Enhedslisten,Venstre,66,6997,1807.0,0.2582535372302415,erhverv
Inuit Ataqatigiit,Radikale Venstre,66,8,4.0,0.5,erhverv
Inuit Ataqatigiit,Siumut,66,1,1.0,1.0,erhverv
Inuit Ataqatigiit,Socialdemokratiet,66,35,12.0,0.34285714285714286,erhverv
Inuit Ataqatigiit,Socialistisk Folkeparti,66,25,15.0,0.6,erhverv
Inuit Ataqatigiit,Uden for Folketingsgrupperne,66,1,0.0,0.0,erhverv
Inuit Ataqatigiit,Venstre,66,49,18.0,0.3673469387755102,erhverv
Liberal Alliance,Liberal Alliance,66,3,3.0,1.0,erhverv
Liberal Alliance,Radikale Venstre,66,18,14.0,0.7777777777777778,erhverv
Liberal Alliance,Socialdemokratiet,66,66,46.0,0.696969696969697,erhverv
Liberal Alliance,Socialistisk Folkeparti,66,34,14.0,0.4117647058823529,erhverv
Liberal Alliance,Venstre,66,96,62.0,0.6458333333333334,erhverv
Radikale Venstre,Radikale Venstre,66,1848,1837.0,0.9940476190476191,erhverv
Radikale Venstre,Siumut,66,18,8.0,0.4444444444444444,erhverv
Radikale Venstre,Socialdemokratiet,66,12269,9852.0,0.8029994294563534,erhverv
Radikale Venstre,Socialistisk Folkeparti,66,8793,6498.0,0.7389969293756398,erhverv
Radikale Venstre,Tjóðveldi,66,18,3.0,0.16666666666666666,erhverv
Radikale Venstre,Uden for Folketingsgrupperne,66,113,86.0,0.7610619469026548,erhverv
Radikale Venstre,Venstre,66,22718,14518.0,0.6390527335152743,erhverv
Siumut,Socialdemokratiet,66,42,22.0,0.5238095238095238,erhverv
Siumut,Socialistisk Folkeparti,66,37,12.0,0.32432432432432434,erhverv
Siumut,Tjóðveldi,66,1,1.0,1.0,erhverv
Siumut,Venstre,66,81,30.0,0.37037037037037035,erhverv
Socialdemokratiet,Socialdemokratiet,66,15530,15510.0,0.9987121699935608,erhverv
Socialdemokratiet,Socialistisk Folkeparti,66,23699,19793.0,0.835182919110511,erhverv
Socialdemokratiet,Tjóðveldi,66,38,33.0,0.868421052631579,erhverv
Socialdemokratiet,Uden for Folketingsgrupperne,66,411,313.0,0.7615571776155717,erhverv
Socialdemokratiet,Venstre,66,60382,37752.0,0.6252194362558379,erhverv
Socialistisk Folkeparti,Socialistisk Folkeparti,66,7675,7264.0,0.9464495114006515,erhverv
Socialistisk Folkeparti,Tjóðveldi,66,20,18.0,0.9,erhverv
Socialistisk Folkeparti,Uden for Folketingsgrupperne,66,269,150.0,0.5576208178438662,erhverv
Socialistisk Folkeparti,Venstre,66,44297,21099.0,0.47630765063096825,erhverv
Tjóðveldi,Venstre,66,77,0.0,0.0,erhverv
Uden for Folketingsgrupperne,Venstre,66,547,546.0,0.9981718464351006,erhverv
