source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Aage Frandsen,Aase D. Madsen (udpeget af DF),Socialistisk Folkeparti,Dansk Folkeparti,65,5,1.0,0.2,forsvar_sikkerhed
Aage Frandsen,Anders Fogh Rasmussen,Socialistisk Folkeparti,Venstre,65,1,0.0,0.0,forsvar_sikkerhed
Aage Frandsen,Anita Knakkergaard,Socialistisk Folkeparti,Dansk Folkeparti,65,8,5.0,0.625,forsvar_sikkerhed
Aage Frandsen,Anne Baastrup,Socialistisk Folkeparti,Socialistisk Folkeparti,65,13,13.0,1.0,forsvar_sikkerhed
Aage Frandsen,Anne Grete Holmsgaard (udpeget af SF),Socialistisk Folkeparti,Socialistisk Folkeparti,65,4,4.0,1.0,forsvar_sikkerhed
Aage Frandsen,Anne-Marie Meldgaard,Socialistisk Folkeparti,Socialdemokratiet,65,10,8.0,0.8,forsvar_sikkerhed
Aage Frandsen,Arne Toft,Socialistisk Folkeparti,Socialdemokratiet,65,13,8.0,0.6153846153846154,forsvar_sikkerhed
Aage Frandsen,Bendt Bendtsen,Socialistisk Folkeparti,Det Konservative Folkeparti,65,5,4.0,0.8,forsvar_sikkerhed
Aage Frandsen,Bent Bøgsted,Socialistisk Folkeparti,Dansk Folkeparti,65,14,7.0,0.5,forsvar_sikkerhed
Aage Frandsen,Birgitte Møller,Socialistisk Folkeparti,Radikale Venstre,65,2,1.0,0.5,forsvar_sikkerhed
Aage Frandsen,Birthe Rønn Hornbech,Socialistisk Folkeparti,Venstre,65,11,7.0,0.6363636363636364,forsvar_sikkerhed
Aage Frandsen,Birthe Skaarup (udpeget af DF),Socialistisk Folkeparti,Dansk Folkeparti,65,4,1.0,0.25,forsvar_sikkerhed
Aage Frandsen,Bjarne Laustsen,Socialistisk Folkeparti,Socialdemokratiet,65,11,8.0,0.7272727272727273,forsvar_sikkerhed
Aage Frandsen,Bodil Kornbek,Socialistisk Folkeparti,Kristendemokraterne,65,11,7.0,0.6363636363636364,forsvar_sikkerhed
Aage Frandsen,Brian Mikkelsen,Socialistisk Folkeparti,Det Konservative Folkeparti,65,7,6.0,0.8571428571428571,forsvar_sikkerhed
Aage Frandsen,Carina Christensen,Socialistisk Folkeparti,Det Konservative Folkeparti,65,14,7.0,0.5,forsvar_sikkerhed
Aage Frandsen,Carsten Bo Jensen,Socialistisk Folkeparti,Socialdemokratiet,65,7,3.0,0.42857142857142855,forsvar_sikkerhed
Aage Frandsen,Carsten Hansen,Socialistisk Folkeparti,Socialdemokratiet,65,5,4.0,0.8,forsvar_sikkerhed
Aage Frandsen,Charlotte Antonsen (udpeget af V),Socialistisk Folkeparti,Venstre,65,11,5.0,0.45454545454545453,forsvar_sikkerhed
Aage Frandsen,Charlotte Dyremose,Socialistisk Folkeparti,Det Konservative Folkeparti,65,13,7.0,0.5384615384615384,forsvar_sikkerhed
Aage Frandsen,Christian H. Hansen,Socialistisk Folkeparti,Dansk Folkeparti,65,3,0.0,0.0,forsvar_sikkerhed
Aage Frandsen,Christian Lund Jepsen,Socialistisk Folkeparti,Venstre,65,14,7.0,0.5,forsvar_sikkerhed
Aage Frandsen,Christian Mejdahl,Socialistisk Folkeparti,Venstre,65,13,6.0,0.46153846153846156,forsvar_sikkerhed
Aage Frandsen,Christian Wedell-Neergaard,Socialistisk Folkeparti,Det Konservative Folkeparti,65,5,3.0,0.6,forsvar_sikkerhed
Aage Frandsen,Claus Larsen-Jensen (udpeget af),Socialistisk Folkeparti,Socialdemokratiet,65,13,8.0,0.6153846153846154,forsvar_sikkerhed
Aage Frandsen,Colette L. Brix,Socialistisk Folkeparti,Dansk Folkeparti,65,11,5.0,0.45454545454545453,forsvar_sikkerhed
Aage Frandsen,Elisabeth Arnold,Socialistisk Folkeparti,Radikale Venstre,65,4,3.0,0.75,forsvar_sikkerhed
Aage Frandsen,Else Theill Sørensen,Socialistisk Folkeparti,Det Konservative Folkeparti,65,6,2.0,0.3333333333333333,forsvar_sikkerhed
Aage Frandsen,Else Winther Andersen,Socialistisk Folkeparti,Venstre,65,6,5.0,0.8333333333333334,forsvar_sikkerhed
Aage Frandsen,Elsebeth Gerner Nielsen,Socialistisk Folkeparti,Radikale Venstre,65,7,6.0,0.8571428571428571,forsvar_sikkerhed
Aage Frandsen,Erik Larsen (udpeget af V),Socialistisk Folkeparti,Venstre,65,11,5.0,0.45454545454545453,forsvar_sikkerhed
Aage Frandsen,Erik Mortensen,Socialistisk Folkeparti,Socialdemokratiet,65,11,7.0,0.6363636363636364,forsvar_sikkerhed
Aage Frandsen,Erling Bonnesen,Socialistisk Folkeparti,Venstre,65,14,7.0,0.5,forsvar_sikkerhed
Aage Frandsen,Ester Larsen,Socialistisk Folkeparti,Venstre,65,9,7.0,0.7777777777777778,forsvar_sikkerhed
Aage Frandsen,Eva Kjer Hansen,Socialistisk Folkeparti,Venstre,65,11,7.0,0.6363636363636364,forsvar_sikkerhed
Aage Frandsen,Eyvind Vesselbo,Socialistisk Folkeparti,Venstre,65,5,2.0,0.4,forsvar_sikkerhed
Aage Frandsen,Flemming Damgaard Larsen,Socialistisk Folkeparti,Venstre,65,13,6.0,0.46153846153846156,forsvar_sikkerhed
Aage Frandsen,Flemming Hansen,Socialistisk Folkeparti,Det Konservative Folkeparti,65,3,2.0,0.6666666666666666,forsvar_sikkerhed
Aage Frandsen,Flemming Oppfeldt,Socialistisk Folkeparti,Venstre,65,1,0.0,0.0,forsvar_sikkerhed
Aage Frandsen,Frank Jensen,Socialistisk Folkeparti,Socialdemokratiet,65,1,1.0,1.0,forsvar_sikkerhed
Aage Frandsen,Freddie H. Madsen,Socialistisk Folkeparti,Dansk Folkeparti,65,9,6.0,0.6666666666666666,forsvar_sikkerhed
Aage Frandsen,Freddy Dam (udpeget af V),Socialistisk Folkeparti,Venstre,65,9,5.0,0.5555555555555556,forsvar_sikkerhed
Aage Frandsen,"Frode Sørensen, Hjørring",Socialistisk Folkeparti,Socialdemokratiet,65,8,4.0,0.5,forsvar_sikkerhed
Aage Frandsen,Gitte Lillelund Bech,Socialistisk Folkeparti,Venstre,65,9,5.0,0.5555555555555556,forsvar_sikkerhed
Aage Frandsen,Grete Schødts,Socialistisk Folkeparti,Socialdemokratiet,65,6,5.0,0.8333333333333334,forsvar_sikkerhed
Aage Frandsen,Gudrun Laub,Socialistisk Folkeparti,Venstre,65,8,2.0,0.25,forsvar_sikkerhed
Aage Frandsen,Hanne Severinsen,Socialistisk Folkeparti,Venstre,65,9,7.0,0.7777777777777778,forsvar_sikkerhed
Aage Frandsen,Hans Andersen,Socialistisk Folkeparti,Venstre,65,13,7.0,0.5384615384615384,forsvar_sikkerhed
Aage Frandsen,Hans Christian Schmidt,Socialistisk Folkeparti,Venstre,65,2,1.0,0.5,forsvar_sikkerhed
Aage Frandsen,Helga Moos,Socialistisk Folkeparti,Venstre,65,8,3.0,0.375,forsvar_sikkerhed
Aage Frandsen,Helge Adam Møller,Socialistisk Folkeparti,Det Konservative Folkeparti,65,10,5.0,0.5,forsvar_sikkerhed
Aage Frandsen,Helge Mortensen,Socialistisk Folkeparti,Socialdemokratiet,65,9,5.0,0.5555555555555556,forsvar_sikkerhed
Aage Frandsen,Helle Sjelle,Socialistisk Folkeparti,Det Konservative Folkeparti,65,5,0.0,0.0,forsvar_sikkerhed
Aage Frandsen,Henning Gjellerod,Socialistisk Folkeparti,Socialdemokratiet,65,7,6.0,0.8571428571428571,forsvar_sikkerhed
Aage Frandsen,Henriette Kjær,Socialistisk Folkeparti,Det Konservative Folkeparti,65,1,0.0,0.0,forsvar_sikkerhed
Aage Frandsen,Henrik Sass Larsen,Socialistisk Folkeparti,Socialdemokratiet,65,8,7.0,0.875,forsvar_sikkerhed
Aage Frandsen,Henrik Vestergaard,Socialistisk Folkeparti,Venstre,65,10,6.0,0.6,forsvar_sikkerhed
Aage Frandsen,Holger K. Nielsen,Socialistisk Folkeparti,Socialistisk Folkeparti,65,5,5.0,1.0,forsvar_sikkerhed
Aage Frandsen,Ida Jørgensen,Socialistisk Folkeparti,Radikale Venstre,65,14,9.0,0.6428571428571429,forsvar_sikkerhed
Aage Frandsen,Inge Dahl-Sørensen,Socialistisk Folkeparti,Venstre,65,13,6.0,0.46153846153846156,forsvar_sikkerhed
Aage Frandsen,Inge-Lene Ebdrup,Socialistisk Folkeparti,Venstre,65,8,7.0,0.875,forsvar_sikkerhed
Aage Frandsen,Inger Bierbaum,Socialistisk Folkeparti,Socialdemokratiet,65,13,8.0,0.6153846153846154,forsvar_sikkerhed
Aage Frandsen,Inger Støjberg,Socialistisk Folkeparti,Danmarksdemokraterne,65,14,7.0,0.5,forsvar_sikkerhed
Aage Frandsen,Irene Simonsen,Socialistisk Folkeparti,Venstre,65,9,7.0,0.7777777777777778,forsvar_sikkerhed
Aage Frandsen,Jacob Buksti,Socialistisk Folkeparti,Socialdemokratiet,65,10,8.0,0.8,forsvar_sikkerhed
Aage Frandsen,Jan Petersen (udpeget af S),Socialistisk Folkeparti,Socialdemokratiet,65,1,1.0,1.0,forsvar_sikkerhed
Aage Frandsen,Jan Trøjborg,Socialistisk Folkeparti,Socialdemokratiet,65,9,8.0,0.8888888888888888,forsvar_sikkerhed
Aage Frandsen,Jann Sjursen,Socialistisk Folkeparti,Kristendemokraterne,65,9,5.0,0.5555555555555556,forsvar_sikkerhed
Aage Frandsen,Jens Christian Larsen,Socialistisk Folkeparti,Venstre,65,11,4.0,0.36363636363636365,forsvar_sikkerhed
Aage Frandsen,Jens Hald,Socialistisk Folkeparti,Venstre,65,14,7.0,0.5,forsvar_sikkerhed
Aage Frandsen,Jens Kirk,Socialistisk Folkeparti,Venstre,65,9,5.0,0.5555555555555556,forsvar_sikkerhed
Aage Frandsen,Jens Peter Vernersen,Socialistisk Folkeparti,Socialdemokratiet,65,14,10.0,0.7142857142857143,forsvar_sikkerhed
