party_a,party_b,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,11721,11705.0,0.9986349287603447,general
Dansk Folkeparti,Det Konservative Folkeparti,65,14872,14480.0,0.9736417428725122,general
Dansk Folkeparti,Enhedslisten,65,2502,641.0,0.2561950439648281,general
Dansk Folkeparti,Kristendemokraterne,65,5504,2825.0,0.5132630813953488,general
Dansk Folkeparti,Radikale Venstre,65,8008,3609.0,0.4506743256743257,general
Dansk Folkeparti,Socialdemokratiet,65,37408,12987.0,0.3471717279726262,general
Dansk Folkeparti,Socialistisk Folkeparti,65,12810,3788.0,0.2957064793130367,general
Dansk Folkeparti,Tjóðveldi,65,83,0.0,0.0,general
Dansk Folkeparti,Uden for Folketingsgrupperne,65,70,70.0,1.0,general
Dansk Folkeparti,Venstre,65,45938,44711.0,0.9732900866385128,general
Det Konservative Folkeparti,Det Konservative Folkeparti,65,3576,3576.0,1.0,general
Det Konservative Folkeparti,Enhedslisten,65,1411,358.0,0.2537207654145996,general
Det Konservative Folkeparti,Kristendemokraterne,65,3143,1756.0,0.5587018771874006,general
Det Konservative Folkeparti,Radikale Venstre,65,4544,2253.0,0.495818661971831,general
Det Konservative Folkeparti,Socialdemokratiet,65,21067,8278.0,0.3929368206199269,general
Det Konservative Folkeparti,Socialistisk Folkeparti,65,7211,2361.0,0.3274164470947164,general
Det Konservative Folkeparti,Tjóðveldi,65,45,0.0,0.0,general
Det Konservative Folkeparti,Uden for Folketingsgrupperne,65,44,44.0,1.0,general
Det Konservative Folkeparti,Venstre,65,26004,25998.0,0.9997692662667282,general
Enhedslisten,Enhedslisten,65,15,15.0,1.0,general
Enhedslisten,Kristendemokraterne,65,524,274.0,0.5229007633587787,general
Enhedslisten,Radikale Venstre,65,761,449.0,0.5900131406044679,general
Enhedslisten,Socialdemokratiet,65,3597,2368.0,0.6583263830970253,general
Enhedslisten,Socialistisk Folkeparti,65,1270,1081.0,0.8511811023622047,general
Enhedslisten,Tjóðveldi,65,9,9.0,1.0,general
Enhedslisten,Uden for Folketingsgrupperne,65,7,3.0,0.42857142857142855,general
Enhedslisten,Venstre,65,4413,1161.0,0.26308633582596874,general
Kristendemokraterne,Kristendemokraterne,65,290,284.0,0.9793103448275862,general
Kristendemokraterne,Radikale Venstre,65,1686,1037.0,0.6150652431791221,general
Kristendemokraterne,Socialdemokratiet,65,7868,4880.0,0.6202338586680224,general
Kristendemokraterne,Socialistisk Folkeparti,65,2692,1600.0,0.5943536404160475,general
Kristendemokraterne,Tjóðveldi,65,18,14.0,0.7777777777777778,general
Kristendemokraterne,Uden for Folketingsgrupperne,65,16,12.0,0.75,general
Kristendemokraterne,Venstre,65,9660,5178.0,0.5360248447204969,general
Radikale Venstre,Radikale Venstre,65,822,820.0,0.9975669099756691,general
Radikale Venstre,Socialdemokratiet,65,11484,8119.0,0.7069836293974225,general
Radikale Venstre,Socialistisk Folkeparti,65,3941,2683.0,0.6807916772392794,general
Radikale Venstre,Tjóðveldi,65,27,27.0,1.0,general
Radikale Venstre,Uden for Folketingsgrupperne,65,28,18.0,0.6428571428571429,general
Radikale Venstre,Venstre,65,14010,6616.0,0.47223411848679514,general
Socialdemokratiet,Socialdemokratiet,65,25183,25118.0,0.9974188936981296,general
Socialdemokratiet,Socialistisk Folkeparti,65,18486,14116.0,0.7636048901871687,general
Socialdemokratiet,Tjóðveldi,65,134,104.0,0.7761194029850746,general
Socialdemokratiet,Uden for Folketingsgrupperne,65,88,54.0,0.6136363636363636,general
Socialdemokratiet,Venstre,65,66032,24380.0,0.3692149260964381,general
Socialistisk Folkeparti,Socialistisk Folkeparti,65,2547,2543.0,0.9984295249312917,general
Socialistisk Folkeparti,Tjóðveldi,65,45,45.0,1.0,general
Socialistisk Folkeparti,Uden for Folketingsgrupperne,65,37,16.0,0.43243243243243246,general
Socialistisk Folkeparti,Venstre,65,22561,7171.0,0.3178493861087718,general
Tjóðveldi,Venstre,65,149,0.0,0.0,general
Uden for Folketingsgrupperne,Venstre,65,131,131.0,1.0,general
Venstre,Venstre,65,38313,38295.0,0.9995301855766971,general
Dansk Folkeparti,Dansk Folkeparti,66,106264,106099.0,0.9984472634194083,general
Dansk Folkeparti,Det Konservative Folkeparti,66,156911,144961.0,0.9238421780499774,general
Dansk Folkeparti,Enhedslisten,66,19102,4921.0,0.2576170034551356,general
Dansk Folkeparti,Inuit Ataqatigiit,66,67,14.0,0.208955223880597,general
Dansk Folkeparti,Liberal Alliance,66,100,56.0,0.56,general
Dansk Folkeparti,Radikale Venstre,66,60339,32346.0,0.5360711977328096,general
Dansk Folkeparti,Siumut,66,308,148.0,0.4805194805194805,general
Dansk Folkeparti,Socialdemokratiet,66,161216,89611.0,0.5558443330686781,general
Dansk Folkeparti,Socialistisk Folkeparti,66,116096,44987.0,0.38749827728776187,general
Dansk Folkeparti,Tjóðveldi,66,318,54.0,0.16981132075471697,general
Dansk Folkeparti,Uden for Folketingsgrupperne,66,1186,982.0,0.8279932546374368,general
Dansk Folkeparti,Venstre,66,287104,265211.0,0.9237454023629068,general
Det Konservative Folkeparti,Det Konservative Folkeparti,66,49631,49480.0,0.9969575466946062,general
Det Konservative Folkeparti,Enhedslisten,66,13133,3371.0,0.25668164166603213,general
Det Konservative Folkeparti,Inuit Ataqatigiit,66,49,19.0,0.3877551020408163,general
Det Konservative Folkeparti,Liberal Alliance,66,56,44.0,0.7857142857142857,general
Det Konservative Folkeparti,Radikale Venstre,66,41611,24715.0,0.5939535219052654,general
Det Konservative Folkeparti,Siumut,66,241,104.0,0.4315352697095436,general
Det Konservative Folkeparti,Socialdemokratiet,66,111343,69629.0,0.6253558822736948,general
Det Konservative Folkeparti,Socialistisk Folkeparti,66,80786,35098.0,0.43445646522912384,general
Det Konservative Folkeparti,Tjóðveldi,66,225,30.0,0.13333333333333333,general
Det Konservative Folkeparti,Uden for Folketingsgrupperne,66,917,899.0,0.9803707742639041,general
Det Konservative Folkeparti,Venstre,66,198557,197501.0,0.9946816279456278,general
Enhedslisten,Enhedslisten,66,422,422.0,1.0,general
Enhedslisten,Inuit Ataqatigiit,66,2,1.0,0.5,general
Enhedslisten,Liberal Alliance,66,20,0.0,0.0,general
Enhedslisten,Radikale Venstre,66,5022,2838.0,0.5651135005973715,general
Enhedslisten,Siumut,66,43,27.0,0.627906976744186,general
Enhedslisten,Socialdemokratiet,66,12754,7532.0,0.5905598243688255,general
Enhedslisten,Socialistisk Folkeparti,66,9721,7549.0,0.7765661968933237,general
Enhedslisten,Tjóðveldi,66,33,30.0,0.9090909090909091,general
Enhedslisten,Uden for Folketingsgrupperne,66,51,18.0,0.35294117647058826,general
Enhedslisten,Venstre,66,24006,6108.0,0.25443639090227443,general
Inuit Ataqatigiit,Radikale Venstre,66,16,12.0,0.75,general
Inuit Ataqatigiit,Siumut,66,1,1.0,1.0,general
Inuit Ataqatigiit,Socialdemokratiet,66,56,33.0,0.5892857142857143,general
Inuit Ataqatigiit,Socialistisk Folkeparti,66,41,31.0,0.7560975609756098,general
Inuit Ataqatigiit,Tjóðveldi,66,1,1.0,1.0,general
Inuit Ataqatigiit,Uden for Folketingsgrupperne,66,1,0.0,0.0,general
Inuit Ataqatigiit,Venstre,66,79,35.0,0.4430379746835443,general
Liberal Alliance,Liberal Alliance,66,4,4.0,1.0,general
Liberal Alliance,Radikale Venstre,66,22,18.0,0.8181818181818182,general
Liberal Alliance,Socialdemokratiet,66,86,66.0,0.7674418604651163,general
Liberal Alliance,Socialistisk Folkeparti,66,44,16.0,0.36363636363636365,general
Liberal Alliance,Venstre,66,124,90.0,0.7258064516129032,general
Radikale Venstre,Radikale Venstre,66,6439,6336.0,0.9840037272868458,general
Radikale Venstre,Siumut,66,91,55.0,0.6043956043956044,general
Radikale Venstre,Socialdemokratiet,66,43194,34081.0,0.7890216233736167,general
Radikale Venstre,Socialistisk Folkeparti,66,30785,22947.0,0.7453954848140328,general
Radikale Venstre,Tjóðveldi,66,100,52.0,0.52,general
Radikale Venstre,Uden for Folketingsgrupperne,66,319,209.0,0.6551724137931034,general
Radikale Venstre,Venstre,66,76307,44852.0,0.5877835585201882,general
Siumut,Socialdemokratiet,66,196,114.0,0.5816326530612245,general
Siumut,Socialistisk Folkeparti,66,171,106.0,0.6198830409356725,general
Siumut,Tjóðveldi,66,9,7.0,0.7777777777777778,general
Siumut,Venstre,66,402,162.0,0.40298507462686567,general
Socialdemokratiet,Socialdemokratiet,66,54493,54201.0,0.9946415135889013,general
Socialdemokratiet,Socialistisk Folkeparti,66,82498,64490.0,0.7817159203859487,general
Socialdemokratiet,Tjóðveldi,66,193,118.0,0.6113989637305699,general
Socialdemokratiet,Uden for Folketingsgrupperne,66,1105,756.0,0.6841628959276018,general
Socialdemokratiet,Venstre,66,202630,124985.0,0.6168138972511474,general
Socialistisk Folkeparti,Socialistisk Folkeparti,66,26179,24679.0,0.9427021658581306,general
Socialistisk Folkeparti,Tjóðveldi,66,159,115.0,0.7232704402515723,general
Socialistisk Folkeparti,Uden for Folketingsgrupperne,66,733,339.0,0.46248294679399726,general
Socialistisk Folkeparti,Venstre,66,146778,62773.0,0.4276730845222036,general
Tjóðveldi,Venstre,66,416,56.0,0.1346153846153846,general
Uden for Folketingsgrupperne,Venstre,66,1509,1467.0,0.9721669980119284,general
Venstre,Venstre,66,172867,171681.0,0.9931392342089583,general
Dansk Folkeparti,Dansk Folkeparti,67,206440,206306.0,0.9993509009881806,general
Dansk Folkeparti,Det Konservative Folkeparti,67,266498,239578.0,0.8989861087137615,general
Dansk Folkeparti,Enhedslisten,67,49668,17045.0,0.34317870661190303,general
Dansk Folkeparti,Inuit Ataqatigiit,67,220,98.0,0.44545454545454544,general
Dansk Folkeparti,Liberal Alliance,67,26875,21794.0,0.810939534883721,general
Dansk Folkeparti,Radikale Venstre,67,113041,57646.0,0.5099565644323741,general
Dansk Folkeparti,Sambandsflokkurin,67,817,698.0,0.8543451652386781,general
Dansk Folkeparti,Siumut,67,826,609.0,0.7372881355932204,general
Dansk Folkeparti,Socialdemokratiet,67,646599,333223.0,0.5153472244776128,general
Dansk Folkeparti,Socialistisk Folkeparti,67,320087,151688.0,0.47389615948164093,general
Dansk Folkeparti,Tjóðveldi,67,140,17.0,0.12142857142857143,general
Dansk Folkeparti,Uden for Folketingsgrupperne,67,12324,8150.0,0.6613112625770854,general
Dansk Folkeparti,Venstre,67,737170,664981.0,0.9020727918933218,general
Det Konservative Folkeparti,Det Konservative Folkeparti,67,73545,73502.0,0.9994153239513223,general
Det Konservative Folkeparti,Enhedslisten,67,30242,10976.0,0.362938959063554,general
Det Konservative Folkeparti,Inuit Ataqatigiit,67,141,118.0,0.8368794326241135,general
Det Konservative Folkeparti,Liberal Alliance,67,16211,14258.0,0.8795262476096478,general
Det Konservative Folkeparti,Radikale Venstre,67,68589,41839.0,0.6099957719167797,general
Det Konservative Folkeparti,Sambandsflokkurin,67,492,492.0,1.0,general
Det Konservative Folkeparti,Siumut,67,507,451.0,0.8895463510848126,general
Det Konservative Folkeparti,Socialdemokratiet,67,392390,239337.0,0.6099467366650526,general
Det Konservative Folkeparti,Socialistisk Folkeparti,67,193856,107257.0,0.5532818174314955,general
Det Konservative Folkeparti,Tjóðveldi,67,89,47.0,0.5280898876404494,general
Det Konservative Folkeparti,Uden for Folketingsgrupperne,67,7645,5618.0,0.7348593852190974,general
Det Konservative Folkeparti,Venstre,67,447512,447154.0,0.9992000214519388,general
Enhedslisten,Enhedslisten,67,1371,1370.0,0.9992706053975201,general
Enhedslisten,Inuit Ataqatigiit,67,27,15.0,0.5555555555555556,general
Enhedslisten,Liberal Alliance,67,3034,1219.0,0.4017798286090969,general
Enhedslisten,Radikale Venstre,67,12783,8432.0,0.659626065868732,general
Enhedslisten,Sambandsflokkurin,67,96,33.0,0.34375,general
Enhedslisten,Siumut,67,94,54.0,0.574468085106383,general
Enhedslisten,Socialdemokratiet,67,73274,50325.0,0.6868056882386658,general
