party_a,party_b,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,162,162.0,1.0,immigration
Dansk Folkeparti,Det Konservative Folkeparti,65,217,114.0,0.5253456221198156,immigration
Dansk Folkeparti,Enhedslisten,65,28,9.0,0.32142857142857145,immigration
Dansk Folkeparti,Kristendemokraterne,65,76,38.0,0.5,immigration
Dansk Folkeparti,Radikale Venstre,65,96,48.0,0.5,immigration
Dansk Folkeparti,Socialdemokratiet,65,466,248.0,0.5321888412017167,immigration
Dansk Folkeparti,Socialistisk Folkeparti,65,153,86.0,0.5620915032679739,immigration
Dansk Folkeparti,Venstre,65,656,342.0,0.5213414634146342,immigration
Det Konservative Folkeparti,Det Konservative Folkeparti,65,57,57.0,1.0,immigration
Det Konservative Folkeparti,Enhedslisten,65,17,17.0,1.0,immigration
Det Konservative Folkeparti,Kristendemokraterne,65,46,46.0,1.0,immigration
Det Konservative Folkeparti,Radikale Venstre,65,56,56.0,1.0,immigration
Det Konservative Folkeparti,Socialdemokratiet,65,284,284.0,1.0,immigration
Det Konservative Folkeparti,Socialistisk Folkeparti,65,91,91.0,1.0,immigration
Det Konservative Folkeparti,Venstre,65,396,396.0,1.0,immigration
Enhedslisten,Kristendemokraterne,65,6,6.0,1.0,immigration
Enhedslisten,Radikale Venstre,65,7,7.0,1.0,immigration
Enhedslisten,Socialdemokratiet,65,35,35.0,1.0,immigration
Enhedslisten,Socialistisk Folkeparti,65,11,11.0,1.0,immigration
Enhedslisten,Venstre,65,51,51.0,1.0,immigration
Kristendemokraterne,Kristendemokraterne,65,4,4.0,1.0,immigration
Kristendemokraterne,Radikale Venstre,65,20,20.0,1.0,immigration
Kristendemokraterne,Socialdemokratiet,65,98,98.0,1.0,immigration
Kristendemokraterne,Socialistisk Folkeparti,65,32,32.0,1.0,immigration
Kristendemokraterne,Venstre,65,138,138.0,1.0,immigration
Radikale Venstre,Radikale Venstre,65,8,8.0,1.0,immigration
Radikale Venstre,Socialdemokratiet,65,123,123.0,1.0,immigration
Radikale Venstre,Socialistisk Folkeparti,65,41,41.0,1.0,immigration
Radikale Venstre,Venstre,65,173,173.0,1.0,immigration
Socialdemokratiet,Socialdemokratiet,65,278,278.0,1.0,immigration
Socialdemokratiet,Socialistisk Folkeparti,65,198,198.0,1.0,immigration
Socialdemokratiet,Venstre,65,847,847.0,1.0,immigration
Socialistisk Folkeparti,Socialistisk Folkeparti,65,25,25.0,1.0,immigration
Socialistisk Folkeparti,Venstre,65,278,278.0,1.0,immigration
Venstre,Venstre,65,562,562.0,1.0,immigration
Dansk Folkeparti,Dansk Folkeparti,66,6802,6789.0,0.9980887974125258,immigration
Dansk Folkeparti,Det Konservative Folkeparti,66,10437,9449.0,0.9053367826003641,immigration
Dansk Folkeparti,Enhedslisten,66,941,230.0,0.24442082890541977,immigration
Dansk Folkeparti,Radikale Venstre,66,3984,1380.0,0.3463855421686747,immigration
Dansk Folkeparti,Siumut,66,14,0.0,0.0,immigration
Dansk Folkeparti,Socialdemokratiet,66,10917,5760.0,0.5276174773289365,immigration
Dansk Folkeparti,Socialistisk Folkeparti,66,7829,2102.0,0.26848895133478096,immigration
Dansk Folkeparti,Tjóðveldi,66,28,0.0,0.0,immigration
Dansk Folkeparti,Uden for Folketingsgrupperne,66,80,80.0,1.0,immigration
Dansk Folkeparti,Venstre,66,18957,17103.0,0.9021997151448014,immigration
Det Konservative Folkeparti,Det Konservative Folkeparti,66,3391,3391.0,1.0,immigration
Det Konservative Folkeparti,Enhedslisten,66,683,162.0,0.23718887262079064,immigration
Det Konservative Folkeparti,Radikale Venstre,66,2816,1274.0,0.4524147727272727,immigration
Det Konservative Folkeparti,Siumut,66,9,0.0,0.0,immigration
Det Konservative Folkeparti,Socialdemokratiet,66,7734,4876.0,0.630462891130075,immigration
Det Konservative Folkeparti,Socialistisk Folkeparti,66,5578,2077.0,0.3723556830405163,immigration
Det Konservative Folkeparti,Tjóðveldi,66,20,0.0,0.0,immigration
Det Konservative Folkeparti,Uden for Folketingsgrupperne,66,62,62.0,1.0,immigration
Det Konservative Folkeparti,Venstre,66,13516,13492.0,0.9982243267238828,immigration
Enhedslisten,Enhedslisten,66,11,11.0,1.0,immigration
Enhedslisten,Radikale Venstre,66,238,143.0,0.6008403361344538,immigration
Enhedslisten,Siumut,66,1,1.0,1.0,immigration
Enhedslisten,Socialdemokratiet,66,649,290.0,0.44684129429892144,immigration
Enhedslisten,Socialistisk Folkeparti,66,484,345.0,0.7128099173553719,immigration
Enhedslisten,Tjóðveldi,66,2,1.0,0.5,immigration
Enhedslisten,Uden for Folketingsgrupperne,66,7,2.0,0.2857142857142857,immigration
Enhedslisten,Venstre,66,1224,286.0,0.23366013071895425,immigration
Radikale Venstre,Radikale Venstre,66,436,436.0,1.0,immigration
Radikale Venstre,Siumut,66,3,3.0,1.0,immigration
Radikale Venstre,Socialdemokratiet,66,3048,2270.0,0.744750656167979,immigration
Radikale Venstre,Socialistisk Folkeparti,66,2154,1863.0,0.8649025069637883,immigration
Radikale Venstre,Tjóðveldi,66,6,3.0,0.5,immigration
Radikale Venstre,Uden for Folketingsgrupperne,66,28,6.0,0.21428571428571427,immigration
Radikale Venstre,Venstre,66,5169,2316.0,0.4480557167730702,immigration
