party_a,party_b,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,805,805.0,1.0,retspolitik
Dansk Folkeparti,Det Konservative Folkeparti,65,1190,1071.0,0.9,retspolitik
Dansk Folkeparti,Enhedslisten,65,127,45.0,0.3543307086614173,retspolitik
Dansk Folkeparti,Kristendemokraterne,65,398,218.0,0.5477386934673367,retspolitik
Dansk Folkeparti,Radikale Venstre,65,535,300.0,0.5607476635514018,retspolitik
Dansk Folkeparti,Socialdemokratiet,65,2264,1107.0,0.48895759717314485,retspolitik
Dansk Folkeparti,Socialistisk Folkeparti,65,715,351.0,0.4909090909090909,retspolitik
Dansk Folkeparti,Uden for Folketingsgrupperne,65,28,28.0,1.0,retspolitik
Dansk Folkeparti,Venstre,65,3291,3009.0,0.9143117593436645,retspolitik
Det Konservative Folkeparti,Det Konservative Folkeparti,65,339,339.0,1.0,retspolitik
Det Konservative Folkeparti,Enhedslisten,65,84,25.0,0.2976190476190476,retspolitik
Det Konservative Folkeparti,Kristendemokraterne,65,264,174.0,0.6590909090909091,retspolitik
Det Konservative Folkeparti,Radikale Venstre,65,351,239.0,0.6809116809116809,retspolitik
Det Konservative Folkeparti,Socialdemokratiet,65,1499,899.0,0.5997331554369579,retspolitik
Det Konservative Folkeparti,Socialistisk Folkeparti,65,468,236.0,0.5042735042735043,retspolitik
Det Konservative Folkeparti,Uden for Folketingsgrupperne,65,18,18.0,1.0,retspolitik
Det Konservative Folkeparti,Venstre,65,2178,2178.0,1.0,retspolitik
Enhedslisten,Kristendemokraterne,65,28,18.0,0.6428571428571429,retspolitik
Enhedslisten,Radikale Venstre,65,36,22.0,0.6111111111111112,retspolitik
Enhedslisten,Socialdemokratiet,65,157,99.0,0.6305732484076433,retspolitik
Enhedslisten,Socialistisk Folkeparti,65,51,40.0,0.7843137254901961,retspolitik
Enhedslisten,Uden for Folketingsgrupperne,65,2,1.0,0.5,retspolitik
Enhedslisten,Venstre,65,241,71.0,0.2946058091286307,retspolitik
Kristendemokraterne,Kristendemokraterne,65,22,22.0,1.0,retspolitik
Kristendemokraterne,Radikale Venstre,65,118,100.0,0.847457627118644,retspolitik
Kristendemokraterne,Socialdemokratiet,65,500,434.0,0.868,retspolitik
Kristendemokraterne,Socialistisk Folkeparti,65,158,138.0,0.8734177215189873,retspolitik
Kristendemokraterne,Uden for Folketingsgrupperne,65,6,6.0,1.0,retspolitik
Kristendemokraterne,Venstre,65,726,458.0,0.6308539944903582,retspolitik
Radikale Venstre,Radikale Venstre,65,54,54.0,1.0,retspolitik
Radikale Venstre,Socialdemokratiet,65,670,604.0,0.9014925373134328,retspolitik
Radikale Venstre,Socialistisk Folkeparti,65,215,182.0,0.8465116279069768,retspolitik
Radikale Venstre,Uden for Folketingsgrupperne,65,11,7.0,0.6363636363636364,retspolitik
Radikale Venstre,Venstre,65,962,626.0,0.6507276507276507,retspolitik
Socialdemokratiet,Socialdemokratiet,65,1308,1308.0,1.0,retspolitik
Socialdemokratiet,Socialistisk Folkeparti,65,900,831.0,0.9233333333333333,retspolitik
Socialdemokratiet,Uden for Folketingsgrupperne,65,35,24.0,0.6857142857142857,retspolitik
Socialdemokratiet,Venstre,65,4137,2462.0,0.5951172347111433,retspolitik
Socialistisk Folkeparti,Socialistisk Folkeparti,65,107,107.0,1.0,retspolitik
Socialistisk Folkeparti,Uden for Folketingsgrupperne,65,12,8.0,0.6666666666666666,retspolitik
Socialistisk Folkeparti,Venstre,65,1307,666.0,0.5095638867635807,retspolitik
Uden for Folketingsgrupperne,Venstre,65,50,50.0,1.0,retspolitik
Venstre,Venstre,65,2861,2861.0,1.0,retspolitik
Dansk Folkeparti,Dansk Folkeparti,66,20184,20114.0,0.9965319064605628,retspolitik
Dansk Folkeparti,Det Konservative Folkeparti,66,31294,27595.0,0.8817984278136384,retspolitik
Dansk Folkeparti,Enhedslisten,66,3753,1115.0,0.297095656807887,retspolitik
Dansk Folkeparti,Inuit Ataqatigiit,66,40,14.0,0.35,retspolitik
Dansk Folkeparti,Liberal Alliance,66,44,0.0,0.0,retspolitik
Dansk Folkeparti,Radikale Venstre,66,11243,5807.0,0.5164991550297963,retspolitik
Dansk Folkeparti,Siumut,66,110,53.0,0.4818181818181818,retspolitik
Dansk Folkeparti,Socialdemokratiet,66,31731,18940.0,0.5968926286596703,retspolitik
Dansk Folkeparti,Socialistisk Folkeparti,66,22697,9696.0,0.42719302110411067,retspolitik
Dansk Folkeparti,Tjóðveldi,66,128,26.0,0.203125,retspolitik
Dansk Folkeparti,Uden for Folketingsgrupperne,66,305,243.0,0.7967213114754098,retspolitik
Dansk Folkeparti,Venstre,66,55539,48728.0,0.8773654549055618,retspolitik
Det Konservative Folkeparti,Det Konservative Folkeparti,66,10388,10380.0,0.9992298806314979,retspolitik
Det Konservative Folkeparti,Enhedslisten,66,2781,764.0,0.2747213232650126,retspolitik
Det Konservative Folkeparti,Inuit Ataqatigiit,66,30,10.0,0.3333333333333333,retspolitik
Det Konservative Folkeparti,Liberal Alliance,66,26,14.0,0.5384615384615384,retspolitik
Det Konservative Folkeparti,Radikale Venstre,66,8121,5161.0,0.6355128678734147,retspolitik
Det Konservative Folkeparti,Siumut,66,86,28.0,0.32558139534883723,retspolitik
Det Konservative Folkeparti,Socialdemokratiet,66,22923,16445.0,0.7174017362474371,retspolitik
Det Konservative Folkeparti,Socialistisk Folkeparti,66,16550,8427.0,0.5091842900302115,retspolitik
Det Konservative Folkeparti,Tjóðveldi,66,94,10.0,0.10638297872340426,retspolitik
