party_a,party_b,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,938,938.0,1.0,skat
Dansk Folkeparti,Det Konservative Folkeparti,65,1280,1217.0,0.95078125,skat
Dansk Folkeparti,Enhedslisten,65,206,56.0,0.27184466019417475,skat
Dansk Folkeparti,Kristendemokraterne,65,448,233.0,0.5200892857142857,skat
Dansk Folkeparti,Radikale Venstre,65,574,294.0,0.5121951219512195,skat
Dansk Folkeparti,Socialdemokratiet,65,2583,1137.0,0.44018583042973286,skat
Dansk Folkeparti,Socialistisk Folkeparti,65,898,402.0,0.44766146993318484,skat
Dansk Folkeparti,Uden for Folketingsgrupperne,65,10,10.0,1.0,skat
Dansk Folkeparti,Venstre,65,3722,3550.0,0.9537882858678131,skat
Det Konservative Folkeparti,Det Konservative Folkeparti,65,347,347.0,1.0,skat
Det Konservative Folkeparti,Enhedslisten,65,127,24.0,0.1889763779527559,skat
Det Konservative Folkeparti,Kristendemokraterne,65,276,155.0,0.5615942028985508,skat
Det Konservative Folkeparti,Radikale Venstre,65,348,181.0,0.5201149425287356,skat
Det Konservative Folkeparti,Socialdemokratiet,65,1600,753.0,0.470625,skat
Det Konservative Folkeparti,Socialistisk Folkeparti,65,527,190.0,0.3605313092979127,skat
Det Konservative Folkeparti,Uden for Folketingsgrupperne,65,7,7.0,1.0,skat
Det Konservative Folkeparti,Venstre,65,2316,2310.0,0.9974093264248705,skat
Enhedslisten,Enhedslisten,65,1,1.0,1.0,skat
Enhedslisten,Kristendemokraterne,65,44,25.0,0.5681818181818182,skat
Enhedslisten,Radikale Venstre,65,55,33.0,0.6,skat
Enhedslisten,Socialdemokratiet,65,254,174.0,0.6850393700787402,skat
Enhedslisten,Socialistisk Folkeparti,65,91,75.0,0.8241758241758241,skat
Enhedslisten,Uden for Folketingsgrupperne,65,1,0.0,0.0,skat
Enhedslisten,Venstre,65,371,80.0,0.215633423180593,skat
Kristendemokraterne,Kristendemokraterne,65,24,23.0,0.9583333333333334,skat
Kristendemokraterne,Radikale Venstre,65,122,80.0,0.6557377049180327,skat
Kristendemokraterne,Socialdemokratiet,65,554,382.0,0.6895306859205776,skat
Kristendemokraterne,Socialistisk Folkeparti,65,190,115.0,0.6052631578947368,skat
Kristendemokraterne,Uden for Folketingsgrupperne,65,2,2.0,1.0,skat
Kristendemokraterne,Venstre,65,798,441.0,0.5526315789473685,skat
Radikale Venstre,Radikale Venstre,65,51,51.0,1.0,skat
