party_a,party_b,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,739,739.0,1.0,transport_infrastruktur
Dansk Folkeparti,Det Konservative Folkeparti,65,1055,1055.0,1.0,transport_infrastruktur
Dansk Folkeparti,Enhedslisten,65,108,10.0,0.09259259259259259,transport_infrastruktur
Dansk Folkeparti,Kristendemokraterne,65,334,238.0,0.7125748502994012,transport_infrastruktur
Dansk Folkeparti,Radikale Venstre,65,499,306.0,0.6132264529058116,transport_infrastruktur
Dansk Folkeparti,Socialdemokratiet,65,1967,1081.0,0.5495678698525673,transport_infrastruktur
Dansk Folkeparti,Socialistisk Folkeparti,65,712,349.0,0.4901685393258427,transport_infrastruktur
Dansk Folkeparti,Uden for Folketingsgrupperne,65,28,28.0,1.0,transport_infrastruktur
Dansk Folkeparti,Venstre,65,2772,2772.0,1.0,transport_infrastruktur
Det Konservative Folkeparti,Det Konservative Folkeparti,65,291,291.0,1.0,transport_infrastruktur
Det Konservative Folkeparti,Enhedslisten,65,70,6.0,0.08571428571428572,transport_infrastruktur
Det Konservative Folkeparti,Kristendemokraterne,65,212,158.0,0.7452830188679245,transport_infrastruktur
Det Konservative Folkeparti,Radikale Venstre,65,319,180.0,0.5642633228840125,transport_infrastruktur
Det Konservative Folkeparti,Socialdemokratiet,65,1258,646.0,0.5135135135135135,transport_infrastruktur
Det Konservative Folkeparti,Socialistisk Folkeparti,65,447,202.0,0.4519015659955257,transport_infrastruktur
Det Konservative Folkeparti,Uden for Folketingsgrupperne,65,17,17.0,1.0,transport_infrastruktur
Det Konservative Folkeparti,Venstre,65,1777,1777.0,1.0,transport_infrastruktur
Enhedslisten,Kristendemokraterne,65,21,10.0,0.47619047619047616,transport_infrastruktur
Enhedslisten,Radikale Venstre,65,32,21.0,0.65625,transport_infrastruktur
Enhedslisten,Socialdemokratiet,65,123,91.0,0.7398373983739838,transport_infrastruktur
Enhedslisten,Socialistisk Folkeparti,65,48,39.0,0.8125,transport_infrastruktur
Enhedslisten,Uden for Folketingsgrupperne,65,2,0.0,0.0,transport_infrastruktur
Enhedslisten,Venstre,65,182,16.0,0.08791208791208792,transport_infrastruktur
Kristendemokraterne,Kristendemokraterne,65,17,17.0,1.0,transport_infrastruktur
Kristendemokraterne,Radikale Venstre,65,101,66.0,0.6534653465346535,transport_infrastruktur
Kristendemokraterne,Socialdemokratiet,65,401,302.0,0.7531172069825436,transport_infrastruktur
Kristendemokraterne,Socialistisk Folkeparti,65,144,92.0,0.6388888888888888,transport_infrastruktur
Kristendemokraterne,Uden for Folketingsgrupperne,65,6,4.0,0.6666666666666666,transport_infrastruktur
Kristendemokraterne,Venstre,65,564,394.0,0.6985815602836879,transport_infrastruktur
Radikale Venstre,Radikale Venstre,65,51,51.0,1.0,transport_infrastruktur
Radikale Venstre,Socialdemokratiet,65,593,557.0,0.93929173693086,transport_infrastruktur
Radikale Venstre,Socialistisk Folkeparti,65,216,186.0,0.8611111111111112,transport_infrastruktur
Radikale Venstre,Uden for Folketingsgrupperne,65,10,3.0,0.3,transport_infrastruktur
Radikale Venstre,Venstre,65,830,493.0,0.5939759036144578,transport_infrastruktur
Socialdemokratiet,Socialdemokratiet,65,1083,1073.0,0.9907663896583564,transport_infrastruktur
Socialdemokratiet,Socialistisk Folkeparti,65,846,786.0,0.9290780141843972,transport_infrastruktur
Socialdemokratiet,Uden for Folketingsgrupperne,65,35,13.0,0.37142857142857144,transport_infrastruktur
Socialdemokratiet,Venstre,65,3332,1794.0,0.5384153661464586,transport_infrastruktur
Socialistisk Folkeparti,Socialistisk Folkeparti,65,123,123.0,1.0,transport_infrastruktur
Socialistisk Folkeparti,Uden for Folketingsgrupperne,65,13,4.0,0.3076923076923077,transport_infrastruktur
Socialistisk Folkeparti,Venstre,65,1195,579.0,0.4845188284518828,transport_infrastruktur
Uden for Folketingsgrupperne,Venstre,65,49,49.0,1.0,transport_infrastruktur
Venstre,Venstre,65,2220,2220.0,1.0,transport_infrastruktur
Dansk Folkeparti,Dansk Folkeparti,66,10995,10995.0,1.0,transport_infrastruktur
Dansk Folkeparti,Det Konservative Folkeparti,66,17205,16723.0,0.9719848881139204,transport_infrastruktur
Dansk Folkeparti,Enhedslisten,66,1984,621.0,0.3130040322580645,transport_infrastruktur
Dansk Folkeparti,Inuit Ataqatigiit,66,13,0.0,0.0,transport_infrastruktur
Dansk Folkeparti,Radikale Venstre,66,6057,4165.0,0.6876341423146772,transport_infrastruktur
Dansk Folkeparti,Siumut,66,27,14.0,0.5185185185185185,transport_infrastruktur
Dansk Folkeparti,Socialdemokratiet,66,16402,11137.0,0.6790025606633338,transport_infrastruktur
