source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Aage Frandsen,Aase D. Madsen (udpeget af DF),Socialistisk Folkeparti,Dansk Folkeparti,65,3,1.0,0.3333333333333333,uddannelse
Aage Frandsen,Anita Knakkergaard,Socialistisk Folkeparti,Dansk Folkeparti,65,10,6.0,0.6,uddannelse
Aage Frandsen,Anne Baastrup,Socialistisk Folkeparti,Socialistisk Folkeparti,65,13,13.0,1.0,uddannelse
Aage Frandsen,Anne Grete Holmsgaard (udpeget af SF),Socialistisk Folkeparti,Socialistisk Folkeparti,65,2,2.0,1.0,uddannelse
Aage Frandsen,Anne-Marie Meldgaard,Socialistisk Folkeparti,Socialdemokratiet,65,15,14.0,0.9333333333333333,uddannelse
Aage Frandsen,Arne Toft,Socialistisk Folkeparti,Socialdemokratiet,65,17,15.0,0.8823529411764706,uddannelse
Aage Frandsen,Bendt Bendtsen,Socialistisk Folkeparti,Det Konservative Folkeparti,65,5,2.0,0.4,uddannelse
Aage Frandsen,Bent Bøgsted,Socialistisk Folkeparti,Dansk Folkeparti,65,18,9.0,0.5,uddannelse
Aage Frandsen,Birthe Rønn Hornbech,Socialistisk Folkeparti,Venstre,65,15,8.0,0.5333333333333333,uddannelse
Aage Frandsen,Birthe Skaarup (udpeget af DF),Socialistisk Folkeparti,Dansk Folkeparti,65,4,1.0,0.25,uddannelse
Aage Frandsen,Bjarne Laustsen,Socialistisk Folkeparti,Socialdemokratiet,65,17,16.0,0.9411764705882353,uddannelse
Aage Frandsen,Bodil Kornbek,Socialistisk Folkeparti,Kristendemokraterne,65,11,10.0,0.9090909090909091,uddannelse
Aage Frandsen,Brian Mikkelsen,Socialistisk Folkeparti,Det Konservative Folkeparti,65,11,6.0,0.5454545454545454,uddannelse
Aage Frandsen,Carina Christensen,Socialistisk Folkeparti,Det Konservative Folkeparti,65,17,9.0,0.5294117647058824,uddannelse
Aage Frandsen,Carsten Bo Jensen,Socialistisk Folkeparti,Socialdemokratiet,65,2,2.0,1.0,uddannelse
Aage Frandsen,Carsten Hansen,Socialistisk Folkeparti,Socialdemokratiet,65,8,8.0,1.0,uddannelse
Aage Frandsen,Charlotte Antonsen (udpeget af V),Socialistisk Folkeparti,Venstre,65,16,8.0,0.5,uddannelse
Aage Frandsen,Charlotte Dyremose,Socialistisk Folkeparti,Det Konservative Folkeparti,65,17,9.0,0.5294117647058824,uddannelse
Aage Frandsen,Christian H. Hansen,Socialistisk Folkeparti,Dansk Folkeparti,65,1,0.0,0.0,uddannelse
