source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Aage Frandsen,Aase D. Madsen (udpeget af DF),Not able to assign,Dansk Folkeparti,65,28,11.0,0.39285714285714285,General
Aage Frandsen,Anders Fogh Rasmussen,Not able to assign,Venstre,65,4,1.0,0.25,General
Aage Frandsen,Anders Møller,Not able to assign,Uden for folketingsgrupperne,65,7,3.0,0.42857142857142855,General
Aage Frandsen,Anita Knakkergaard,Not able to assign,Dansk Folkeparti,65,252,73.0,0.2896825396825397,General
Aage Frandsen,Anne Baastrup,Not able to assign,Socialistisk Folkeparti,65,266,265.0,0.9962406015037594,General
Aage Frandsen,Anne Grete Holmsgaard (udpeget af SF),Not able to assign,Socialistisk Folkeparti,65,23,23.0,1.0,General
Aage Frandsen,Anne-Marie Meldgaard,Not able to assign,Socialdemokratiet,65,275,219.0,0.7963636363636364,General
Aage Frandsen,Arne Toft,Not able to assign,Socialdemokratiet,65,279,219.0,0.7849462365591398,General
Aage Frandsen,Bendt Bendtsen,Not able to assign,Det Konservative Folkeparti,65,29,18.0,0.6206896551724138,General
Aage Frandsen,Bent Bøgsted,Not able to assign,Danmarksdemokraterne,65,290,93.0,0.32068965517241377,General
Aage Frandsen,Birgitte Josefsen,Not able to assign,Venstre,65,3,1.0,0.3333333333333333,General
Aage Frandsen,Birgitte Møller,Not able to assign,Radikale Venstre,65,8,7.0,0.875,General
Aage Frandsen,Birthe Rønn Hornbech,Not able to assign,Venstre,65,272,94.0,0.34558823529411764,General
Aage Frandsen,Birthe Skaarup (udpeget af DF),Not able to assign,Dansk Folkeparti,65,163,31.0,0.1901840490797546,General
Aage Frandsen,Bjarne Laustsen,Not able to assign,Socialdemokratiet,65,272,213.0,0.7830882352941176,General
Aage Frandsen,Bodil Kornbek,Not able to assign,Kristeligt Folkeparti,65,71,53.0,0.7464788732394366,General
Aage Frandsen,Brian Mikkelsen,Not able to assign,Det Konservative Folkeparti,65,66,39.0,0.5909090909090909,General
Aage Frandsen,Carina Christensen,Not able to assign,Det Konservative Folkeparti,65,273,88.0,0.32234432234432236,General
Aage Frandsen,Carsten Bo Jensen,Not able to assign,Socialdemokratiet,65,205,153.0,0.7463414634146341,General
Aage Frandsen,Carsten Hansen,Not able to assign,Not able to assign,65,239,187.0,0.7824267782426778,General
Aage Frandsen,Charlotte Antonsen (udpeget af V),Not able to assign,Venstre,65,166,74.0,0.4457831325301205,General
Aage Frandsen,Charlotte Dyremose,Not able to assign,Det Konservative Folkeparti,65,286,99.0,0.34615384615384615,General
Aage Frandsen,Christian H. Hansen,Not able to assign,Uden for folketingsgrupperne,65,4,0.0,0.0,General
Aage Frandsen,Christian Lund Jepsen,Not able to assign,Det Konservative Folkeparti,65,287,98.0,0.34146341463414637,General
Aage Frandsen,Christian Mejdahl,Not able to assign,Venstre,65,290,98.0,0.33793103448275863,General
Aage Frandsen,Christian Wedell-Neergaard,Not able to assign,Det Konservative Folkeparti,65,263,85.0,0.3231939163498099,General
