source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Alex Ahrendtsen,Anders Samuelsen,Dansk Folkeparti,Liberal Alliance,68,293,186.0,0.6348122866894198,all_topics
Alex Ahrendtsen,Andreas Steenberg,Dansk Folkeparti,Radikale Venstre,68,835,491.0,0.5880239520958084,all_topics
Alex Ahrendtsen,Anne Baastrup,Dansk Folkeparti,Socialistisk Folkeparti,68,1,1.0,1.0,all_topics
Alex Ahrendtsen,Anne Sina,Dansk Folkeparti,Socialdemokratiet,68,273,171.0,0.6263736263736264,all_topics
Alex Ahrendtsen,Annette Lind,Dansk Folkeparti,Socialdemokratiet,68,1,1.0,1.0,all_topics
Alex Ahrendtsen,Annette Vilhelmsen,Dansk Folkeparti,Socialistisk Folkeparti,68,727,402.0,0.5529573590096286,all_topics
Alex Ahrendtsen,Anni Matthiesen,Dansk Folkeparti,Venstre,68,726,543.0,0.7479338842975206,all_topics
Alex Ahrendtsen,Astrid Krag,Dansk Folkeparti,Socialdemokratiet,68,573,355.0,0.6195462478184991,all_topics
Alex Ahrendtsen,Benny Engelbrecht,Dansk Folkeparti,Socialdemokratiet,68,945,545.0,0.5767195767195767,all_topics
Alex Ahrendtsen,Bent Bøgsted,Dansk Folkeparti,Danmarksdemokraterne,68,1,1.0,1.0,all_topics
Alex Ahrendtsen,Bertel Haarder,Dansk Folkeparti,Venstre,68,534,380.0,0.7116104868913857,all_topics
Alex Ahrendtsen,Bjarne Corydon,Dansk Folkeparti,Socialdemokratiet,68,169,67.0,0.39644970414201186,all_topics
Alex Ahrendtsen,Brian Mikkelsen,Dansk Folkeparti,Det Konservative Folkeparti,68,615,413.0,0.6715447154471544,all_topics
Alex Ahrendtsen,Carsten Hansen,Dansk Folkeparti,Socialdemokratiet,68,610,353.0,0.578688524590164,all_topics
Alex Ahrendtsen,Charlotte Dyremose,Dansk Folkeparti,Det Konservative Folkeparti,68,196,132.0,0.673469387755102,all_topics
Alex Ahrendtsen,Christian Friis Bach,Dansk Folkeparti,Venstre,68,264,161.0,0.6098484848484849,all_topics
Alex Ahrendtsen,Christian Juhl,Dansk Folkeparti,Enhedslisten,68,745,338.0,0.45369127516778524,all_topics
Alex Ahrendtsen,Christian Langballe (udpeget af DF),Dansk Folkeparti,Dansk Folkeparti,68,731,727.0,0.9945280437756497,all_topics
Alex Ahrendtsen,Christine Antorini,Dansk Folkeparti,Socialdemokratiet,68,412,262.0,0.6359223300970874,all_topics
Alex Ahrendtsen,Dennis Flydtkjær,Dansk Folkeparti,Danmarksdemokraterne,68,885,883.0,0.9977401129943503,all_topics
Alex Ahrendtsen,Eigil Andersen,Dansk Folkeparti,Socialistisk Folkeparti,68,780,427.0,0.5474358974358975,all_topics
Alex Ahrendtsen,Ellen Trane Nørby,Dansk Folkeparti,Venstre,68,431,315.0,0.7308584686774942,all_topics
Alex Ahrendtsen,Erling Bonnesen,Dansk Folkeparti,Venstre,68,753,532.0,0.7065073041168659,all_topics
Alex Ahrendtsen,Fatma Øktem,Dansk Folkeparti,Venstre,68,1,1.0,1.0,all_topics
Alex Ahrendtsen,Finn Sørensen,Dansk Folkeparti,Enhedslisten,68,754,352.0,0.46684350132625996,all_topics
Alex Ahrendtsen,Flemming Damgaard Larsen,Dansk Folkeparti,Venstre,68,1001,717.0,0.7162837162837162,all_topics
Alex Ahrendtsen,Frank Aaen,Dansk Folkeparti,Enhedslisten,68,662,316.0,0.4773413897280967,all_topics
Alex Ahrendtsen,Hans Andersen,Dansk Folkeparti,Venstre,68,835,603.0,0.7221556886227545,all_topics
Alex Ahrendtsen,Hans Christian Schmidt,Dansk Folkeparti,Venstre,68,515,397.0,0.7708737864077669,all_topics
Alex Ahrendtsen,Hans Kristian Skibby,Dansk Folkeparti,Danmarksdemokraterne,68,911,910.0,0.9989023051591658,all_topics
Alex Ahrendtsen,Helle Thorning-Schmidt,Dansk Folkeparti,Socialdemokratiet,68,22,7.0,0.3181818181818182,all_topics
Alex Ahrendtsen,Henning Hyllested,Dansk Folkeparti,Enhedslisten,68,750,341.0,0.45466666666666666,all_topics
Alex Ahrendtsen,Henrik Sass Larsen,Dansk Folkeparti,Socialdemokratiet,68,412,253.0,0.6140776699029126,all_topics
Alex Ahrendtsen,Holger K. Nielsen,Dansk Folkeparti,Socialistisk Folkeparti,68,634,338.0,0.5331230283911672,all_topics
Alex Ahrendtsen,Ida Auken,Dansk Folkeparti,Socialdemokratiet,68,448,251.0,0.5602678571428571,all_topics
Alex Ahrendtsen,Inger Støjberg,Dansk Folkeparti,Danmarksdemokraterne,68,1,1.0,1.0,all_topics
Alex Ahrendtsen,Jacob Jensen,Dansk Folkeparti,Venstre,68,219,176.0,0.8036529680365296,all_topics
Alex Ahrendtsen,Jakob Ellemann-Jensen,Dansk Folkeparti,Venstre,68,1,1.0,1.0,all_topics
Alex Ahrendtsen,Jakob Engel-Schmidt,Dansk Folkeparti,Moderaterne,68,364,247.0,0.6785714285714286,all_topics
Alex Ahrendtsen,Jan E. Jørgensen,Dansk Folkeparti,Venstre,68,768,559.0,0.7278645833333334,all_topics
Alex Ahrendtsen,Jan Johansen,Dansk Folkeparti,Socialdemokratiet,68,753,449.0,0.5962815405046481,all_topics
Alex Ahrendtsen,Jane Heitmann,Dansk Folkeparti,Venstre,68,1,1.0,1.0,all_topics
Alex Ahrendtsen,Jens Henrik Thulesen Dahl,Dansk Folkeparti,Danmarksdemokraterne,68,740,739.0,0.9986486486486487,all_topics
Alex Ahrendtsen,Jeppe Mikkelsen,Dansk Folkeparti,Radikale Venstre,68,850,496.0,0.5835294117647059,all_topics
Alex Ahrendtsen,Jesper Petersen,Dansk Folkeparti,Socialdemokratiet,68,832,482.0,0.5793269230769231,all_topics
Alex Ahrendtsen,Joachim B. Olsen,Dansk Folkeparti,Liberal Alliance,68,669,404.0,0.6038863976083707,all_topics
Alex Ahrendtsen,Johanne Schmidt-Nielsen,Dansk Folkeparti,Enhedslisten,68,591,273.0,0.4619289340101523,all_topics
Alex Ahrendtsen,John Dyrby Paulsen,Dansk Folkeparti,Socialdemokratiet,68,626,336.0,0.536741214057508,all_topics
Alex Ahrendtsen,Jonas Dahl,Dansk Folkeparti,Socialistisk Folkeparti,68,1,1.0,1.0,all_topics
