source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Alex Ahrendtsen,Anders Samuelsen,Dansk Folkeparti,Liberal Alliance,68,14,11.0,0.7857142857142857,bolig
Alex Ahrendtsen,Andreas Steenberg,Dansk Folkeparti,Radikale Venstre,68,42,21.0,0.5,bolig
Alex Ahrendtsen,Anne Sina,Dansk Folkeparti,Socialdemokratiet,68,11,6.0,0.5454545454545454,bolig
Alex Ahrendtsen,Annette Vilhelmsen,Dansk Folkeparti,Socialistisk Folkeparti,68,30,15.0,0.5,bolig
Alex Ahrendtsen,Anni Matthiesen,Dansk Folkeparti,Venstre,68,35,29.0,0.8285714285714286,bolig
Alex Ahrendtsen,Astrid Krag,Dansk Folkeparti,Socialdemokratiet,68,35,23.0,0.6571428571428571,bolig
Alex Ahrendtsen,Benny Engelbrecht,Dansk Folkeparti,Socialdemokratiet,68,48,27.0,0.5625,bolig
Alex Ahrendtsen,Bertel Haarder,Dansk Folkeparti,Venstre,68,23,18.0,0.782608695652174,bolig
Alex Ahrendtsen,Bjarne Corydon,Dansk Folkeparti,Socialdemokratiet,68,8,4.0,0.5,bolig
Alex Ahrendtsen,Brian Mikkelsen,Dansk Folkeparti,Det Konservative Folkeparti,68,28,23.0,0.8214285714285714,bolig
Alex Ahrendtsen,Carsten Hansen,Dansk Folkeparti,Socialdemokratiet,68,29,16.0,0.5517241379310345,bolig
Alex Ahrendtsen,Charlotte Dyremose,Dansk Folkeparti,Det Konservative Folkeparti,68,12,9.0,0.75,bolig
Alex Ahrendtsen,Christian Friis Bach,Dansk Folkeparti,Venstre,68,10,6.0,0.6,bolig
Alex Ahrendtsen,Christian Juhl,Dansk Folkeparti,Enhedslisten,68,37,16.0,0.43243243243243246,bolig
Alex Ahrendtsen,Christian Langballe (udpeget af DF),Dansk Folkeparti,Dansk Folkeparti,68,28,27.0,0.9642857142857143,bolig
Alex Ahrendtsen,Christine Antorini,Dansk Folkeparti,Socialdemokratiet,68,21,11.0,0.5238095238095238,bolig
Alex Ahrendtsen,Dennis Flydtkjær,Dansk Folkeparti,Danmarksdemokraterne,68,45,44.0,0.9777777777777777,bolig
Alex Ahrendtsen,Eigil Andersen,Dansk Folkeparti,Socialistisk Folkeparti,68,32,17.0,0.53125,bolig
Alex Ahrendtsen,Ellen Trane Nørby,Dansk Folkeparti,Venstre,68,19,15.0,0.7894736842105263,bolig
Alex Ahrendtsen,Erling Bonnesen,Dansk Folkeparti,Venstre,68,41,31.0,0.7560975609756098,bolig
Alex Ahrendtsen,Finn Sørensen,Dansk Folkeparti,Enhedslisten,68,39,19.0,0.48717948717948717,bolig
Alex Ahrendtsen,Flemming Damgaard Larsen,Dansk Folkeparti,Venstre,68,48,38.0,0.7916666666666666,bolig
Alex Ahrendtsen,Frank Aaen,Dansk Folkeparti,Enhedslisten,68,27,13.0,0.48148148148148145,bolig
Alex Ahrendtsen,Hans Andersen,Dansk Folkeparti,Venstre,68,37,30.0,0.8108108108108109,bolig
Alex Ahrendtsen,Hans Christian Schmidt,Dansk Folkeparti,Venstre,68,31,24.0,0.7741935483870968,bolig
Alex Ahrendtsen,Hans Kristian Skibby,Dansk Folkeparti,Danmarksdemokraterne,68,46,46.0,1.0,bolig
Alex Ahrendtsen,Helle Thorning-Schmidt,Dansk Folkeparti,Socialdemokratiet,68,3,0.0,0.0,bolig
Alex Ahrendtsen,Henning Hyllested,Dansk Folkeparti,Enhedslisten,68,34,14.0,0.4117647058823529,bolig
Alex Ahrendtsen,Henrik Sass Larsen,Dansk Folkeparti,Socialdemokratiet,68,22,16.0,0.7272727272727273,bolig
Alex Ahrendtsen,Holger K. Nielsen,Dansk Folkeparti,Socialistisk Folkeparti,68,32,15.0,0.46875,bolig
Alex Ahrendtsen,Ida Auken,Dansk Folkeparti,Socialdemokratiet,68,26,14.0,0.5384615384615384,bolig
Alex Ahrendtsen,Jacob Jensen,Dansk Folkeparti,Venstre,68,8,8.0,1.0,bolig
Alex Ahrendtsen,Jakob Engel-Schmidt,Dansk Folkeparti,Moderaterne,68,18,14.0,0.7777777777777778,bolig
Alex Ahrendtsen,Jan E. Jørgensen,Dansk Folkeparti,Venstre,68,45,35.0,0.7777777777777778,bolig
Alex Ahrendtsen,Jan Johansen,Dansk Folkeparti,Socialdemokratiet,68,35,19.0,0.5428571428571428,bolig
Alex Ahrendtsen,Jens Henrik Thulesen Dahl,Dansk Folkeparti,Danmarksdemokraterne,68,31,30.0,0.967741935483871,bolig
Alex Ahrendtsen,Jeppe Mikkelsen,Dansk Folkeparti,Radikale Venstre,68,41,24.0,0.5853658536585366,bolig
Alex Ahrendtsen,Jesper Petersen,Dansk Folkeparti,Socialdemokratiet,68,33,19.0,0.5757575757575758,bolig
Alex Ahrendtsen,Joachim B. Olsen,Dansk Folkeparti,Liberal Alliance,68,31,23.0,0.7419354838709677,bolig
Alex Ahrendtsen,Johanne Schmidt-Nielsen,Dansk Folkeparti,Enhedslisten,68,40,18.0,0.45,bolig
Alex Ahrendtsen,John Dyrby Paulsen,Dansk Folkeparti,Socialdemokratiet,68,29,16.0,0.5517241379310345,bolig
Alex Ahrendtsen,Karen Ellemann,Dansk Folkeparti,Venstre,68,30,25.0,0.8333333333333334,bolig
Alex Ahrendtsen,Karen Hækkerup (udpeget af S),Dansk Folkeparti,Socialdemokratiet,68,19,11.0,0.5789473684210527,bolig
Alex Ahrendtsen,Karin Nødgaard,Dansk Folkeparti,Dansk Folkeparti,68,35,35.0,1.0,bolig
Alex Ahrendtsen,Karina Adsbøl,Dansk Folkeparti,Danmarksdemokraterne,68,31,31.0,1.0,bolig
Alex Ahrendtsen,Karina Lorentzen Dehnhardt,Dansk Folkeparti,Socialistisk Folkeparti,68,30,17.0,0.5666666666666667,bolig
Alex Ahrendtsen,Karsten Lauritzen,Dansk Folkeparti,Venstre,68,38,29.0,0.7631578947368421,bolig
