source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Alex Ahrendtsen,Anders Samuelsen,Dansk Folkeparti,Liberal Alliance,68,24,13.0,0.5416666666666666,forsvar
Alex Ahrendtsen,Andreas Steenberg,Dansk Folkeparti,Radikale Venstre,68,35,21.0,0.6,forsvar
Alex Ahrendtsen,Anne Sina,Dansk Folkeparti,Socialdemokratiet,68,9,3.0,0.3333333333333333,forsvar
Alex Ahrendtsen,Annette Vilhelmsen,Dansk Folkeparti,Socialistisk Folkeparti,68,36,19.0,0.5277777777777778,forsvar
Alex Ahrendtsen,Anni Matthiesen,Dansk Folkeparti,Venstre,68,36,26.0,0.7222222222222222,forsvar
Alex Ahrendtsen,Astrid Krag,Dansk Folkeparti,Socialdemokratiet,68,23,12.0,0.5217391304347826,forsvar
Alex Ahrendtsen,Benny Engelbrecht,Dansk Folkeparti,Socialdemokratiet,68,48,23.0,0.4791666666666667,forsvar
Alex Ahrendtsen,Bertel Haarder,Dansk Folkeparti,Venstre,68,30,22.0,0.7333333333333333,forsvar
Alex Ahrendtsen,Bjarne Corydon,Dansk Folkeparti,Socialdemokratiet,68,5,3.0,0.6,forsvar
Alex Ahrendtsen,Brian Mikkelsen,Dansk Folkeparti,Det Konservative Folkeparti,68,26,19.0,0.7307692307692307,forsvar
Alex Ahrendtsen,Carsten Hansen,Dansk Folkeparti,Socialdemokratiet,68,31,14.0,0.45161290322580644,forsvar
Alex Ahrendtsen,Charlotte Dyremose,Dansk Folkeparti,Det Konservative Folkeparti,68,9,5.0,0.5555555555555556,forsvar
Alex Ahrendtsen,Christian Friis Bach,Dansk Folkeparti,Venstre,68,14,7.0,0.5,forsvar
Alex Ahrendtsen,Christian Juhl,Dansk Folkeparti,Enhedslisten,68,32,16.0,0.5,forsvar
Alex Ahrendtsen,Christian Langballe (udpeget af DF),Dansk Folkeparti,Dansk Folkeparti,68,38,38.0,1.0,forsvar
Alex Ahrendtsen,Christine Antorini,Dansk Folkeparti,Socialdemokratiet,68,22,10.0,0.45454545454545453,forsvar
Alex Ahrendtsen,Dennis Flydtkjær,Dansk Folkeparti,Danmarksdemokraterne,68,44,44.0,1.0,forsvar
Alex Ahrendtsen,Eigil Andersen,Dansk Folkeparti,Socialistisk Folkeparti,68,38,19.0,0.5,forsvar
Alex Ahrendtsen,Ellen Trane Nørby,Dansk Folkeparti,Venstre,68,24,19.0,0.7916666666666666,forsvar
Alex Ahrendtsen,Erling Bonnesen,Dansk Folkeparti,Venstre,68,38,28.0,0.7368421052631579,forsvar
Alex Ahrendtsen,Finn Sørensen,Dansk Folkeparti,Enhedslisten,68,38,21.0,0.5526315789473685,forsvar
Alex Ahrendtsen,Flemming Damgaard Larsen,Dansk Folkeparti,Venstre,68,47,33.0,0.7021276595744681,forsvar
Alex Ahrendtsen,Frank Aaen,Dansk Folkeparti,Enhedslisten,68,31,19.0,0.6129032258064516,forsvar
Alex Ahrendtsen,Hans Andersen,Dansk Folkeparti,Venstre,68,37,26.0,0.7027027027027027,forsvar
Alex Ahrendtsen,Hans Christian Schmidt,Dansk Folkeparti,Venstre,68,27,22.0,0.8148148148148148,forsvar
Alex Ahrendtsen,Hans Kristian Skibby,Dansk Folkeparti,Danmarksdemokraterne,68,44,44.0,1.0,forsvar
Alex Ahrendtsen,Helle Thorning-Schmidt,Dansk Folkeparti,Socialdemokratiet,68,2,0.0,0.0,forsvar
Alex Ahrendtsen,Henning Hyllested,Dansk Folkeparti,Enhedslisten,68,41,18.0,0.43902439024390244,forsvar
Alex Ahrendtsen,Henrik Sass Larsen,Dansk Folkeparti,Socialdemokratiet,68,21,10.0,0.47619047619047616,forsvar
Alex Ahrendtsen,Holger K. Nielsen,Dansk Folkeparti,Socialistisk Folkeparti,68,26,12.0,0.46153846153846156,forsvar
Alex Ahrendtsen,Ida Auken,Dansk Folkeparti,Socialdemokratiet,68,22,13.0,0.5909090909090909,forsvar
Alex Ahrendtsen,Jacob Jensen,Dansk Folkeparti,Venstre,68,11,8.0,0.7272727272727273,forsvar
Alex Ahrendtsen,Jakob Engel-Schmidt,Dansk Folkeparti,Moderaterne,68,12,7.0,0.5833333333333334,forsvar
Alex Ahrendtsen,Jan E. Jørgensen,Dansk Folkeparti,Venstre,68,35,25.0,0.7142857142857143,forsvar
Alex Ahrendtsen,Jan Johansen,Dansk Folkeparti,Socialdemokratiet,68,41,23.0,0.5609756097560976,forsvar
Alex Ahrendtsen,Jens Henrik Thulesen Dahl,Dansk Folkeparti,Danmarksdemokraterne,68,33,33.0,1.0,forsvar
Alex Ahrendtsen,Jeppe Mikkelsen,Dansk Folkeparti,Radikale Venstre,68,43,22.0,0.5116279069767442,forsvar
Alex Ahrendtsen,Jesper Petersen,Dansk Folkeparti,Socialdemokratiet,68,37,19.0,0.5135135135135135,forsvar
Alex Ahrendtsen,Joachim B. Olsen,Dansk Folkeparti,Liberal Alliance,68,26,16.0,0.6153846153846154,forsvar
Alex Ahrendtsen,Johanne Schmidt-Nielsen,Dansk Folkeparti,Enhedslisten,68,28,18.0,0.6428571428571429,forsvar
