source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Alex Ahrendtsen,Anders Samuelsen,Dansk Folkeparti,Liberal Alliance,68,9,6.0,0.6666666666666666,immigration
Alex Ahrendtsen,Andreas Steenberg,Dansk Folkeparti,Radikale Venstre,68,30,17.0,0.5666666666666667,immigration
Alex Ahrendtsen,Anne Sina,Dansk Folkeparti,Socialdemokratiet,68,19,8.0,0.42105263157894735,immigration
Alex Ahrendtsen,Annette Vilhelmsen,Dansk Folkeparti,Socialistisk Folkeparti,68,21,10.0,0.47619047619047616,immigration
Alex Ahrendtsen,Anni Matthiesen,Dansk Folkeparti,Venstre,68,25,18.0,0.72,immigration
Alex Ahrendtsen,Astrid Krag,Dansk Folkeparti,Socialdemokratiet,68,27,14.0,0.5185185185185185,immigration
Alex Ahrendtsen,Benny Engelbrecht,Dansk Folkeparti,Socialdemokratiet,68,33,16.0,0.48484848484848486,immigration
Alex Ahrendtsen,Bertel Haarder,Dansk Folkeparti,Venstre,68,21,14.0,0.6666666666666666,immigration
Alex Ahrendtsen,Bjarne Corydon,Dansk Folkeparti,Socialdemokratiet,68,2,1.0,0.5,immigration
Alex Ahrendtsen,Brian Mikkelsen,Dansk Folkeparti,Det Konservative Folkeparti,68,19,12.0,0.631578947368421,immigration
Alex Ahrendtsen,Carsten Hansen,Dansk Folkeparti,Socialdemokratiet,68,21,10.0,0.47619047619047616,immigration
Alex Ahrendtsen,Charlotte Dyremose,Dansk Folkeparti,Det Konservative Folkeparti,68,14,9.0,0.6428571428571429,immigration
Alex Ahrendtsen,Christian Friis Bach,Dansk Folkeparti,Venstre,68,14,8.0,0.5714285714285714,immigration
Alex Ahrendtsen,Christian Juhl,Dansk Folkeparti,Enhedslisten,68,27,12.0,0.4444444444444444,immigration
Alex Ahrendtsen,Christian Langballe (udpeget af DF),Dansk Folkeparti,Dansk Folkeparti,68,31,31.0,1.0,immigration
Alex Ahrendtsen,Christine Antorini,Dansk Folkeparti,Socialdemokratiet,68,7,5.0,0.7142857142857143,immigration
Alex Ahrendtsen,Dennis Flydtkjær,Dansk Folkeparti,Danmarksdemokraterne,68,28,28.0,1.0,immigration
Alex Ahrendtsen,Eigil Andersen,Dansk Folkeparti,Socialistisk Folkeparti,68,28,12.0,0.42857142857142855,immigration
Alex Ahrendtsen,Ellen Trane Nørby,Dansk Folkeparti,Venstre,68,18,10.0,0.5555555555555556,immigration
Alex Ahrendtsen,Erling Bonnesen,Dansk Folkeparti,Venstre,68,27,18.0,0.6666666666666666,immigration
Alex Ahrendtsen,Finn Sørensen,Dansk Folkeparti,Enhedslisten,68,28,14.0,0.5,immigration
Alex Ahrendtsen,Flemming Damgaard Larsen,Dansk Folkeparti,Venstre,68,37,25.0,0.6756756756756757,immigration
Alex Ahrendtsen,Frank Aaen,Dansk Folkeparti,Enhedslisten,68,21,12.0,0.5714285714285714,immigration
Alex Ahrendtsen,Hans Andersen,Dansk Folkeparti,Venstre,68,24,15.0,0.625,immigration
Alex Ahrendtsen,Hans Christian Schmidt,Dansk Folkeparti,Venstre,68,19,12.0,0.631578947368421,immigration
Alex Ahrendtsen,Hans Kristian Skibby,Dansk Folkeparti,Danmarksdemokraterne,68,33,33.0,1.0,immigration
Alex Ahrendtsen,Henning Hyllested,Dansk Folkeparti,Enhedslisten,68,27,14.0,0.5185185185185185,immigration
Alex Ahrendtsen,Henrik Sass Larsen,Dansk Folkeparti,Socialdemokratiet,68,22,11.0,0.5,immigration
Alex Ahrendtsen,Holger K. Nielsen,Dansk Folkeparti,Socialistisk Folkeparti,68,25,12.0,0.48,immigration
