source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Alex Ahrendtsen,Anders Samuelsen,Dansk Folkeparti,Liberal Alliance,68,31,20.0,0.6451612903225806,klima
Alex Ahrendtsen,Andreas Steenberg,Dansk Folkeparti,Radikale Venstre,68,75,38.0,0.5066666666666667,klima
Alex Ahrendtsen,Anne Baastrup,Dansk Folkeparti,Socialistisk Folkeparti,68,1,1.0,1.0,klima
Alex Ahrendtsen,Anne Sina,Dansk Folkeparti,Socialdemokratiet,68,22,12.0,0.5454545454545454,klima
Alex Ahrendtsen,Annette Lind,Dansk Folkeparti,Socialdemokratiet,68,1,1.0,1.0,klima
Alex Ahrendtsen,Annette Vilhelmsen,Dansk Folkeparti,Socialistisk Folkeparti,68,69,30.0,0.43478260869565216,klima
Alex Ahrendtsen,Anni Matthiesen,Dansk Folkeparti,Venstre,68,76,58.0,0.7631578947368421,klima
Alex Ahrendtsen,Astrid Krag,Dansk Folkeparti,Socialdemokratiet,68,63,32.0,0.5079365079365079,klima
Alex Ahrendtsen,Benny Engelbrecht,Dansk Folkeparti,Socialdemokratiet,68,85,44.0,0.5176470588235295,klima
Alex Ahrendtsen,Bent Bøgsted,Dansk Folkeparti,Danmarksdemokraterne,68,1,1.0,1.0,klima
Alex Ahrendtsen,Bertel Haarder,Dansk Folkeparti,Venstre,68,58,40.0,0.6896551724137931,klima
Alex Ahrendtsen,Bjarne Corydon,Dansk Folkeparti,Socialdemokratiet,68,10,2.0,0.2,klima
Alex Ahrendtsen,Brian Mikkelsen,Dansk Folkeparti,Det Konservative Folkeparti,68,64,43.0,0.671875,klima
Alex Ahrendtsen,Carsten Hansen,Dansk Folkeparti,Socialdemokratiet,68,51,25.0,0.49019607843137253,klima
Alex Ahrendtsen,Charlotte Dyremose,Dansk Folkeparti,Det Konservative Folkeparti,68,21,13.0,0.6190476190476191,klima
Alex Ahrendtsen,Christian Friis Bach,Dansk Folkeparti,Venstre,68,26,13.0,0.5,klima
Alex Ahrendtsen,Christian Juhl,Dansk Folkeparti,Enhedslisten,68,62,27.0,0.43548387096774194,klima
Alex Ahrendtsen,Christian Langballe (udpeget af DF),Dansk Folkeparti,Dansk Folkeparti,68,67,67.0,1.0,klima
Alex Ahrendtsen,Christine Antorini,Dansk Folkeparti,Socialdemokratiet,68,43,20.0,0.46511627906976744,klima
Alex Ahrendtsen,Dennis Flydtkjær,Dansk Folkeparti,Danmarksdemokraterne,68,77,76.0,0.987012987012987,klima
Alex Ahrendtsen,Eigil Andersen,Dansk Folkeparti,Socialistisk Folkeparti,68,73,40.0,0.547945205479452,klima
Alex Ahrendtsen,Ellen Trane Nørby,Dansk Folkeparti,Venstre,68,39,29.0,0.7435897435897436,klima
Alex Ahrendtsen,Erling Bonnesen,Dansk Folkeparti,Venstre,68,72,51.0,0.7083333333333334,klima
Alex Ahrendtsen,Fatma Øktem,Dansk Folkeparti,Venstre,68,1,1.0,1.0,klima
Alex Ahrendtsen,Finn Sørensen,Dansk Folkeparti,Enhedslisten,68,65,33.0,0.5076923076923077,klima
Alex Ahrendtsen,Flemming Damgaard Larsen,Dansk Folkeparti,Venstre,68,93,65.0,0.6989247311827957,klima
Alex Ahrendtsen,Frank Aaen,Dansk Folkeparti,Enhedslisten,68,50,24.0,0.48,klima
Alex Ahrendtsen,Hans Andersen,Dansk Folkeparti,Venstre,68,77,54.0,0.7012987012987013,klima
Alex Ahrendtsen,Hans Christian Schmidt,Dansk Folkeparti,Venstre,68,55,39.0,0.7090909090909091,klima
Alex Ahrendtsen,Hans Kristian Skibby,Dansk Folkeparti,Danmarksdemokraterne,68,88,88.0,1.0,klima
Alex Ahrendtsen,Helle Thorning-Schmidt,Dansk Folkeparti,Socialdemokratiet,68,3,0.0,0.0,klima
Alex Ahrendtsen,Henning Hyllested,Dansk Folkeparti,Enhedslisten,68,73,32.0,0.4383561643835616,klima
Alex Ahrendtsen,Henrik Sass Larsen,Dansk Folkeparti,Socialdemokratiet,68,33,16.0,0.48484848484848486,klima
Alex Ahrendtsen,Holger K. Nielsen,Dansk Folkeparti,Socialistisk Folkeparti,68,53,33.0,0.6226415094339622,klima
Alex Ahrendtsen,Ida Auken,Dansk Folkeparti,Socialdemokratiet,68,43,20.0,0.46511627906976744,klima
Alex Ahrendtsen,Inger Støjberg,Dansk Folkeparti,Danmarksdemokraterne,68,1,1.0,1.0,klima
Alex Ahrendtsen,Jacob Jensen,Dansk Folkeparti,Venstre,68,11,7.0,0.6363636363636364,klima
Alex Ahrendtsen,Jakob Ellemann-Jensen,Dansk Folkeparti,Venstre,68,1,1.0,1.0,klima
Alex Ahrendtsen,Jakob Engel-Schmidt,Dansk Folkeparti,Moderaterne,68,25,17.0,0.68,klima
Alex Ahrendtsen,Jan E. Jørgensen,Dansk Folkeparti,Venstre,68,77,59.0,0.7662337662337663,klima
Alex Ahrendtsen,Jan Johansen,Dansk Folkeparti,Socialdemokratiet,68,70,40.0,0.5714285714285714,klima
Alex Ahrendtsen,Jane Heitmann,Dansk Folkeparti,Venstre,68,1,1.0,1.0,klima
Alex Ahrendtsen,Jens Henrik Thulesen Dahl,Dansk Folkeparti,Danmarksdemokraterne,68,74,74.0,1.0,klima
Alex Ahrendtsen,Jeppe Mikkelsen,Dansk Folkeparti,Radikale Venstre,68,79,40.0,0.5063291139240507,klima
Alex Ahrendtsen,Jesper Petersen,Dansk Folkeparti,Socialdemokratiet,68,81,44.0,0.5432098765432098,klima
Alex Ahrendtsen,Joachim B. Olsen,Dansk Folkeparti,Liberal Alliance,68,61,39.0,0.639344262295082,klima
Alex Ahrendtsen,Johanne Schmidt-Nielsen,Dansk Folkeparti,Enhedslisten,68,59,28.0,0.4745762711864407,klima
Alex Ahrendtsen,John Dyrby Paulsen,Dansk Folkeparti,Socialdemokratiet,68,63,34.0,0.5396825396825397,klima
Alex Ahrendtsen,Jonas Dahl,Dansk Folkeparti,Socialistisk Folkeparti,68,1,1.0,1.0,klima
Alex Ahrendtsen,Julie Skovsby,Dansk Folkeparti,Socialdemokratiet,68,1,1.0,1.0,klima
Alex Ahrendtsen,Karen Ellemann,Dansk Folkeparti,Venstre,68,68,51.0,0.75,klima
Alex Ahrendtsen,Karen Hækkerup (udpeget af S),Dansk Folkeparti,Socialdemokratiet,68,30,12.0,0.4,klima
Alex Ahrendtsen,Karin Nødgaard,Dansk Folkeparti,Dansk Folkeparti,68,63,63.0,1.0,klima
Alex Ahrendtsen,Karina Adsbøl,Dansk Folkeparti,Danmarksdemokraterne,68,75,75.0,1.0,klima
Alex Ahrendtsen,Karina Lorentzen Dehnhardt,Dansk Folkeparti,Socialistisk Folkeparti,68,58,30.0,0.5172413793103449,klima
Alex Ahrendtsen,Karsten Lauritzen,Dansk Folkeparti,Venstre,68,68,47.0,0.6911764705882353,klima
Alex Ahrendtsen,Karsten Nonbo,Dansk Folkeparti,Venstre,68,1,1.0,1.0,klima
Alex Ahrendtsen,Kim Andersen (udpeget af V),Dansk Folkeparti,Venstre,68,63,41.0,0.6507936507936508,klima
Alex Ahrendtsen,Kim Christiansen,Dansk Folkeparti,Dansk Folkeparti,68,53,53.0,1.0,klima
Alex Ahrendtsen,Kristian Thulesen Dahl,Dansk Folkeparti,Uden for folketingsgrupperne,68,13,13.0,1.0,klima
Alex Ahrendtsen,Lars Barfoed,Dansk Folkeparti,Det Konservative Folkeparti,68,47,35.0,0.7446808510638298,klima
Alex Ahrendtsen,Lars Dohn,Dansk Folkeparti,Enhedslisten,68,69,29.0,0.42028985507246375,klima
Alex Ahrendtsen,Lars Løkke Rasmussen,Dansk Folkeparti,Moderaterne,68,4,3.0,0.75,klima
Alex Ahrendtsen,Lene Espersen,Dansk Folkeparti,Det Konservative Folkeparti,68,30,20.0,0.6666666666666666,klima
Alex Ahrendtsen,Lennart Damsbo-Andersen,Dansk Folkeparti,Socialdemokratiet,68,1,1.0,1.0,klima
Alex Ahrendtsen,Liselott Blixt,Dansk Folkeparti,Uden for folketingsgrupperne,68,68,68.0,1.0,klima
Alex Ahrendtsen,Liv Holm Andersen,Dansk Folkeparti,Radikale Venstre,68,88,45.0,0.5113636363636364,klima
Alex Ahrendtsen,Lone Loklindt,Dansk Folkeparti,Radikale Venstre,68,80,38.0,0.475,klima
Alex Ahrendtsen,Lotte Rod,Dansk Folkeparti,Radikale Venstre,68,77,42.0,0.5454545454545454,klima
Alex Ahrendtsen,Louise Elholm,Dansk Folkeparti,Venstre,68,68,46.0,0.6764705882352942,klima
Alex Ahrendtsen,Mads Rørvig,Dansk Folkeparti,Venstre,68,66,48.0,0.7272727272727273,klima
Alex Ahrendtsen,Mai Mercado,Dansk Folkeparti,Det Konservative Folkeparti,68,1,1.0,1.0,klima
Alex Ahrendtsen,Margrethe Vestager,Dansk Folkeparti,Radikale Venstre,68,25,15.0,0.6,klima
