source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Alex Ahrendtsen,Anders Samuelsen,Dansk Folkeparti,Liberal Alliance,68,68,39.0,0.5735294117647058,retspolitik
Alex Ahrendtsen,Andreas Steenberg,Dansk Folkeparti,Radikale Venstre,68,115,58.0,0.5043478260869565,retspolitik
Alex Ahrendtsen,Anne Sina,Dansk Folkeparti,Socialdemokratiet,68,29,16.0,0.5517241379310345,retspolitik
Alex Ahrendtsen,Annette Vilhelmsen,Dansk Folkeparti,Socialistisk Folkeparti,68,73,43.0,0.589041095890411,retspolitik
Alex Ahrendtsen,Anni Matthiesen,Dansk Folkeparti,Venstre,68,107,74.0,0.6915887850467289,retspolitik
Alex Ahrendtsen,Astrid Krag,Dansk Folkeparti,Socialdemokratiet,68,57,30.0,0.5263157894736842,retspolitik
Alex Ahrendtsen,Benny Engelbrecht,Dansk Folkeparti,Socialdemokratiet,68,131,65.0,0.4961832061068702,retspolitik
Alex Ahrendtsen,Bertel Haarder,Dansk Folkeparti,Venstre,68,65,53.0,0.8153846153846154,retspolitik
Alex Ahrendtsen,Bjarne Corydon,Dansk Folkeparti,Socialdemokratiet,68,8,3.0,0.375,retspolitik
Alex Ahrendtsen,Brian Mikkelsen,Dansk Folkeparti,Det Konservative Folkeparti,68,90,63.0,0.7,retspolitik
Alex Ahrendtsen,Carsten Hansen,Dansk Folkeparti,Socialdemokratiet,68,102,49.0,0.4803921568627451,retspolitik
Alex Ahrendtsen,Charlotte Dyremose,Dansk Folkeparti,Det Konservative Folkeparti,68,25,17.0,0.68,retspolitik
Alex Ahrendtsen,Christian Friis Bach,Dansk Folkeparti,Venstre,68,22,11.0,0.5,retspolitik
Alex Ahrendtsen,Christian Juhl,Dansk Folkeparti,Enhedslisten,68,108,55.0,0.5092592592592593,retspolitik
Alex Ahrendtsen,Christian Langballe (udpeget af DF),Dansk Folkeparti,Dansk Folkeparti,68,114,112.0,0.9824561403508771,retspolitik
Alex Ahrendtsen,Christine Antorini,Dansk Folkeparti,Socialdemokratiet,68,42,28.0,0.6666666666666666,retspolitik
Alex Ahrendtsen,Dennis Flydtkjær,Dansk Folkeparti,Danmarksdemokraterne,68,122,121.0,0.9918032786885246,retspolitik
Alex Ahrendtsen,Eigil Andersen,Dansk Folkeparti,Socialistisk Folkeparti,68,114,56.0,0.49122807017543857,retspolitik
Alex Ahrendtsen,Ellen Trane Nørby,Dansk Folkeparti,Venstre,68,43,36.0,0.8372093023255814,retspolitik
Alex Ahrendtsen,Erling Bonnesen,Dansk Folkeparti,Venstre,68,73,57.0,0.7808219178082192,retspolitik
Alex Ahrendtsen,Finn Sørensen,Dansk Folkeparti,Enhedslisten,68,115,55.0,0.4782608695652174,retspolitik
Alex Ahrendtsen,Flemming Damgaard Larsen,Dansk Folkeparti,Venstre,68,136,96.0,0.7058823529411765,retspolitik
Alex Ahrendtsen,Frank Aaen,Dansk Folkeparti,Enhedslisten,68,86,40.0,0.46511627906976744,retspolitik
Alex Ahrendtsen,Hans Andersen,Dansk Folkeparti,Venstre,68,114,79.0,0.6929824561403509,retspolitik
Alex Ahrendtsen,Hans Christian Schmidt,Dansk Folkeparti,Venstre,68,54,46.0,0.8518518518518519,retspolitik
Alex Ahrendtsen,Hans Kristian Skibby,Dansk Folkeparti,Danmarksdemokraterne,68,126,126.0,1.0,retspolitik
Alex Ahrendtsen,Helle Thorning-Schmidt,Dansk Folkeparti,Socialdemokratiet,68,2,0.0,0.0,retspolitik
Alex Ahrendtsen,Henning Hyllested,Dansk Folkeparti,Enhedslisten,68,72,34.0,0.4722222222222222,retspolitik
Alex Ahrendtsen,Henrik Sass Larsen,Dansk Folkeparti,Socialdemokratiet,68,40,28.0,0.7,retspolitik
