source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Aage Frandsen,Aase D. Madsen (udpeget af DF),Not able to assign,Dansk Folkeparti,65,7,3.0,0.42857142857142855,skat
Aage Frandsen,Anders Møller,Not able to assign,Uden for folketingsgrupperne,65,1,0.0,0.0,skat
Aage Frandsen,Anita Knakkergaard,Not able to assign,Dansk Folkeparti,65,18,9.0,0.5,skat
Aage Frandsen,Anne Baastrup,Not able to assign,Socialistisk Folkeparti,65,22,22.0,1.0,skat
Aage Frandsen,Anne Grete Holmsgaard (udpeget af SF),Not able to assign,Socialistisk Folkeparti,65,6,6.0,1.0,skat
Aage Frandsen,Anne-Marie Meldgaard,Not able to assign,Socialdemokratiet,65,20,18.0,0.9,skat
Aage Frandsen,Arne Toft,Not able to assign,Socialdemokratiet,65,21,18.0,0.8571428571428571,skat
Aage Frandsen,Bendt Bendtsen,Not able to assign,Det Konservative Folkeparti,65,2,1.0,0.5,skat
Aage Frandsen,Bent Bøgsted,Not able to assign,Danmarksdemokraterne,65,24,11.0,0.4583333333333333,skat
Aage Frandsen,Birthe Rønn Hornbech,Not able to assign,Venstre,65,23,9.0,0.391304347826087,skat
Aage Frandsen,Birthe Skaarup (udpeget af DF),Not able to assign,Dansk Folkeparti,65,9,4.0,0.4444444444444444,skat
Aage Frandsen,Bjarne Laustsen,Not able to assign,Socialdemokratiet,65,19,16.0,0.8421052631578947,skat
Aage Frandsen,Bodil Kornbek,Not able to assign,Kristeligt Folkeparti,65,9,5.0,0.5555555555555556,skat
Aage Frandsen,Brian Mikkelsen,Not able to assign,Det Konservative Folkeparti,65,13,6.0,0.46153846153846156,skat
Aage Frandsen,Carina Christensen,Not able to assign,Det Konservative Folkeparti,65,17,6.0,0.35294117647058826,skat
Aage Frandsen,Carsten Bo Jensen,Not able to assign,Socialdemokratiet,65,6,5.0,0.8333333333333334,skat
Aage Frandsen,Carsten Hansen,Not able to assign,Not able to assign,65,19,16.0,0.8421052631578947,skat
Aage Frandsen,Charlotte Antonsen (udpeget af V),Not able to assign,Venstre,65,23,10.0,0.43478260869565216,skat
