source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Alex Ahrendtsen,Anders Samuelsen,Dansk Folkeparti,Liberal Alliance,68,75,40.0,0.5333333333333333,social
Alex Ahrendtsen,Andreas Steenberg,Dansk Folkeparti,Radikale Venstre,68,114,61.0,0.5350877192982456,social
Alex Ahrendtsen,Anne Sina,Dansk Folkeparti,Socialdemokratiet,68,43,26.0,0.6046511627906976,social
Alex Ahrendtsen,Annette Vilhelmsen,Dansk Folkeparti,Socialistisk Folkeparti,68,74,42.0,0.5675675675675675,social
Alex Ahrendtsen,Anni Matthiesen,Dansk Folkeparti,Venstre,68,101,68.0,0.6732673267326733,social
Alex Ahrendtsen,Astrid Krag,Dansk Folkeparti,Socialdemokratiet,68,64,41.0,0.640625,social
Alex Ahrendtsen,Benny Engelbrecht,Dansk Folkeparti,Socialdemokratiet,68,127,68.0,0.5354330708661418,social
Alex Ahrendtsen,Bertel Haarder,Dansk Folkeparti,Venstre,68,53,41.0,0.7735849056603774,social
Alex Ahrendtsen,Bjarne Corydon,Dansk Folkeparti,Socialdemokratiet,68,8,5.0,0.625,social
Alex Ahrendtsen,Brian Mikkelsen,Dansk Folkeparti,Det Konservative Folkeparti,68,85,53.0,0.6235294117647059,social
Alex Ahrendtsen,Carsten Hansen,Dansk Folkeparti,Socialdemokratiet,68,91,45.0,0.4945054945054945,social
Alex Ahrendtsen,Charlotte Dyremose,Dansk Folkeparti,Det Konservative Folkeparti,68,31,21.0,0.6774193548387096,social
Alex Ahrendtsen,Christian Friis Bach,Dansk Folkeparti,Venstre,68,26,14.0,0.5384615384615384,social
Alex Ahrendtsen,Christian Juhl,Dansk Folkeparti,Enhedslisten,68,108,51.0,0.4722222222222222,social
Alex Ahrendtsen,Christian Langballe (udpeget af DF),Dansk Folkeparti,Dansk Folkeparti,68,111,109.0,0.9819819819819819,social
Alex Ahrendtsen,Christine Antorini,Dansk Folkeparti,Socialdemokratiet,68,48,29.0,0.6041666666666666,social
Alex Ahrendtsen,Dennis Flydtkjær,Dansk Folkeparti,Danmarksdemokraterne,68,120,120.0,1.0,social
Alex Ahrendtsen,Eigil Andersen,Dansk Folkeparti,Socialistisk Folkeparti,68,111,58.0,0.5225225225225225,social
Alex Ahrendtsen,Ellen Trane Nørby,Dansk Folkeparti,Venstre,68,41,35.0,0.8536585365853658,social
Alex Ahrendtsen,Erling Bonnesen,Dansk Folkeparti,Venstre,68,78,60.0,0.7692307692307693,social
Alex Ahrendtsen,Finn Sørensen,Dansk Folkeparti,Enhedslisten,68,114,55.0,0.4824561403508772,social
Alex Ahrendtsen,Flemming Damgaard Larsen,Dansk Folkeparti,Venstre,68,136,93.0,0.6838235294117647,social
Alex Ahrendtsen,Frank Aaen,Dansk Folkeparti,Enhedslisten,68,98,45.0,0.45918367346938777,social
Alex Ahrendtsen,Hans Andersen,Dansk Folkeparti,Venstre,68,101,68.0,0.6732673267326733,social
Alex Ahrendtsen,Hans Christian Schmidt,Dansk Folkeparti,Venstre,68,59,48.0,0.8135593220338984,social
Alex Ahrendtsen,Hans Kristian Skibby,Dansk Folkeparti,Danmarksdemokraterne,68,129,129.0,1.0,social
Alex Ahrendtsen,Helle Thorning-Schmidt,Dansk Folkeparti,Socialdemokratiet,68,2,0.0,0.0,social
Alex Ahrendtsen,Henning Hyllested,Dansk Folkeparti,Enhedslisten,68,81,36.0,0.4444444444444444,social
Alex Ahrendtsen,Henrik Sass Larsen,Dansk Folkeparti,Socialdemokratiet,68,55,37.0,0.6727272727272727,social
Alex Ahrendtsen,Holger K. Nielsen,Dansk Folkeparti,Socialistisk Folkeparti,68,114,59.0,0.5175438596491229,social
Alex Ahrendtsen,Ida Auken,Dansk Folkeparti,Socialdemokratiet,68,47,28.0,0.5957446808510638,social
Alex Ahrendtsen,Jacob Jensen,Dansk Folkeparti,Venstre,68,22,21.0,0.9545454545454546,social
Alex Ahrendtsen,Jakob Engel-Schmidt,Dansk Folkeparti,Moderaterne,68,37,26.0,0.7027027027027027,social
Alex Ahrendtsen,Jan E. Jørgensen,Dansk Folkeparti,Venstre,68,123,84.0,0.6829268292682927,social
Alex Ahrendtsen,Jan Johansen,Dansk Folkeparti,Socialdemokratiet,68,118,66.0,0.559322033898305,social
Alex Ahrendtsen,Jens Henrik Thulesen Dahl,Dansk Folkeparti,Danmarksdemokraterne,68,106,106.0,1.0,social
Alex Ahrendtsen,Jeppe Mikkelsen,Dansk Folkeparti,Radikale Venstre,68,120,63.0,0.525,social
Alex Ahrendtsen,Jesper Petersen,Dansk Folkeparti,Socialdemokratiet,68,119,66.0,0.5546218487394958,social
Alex Ahrendtsen,Joachim B. Olsen,Dansk Folkeparti,Liberal Alliance,68,67,46.0,0.6865671641791045,social
Alex Ahrendtsen,Johanne Schmidt-Nielsen,Dansk Folkeparti,Enhedslisten,68,100,47.0,0.47,social
Alex Ahrendtsen,John Dyrby Paulsen,Dansk Folkeparti,Socialdemokratiet,68,64,40.0,0.625,social
Alex Ahrendtsen,Karen Ellemann,Dansk Folkeparti,Venstre,68,114,76.0,0.6666666666666666,social
Alex Ahrendtsen,Karen Hækkerup (udpeget af S),Dansk Folkeparti,Socialdemokratiet,68,49,27.0,0.5510204081632653,social
Alex Ahrendtsen,Karin Nødgaard,Dansk Folkeparti,Dansk Folkeparti,68,68,68.0,1.0,social
Alex Ahrendtsen,Karina Adsbøl,Dansk Folkeparti,Danmarksdemokraterne,68,106,106.0,1.0,social
Alex Ahrendtsen,Karina Lorentzen Dehnhardt,Dansk Folkeparti,Socialistisk Folkeparti,68,99,45.0,0.45454545454545453,social
Alex Ahrendtsen,Karsten Lauritzen,Dansk Folkeparti,Venstre,68,71,54.0,0.7605633802816901,social
Alex Ahrendtsen,Kim Andersen (udpeget af V),Dansk Folkeparti,Venstre,68,74,57.0,0.7702702702702703,social
