source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Alex Ahrendtsen,Anders Samuelsen,Dansk Folkeparti,Liberal Alliance,68,16,10.0,0.625,sundhed
Alex Ahrendtsen,Andreas Steenberg,Dansk Folkeparti,Radikale Venstre,68,38,25.0,0.6578947368421053,sundhed
Alex Ahrendtsen,Anne Sina,Dansk Folkeparti,Socialdemokratiet,68,17,11.0,0.6470588235294118,sundhed
Alex Ahrendtsen,Annette Vilhelmsen,Dansk Folkeparti,Socialistisk Folkeparti,68,34,22.0,0.6470588235294118,sundhed
Alex Ahrendtsen,Anni Matthiesen,Dansk Folkeparti,Venstre,68,39,28.0,0.717948717948718,sundhed
Alex Ahrendtsen,Astrid Krag,Dansk Folkeparti,Socialdemokratiet,68,40,23.0,0.575,sundhed
Alex Ahrendtsen,Benny Engelbrecht,Dansk Folkeparti,Socialdemokratiet,68,36,18.0,0.5,sundhed
Alex Ahrendtsen,Bertel Haarder,Dansk Folkeparti,Venstre,68,20,12.0,0.6,sundhed
Alex Ahrendtsen,Bjarne Corydon,Dansk Folkeparti,Socialdemokratiet,68,3,1.0,0.3333333333333333,sundhed
Alex Ahrendtsen,Brian Mikkelsen,Dansk Folkeparti,Det Konservative Folkeparti,68,23,15.0,0.6521739130434783,sundhed
Alex Ahrendtsen,Carsten Hansen,Dansk Folkeparti,Socialdemokratiet,68,30,19.0,0.6333333333333333,sundhed
Alex Ahrendtsen,Charlotte Dyremose,Dansk Folkeparti,Det Konservative Folkeparti,68,14,8.0,0.5714285714285714,sundhed
Alex Ahrendtsen,Christian Friis Bach,Dansk Folkeparti,Venstre,68,10,3.0,0.3,sundhed
Alex Ahrendtsen,Christian Juhl,Dansk Folkeparti,Enhedslisten,68,39,22.0,0.5641025641025641,sundhed
Alex Ahrendtsen,Christian Langballe (udpeget af DF),Dansk Folkeparti,Dansk Folkeparti,68,42,42.0,1.0,sundhed
Alex Ahrendtsen,Christine Antorini,Dansk Folkeparti,Socialdemokratiet,68,13,6.0,0.46153846153846156,sundhed
Alex Ahrendtsen,Dennis Flydtkjær,Dansk Folkeparti,Danmarksdemokraterne,68,41,40.0,0.975609756097561,sundhed
Alex Ahrendtsen,Eigil Andersen,Dansk Folkeparti,Socialistisk Folkeparti,68,38,24.0,0.631578947368421,sundhed
