source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Alex Ahrendtsen,Anders Samuelsen,Dansk Folkeparti,Liberal Alliance,68,19,11.0,0.5789473684210527,transport
Alex Ahrendtsen,Andreas Steenberg,Dansk Folkeparti,Radikale Venstre,68,49,29.0,0.5918367346938775,transport
Alex Ahrendtsen,Anne Sina,Dansk Folkeparti,Socialdemokratiet,68,17,7.0,0.4117647058823529,transport
Alex Ahrendtsen,Annette Vilhelmsen,Dansk Folkeparti,Socialistisk Folkeparti,68,55,32.0,0.5818181818181818,transport
Alex Ahrendtsen,Anni Matthiesen,Dansk Folkeparti,Venstre,68,49,33.0,0.673469387755102,transport
Alex Ahrendtsen,Astrid Krag,Dansk Folkeparti,Socialdemokratiet,68,41,23.0,0.5609756097560976,transport
Alex Ahrendtsen,Benny Engelbrecht,Dansk Folkeparti,Socialdemokratiet,68,63,35.0,0.5555555555555556,transport
Alex Ahrendtsen,Bertel Haarder,Dansk Folkeparti,Venstre,68,42,27.0,0.6428571428571429,transport
Alex Ahrendtsen,Bjarne Corydon,Dansk Folkeparti,Socialdemokratiet,68,6,4.0,0.6666666666666666,transport
Alex Ahrendtsen,Brian Mikkelsen,Dansk Folkeparti,Det Konservative Folkeparti,68,53,37.0,0.6981132075471698,transport
Alex Ahrendtsen,Carsten Hansen,Dansk Folkeparti,Socialdemokratiet,68,40,23.0,0.575,transport
Alex Ahrendtsen,Charlotte Dyremose,Dansk Folkeparti,Det Konservative Folkeparti,68,17,12.0,0.7058823529411765,transport
Alex Ahrendtsen,Christian Friis Bach,Dansk Folkeparti,Venstre,68,22,12.0,0.5454545454545454,transport
Alex Ahrendtsen,Christian Juhl,Dansk Folkeparti,Enhedslisten,68,55,25.0,0.45454545454545453,transport
Alex Ahrendtsen,Christian Langballe (udpeget af DF),Dansk Folkeparti,Dansk Folkeparti,68,48,48.0,1.0,transport
Alex Ahrendtsen,Christine Antorini,Dansk Folkeparti,Socialdemokratiet,68,34,16.0,0.47058823529411764,transport
Alex Ahrendtsen,Dennis Flydtkjær,Dansk Folkeparti,Danmarksdemokraterne,68,66,65.0,0.9848484848484849,transport
Alex Ahrendtsen,Eigil Andersen,Dansk Folkeparti,Socialistisk Folkeparti,68,51,29.0,0.5686274509803921,transport
Alex Ahrendtsen,Ellen Trane Nørby,Dansk Folkeparti,Venstre,68,31,24.0,0.7741935483870968,transport
Alex Ahrendtsen,Erling Bonnesen,Dansk Folkeparti,Venstre,68,49,34.0,0.6938775510204082,transport
Alex Ahrendtsen,Finn Sørensen,Dansk Folkeparti,Enhedslisten,68,49,25.0,0.5102040816326531,transport
Alex Ahrendtsen,Flemming Damgaard Larsen,Dansk Folkeparti,Venstre,68,64,45.0,0.703125,transport
Alex Ahrendtsen,Frank Aaen,Dansk Folkeparti,Enhedslisten,68,36,17.0,0.4722222222222222,transport
Alex Ahrendtsen,Hans Andersen,Dansk Folkeparti,Venstre,68,57,40.0,0.7017543859649122,transport
Alex Ahrendtsen,Hans Christian Schmidt,Dansk Folkeparti,Venstre,68,34,24.0,0.7058823529411765,transport
Alex Ahrendtsen,Hans Kristian Skibby,Dansk Folkeparti,Danmarksdemokraterne,68,62,62.0,1.0,transport
Alex Ahrendtsen,Helle Thorning-Schmidt,Dansk Folkeparti,Socialdemokratiet,68,5,2.0,0.4,transport
Alex Ahrendtsen,Henning Hyllested,Dansk Folkeparti,Enhedslisten,68,48,21.0,0.4375,transport
Alex Ahrendtsen,Henrik Sass Larsen,Dansk Folkeparti,Socialdemokratiet,68,21,11.0,0.5238095238095238,transport
Alex Ahrendtsen,Holger K. Nielsen,Dansk Folkeparti,Socialistisk Folkeparti,68,39,19.0,0.48717948717948717,transport
Alex Ahrendtsen,Ida Auken,Dansk Folkeparti,Socialdemokratiet,68,25,18.0,0.72,transport
Alex Ahrendtsen,Jacob Jensen,Dansk Folkeparti,Venstre,68,13,10.0,0.7692307692307693,transport
Alex Ahrendtsen,Jakob Engel-Schmidt,Dansk Folkeparti,Moderaterne,68,24,15.0,0.625,transport
Alex Ahrendtsen,Jan E. Jørgensen,Dansk Folkeparti,Venstre,68,63,45.0,0.7142857142857143,transport
Alex Ahrendtsen,Jan Johansen,Dansk Folkeparti,Socialdemokratiet,68,48,28.0,0.5833333333333334,transport
Alex Ahrendtsen,Jens Henrik Thulesen Dahl,Dansk Folkeparti,Danmarksdemokraterne,68,53,53.0,1.0,transport
Alex Ahrendtsen,Jeppe Mikkelsen,Dansk Folkeparti,Radikale Venstre,68,58,34.0,0.5862068965517241,transport
Alex Ahrendtsen,Jesper Petersen,Dansk Folkeparti,Socialdemokratiet,68,48,23.0,0.4791666666666667,transport
Alex Ahrendtsen,Joachim B. Olsen,Dansk Folkeparti,Liberal Alliance,68,45,25.0,0.5555555555555556,transport
Alex Ahrendtsen,Johanne Schmidt-Nielsen,Dansk Folkeparti,Enhedslisten,68,38,15.0,0.39473684210526316,transport
Alex Ahrendtsen,John Dyrby Paulsen,Dansk Folkeparti,Socialdemokratiet,68,34,19.0,0.5588235294117647,transport
Alex Ahrendtsen,Karen Ellemann,Dansk Folkeparti,Venstre,68,51,33.0,0.6470588235294118,transport
Alex Ahrendtsen,Karen Hækkerup (udpeget af S),Dansk Folkeparti,Socialdemokratiet,68,23,12.0,0.5217391304347826,transport
Alex Ahrendtsen,Karin Nødgaard,Dansk Folkeparti,Dansk Folkeparti,68,53,53.0,1.0,transport
Alex Ahrendtsen,Karina Adsbøl,Dansk Folkeparti,Danmarksdemokraterne,68,52,52.0,1.0,transport
Alex Ahrendtsen,Karina Lorentzen Dehnhardt,Dansk Folkeparti,Socialistisk Folkeparti,68,38,21.0,0.5526315789473685,transport
Alex Ahrendtsen,Karsten Lauritzen,Dansk Folkeparti,Venstre,68,51,37.0,0.7254901960784313,transport
Alex Ahrendtsen,Kim Andersen (udpeget af V),Dansk Folkeparti,Venstre,68,50,34.0,0.68,transport
Alex Ahrendtsen,Kim Christiansen,Dansk Folkeparti,Dansk Folkeparti,68,33,33.0,1.0,transport
Alex Ahrendtsen,Kristian Thulesen Dahl,Dansk Folkeparti,Uden for folketingsgrupperne,68,10,10.0,1.0,transport
Alex Ahrendtsen,Lars Barfoed,Dansk Folkeparti,Det Konservative Folkeparti,68,36,26.0,0.7222222222222222,transport
Alex Ahrendtsen,Lars Dohn,Dansk Folkeparti,Enhedslisten,68,53,23.0,0.4339622641509434,transport
Alex Ahrendtsen,Lars Løkke Rasmussen,Dansk Folkeparti,Moderaterne,68,1,1.0,1.0,transport
Alex Ahrendtsen,Lene Espersen,Dansk Folkeparti,Det Konservative Folkeparti,68,20,17.0,0.85,transport
Alex Ahrendtsen,Liselott Blixt,Dansk Folkeparti,Uden for folketingsgrupperne,68,45,45.0,1.0,transport
Alex Ahrendtsen,Liv Holm Andersen,Dansk Folkeparti,Radikale Venstre,68,63,37.0,0.5873015873015873,transport
Alex Ahrendtsen,Lone Loklindt,Dansk Folkeparti,Radikale Venstre,68,60,33.0,0.55,transport
Alex Ahrendtsen,Lotte Rod,Dansk Folkeparti,Radikale Venstre,68,58,33.0,0.5689655172413793,transport
Alex Ahrendtsen,Louise Elholm,Dansk Folkeparti,Venstre,68,60,40.0,0.6666666666666666,transport
Alex Ahrendtsen,Mads Rørvig,Dansk Folkeparti,Venstre,68,47,32.0,0.6808510638297872,transport
Alex Ahrendtsen,Margrethe Vestager,Dansk Folkeparti,Radikale Venstre,68,19,10.0,0.5263157894736842,transport
Alex Ahrendtsen,Marianne Jelved,Dansk Folkeparti,Radikale Venstre,68,39,21.0,0.5384615384615384,transport
Alex Ahrendtsen,Marie Krarup,Dansk Folkeparti,Uden for folketingsgrupperne,68,46,46.0,1.0,transport
Alex Ahrendtsen,Marlene Borst Hansen,Dansk Folkeparti,Radikale Venstre,68,40,24.0,0.6,transport
Alex Ahrendtsen,Martin Geertsen,Dansk Folkeparti,Venstre,68,50,35.0,0.7,transport
Alex Ahrendtsen,Martin Henriksen (udpeget af DF),Dansk Folkeparti,Dansk Folkeparti,68,18,18.0,1.0,transport
Alex Ahrendtsen,Merete Riisager,Dansk Folkeparti,Liberal Alliance,68,35,15.0,0.42857142857142855,transport
Alex Ahrendtsen,Mette Bock,Dansk Folkeparti,Liberal Alliance,68,47,26.0,0.5531914893617021,transport
Alex Ahrendtsen,Mette Frederiksen,Dansk Folkeparti,Socialdemokratiet,68,44,25.0,0.5681818181818182,transport
Alex Ahrendtsen,Mette Reissmann,Dansk Folkeparti,Socialdemokratiet,68,46,26.0,0.5652173913043478,transport
Alex Ahrendtsen,Mike Legarth,Dansk Folkeparti,Det Konservative Folkeparti,68,48,39.0,0.8125,transport
Alex Ahrendtsen,Mogens Jensen,Dansk Folkeparti,Socialdemokratiet,68,25,11.0,0.44,transport
Alex Ahrendtsen,Morten Marinus,Dansk Folkeparti,Dansk Folkeparti,68,44,44.0,1.0,transport
Alex Ahrendtsen,Morten Østergaard,Dansk Folkeparti,Radikale Venstre,68,14,6.0,0.42857142857142855,transport
Alex Ahrendtsen,Nick Hækkerup,Dansk Folkeparti,Socialdemokratiet,68,9,5.0,0.5555555555555556,transport
Alex Ahrendtsen,Nicolai Wammen,Dansk Folkeparti,Socialdemokratiet,68,6,3.0,0.5,transport
Alex Ahrendtsen,Nikolaj Villumsen,Dansk Folkeparti,Enhedslisten,68,39,20.0,0.5128205128205128,transport
Alex Ahrendtsen,Ole Birk Olesen,Dansk Folkeparti,Liberal Alliance,68,47,26.0,0.5531914893617021,transport
Alex Ahrendtsen,Per Clausen,Dansk Folkeparti,Enhedslisten,68,43,23.0,0.5348837209302325,transport
Alex Ahrendtsen,Per Stig Møller,Dansk Folkeparti,Det Konservative Folkeparti,68,29,16.0,0.5517241379310345,transport
Alex Ahrendtsen,Pernille Rosenkrantz-Theil,Dansk Folkeparti,Socialdemokratiet,68,33,19.0,0.5757575757575758,transport
Alex Ahrendtsen,Pernille Skipper,Dansk Folkeparti,Enhedslisten,68,35,14.0,0.4,transport
Alex Ahrendtsen,Peter Christensen,Dansk Folkeparti,Venstre,68,20,11.0,0.55,transport
Alex Ahrendtsen,Peter Skaarup,Dansk Folkeparti,Danmarksdemokraterne,68,14,14.0,1.0,transport
Alex Ahrendtsen,Pia Olsen Dyhr,Dansk Folkeparti,Socialistisk Folkeparti,68,32,15.0,0.46875,transport
Alex Ahrendtsen,Preben Bang Henriksen,Dansk Folkeparti,Venstre,68,45,33.0,0.7333333333333333,transport
Alex Ahrendtsen,Rasmus Helveg Petersen,Dansk Folkeparti,Radikale Venstre,68,41,25.0,0.6097560975609756,transport
Alex Ahrendtsen,René Christensen,Dansk Folkeparti,Dansk Folkeparti,68,33,33.0,1.0,transport
Alex Ahrendtsen,Rosa Lund,Dansk Folkeparti,Enhedslisten,68,39,21.0,0.5384615384615384,transport
Alex Ahrendtsen,Sara Olsvig,Dansk Folkeparti,Inuit Ataqatigiit,68,1,0.0,0.0,transport
Alex Ahrendtsen,Simon Emil Ammitzbøll-Bille,Dansk Folkeparti,Uden for folketingsgrupperne,68,32,18.0,0.5625,transport
Alex Ahrendtsen,Sofie Carsten Nielsen,Dansk Folkeparti,Radikale Venstre,68,34,19.0,0.5588235294117647,transport
Alex Ahrendtsen,Sophie Løhde,Dansk Folkeparti,Venstre,68,39,31.0,0.7948717948717948,transport
Alex Ahrendtsen,Steen Gade,Dansk Folkeparti,Socialistisk Folkeparti,68,54,26.0,0.48148148148148145,transport
Alex Ahrendtsen,Stine Brix,Dansk Folkeparti,Enhedslisten,68,53,24.0,0.4528301886792453,transport
Alex Ahrendtsen,Søren Espersen,Dansk Folkeparti,Danmarksdemokraterne,68,25,25.0,1.0,transport
Alex Ahrendtsen,Søren Pind,Dansk Folkeparti,Venstre,68,25,18.0,0.72,transport
Alex Ahrendtsen,Thomas Danielsen,Dansk Folkeparti,Venstre,68,46,33.0,0.717391304347826,transport
Alex Ahrendtsen,Tom Behnke,Dansk Folkeparti,Det Konservative Folkeparti,68,54,38.0,0.7037037037037037,transport
Alex Ahrendtsen,Torsten Schack Pedersen,Dansk Folkeparti,Venstre,68,53,33.0,0.6226415094339622,transport
Alex Ahrendtsen,Trine Bramsen,Dansk Folkeparti,Socialdemokratiet,68,65,39.0,0.6,transport
Alex Ahrendtsen,Trine Pertou Mach,Dansk Folkeparti,Enhedslisten,68,17,6.0,0.35294117647058826,transport
Alex Ahrendtsen,Troels Ravn,Dansk Folkeparti,Socialdemokratiet,68,48,29.0,0.6041666666666666,transport
Alex Ahrendtsen,Villum Christensen,Dansk Folkeparti,Liberal Alliance,68,39,24.0,0.6153846153846154,transport
Alex Ahrendtsen,Özlem Sara Cekic,Dansk Folkeparti,Socialistisk Folkeparti,68,53,25.0,0.4716981132075472,transport
Anders Samuelsen,Andreas Steenberg,Liberal Alliance,Radikale Venstre,68,25,17.0,0.68,transport
Anders Samuelsen,Anne Sina,Liberal Alliance,Socialdemokratiet,68,2,1.0,0.5,transport
Anders Samuelsen,Annette Vilhelmsen,Liberal Alliance,Socialistisk Folkeparti,68,22,13.0,0.5909090909090909,transport
Anders Samuelsen,Anni Matthiesen,Liberal Alliance,Venstre,68,24,18.0,0.75,transport
Anders Samuelsen,Astrid Krag,Liberal Alliance,Socialdemokratiet,68,12,7.0,0.5833333333333334,transport
Anders Samuelsen,Benny Engelbrecht,Liberal Alliance,Socialdemokratiet,68,20,14.0,0.7,transport
Anders Samuelsen,Bertel Haarder,Liberal Alliance,Venstre,68,19,16.0,0.8421052631578947,transport
Anders Samuelsen,Bjarne Corydon,Liberal Alliance,Socialdemokratiet,68,5,3.0,0.6,transport
Anders Samuelsen,Brian Mikkelsen,Liberal Alliance,Det Konservative Folkeparti,68,21,17.0,0.8095238095238095,transport
Anders Samuelsen,Carsten Hansen,Liberal Alliance,Socialdemokratiet,68,13,8.0,0.6153846153846154,transport
Anders Samuelsen,Charlotte Dyremose,Liberal Alliance,Det Konservative Folkeparti,68,2,1.0,0.5,transport
Anders Samuelsen,Christian Friis Bach,Liberal Alliance,Venstre,68,3,2.0,0.6666666666666666,transport
Anders Samuelsen,Christian Juhl,Liberal Alliance,Enhedslisten,68,16,7.0,0.4375,transport
Anders Samuelsen,Christian Langballe (udpeget af DF),Liberal Alliance,Dansk Folkeparti,68,23,12.0,0.5217391304347826,transport
Anders Samuelsen,Christine Antorini,Liberal Alliance,Socialdemokratiet,68,10,6.0,0.6,transport
Anders Samuelsen,Dennis Flydtkjær,Liberal Alliance,Danmarksdemokraterne,68,23,13.0,0.5652173913043478,transport
Anders Samuelsen,Eigil Andersen,Liberal Alliance,Socialistisk Folkeparti,68,22,14.0,0.6363636363636364,transport
