source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Aage Frandsen,Aase D. Madsen (udpeget af DF),Not able to assign,Dansk Folkeparti,65,6,3.0,0.5,transport_infrastruktur
Aage Frandsen,Anders Fogh Rasmussen,Not able to assign,Venstre,65,1,0.0,0.0,transport_infrastruktur
Aage Frandsen,Anders Møller,Not able to assign,Uden for folketingsgrupperne,65,3,1.0,0.3333333333333333,transport_infrastruktur
Aage Frandsen,Anita Knakkergaard,Not able to assign,Dansk Folkeparti,65,12,4.0,0.3333333333333333,transport_infrastruktur
Aage Frandsen,Anne Baastrup,Not able to assign,Socialistisk Folkeparti,65,14,14.0,1.0,transport_infrastruktur
Aage Frandsen,Anne Grete Holmsgaard (udpeget af SF),Not able to assign,Socialistisk Folkeparti,65,4,4.0,1.0,transport_infrastruktur
Aage Frandsen,Anne-Marie Meldgaard,Not able to assign,Socialdemokratiet,65,16,15.0,0.9375,transport_infrastruktur
Aage Frandsen,Arne Toft,Not able to assign,Socialdemokratiet,65,17,16.0,0.9411764705882353,transport_infrastruktur
Aage Frandsen,Bendt Bendtsen,Not able to assign,Det Konservative Folkeparti,65,6,6.0,1.0,transport_infrastruktur
Aage Frandsen,Bent Bøgsted,Not able to assign,Danmarksdemokraterne,65,17,9.0,0.5294117647058824,transport_infrastruktur
Aage Frandsen,Birgitte Josefsen,Not able to assign,Venstre,65,1,0.0,0.0,transport_infrastruktur
Aage Frandsen,Birgitte Møller,Not able to assign,Radikale Venstre,65,4,3.0,0.75,transport_infrastruktur
Aage Frandsen,Birthe Rønn Hornbech,Not able to assign,Venstre,65,12,8.0,0.6666666666666666,transport_infrastruktur
Aage Frandsen,Birthe Skaarup (udpeget af DF),Not able to assign,Dansk Folkeparti,65,9,3.0,0.3333333333333333,transport_infrastruktur
Aage Frandsen,Bjarne Laustsen,Not able to assign,Socialdemokratiet,65,16,15.0,0.9375,transport_infrastruktur
Aage Frandsen,Bodil Kornbek,Not able to assign,Kristeligt Folkeparti,65,12,7.0,0.5833333333333334,transport_infrastruktur
Aage Frandsen,Brian Mikkelsen,Not able to assign,Det Konservative Folkeparti,65,12,7.0,0.5833333333333334,transport_infrastruktur
Aage Frandsen,Carina Christensen,Not able to assign,Det Konservative Folkeparti,65,12,6.0,0.5,transport_infrastruktur
Aage Frandsen,Carsten Bo Jensen,Not able to assign,Socialdemokratiet,65,4,4.0,1.0,transport_infrastruktur
