source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Alex Ahrendtsen,Anders Samuelsen,Dansk Folkeparti,Liberal Alliance,68,33,22.0,0.6666666666666666,uddannelse
Alex Ahrendtsen,Andreas Steenberg,Dansk Folkeparti,Radikale Venstre,68,111,71.0,0.6396396396396397,uddannelse
Alex Ahrendtsen,Anne Sina,Dansk Folkeparti,Socialdemokratiet,68,32,22.0,0.6875,uddannelse
Alex Ahrendtsen,Annette Vilhelmsen,Dansk Folkeparti,Socialistisk Folkeparti,68,85,50.0,0.5882352941176471,uddannelse
Alex Ahrendtsen,Anni Matthiesen,Dansk Folkeparti,Venstre,68,112,91.0,0.8125,uddannelse
Alex Ahrendtsen,Astrid Krag,Dansk Folkeparti,Socialdemokratiet,68,99,70.0,0.7070707070707071,uddannelse
Alex Ahrendtsen,Benny Engelbrecht,Dansk Folkeparti,Socialdemokratiet,68,135,90.0,0.6666666666666666,uddannelse
Alex Ahrendtsen,Bertel Haarder,Dansk Folkeparti,Venstre,68,78,58.0,0.7435897435897436,uddannelse
Alex Ahrendtsen,Bjarne Corydon,Dansk Folkeparti,Socialdemokratiet,68,9,5.0,0.5555555555555556,uddannelse
Alex Ahrendtsen,Brian Mikkelsen,Dansk Folkeparti,Det Konservative Folkeparti,68,80,55.0,0.6875,uddannelse
Alex Ahrendtsen,Carsten Hansen,Dansk Folkeparti,Socialdemokratiet,68,85,57.0,0.6705882352941176,uddannelse
Alex Ahrendtsen,Charlotte Dyremose,Dansk Folkeparti,Det Konservative Folkeparti,68,25,16.0,0.64,uddannelse
Alex Ahrendtsen,Christian Friis Bach,Dansk Folkeparti,Venstre,68,60,44.0,0.7333333333333333,uddannelse
Alex Ahrendtsen,Christian Juhl,Dansk Folkeparti,Enhedslisten,68,108,35.0,0.32407407407407407,uddannelse
Alex Ahrendtsen,Christian Langballe (udpeget af DF),Dansk Folkeparti,Dansk Folkeparti,68,89,89.0,1.0,uddannelse
Alex Ahrendtsen,Christine Antorini,Dansk Folkeparti,Socialdemokratiet,68,75,51.0,0.68,uddannelse
Alex Ahrendtsen,Dennis Flydtkjær,Dansk Folkeparti,Danmarksdemokraterne,68,126,126.0,1.0,uddannelse
Alex Ahrendtsen,Eigil Andersen,Dansk Folkeparti,Socialistisk Folkeparti,68,111,76.0,0.6846846846846847,uddannelse
Alex Ahrendtsen,Ellen Trane Nørby,Dansk Folkeparti,Venstre,68,52,38.0,0.7307692307692307,uddannelse
Alex Ahrendtsen,Erling Bonnesen,Dansk Folkeparti,Venstre,68,101,73.0,0.7227722772277227,uddannelse
Alex Ahrendtsen,Finn Sørensen,Dansk Folkeparti,Enhedslisten,68,85,33.0,0.38823529411764707,uddannelse
Alex Ahrendtsen,Flemming Damgaard Larsen,Dansk Folkeparti,Venstre,68,140,108.0,0.7714285714285715,uddannelse
Alex Ahrendtsen,Frank Aaen,Dansk Folkeparti,Enhedslisten,68,85,33.0,0.38823529411764707,uddannelse
Alex Ahrendtsen,Hans Andersen,Dansk Folkeparti,Venstre,68,117,95.0,0.811965811965812,uddannelse
Alex Ahrendtsen,Hans Christian Schmidt,Dansk Folkeparti,Venstre,68,91,78.0,0.8571428571428571,uddannelse
Alex Ahrendtsen,Hans Kristian Skibby,Dansk Folkeparti,Danmarksdemokraterne,68,119,119.0,1.0,uddannelse
Alex Ahrendtsen,Helle Thorning-Schmidt,Dansk Folkeparti,Socialdemokratiet,68,1,0.0,0.0,uddannelse
Alex Ahrendtsen,Henning Hyllested,Dansk Folkeparti,Enhedslisten,68,116,45.0,0.3879310344827586,uddannelse
Alex Ahrendtsen,Henrik Sass Larsen,Dansk Folkeparti,Socialdemokratiet,68,47,30.0,0.6382978723404256,uddannelse
Alex Ahrendtsen,Holger K. Nielsen,Dansk Folkeparti,Socialistisk Folkeparti,68,75,43.0,0.5733333333333334,uddannelse
Alex Ahrendtsen,Ida Auken,Dansk Folkeparti,Socialdemokratiet,68,46,29.0,0.6304347826086957,uddannelse
Alex Ahrendtsen,Jacob Jensen,Dansk Folkeparti,Venstre,68,19,15.0,0.7894736842105263,uddannelse
Alex Ahrendtsen,Jakob Engel-Schmidt,Dansk Folkeparti,Moderaterne,68,47,29.0,0.6170212765957447,uddannelse
Alex Ahrendtsen,Jan E. Jørgensen,Dansk Folkeparti,Venstre,68,121,94.0,0.7768595041322314,uddannelse
Alex Ahrendtsen,Jan Johansen,Dansk Folkeparti,Socialdemokratiet,68,116,80.0,0.6896551724137931,uddannelse
Alex Ahrendtsen,Jens Henrik Thulesen Dahl,Dansk Folkeparti,Danmarksdemokraterne,68,98,98.0,1.0,uddannelse
Alex Ahrendtsen,Jeppe Mikkelsen,Dansk Folkeparti,Radikale Venstre,68,119,77.0,0.6470588235294118,uddannelse
Alex Ahrendtsen,Jesper Petersen,Dansk Folkeparti,Socialdemokratiet,68,117,76.0,0.6495726495726496,uddannelse
Alex Ahrendtsen,Joachim B. Olsen,Dansk Folkeparti,Liberal Alliance,68,95,65.0,0.6842105263157895,uddannelse
Alex Ahrendtsen,Johanne Schmidt-Nielsen,Dansk Folkeparti,Enhedslisten,68,100,35.0,0.35,uddannelse
Alex Ahrendtsen,John Dyrby Paulsen,Dansk Folkeparti,Socialdemokratiet,68,75,47.0,0.6266666666666667,uddannelse
Alex Ahrendtsen,Karen Ellemann,Dansk Folkeparti,Venstre,68,88,64.0,0.7272727272727273,uddannelse
Alex Ahrendtsen,Karen Hækkerup (udpeget af S),Dansk Folkeparti,Socialdemokratiet,68,49,29.0,0.5918367346938775,uddannelse
Alex Ahrendtsen,Karin Nødgaard,Dansk Folkeparti,Dansk Folkeparti,68,100,100.0,1.0,uddannelse
Alex Ahrendtsen,Karina Adsbøl,Dansk Folkeparti,Danmarksdemokraterne,68,114,114.0,1.0,uddannelse
Alex Ahrendtsen,Karina Lorentzen Dehnhardt,Dansk Folkeparti,Socialistisk Folkeparti,68,78,49.0,0.6282051282051282,uddannelse
Alex Ahrendtsen,Karsten Lauritzen,Dansk Folkeparti,Venstre,68,118,94.0,0.7966101694915254,uddannelse
Alex Ahrendtsen,Kim Andersen (udpeget af V),Dansk Folkeparti,Venstre,68,102,77.0,0.7549019607843137,uddannelse
Alex Ahrendtsen,Kim Christiansen,Dansk Folkeparti,Dansk Folkeparti,68,94,94.0,1.0,uddannelse
Alex Ahrendtsen,Kristian Thulesen Dahl,Dansk Folkeparti,Uden for folketingsgrupperne,68,33,33.0,1.0,uddannelse
Alex Ahrendtsen,Lars Barfoed,Dansk Folkeparti,Det Konservative Folkeparti,68,72,59.0,0.8194444444444444,uddannelse
Alex Ahrendtsen,Lars Dohn,Dansk Folkeparti,Enhedslisten,68,88,28.0,0.3181818181818182,uddannelse
Alex Ahrendtsen,Lars Løkke Rasmussen,Dansk Folkeparti,Moderaterne,68,2,2.0,1.0,uddannelse
