source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Alex Ahrendtsen,Anders Samuelsen,Dansk Folkeparti,Liberal Alliance,68,24,15.0,0.625,udenrigspolitik
Alex Ahrendtsen,Andreas Steenberg,Dansk Folkeparti,Radikale Venstre,68,60,27.0,0.45,udenrigspolitik
Alex Ahrendtsen,Anne Sina,Dansk Folkeparti,Socialdemokratiet,68,30,16.0,0.5333333333333333,udenrigspolitik
Alex Ahrendtsen,Annette Vilhelmsen,Dansk Folkeparti,Socialistisk Folkeparti,68,51,25.0,0.49019607843137253,udenrigspolitik
Alex Ahrendtsen,Anni Matthiesen,Dansk Folkeparti,Venstre,68,47,33.0,0.7021276595744681,udenrigspolitik
Alex Ahrendtsen,Astrid Krag,Dansk Folkeparti,Socialdemokratiet,68,44,19.0,0.4318181818181818,udenrigspolitik
Alex Ahrendtsen,Benny Engelbrecht,Dansk Folkeparti,Socialdemokratiet,68,69,31.0,0.4492753623188406,udenrigspolitik
Alex Ahrendtsen,Bertel Haarder,Dansk Folkeparti,Venstre,68,40,25.0,0.625,udenrigspolitik
Alex Ahrendtsen,Bjarne Corydon,Dansk Folkeparti,Socialdemokratiet,68,6,2.0,0.3333333333333333,udenrigspolitik
Alex Ahrendtsen,Brian Mikkelsen,Dansk Folkeparti,Det Konservative Folkeparti,68,45,31.0,0.6888888888888889,udenrigspolitik
Alex Ahrendtsen,Carsten Hansen,Dansk Folkeparti,Socialdemokratiet,68,40,18.0,0.45,udenrigspolitik
Alex Ahrendtsen,Charlotte Dyremose,Dansk Folkeparti,Det Konservative Folkeparti,68,25,16.0,0.64,udenrigspolitik
Alex Ahrendtsen,Christian Friis Bach,Dansk Folkeparti,Venstre,68,22,9.0,0.4090909090909091,udenrigspolitik
Alex Ahrendtsen,Christian Juhl,Dansk Folkeparti,Enhedslisten,68,60,20.0,0.3333333333333333,udenrigspolitik
Alex Ahrendtsen,Christian Langballe (udpeget af DF),Dansk Folkeparti,Dansk Folkeparti,68,54,54.0,1.0,udenrigspolitik
Alex Ahrendtsen,Christine Antorini,Dansk Folkeparti,Socialdemokratiet,68,29,15.0,0.5172413793103449,udenrigspolitik
Alex Ahrendtsen,Dennis Flydtkjær,Dansk Folkeparti,Danmarksdemokraterne,68,67,66.0,0.9850746268656716,udenrigspolitik
Alex Ahrendtsen,Eigil Andersen,Dansk Folkeparti,Socialistisk Folkeparti,68,57,26.0,0.45614035087719296,udenrigspolitik
Alex Ahrendtsen,Ellen Trane Nørby,Dansk Folkeparti,Venstre,68,35,25.0,0.7142857142857143,udenrigspolitik
Alex Ahrendtsen,Erling Bonnesen,Dansk Folkeparti,Venstre,68,63,42.0,0.6666666666666666,udenrigspolitik
Alex Ahrendtsen,Finn Sørensen,Dansk Folkeparti,Enhedslisten,68,50,17.0,0.34,udenrigspolitik
Alex Ahrendtsen,Flemming Damgaard Larsen,Dansk Folkeparti,Venstre,68,73,48.0,0.6575342465753424,udenrigspolitik
Alex Ahrendtsen,Frank Aaen,Dansk Folkeparti,Enhedslisten,68,45,18.0,0.4,udenrigspolitik
