voting_id,party,politician,vote_type,Period
9879,Dansk Folkeparti,Alex Ahrendtsen,2,71
9879,Danmarksdemokraterne,Søren Espersen,2,71
9879,Venstre,Erling Bonnesen,2,71
9879,Socialdemokratiet,Mette Reissmann,2,71
9879,Venstre,Torsten Schack Pedersen,2,71
9879,Danmarksdemokraterne,Hans Kristian Skibby,2,71
9879,Venstre,Louise Elholm,2,71
9879,Socialdemokratiet,Jesper Petersen,2,71
9879,Liberal Alliance,Ole Birk Olesen,2,71
9879,Enhedslisten,Trine Pertou Mach,1,71
9879,Radikale Venstre,Lotte Rod,1,71
9879,Danmarksdemokraterne,Jens Henrik Thulesen Dahl,2,71
9879,Socialdemokratiet,Trine Bramsen,2,71
9879,Danmarksdemokraterne,Dennis Flydtkjær,2,71
9879,Socialdemokratiet,Benny Engelbrecht,2,71
9879,Venstre,Hans Christian Schmidt,2,71
9879,Venstre,Preben Bang Henriksen,2,71
9879,Venstre,Sophie Løhde,2,71
9879,Venstre,Christian Friis Bach,1,71
9879,Socialdemokratiet,Ida Auken,2,71
9879,Socialdemokratiet,Mogens Jensen,2,71
9879,Danmarksdemokraterne,Karina Adsbøl,2,71
9879,Venstre,Hans Andersen,2,71
9879,Venstre,Anni Matthiesen,2,71
9879,Socialdemokratiet,Pernille Rosenkrantz-Theil,2,71
9879,Venstre,Michael Aastrup Jensen,2,71
9879,Venstre,Peter Juel-Jensen,2,71
9879,Det Konservative Folkeparti,Mai Mercado,2,71
9879,Socialdemokratiet,Thomas Jensen,2,71
9879,Socialdemokratiet,Jens Joel,2,71
9879,Socialistisk Folkeparti,Lisbeth Bech-Nielsen,1,71
9879,Socialdemokratiet,Flemming Møller Mortensen,2,71
9879,Socialdemokratiet,Magnus Heunicke,2,71
9879,Socialdemokratiet,Bjarne Laustsen,2,71
9879,Socialdemokratiet,Leif Lahn Jensen,2,71
9879,Socialdemokratiet,Rasmus Prehn,2,71
9879,Socialdemokratiet,Per Husted,2,71
9879,Socialdemokratiet,Karin Gaardsted,2,71
9879,Enhedslisten,Søren Egge Rasmussen,1,71
9879,Det Konservative Folkeparti,Rasmus Jarlov,2,71
9879,Enhedslisten,Jette Gottlieb,1,71
9879,Det Konservative Folkeparti,Per Larsen,2,71
9879,Socialdemokratiet,Lea Wermelin,2,71
9879,Dansk Folkeparti,Peter Kofod,2,71
9879,Socialdemokratiet,Mattias Tesfaye,2,71
9879,Danmarksdemokraterne,Lise Bech,2,71
9879,Socialdemokratiet,Peter Hummelgaard,2,71
9879,Socialdemokratiet,Malte Larsen,2,71
9879,Socialdemokratiet,Anne Paulin,2,71
9879,Socialistisk Folkeparti,Kirsten Normann Andersen,1,71
