vote_id,vote_typeid,afstemning_id,aktørid,vote_opdateringsdato
1196449,3,4444,1891,2021-01-28T21:02:39.783
1196450,3,4444,117,2021-01-28T21:02:39.79
1196451,3,4444,164,2021-01-28T21:02:39.8
1196452,3,4444,8319,2021-01-28T21:02:39.81
1196453,3,4444,126,2021-01-28T21:02:39.817
1196454,4,4444,258,2021-01-28T21:02:39.823
1196455,4,4444,351,2021-01-28T21:02:39.83
1196456,1,4444,647,2018-02-12T17:46:44.053
1196457,4,4444,17,2021-01-28T21:02:39.84
1196458,4,4444,650,2021-01-28T21:02:39.847
1196459,2,4444,215,2018-02-12T17:46:44.053
1196460,3,4444,1881,2021-01-28T21:02:39.857
1196461,4,4444,1778,2021-01-28T21:02:39.867
1196462,3,4444,195,2021-01-28T21:02:39.87
1196463,2,4444,856,2018-02-12T17:46:44.053
1196464,1,4444,149,2018-02-12T17:46:44.053
1196465,1,4444,350,2018-02-12T17:46:44.053
1196466,3,4444,71,2021-01-28T21:02:39.877
1196467,3,4444,1495,2021-01-28T21:02:39.883
1196468,3,4444,1455,2021-01-28T21:02:39.89
1196469,1,4444,49,2018-02-12T17:46:44.053
1196470,3,4444,4428,2021-01-28T21:02:39.897
1196471,3,4444,1755,2021-01-28T21:02:39.9
1196472,3,4444,249,2021-01-28T21:02:39.907
1196473,3,4444,1039,2021-01-28T21:02:39.917
1196474,4,4444,220,2021-01-28T21:02:39.927
1196475,1,4444,183,2018-02-12T17:46:44.053
1196476,3,4444,198,2021-01-28T21:02:39.933
1196477,3,4444,648,2021-01-28T21:02:39.94
1196478,4,4444,1325,2021-01-28T21:02:39.95
1196479,1,4444,94,2018-02-12T17:46:44.053
1196480,3,4444,1440,2021-01-28T21:02:39.957
1196481,1,4444,3084,2018-02-12T17:46:44.053
1196482,1,4444,259,2018-02-12T17:46:44.053
1196483,1,4444,124,2018-02-12T17:46:44.053
1196484,1,4444,664,2018-02-12T17:46:44.053
1196485,1,4444,1618,2018-02-12T17:46:44.053
1196486,3,4444,171,2021-01-28T21:02:39.967
1196487,3,4444,3088,2021-01-28T21:02:39.973
1196488,1,4444,77,2018-02-12T17:46:44.053
1196489,3,4444,216,2021-01-28T21:02:39.98
1196490,1,4444,211,2018-02-12T17:46:44.053
1196491,3,4444,654,2021-01-28T21:02:39.983
1196492,3,4444,1805,2021-01-28T21:02:39.99
1196493,1,4444,3089,2018-02-12T17:46:44.053
1196494,3,4444,131,2021-01-28T21:02:39.997
1196495,1,4444,34,2018-02-12T17:46:44.053
1196496,3,4444,1172,2021-01-28T21:02:40
1196497,4,4444,3083,2021-01-28T21:02:40.007
1196498,3,4444,270,2021-01-28T21:02:40.013
1196499,3,4444,138,2021-01-28T21:02:40.017
1196500,3,4444,1047,2021-01-28T21:02:40.023
1196501,2,4444,95,2018-02-12T17:46:44.053
1196502,3,4444,1845,2021-01-28T21:02:40.03
1196503,4,4444,197,2021-01-28T21:02:40.037
1196504,3,4444,1311,2021-01-28T21:02:40.043
1196505,4,4444,3092,2021-01-28T21:02:40.05
1196506,4,4444,5593,2021-01-28T21:02:40.057
1196507,3,4444,663,2021-01-28T21:02:40.063
1196508,1,4444,265,2018-02-12T17:46:44.053
1196509,3,4444,1731,2021-01-28T21:02:40.07
1196510,4,4444,801,2021-01-28T21:02:40.073
1196511,3,4444,7633,2021-01-28T21:02:40.083
1196512,2,4444,1444,2018-02-12T17:46:44.053
1196513,3,4444,1887,2021-01-28T21:02:40.087
1196514,1,4444,70,2018-02-12T17:46:44.053
1196515,4,4444,244,2021-01-28T21:02:40.093
1196516,1,4444,2103,2018-02-12T17:46:44.053
1196517,2,4444,1883,2018-02-12T17:46:44.053
1196518,3,4444,1234,2021-01-28T21:02:40.1
1196519,3,4444,364,2021-01-28T21:02:40.103
1196520,1,4444,660,2018-02-12T17:46:44.053
1196521,3,4444,1833,2021-01-28T21:02:40.11
1196522,1,4444,1461,2018-02-12T17:46:44.053
1196523,3,4444,47,2021-01-28T21:02:40.117
1196524,4,4444,678,2021-01-28T21:02:40.12
1196525,3,4444,129,2021-01-28T21:02:40.127
1196526,4,4444,55,2021-01-28T21:02:40.133
1196527,4,4444,669,2021-01-28T21:02:40.14
1196528,1,4444,173,2018-02-12T17:46:44.053
1196529,3,4444,271,2021-01-28T21:02:40.15
1196530,1,4444,178,2018-02-12T17:46:44.053
1196531,3,4444,5905,2021-01-28T21:02:40.16
1196532,3,4444,670,2021-01-28T21:02:40.17
1196533,1,4444,210,2018-02-12T17:46:44.053
1196534,1,4444,1378,2018-02-12T17:46:44.053
1196535,3,4444,3093,2021-01-28T21:02:40.177
1196536,4,4444,668,2021-01-28T21:02:40.19
1196537,3,4444,656,2021-01-28T21:02:40.197
1196538,3,4444,1844,2021-01-28T21:02:40.207
1196539,3,4444,3081,2021-01-28T21:02:40.213
1196540,1,4444,1882,2018-02-12T17:46:44.053
1196541,3,4444,252,2021-01-28T21:02:40.22
1196542,3,4444,672,2021-01-28T21:02:40.23
1196543,3,4444,280,2021-01-28T21:02:40.237
1196544,1,4444,1777,2018-02-12T17:46:44.057
1196545,4,4444,235,2021-01-28T21:02:40.27
1196546,1,4444,1745,2018-02-12T17:46:44.057
1196547,1,4444,676,2018-02-12T17:46:44.057
1196548,1,4444,1431,2018-02-12T17:46:44.057
1196549,3,4444,679,2021-01-28T21:02:40.317
1196550,1,4444,677,2018-02-12T17:46:44.057
1196551,1,4444,64,2018-02-12T17:46:44.057
1196552,3,4444,28,2021-01-28T21:02:40.327
1196553,1,4444,657,2018-02-12T17:46:44.057
1196554,4,4444,257,2021-01-28T21:02:40.333
1196555,3,4444,141,2021-01-28T21:02:40.343
1196556,1,4444,217,2018-02-12T17:46:44.057
1196557,3,4444,194,2021-01-28T21:02:40.35
1196558,3,4444,651,2021-01-28T21:02:40.36
1196559,3,4444,384,2021-01-28T21:02:40.37
1196560,1,4444,646,2018-02-12T17:46:44.057
1196561,4,4444,951,2021-01-28T21:02:40.38
1196562,1,4444,645,2018-02-12T17:46:44.057
1196563,3,4444,1880,2021-01-28T21:02:40.39
1196564,1,4444,238,2018-02-12T17:46:44.057
1196565,1,4444,83,2018-02-12T17:46:44.057
1196566,4,4444,245,2021-01-28T21:02:40.397
1196567,3,4444,3085,2021-01-28T21:02:40.403
1196568,3,4444,665,2021-01-28T21:02:40.41
1196569,3,4444,1023,2021-01-28T21:02:40.42
1196570,3,4444,153,2021-01-28T21:02:40.427
1196571,1,4444,279,2018-02-12T17:46:44.057
1196572,1,4444,1249,2018-02-12T17:46:44.057
